time,screen,pixel_x,pixel_y,pupil
12159417,stimulus_Ins_HumanRights_2_page_6,47.6,67.2,1014.0
12159418,stimulus_Ins_HumanRights_2_page_6,47.4,67.3,1014.0
12159419,stimulus_Ins_HumanRights_2_page_6,47.0,67.4,1014.0
12159420,stimulus_Ins_HumanRights_2_page_6,47.0,67.6,1014.0
12159421,stimulus_Ins_HumanRights_2_page_6,47.5,67.8,1014.0
12159422,stimulus_Ins_HumanRights_2_page_6,48.1,67.8,1014.0
12159423,stimulus_Ins_HumanRights_2_page_6,47.9,67.6,1013.0
12159424,stimulus_Ins_HumanRights_2_page_6,47.7,67.5,1013.0
12159425,stimulus_Ins_HumanRights_2_page_6,47.6,67.5,1012.0
12159426,stimulus_Ins_HumanRights_2_page_6,47.8,67.6,1012.0
12159427,stimulus_Ins_HumanRights_2_page_6,47.7,67.6,1012.0
12159428,stimulus_Ins_HumanRights_2_page_6,47.6,67.8,1013.0
12159429,stimulus_Ins_HumanRights_2_page_6,47.4,67.9,1014.0
12159430,stimulus_Ins_HumanRights_2_page_6,47.2,67.9,1015.0
12159431,stimulus_Ins_HumanRights_2_page_6,47.1,67.9,1015.0
12159432,stimulus_Ins_HumanRights_2_page_6,47.0,67.8,1014.0
12159433,stimulus_Ins_HumanRights_2_page_6,47.1,67.8,1013.0
12159434,stimulus_Ins_HumanRights_2_page_6,47.2,67.6,1012.0
12159435,stimulus_Ins_HumanRights_2_page_6,47.3,67.3,1012.0
12159436,stimulus_Ins_HumanRights_2_page_6,47.2,67.1,1013.0
12159437,stimulus_Ins_HumanRights_2_page_6,47.3,67.0,1015.0
12159438,stimulus_Ins_HumanRights_2_page_6,47.4,67.0,1016.0
12159439,stimulus_Ins_HumanRights_2_page_6,47.4,67.0,1016.0
12159440,stimulus_Ins_HumanRights_2_page_6,47.4,67.2,1015.0
12159441,stimulus_Ins_HumanRights_2_page_6,47.3,67.4,1015.0
12159442,stimulus_Ins_HumanRights_2_page_6,47.2,67.5,1015.0
12159443,stimulus_Ins_HumanRights_2_page_6,47.2,67.5,1015.0
12159444,stimulus_Ins_HumanRights_2_page_6,47.2,67.7,1015.0
12159445,stimulus_Ins_HumanRights_2_page_6,47.1,67.9,1016.0
12159446,stimulus_Ins_HumanRights_2_page_6,47.1,68.2,1017.0
12159447,stimulus_Ins_HumanRights_2_page_6,47.1,68.2,1017.0
12159448,stimulus_Ins_HumanRights_2_page_6,47.1,68.2,1017.0
12159449,stimulus_Ins_HumanRights_2_page_6,47.1,68.3,1016.0
12159450,stimulus_Ins_HumanRights_2_page_6,47.1,68.3,1016.0
12159451,stimulus_Ins_HumanRights_2_page_6,47.1,68.1,1015.0
12159452,stimulus_Ins_HumanRights_2_page_6,47.1,67.8,1015.0
12159453,stimulus_Ins_HumanRights_2_page_6,47.0,67.4,1014.0
12159454,stimulus_Ins_HumanRights_2_page_6,46.8,67.3,1014.0
12159455,stimulus_Ins_HumanRights_2_page_6,46.8,67.2,1013.0
12159456,stimulus_Ins_HumanRights_2_page_6,46.8,67.0,1014.0
12159457,stimulus_Ins_HumanRights_2_page_6,47.0,66.9,1015.0
12159458,stimulus_Ins_HumanRights_2_page_6,47.2,67.1,1015.0
12159459,stimulus_Ins_HumanRights_2_page_6,47.3,67.1,1015.0
12159460,stimulus_Ins_HumanRights_2_page_6,47.1,67.2,1015.0
12159461,stimulus_Ins_HumanRights_2_page_6,46.9,67.1,1015.0
12159462,stimulus_Ins_HumanRights_2_page_6,47.0,67.1,1014.0
12159463,stimulus_Ins_HumanRights_2_page_6,47.1,67.4,1014.0
12159464,stimulus_Ins_HumanRights_2_page_6,47.3,67.6,1014.0
12159465,stimulus_Ins_HumanRights_2_page_6,47.5,67.9,1014.0
12159466,stimulus_Ins_HumanRights_2_page_6,47.6,67.8,1015.0
12159467,stimulus_Ins_HumanRights_2_page_6,47.6,67.6,1015.0
12159468,stimulus_Ins_HumanRights_2_page_6,47.5,67.4,1014.0
12159469,stimulus_Ins_HumanRights_2_page_6,47.5,67.4,1013.0
12159470,stimulus_Ins_HumanRights_2_page_6,47.4,67.4,1012.0
12159471,stimulus_Ins_HumanRights_2_page_6,47.5,67.3,1012.0
12159472,stimulus_Ins_HumanRights_2_page_6,47.5,67.3,1012.0
12159473,stimulus_Ins_HumanRights_2_page_6,47.4,67.2,1012.0
12159474,stimulus_Ins_HumanRights_2_page_6,47.4,67.2,1012.0
12159475,stimulus_Ins_HumanRights_2_page_6,47.5,67.2,1012.0
12159476,stimulus_Ins_HumanRights_2_page_6,47.5,67.1,1012.0
12159477,stimulus_Ins_HumanRights_2_page_6,47.4,67.2,1012.0
12159478,stimulus_Ins_HumanRights_2_page_6,47.1,67.3,1012.0
12159479,stimulus_Ins_HumanRights_2_page_6,46.8,67.4,1012.0
12159480,stimulus_Ins_HumanRights_2_page_6,46.7,67.4,1011.0
12159481,stimulus_Ins_HumanRights_2_page_6,46.8,67.3,1011.0
12159482,stimulus_Ins_HumanRights_2_page_6,46.8,67.2,1012.0
12159483,stimulus_Ins_HumanRights_2_page_6,46.8,67.2,1012.0
12159484,stimulus_Ins_HumanRights_2_page_6,46.9,67.3,1012.0
12159485,stimulus_Ins_HumanRights_2_page_6,46.9,67.4,1012.0
12159486,stimulus_Ins_HumanRights_2_page_6,46.9,67.5,1012.0
12159487,stimulus_Ins_HumanRights_2_page_6,46.8,67.5,1012.0
12159488,stimulus_Ins_HumanRights_2_page_6,46.9,67.3,1012.0
