time,screen,pixel_x,pixel_y,pupil
12269112,subject_difficulty_screen,137.6,93.4,1260.0
12269113,subject_difficulty_screen,139.1,93.6,1260.0
12269114,subject_difficulty_screen,139.5,93.6,1261.0
12269115,subject_difficulty_screen,139.7,93.4,1262.0
12269116,subject_difficulty_screen,139.3,92.6,1262.0
12269117,subject_difficulty_screen,138.5,91.9,1262.0
12269118,subject_difficulty_screen,137.2,91.6,1261.0
12269119,subject_difficulty_screen,135.9,91.7,1261.0
12269120,subject_difficulty_screen,134.5,91.8,1261.0
12269121,subject_difficulty_screen,133.0,91.5,1261.0
12269122,subject_difficulty_screen,131.9,91.4,1261.0
12269123,subject_difficulty_screen,130.9,91.3,1261.0
12269124,subject_difficulty_screen,130.0,91.2,1262.0
12269125,subject_difficulty_screen,129.0,91.0,1263.0
12269126,subject_difficulty_screen,128.3,90.8,1264.0
12269127,subject_difficulty_screen,127.8,90.6,1263.0
12269128,subject_difficulty_screen,127.3,90.4,1263.0
12269129,subject_difficulty_screen,126.7,90.2,1263.0
12269130,subject_difficulty_screen,126.2,90.1,1263.0
12269131,subject_difficulty_screen,126.0,90.1,1264.0
12269132,subject_difficulty_screen,125.9,90.1,1264.0
12269133,subject_difficulty_screen,126.0,89.8,1265.0
12269134,subject_difficulty_screen,126.0,89.6,1265.0
12269135,subject_difficulty_screen,126.2,89.5,1266.0
12269136,subject_difficulty_screen,126.5,89.7,1266.0
12269137,subject_difficulty_screen,126.7,89.8,1266.0
12269138,subject_difficulty_screen,126.9,89.8,1266.0
12269139,subject_difficulty_screen,127.1,89.9,1266.0
12269140,subject_difficulty_screen,127.3,90.0,1266.0
12269141,subject_difficulty_screen,127.5,90.1,1265.0
12269142,subject_difficulty_screen,127.5,90.1,1264.0
12269143,subject_difficulty_screen,127.6,90.0,1263.0
12269144,subject_difficulty_screen,127.3,90.0,1263.0
12269145,subject_difficulty_screen,126.9,90.4,1263.0
12269146,subject_difficulty_screen,126.6,90.8,1263.0
12269147,subject_difficulty_screen,126.3,91.1,1263.0
12269148,subject_difficulty_screen,125.9,91.1,1263.0
12269149,subject_difficulty_screen,125.5,91.3,1264.0
12269150,subject_difficulty_screen,125.3,91.5,1265.0
12269151,subject_difficulty_screen,125.2,91.6,1265.0
12269152,subject_difficulty_screen,125.0,91.6,1265.0
12269153,subject_difficulty_screen,124.6,91.7,1265.0
12269154,subject_difficulty_screen,124.4,92.1,1265.0
12269155,subject_difficulty_screen,124.3,92.4,1266.0
12269156,subject_difficulty_screen,124.1,92.8,1265.0
12269157,subject_difficulty_screen,124.0,92.8,1265.0
12269158,subject_difficulty_screen,123.8,92.8,1264.0
12269159,subject_difficulty_screen,123.7,92.8,1265.0
12269160,subject_difficulty_screen,123.7,92.8,1265.0
12269161,subject_difficulty_screen,123.9,92.7,1264.0
12269162,subject_difficulty_screen,124.1,92.6,1264.0
12269163,subject_difficulty_screen,124.2,92.6,1263.0
12269164,subject_difficulty_screen,124.5,92.8,1262.0
12269165,subject_difficulty_screen,124.8,92.8,1262.0
12269166,subject_difficulty_screen,125.1,92.8,1262.0
12269167,subject_difficulty_screen,125.1,92.7,1262.0
12269168,subject_difficulty_screen,125.1,92.7,1262.0
12269169,subject_difficulty_screen,125.2,92.6,1261.0
12269170,subject_difficulty_screen,124.7,92.2,1261.0
12269171,subject_difficulty_screen,124.2,91.9,1261.0
12269172,subject_difficulty_screen,123.8,92.1,1261.0
12269173,subject_difficulty_screen,124.2,92.5,1262.0
12269174,subject_difficulty_screen,125.0,92.7,1262.0
12269175,subject_difficulty_screen,125.6,92.5,1262.0
12269176,subject_difficulty_screen,126.0,92.1,1262.0
12269177,subject_difficulty_screen,126.5,92.0,1262.0
12269178,subject_difficulty_screen,127.1,91.8,1261.0
12269179,subject_difficulty_screen,127.5,91.8,1263.0
12269180,subject_difficulty_screen,127.6,91.8,1264.0
12269181,subject_difficulty_screen,127.6,91.8,1266.0
12269182,subject_difficulty_screen,127.5,91.7,1266.0
12269183,subject_difficulty_screen,127.4,91.4,1265.0
12269184,subject_difficulty_screen,127.3,91.1,1265.0
12269185,subject_difficulty_screen,127.4,90.9,1265.0
12269186,subject_difficulty_screen,127.4,90.8,1266.0
12269187,subject_difficulty_screen,127.6,90.8,1267.0
12269188,subject_difficulty_screen,127.8,90.9,1268.0
12269189,subject_difficulty_screen,127.9,90.9,1269.0
12269190,subject_difficulty_screen,127.7,90.8,1271.0
12269191,subject_difficulty_screen,127.8,90.6,1273.0
12269192,subject_difficulty_screen,127.9,90.9,1275.0
12269193,subject_difficulty_screen,128.0,91.3,1275.0
12269194,subject_difficulty_screen,128.1,91.7,1274.0
12269195,subject_difficulty_screen,128.2,91.7,1273.0
12269196,subject_difficulty_screen,128.4,91.6,1272.0
12269197,subject_difficulty_screen,128.4,91.4,1272.0
12269198,subject_difficulty_screen,128.0,91.2,1271.0
12269199,subject_difficulty_screen,127.5,91.0,1271.0
12269200,subject_difficulty_screen,127.1,90.9,1272.0
12269201,subject_difficulty_screen,126.8,90.9,1273.0
12269202,subject_difficulty_screen,126.7,91.1,1274.0
12269203,subject_difficulty_screen,126.6,91.4,1274.0
12269204,subject_difficulty_screen,126.5,91.6,1274.0
12269205,subject_difficulty_screen,126.5,91.6,1274.0
12269206,subject_difficulty_screen,126.5,91.6,1273.0
12269207,subject_difficulty_screen,126.6,91.6,1274.0
12269208,subject_difficulty_screen,126.8,91.6,1275.0
12269209,subject_difficulty_screen,127.2,91.7,1275.0
12269210,subject_difficulty_screen,127.3,91.9,1275.0
12269211,subject_difficulty_screen,127.3,92.1,1276.0
12269212,subject_difficulty_screen,127.3,92.3,1276.0
12269213,subject_difficulty_screen,127.1,92.3,1277.0
12269214,subject_difficulty_screen,126.8,92.2,1278.0
12269215,subject_difficulty_screen,126.4,92.0,1278.0
12269216,subject_difficulty_screen,126.0,91.8,1279.0
12269217,subject_difficulty_screen,125.7,91.9,1279.0
12269218,subject_difficulty_screen,125.4,92.0,1279.0
12269219,subject_difficulty_screen,125.3,92.1,1279.0
12269220,subject_difficulty_screen,125.1,91.9,1279.0
12269221,subject_difficulty_screen,124.9,91.8,1280.0
12269222,subject_difficulty_screen,124.8,91.6,1280.0
12269223,subject_difficulty_screen,124.9,91.4,1280.0
12269224,subject_difficulty_screen,124.9,91.3,1280.0
12269225,subject_difficulty_screen,124.8,91.4,1280.0
12269226,subject_difficulty_screen,124.8,91.5,1281.0
12269227,subject_difficulty_screen,124.9,91.3,1281.0
12269228,subject_difficulty_screen,125.0,91.1,1280.0
12269229,subject_difficulty_screen,125.2,90.8,1279.0
12269230,subject_difficulty_screen,124.9,90.7,1279.0
12269231,subject_difficulty_screen,124.7,90.9,1280.0
12269232,subject_difficulty_screen,124.5,91.0,1280.0
12269233,subject_difficulty_screen,124.1,91.1,1281.0
12269234,subject_difficulty_screen,123.6,91.0,1281.0
12269235,subject_difficulty_screen,123.0,91.0,1281.0
12269236,subject_difficulty_screen,122.7,91.3,1281.0
12269237,subject_difficulty_screen,122.6,91.9,1281.0
12269238,subject_difficulty_screen,122.5,92.3,1281.0
12269239,subject_difficulty_screen,122.5,92.2,1281.0
12269240,subject_difficulty_screen,122.4,91.9,1282.0
12269241,subject_difficulty_screen,122.5,91.7,1282.0
12269242,subject_difficulty_screen,122.5,91.7,1283.0
12269243,subject_difficulty_screen,122.5,91.7,1284.0
12269244,subject_difficulty_screen,122.7,91.8,1285.0
12269245,subject_difficulty_screen,123.3,91.7,1285.0
12269246,subject_difficulty_screen,124.0,91.4,1285.0
12269247,subject_difficulty_screen,124.8,91.1,1284.0
12269248,subject_difficulty_screen,125.3,90.9,1284.0
12269249,subject_difficulty_screen,125.7,90.8,1283.0
12269250,subject_difficulty_screen,125.6,90.8,1284.0
12269251,subject_difficulty_screen,125.5,90.6,1285.0
12269252,subject_difficulty_screen,125.3,90.4,1286.0
12269253,subject_difficulty_screen,125.2,90.2,1287.0
12269254,subject_difficulty_screen,125.1,90.3,1286.0
12269255,subject_difficulty_screen,125.1,90.5,1285.0
12269256,subject_difficulty_screen,125.1,90.7,1285.0
12269257,subject_difficulty_screen,125.2,90.7,1285.0
12269258,subject_difficulty_screen,125.3,90.4,1284.0
12269259,subject_difficulty_screen,125.5,90.1,1285.0
12269260,subject_difficulty_screen,125.7,89.8,1286.0
12269261,subject_difficulty_screen,125.9,89.8,1287.0
12269262,subject_difficulty_screen,126.2,89.4,1287.0
12269263,subject_difficulty_screen,126.3,89.0,1287.0
12269264,subject_difficulty_screen,126.3,88.7,1287.0
12269265,subject_difficulty_screen,126.2,88.7,1287.0
12269266,subject_difficulty_screen,126.1,88.7,1287.0
12269267,subject_difficulty_screen,126.0,88.6,1287.0
