time,screen,pixel_x,pixel_y,pupil
8065901,stimulus_Lit_Solaris_8_page_10,90.2,97.8,1222.0
8065902,stimulus_Lit_Solaris_8_page_10,90.3,97.5,1223.0
8065903,stimulus_Lit_Solaris_8_page_10,90.6,96.6,1224.0
8065904,stimulus_Lit_Solaris_8_page_10,90.8,96.0,1226.0
8065905,stimulus_Lit_Solaris_8_page_10,91.0,95.3,1227.0
8065906,stimulus_Lit_Solaris_8_page_10,90.7,95.0,1228.0
8065907,stimulus_Lit_Solaris_8_page_10,90.5,94.3,1229.0
8065908,stimulus_Lit_Solaris_8_page_10,90.3,93.8,1230.0
8065909,stimulus_Lit_Solaris_8_page_10,90.4,93.6,1229.0
8065910,stimulus_Lit_Solaris_8_page_10,90.6,93.9,1229.0
8065911,stimulus_Lit_Solaris_8_page_10,90.7,93.8,1228.0
8065912,stimulus_Lit_Solaris_8_page_10,90.6,93.4,1228.0
8065913,stimulus_Lit_Solaris_8_page_10,90.4,93.1,1227.0
8065914,stimulus_Lit_Solaris_8_page_10,90.0,93.7,1227.0
8065915,stimulus_Lit_Solaris_8_page_10,89.7,94.2,1226.0
8065916,stimulus_Lit_Solaris_8_page_10,89.3,94.5,1224.0
8065917,stimulus_Lit_Solaris_8_page_10,89.0,94.5,1223.0
8065918,stimulus_Lit_Solaris_8_page_10,88.7,95.0,1222.0
8065919,stimulus_Lit_Solaris_8_page_10,88.0,95.6,1222.0
8065920,stimulus_Lit_Solaris_8_page_10,87.4,96.2,1222.0
8065921,stimulus_Lit_Solaris_8_page_10,87.2,96.7,1223.0
8065922,stimulus_Lit_Solaris_8_page_10,87.4,96.9,1225.0
8065923,stimulus_Lit_Solaris_8_page_10,87.5,97.1,1227.0
8065924,stimulus_Lit_Solaris_8_page_10,87.5,96.9,1229.0
8065925,stimulus_Lit_Solaris_8_page_10,87.2,96.4,1230.0
8065926,stimulus_Lit_Solaris_8_page_10,87.0,95.9,1231.0
8065927,stimulus_Lit_Solaris_8_page_10,86.6,95.5,1230.0
8065928,stimulus_Lit_Solaris_8_page_10,86.5,95.5,1228.0
8065929,stimulus_Lit_Solaris_8_page_10,86.6,95.3,1228.0
8065930,stimulus_Lit_Solaris_8_page_10,86.9,94.8,1230.0
8065931,stimulus_Lit_Solaris_8_page_10,86.9,94.3,1231.0
