time,screen,pixel_x,pixel_y,pupil
8525392,stimulus_Lit_Solaris_8_question_8131,1270.8,927.2,1378.0
8525393,stimulus_Lit_Solaris_8_question_8131,1271.0,927.4,1378.0
8525394,stimulus_Lit_Solaris_8_question_8131,1271.4,927.3,1376.0
8525395,stimulus_Lit_Solaris_8_question_8131,1271.7,926.9,1375.0
8525396,stimulus_Lit_Solaris_8_question_8131,1271.9,926.6,1373.0
8525397,stimulus_Lit_Solaris_8_question_8131,1272.0,926.2,1373.0
8525398,stimulus_Lit_Solaris_8_question_8131,1272.0,926.2,1373.0
8525399,stimulus_Lit_Solaris_8_question_8131,1271.8,926.2,1373.0
8525400,stimulus_Lit_Solaris_8_question_8131,1271.6,926.1,1373.0
8525401,stimulus_Lit_Solaris_8_question_8131,1271.8,925.8,1373.0
8525402,stimulus_Lit_Solaris_8_question_8131,1272.3,925.5,1372.0
8525403,stimulus_Lit_Solaris_8_question_8131,1272.9,925.2,1372.0
8525404,stimulus_Lit_Solaris_8_question_8131,1273.2,925.2,1372.0
8525405,stimulus_Lit_Solaris_8_question_8131,1273.3,925.1,1373.0
8525406,stimulus_Lit_Solaris_8_question_8131,1273.4,925.1,1373.0
8525407,stimulus_Lit_Solaris_8_question_8131,1273.4,925.1,1372.0
8525408,stimulus_Lit_Solaris_8_question_8131,1273.4,925.0,1372.0
8525409,stimulus_Lit_Solaris_8_question_8131,1273.3,925.1,1372.0
8525410,stimulus_Lit_Solaris_8_question_8131,1272.9,925.2,1371.0
8525411,stimulus_Lit_Solaris_8_question_8131,1272.4,925.4,1371.0
8525412,stimulus_Lit_Solaris_8_question_8131,1272.1,925.4,1371.0
8525413,stimulus_Lit_Solaris_8_question_8131,1272.1,925.4,1371.0
8525414,stimulus_Lit_Solaris_8_question_8131,1272.4,925.4,1371.0
8525415,stimulus_Lit_Solaris_8_question_8131,1272.6,924.9,1371.0
8525416,stimulus_Lit_Solaris_8_question_8131,1272.8,924.5,1371.0
8525417,stimulus_Lit_Solaris_8_question_8131,1272.7,924.1,1370.0
8525418,stimulus_Lit_Solaris_8_question_8131,1272.6,924.1,1370.0
8525419,stimulus_Lit_Solaris_8_question_8131,1272.8,924.1,1371.0
8525420,stimulus_Lit_Solaris_8_question_8131,1273.2,924.2,1371.0
8525421,stimulus_Lit_Solaris_8_question_8131,1273.7,924.8,1370.0
8525422,stimulus_Lit_Solaris_8_question_8131,1273.6,925.3,1368.0
