time,screen,pixel_x,pixel_y,pupil
9051172,stimulus_Lit_MagicMountain_6_page_6,73.5,123.5,1382.0
9051173,stimulus_Lit_MagicMountain_6_page_6,73.6,123.5,1383.0
9051174,stimulus_Lit_MagicMountain_6_page_6,73.6,123.5,1382.0
9051175,stimulus_Lit_MagicMountain_6_page_6,73.4,123.6,1382.0
9051176,stimulus_Lit_MagicMountain_6_page_6,73.3,123.8,1382.0
9051177,stimulus_Lit_MagicMountain_6_page_6,73.2,123.9,1382.0
9051178,stimulus_Lit_MagicMountain_6_page_6,73.0,124.0,1382.0
9051179,stimulus_Lit_MagicMountain_6_page_6,72.8,124.0,1381.0
9051180,stimulus_Lit_MagicMountain_6_page_6,72.5,123.8,1380.0
9051181,stimulus_Lit_MagicMountain_6_page_6,72.4,123.6,1380.0
9051182,stimulus_Lit_MagicMountain_6_page_6,72.3,123.4,1380.0
9051183,stimulus_Lit_MagicMountain_6_page_6,72.6,123.6,1380.0
9051184,stimulus_Lit_MagicMountain_6_page_6,72.8,123.8,1381.0
9051185,stimulus_Lit_MagicMountain_6_page_6,72.7,123.9,1381.0
9051186,stimulus_Lit_MagicMountain_6_page_6,72.3,123.9,1382.0
9051187,stimulus_Lit_MagicMountain_6_page_6,71.9,123.9,1382.0
9051188,stimulus_Lit_MagicMountain_6_page_6,71.8,123.7,1382.0
9051189,stimulus_Lit_MagicMountain_6_page_6,71.9,123.4,1382.0
9051190,stimulus_Lit_MagicMountain_6_page_6,72.2,123.2,1382.0
9051191,stimulus_Lit_MagicMountain_6_page_6,72.5,123.2,1382.0
9051192,stimulus_Lit_MagicMountain_6_page_6,72.8,122.7,1383.0
9051193,stimulus_Lit_MagicMountain_6_page_6,72.9,122.1,1384.0
9051194,stimulus_Lit_MagicMountain_6_page_6,73.0,121.5,1384.0
9051195,stimulus_Lit_MagicMountain_6_page_6,72.9,121.6,1384.0
9051196,stimulus_Lit_MagicMountain_6_page_6,72.5,121.8,1385.0
9051197,stimulus_Lit_MagicMountain_6_page_6,72.2,122.0,1385.0
9051198,stimulus_Lit_MagicMountain_6_page_6,71.9,122.0,1385.0
9051199,stimulus_Lit_MagicMountain_6_page_6,72.0,122.4,1384.0
9051200,stimulus_Lit_MagicMountain_6_page_6,72.2,122.7,1383.0
9051201,stimulus_Lit_MagicMountain_6_page_6,72.3,123.1,1382.0
9051202,stimulus_Lit_MagicMountain_6_page_6,72.4,123.0,1381.0
9051203,stimulus_Lit_MagicMountain_6_page_6,72.5,122.6,1380.0
9051204,stimulus_Lit_MagicMountain_6_page_6,72.2,122.2,1379.0
9051205,stimulus_Lit_MagicMountain_6_page_6,71.9,121.9,1379.0
9051206,stimulus_Lit_MagicMountain_6_page_6,71.7,121.9,1379.0
9051207,stimulus_Lit_MagicMountain_6_page_6,71.8,122.4,1379.0
9051208,stimulus_Lit_MagicMountain_6_page_6,71.9,123.4,1377.0
9051209,stimulus_Lit_MagicMountain_6_page_6,71.9,124.7,1374.0
9051210,stimulus_Lit_MagicMountain_6_page_6,71.8,126.5,1373.0
9051211,stimulus_Lit_MagicMountain_6_page_6,72.3,128.1,1373.0
9051212,stimulus_Lit_MagicMountain_6_page_6,72.7,129.8,1373.0
9051213,stimulus_Lit_MagicMountain_6_page_6,73.5,130.7,1374.0
9051214,stimulus_Lit_MagicMountain_6_page_6,73.8,131.6,1374.0
9051215,stimulus_Lit_MagicMountain_6_page_6,73.9,132.7,1374.0
9051216,stimulus_Lit_MagicMountain_6_page_6,73.6,134.3,1376.0
9051217,stimulus_Lit_MagicMountain_6_page_6,73.4,135.7,1378.0
9051218,stimulus_Lit_MagicMountain_6_page_6,73.6,136.6,1378.0
