time,screen,pixel_x,pixel_y,pupil
9200621,stimulus_Lit_MagicMountain_6_question_6131,843.5,471.0,1326.0
9200622,stimulus_Lit_MagicMountain_6_question_6131,843.4,470.9,1327.0
9200623,stimulus_Lit_MagicMountain_6_question_6131,843.3,470.8,1328.0
9200624,stimulus_Lit_MagicMountain_6_question_6131,843.3,470.8,1328.0
9200625,stimulus_Lit_MagicMountain_6_question_6131,843.4,471.0,1328.0
9200626,stimulus_Lit_MagicMountain_6_question_6131,843.6,471.2,1328.0
9200627,stimulus_Lit_MagicMountain_6_question_6131,843.8,471.3,1328.0
9200628,stimulus_Lit_MagicMountain_6_question_6131,843.9,471.2,1328.0
9200629,stimulus_Lit_MagicMountain_6_question_6131,843.9,471.2,1330.0
9200630,stimulus_Lit_MagicMountain_6_question_6131,844.0,471.5,1331.0
9200631,stimulus_Lit_MagicMountain_6_question_6131,843.9,471.9,1333.0
9200632,stimulus_Lit_MagicMountain_6_question_6131,843.8,472.2,1333.0
9200633,stimulus_Lit_MagicMountain_6_question_6131,843.9,472.2,1333.0
9200634,stimulus_Lit_MagicMountain_6_question_6131,844.1,472.0,1332.0
9200635,stimulus_Lit_MagicMountain_6_question_6131,844.2,472.0,1332.0
9200636,stimulus_Lit_MagicMountain_6_question_6131,843.8,472.2,1332.0
9200637,stimulus_Lit_MagicMountain_6_question_6131,843.5,472.3,1333.0
9200638,stimulus_Lit_MagicMountain_6_question_6131,843.4,472.5,1333.0
9200639,stimulus_Lit_MagicMountain_6_question_6131,843.7,472.7,1332.0
9200640,stimulus_Lit_MagicMountain_6_question_6131,843.9,472.6,1331.0
9200641,stimulus_Lit_MagicMountain_6_question_6131,843.8,472.3,1331.0
9200642,stimulus_Lit_MagicMountain_6_question_6131,843.8,471.7,1330.0
9200643,stimulus_Lit_MagicMountain_6_question_6131,843.9,471.5,1330.0
9200644,stimulus_Lit_MagicMountain_6_question_6131,843.8,471.7,1330.0
9200645,stimulus_Lit_MagicMountain_6_question_6131,843.5,472.0,1330.0
