time,screen,pixel_x,pixel_y,pupil
5557063,stimulus_Arg_PISARapaNui_11_page_7,68.7,120.8,1243.0
5557064,stimulus_Arg_PISARapaNui_11_page_7,68.7,120.8,1243.0
5557065,stimulus_Arg_PISARapaNui_11_page_7,68.8,120.8,1243.0
5557066,stimulus_Arg_PISARapaNui_11_page_7,69.2,120.9,1243.0
5557067,stimulus_Arg_PISARapaNui_11_page_7,69.5,121.0,1243.0
5557068,stimulus_Arg_PISARapaNui_11_page_7,69.7,121.1,1243.0
5557069,stimulus_Arg_PISARapaNui_11_page_7,69.8,121.3,1244.0
5557070,stimulus_Arg_PISARapaNui_11_page_7,69.8,121.4,1244.0
5557071,stimulus_Arg_PISARapaNui_11_page_7,69.7,121.5,1244.0
5557072,stimulus_Arg_PISARapaNui_11_page_7,69.6,121.4,1245.0
5557073,stimulus_Arg_PISARapaNui_11_page_7,69.5,121.3,1245.0
5557074,stimulus_Arg_PISARapaNui_11_page_7,69.6,121.2,1245.0
5557075,stimulus_Arg_PISARapaNui_11_page_7,69.8,121.2,1245.0
5557076,stimulus_Arg_PISARapaNui_11_page_7,69.7,121.3,1244.0
5557077,stimulus_Arg_PISARapaNui_11_page_7,69.3,121.4,1245.0
5557078,stimulus_Arg_PISARapaNui_11_page_7,69.0,121.6,1246.0
5557079,stimulus_Arg_PISARapaNui_11_page_7,69.1,121.7,1248.0
5557080,stimulus_Arg_PISARapaNui_11_page_7,69.4,121.8,1249.0
5557081,stimulus_Arg_PISARapaNui_11_page_7,69.5,121.8,1248.0
5557082,stimulus_Arg_PISARapaNui_11_page_7,69.6,121.8,1248.0
5557083,stimulus_Arg_PISARapaNui_11_page_7,69.6,122.1,1248.0
5557084,stimulus_Arg_PISARapaNui_11_page_7,69.6,122.4,1249.0
5557085,stimulus_Arg_PISARapaNui_11_page_7,69.5,122.8,1251.0
5557086,stimulus_Arg_PISARapaNui_11_page_7,69.5,123.1,1250.0
5557087,stimulus_Arg_PISARapaNui_11_page_7,69.7,123.2,1249.0
5557088,stimulus_Arg_PISARapaNui_11_page_7,70.0,123.1,1248.0
5557089,stimulus_Arg_PISARapaNui_11_page_7,70.2,123.0,1249.0
5557090,stimulus_Arg_PISARapaNui_11_page_7,70.3,122.8,1250.0
5557091,stimulus_Arg_PISARapaNui_11_page_7,70.3,122.7,1251.0
5557092,stimulus_Arg_PISARapaNui_11_page_7,70.2,122.7,1251.0
