time,screen,pixel_x,pixel_y,pupil
5878501,stimulus_Arg_PISARapaNui_11_question_11111,150.9,440.4,1453.0
5878502,stimulus_Arg_PISARapaNui_11_question_11111,150.8,440.4,1453.0
5878503,stimulus_Arg_PISARapaNui_11_question_11111,151.0,440.4,1453.0
5878504,stimulus_Arg_PISARapaNui_11_question_11111,151.4,440.4,1453.0
5878505,stimulus_Arg_PISARapaNui_11_question_11111,151.7,440.5,1453.0
5878506,stimulus_Arg_PISARapaNui_11_question_11111,151.6,440.4,1453.0
5878507,stimulus_Arg_PISARapaNui_11_question_11111,151.5,440.2,1453.0
5878508,stimulus_Arg_PISARapaNui_11_question_11111,151.3,440.0,1453.0
5878509,stimulus_Arg_PISARapaNui_11_question_11111,151.2,439.9,1452.0
5878510,stimulus_Arg_PISARapaNui_11_question_11111,151.1,439.9,1452.0
5878511,stimulus_Arg_PISARapaNui_11_question_11111,151.2,439.9,1452.0
5878512,stimulus_Arg_PISARapaNui_11_question_11111,151.5,439.9,1452.0
5878513,stimulus_Arg_PISARapaNui_11_question_11111,151.9,439.9,1452.0
5878514,stimulus_Arg_PISARapaNui_11_question_11111,152.0,440.0,1452.0
5878515,stimulus_Arg_PISARapaNui_11_question_11111,151.9,440.1,1452.0
5878516,stimulus_Arg_PISARapaNui_11_question_11111,151.8,440.6,1452.0
5878517,stimulus_Arg_PISARapaNui_11_question_11111,151.7,441.0,1452.0
5878518,stimulus_Arg_PISARapaNui_11_question_11111,151.7,441.3,1452.0
5878519,stimulus_Arg_PISARapaNui_11_question_11111,151.7,441.3,1451.0
5878520,stimulus_Arg_PISARapaNui_11_question_11111,151.7,441.2,1450.0
5878521,stimulus_Arg_PISARapaNui_11_question_11111,151.5,441.2,1450.0
5878522,stimulus_Arg_PISARapaNui_11_question_11111,151.4,441.1,1449.0
5878523,stimulus_Arg_PISARapaNui_11_question_11111,151.3,441.0,1449.0
5878524,stimulus_Arg_PISARapaNui_11_question_11111,151.3,440.9,1449.0
5878525,stimulus_Arg_PISARapaNui_11_question_11111,151.2,440.8,1449.0
5878526,stimulus_Arg_PISARapaNui_11_question_11111,151.2,440.8,1450.0
5878527,stimulus_Arg_PISARapaNui_11_question_11111,150.9,440.8,1449.0
5878528,stimulus_Arg_PISARapaNui_11_question_11111,150.5,440.8,1447.0
5878529,stimulus_Arg_PISARapaNui_11_question_11111,150.4,440.8,1446.0
5878530,stimulus_Arg_PISARapaNui_11_question_11111,150.7,440.9,1445.0
5878531,stimulus_Arg_PISARapaNui_11_question_11111,151.1,441.0,1444.0
5878532,stimulus_Arg_PISARapaNui_11_question_11111,151.1,441.0,1446.0
5878533,stimulus_Arg_PISARapaNui_11_question_11111,151.5,441.1,1447.0
5878534,stimulus_Arg_PISARapaNui_11_question_11111,151.8,441.1,1449.0
5878535,stimulus_Arg_PISARapaNui_11_question_11111,152.2,441.1,1449.0
5878536,stimulus_Arg_PISARapaNui_11_question_11111,152.2,441.0,1448.0
5878537,stimulus_Arg_PISARapaNui_11_question_11111,152.3,440.9,1448.0
5878538,stimulus_Arg_PISARapaNui_11_question_11111,152.3,440.9,1448.0
5878539,stimulus_Arg_PISARapaNui_11_question_11111,152.2,440.8,1447.0
5878540,stimulus_Arg_PISARapaNui_11_question_11111,152.2,441.0,1447.0
5878541,stimulus_Arg_PISARapaNui_11_question_11111,152.2,441.2,1446.0
5878542,stimulus_Arg_PISARapaNui_11_question_11111,152.3,441.4,1446.0
5878543,stimulus_Arg_PISARapaNui_11_question_11111,152.3,441.2,1446.0
5878544,stimulus_Arg_PISARapaNui_11_question_11111,152.4,441.0,1445.0
5878545,stimulus_Arg_PISARapaNui_11_question_11111,152.4,440.7,1444.0
5878546,stimulus_Arg_PISARapaNui_11_question_11111,152.3,440.6,1443.0
5878547,stimulus_Arg_PISARapaNui_11_question_11111,152.2,440.6,1443.0
5878548,stimulus_Arg_PISARapaNui_11_question_11111,152.0,440.6,1442.0
5878549,stimulus_Arg_PISARapaNui_11_question_11111,152.0,440.7,1441.0
5878550,stimulus_Arg_PISARapaNui_11_question_11111,152.1,440.9,1440.0
5878551,stimulus_Arg_PISARapaNui_11_question_11111,152.2,441.1,1440.0
5878552,stimulus_Arg_PISARapaNui_11_question_11111,152.4,441.4,1440.0
5878553,stimulus_Arg_PISARapaNui_11_question_11111,152.7,441.5,1440.0
5878554,stimulus_Arg_PISARapaNui_11_question_11111,153.0,441.7,1440.0
5878555,stimulus_Arg_PISARapaNui_11_question_11111,152.9,441.7,1440.0
5878556,stimulus_Arg_PISARapaNui_11_question_11111,152.9,441.8,1439.0
5878557,stimulus_Arg_PISARapaNui_11_question_11111,152.7,441.8,1440.0
5878558,stimulus_Arg_PISARapaNui_11_question_11111,152.5,442.0,1440.0
5878559,stimulus_Arg_PISARapaNui_11_question_11111,152.4,442.1,1440.0
5878560,stimulus_Arg_PISARapaNui_11_question_11111,152.1,442.2,1440.0
5878561,stimulus_Arg_PISARapaNui_11_question_11111,152.0,442.0,1440.0
5878562,stimulus_Arg_PISARapaNui_11_question_11111,151.9,441.7,1441.0
5878563,stimulus_Arg_PISARapaNui_11_question_11111,152.0,441.6,1441.0
5878564,stimulus_Arg_PISARapaNui_11_question_11111,152.0,441.7,1440.0
5878565,stimulus_Arg_PISARapaNui_11_question_11111,151.9,441.7,1439.0
5878566,stimulus_Arg_PISARapaNui_11_question_11111,152.1,441.7,1437.0
5878567,stimulus_Arg_PISARapaNui_11_question_11111,152.2,441.7,1437.0
5878568,stimulus_Arg_PISARapaNui_11_question_11111,152.4,441.8,1438.0
5878569,stimulus_Arg_PISARapaNui_11_question_11111,152.4,441.8,1438.0
5878570,stimulus_Arg_PISARapaNui_11_question_11111,152.3,441.8,1438.0
5878571,stimulus_Arg_PISARapaNui_11_question_11111,152.3,442.0,1438.0
5878572,stimulus_Arg_PISARapaNui_11_question_11111,152.4,442.2,1437.0
5878573,stimulus_Arg_PISARapaNui_11_question_11111,152.5,442.4,1437.0
5878574,stimulus_Arg_PISARapaNui_11_question_11111,152.6,442.5,1437.0
5878575,stimulus_Arg_PISARapaNui_11_question_11111,152.6,442.5,1436.0
5878576,stimulus_Arg_PISARapaNui_11_question_11111,152.7,442.3,1435.0
5878577,stimulus_Arg_PISARapaNui_11_question_11111,152.7,442.1,1435.0
5878578,stimulus_Arg_PISARapaNui_11_question_11111,152.1,441.9,1435.0
5878579,stimulus_Arg_PISARapaNui_11_question_11111,151.4,442.0,1434.0
5878580,stimulus_Arg_PISARapaNui_11_question_11111,151.2,442.2,1432.0
5878581,stimulus_Arg_PISARapaNui_11_question_11111,151.7,442.3,1431.0
5878582,stimulus_Arg_PISARapaNui_11_question_11111,152.2,442.4,1431.0
5878583,stimulus_Arg_PISARapaNui_11_question_11111,152.4,442.5,1431.0
5878584,stimulus_Arg_PISARapaNui_11_question_11111,152.3,442.6,1431.0
5878585,stimulus_Arg_PISARapaNui_11_question_11111,152.3,442.6,1431.0
5878586,stimulus_Arg_PISARapaNui_11_question_11111,152.3,442.6,1431.0
5878587,stimulus_Arg_PISARapaNui_11_question_11111,152.2,442.6,1431.0
5878588,stimulus_Arg_PISARapaNui_11_question_11111,152.0,442.4,1432.0
5878589,stimulus_Arg_PISARapaNui_11_question_11111,151.8,442.3,1431.0
5878590,stimulus_Arg_PISARapaNui_11_question_11111,151.6,442.2,1430.0
5878591,stimulus_Arg_PISARapaNui_11_question_11111,151.4,442.0,1429.0
5878592,stimulus_Arg_PISARapaNui_11_question_11111,151.3,441.8,1430.0
5878593,stimulus_Arg_PISARapaNui_11_question_11111,151.3,441.6,1431.0
5878594,stimulus_Arg_PISARapaNui_11_question_11111,151.4,441.6,1431.0
5878595,stimulus_Arg_PISARapaNui_11_question_11111,151.6,441.6,1430.0
5878596,stimulus_Arg_PISARapaNui_11_question_11111,151.8,441.7,1430.0
5878597,stimulus_Arg_PISARapaNui_11_question_11111,151.9,441.7,1429.0
5878598,stimulus_Arg_PISARapaNui_11_question_11111,152.2,442.0,1429.0
5878599,stimulus_Arg_PISARapaNui_11_question_11111,152.4,442.2,1429.0
5878600,stimulus_Arg_PISARapaNui_11_question_11111,152.5,442.4,1428.0
5878601,stimulus_Arg_PISARapaNui_11_question_11111,152.1,442.6,1428.0
5878602,stimulus_Arg_PISARapaNui_11_question_11111,151.8,442.7,1429.0
5878603,stimulus_Arg_PISARapaNui_11_question_11111,151.7,442.8,1430.0
5878604,stimulus_Arg_PISARapaNui_11_question_11111,151.9,442.7,1432.0
5878605,stimulus_Arg_PISARapaNui_11_question_11111,152.1,442.7,1432.0
5878606,stimulus_Arg_PISARapaNui_11_question_11111,152.1,442.8,1430.0
5878607,stimulus_Arg_PISARapaNui_11_question_11111,152.0,442.9,1429.0
5878608,stimulus_Arg_PISARapaNui_11_question_11111,151.7,443.0,1428.0
