time,screen,pixel_x,pixel_y,pupil
13659318,stimulus_PopSci_MultiplEYE_1_page_3,67.9,120.8,996.0
13659319,stimulus_PopSci_MultiplEYE_1_page_3,68.0,121.1,996.0
13659320,stimulus_PopSci_MultiplEYE_1_page_3,68.1,121.3,996.0
13659321,stimulus_PopSci_MultiplEYE_1_page_3,68.2,121.2,996.0
13659322,stimulus_PopSci_MultiplEYE_1_page_3,68.2,121.3,995.0
13659323,stimulus_PopSci_MultiplEYE_1_page_3,68.1,121.5,995.0
13659324,stimulus_PopSci_MultiplEYE_1_page_3,68.1,121.8,996.0
13659325,stimulus_PopSci_MultiplEYE_1_page_3,68.2,121.7,996.0
13659326,stimulus_PopSci_MultiplEYE_1_page_3,68.3,121.7,997.0
13659327,stimulus_PopSci_MultiplEYE_1_page_3,68.5,121.7,997.0
13659328,stimulus_PopSci_MultiplEYE_1_page_3,68.6,121.6,997.0
13659329,stimulus_PopSci_MultiplEYE_1_page_3,68.6,121.5,997.0
13659330,stimulus_PopSci_MultiplEYE_1_page_3,68.5,121.2,997.0
13659331,stimulus_PopSci_MultiplEYE_1_page_3,68.5,120.9,998.0
13659332,stimulus_PopSci_MultiplEYE_1_page_3,68.5,120.9,998.0
13659333,stimulus_PopSci_MultiplEYE_1_page_3,68.5,121.1,997.0
13659334,stimulus_PopSci_MultiplEYE_1_page_3,68.5,121.5,994.0
13659335,stimulus_PopSci_MultiplEYE_1_page_3,68.5,121.7,992.0
13659336,stimulus_PopSci_MultiplEYE_1_page_3,68.5,121.8,990.0
13659337,stimulus_PopSci_MultiplEYE_1_page_3,68.3,121.6,991.0
13659338,stimulus_PopSci_MultiplEYE_1_page_3,68.1,121.5,992.0
13659339,stimulus_PopSci_MultiplEYE_1_page_3,67.8,121.6,994.0
13659340,stimulus_PopSci_MultiplEYE_1_page_3,67.9,121.7,994.0
13659341,stimulus_PopSci_MultiplEYE_1_page_3,67.9,121.7,994.0
13659342,stimulus_PopSci_MultiplEYE_1_page_3,68.0,122.0,994.0
13659343,stimulus_PopSci_MultiplEYE_1_page_3,67.9,122.2,994.0
13659344,stimulus_PopSci_MultiplEYE_1_page_3,67.9,122.5,993.0
13659345,stimulus_PopSci_MultiplEYE_1_page_3,67.9,122.4,992.0
13659346,stimulus_PopSci_MultiplEYE_1_page_3,67.6,122.4,991.0
13659347,stimulus_PopSci_MultiplEYE_1_page_3,67.2,122.3,991.0
13659348,stimulus_PopSci_MultiplEYE_1_page_3,66.9,122.3,991.0
13659349,stimulus_PopSci_MultiplEYE_1_page_3,67.0,122.5,991.0
13659350,stimulus_PopSci_MultiplEYE_1_page_3,67.3,122.7,993.0
13659351,stimulus_PopSci_MultiplEYE_1_page_3,67.5,123.0,993.0
13659352,stimulus_PopSci_MultiplEYE_1_page_3,67.7,123.0,993.0
13659353,stimulus_PopSci_MultiplEYE_1_page_3,67.8,123.0,992.0
13659354,stimulus_PopSci_MultiplEYE_1_page_3,67.8,122.9,993.0
13659355,stimulus_PopSci_MultiplEYE_1_page_3,67.8,122.4,993.0
13659356,stimulus_PopSci_MultiplEYE_1_page_3,67.7,122.0,993.0
13659357,stimulus_PopSci_MultiplEYE_1_page_3,67.5,121.8,993.0
13659358,stimulus_PopSci_MultiplEYE_1_page_3,67.4,122.0,992.0
13659359,stimulus_PopSci_MultiplEYE_1_page_3,67.3,122.2,992.0
13659360,stimulus_PopSci_MultiplEYE_1_page_3,67.3,122.4,992.0
13659361,stimulus_PopSci_MultiplEYE_1_page_3,67.1,122.6,992.0
13659362,stimulus_PopSci_MultiplEYE_1_page_3,66.8,122.8,992.0
13659363,stimulus_PopSci_MultiplEYE_1_page_3,66.5,123.2,992.0
13659364,stimulus_PopSci_MultiplEYE_1_page_3,66.3,123.5,992.0
13659365,stimulus_PopSci_MultiplEYE_1_page_3,66.1,123.8,992.0
13659366,stimulus_PopSci_MultiplEYE_1_page_3,66.0,123.4,993.0
13659367,stimulus_PopSci_MultiplEYE_1_page_3,65.9,123.0,993.0
13659368,stimulus_PopSci_MultiplEYE_1_page_3,65.9,122.7,993.0
13659369,stimulus_PopSci_MultiplEYE_1_page_3,65.8,122.7,994.0
13659370,stimulus_PopSci_MultiplEYE_1_page_3,65.8,122.7,994.0
13659371,stimulus_PopSci_MultiplEYE_1_page_3,65.8,122.6,993.0
13659372,stimulus_PopSci_MultiplEYE_1_page_3,65.8,122.9,993.0
13659373,stimulus_PopSci_MultiplEYE_1_page_3,65.7,123.1,993.0
13659374,stimulus_PopSci_MultiplEYE_1_page_3,65.5,123.6,993.0
13659375,stimulus_PopSci_MultiplEYE_1_page_3,65.2,123.8,993.0
13659376,stimulus_PopSci_MultiplEYE_1_page_3,64.9,123.8,993.0
13659377,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,994.0
13659378,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.4,995.0
13659379,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,996.0
13659380,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.6,997.0
13659381,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,996.0
13659382,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,996.0
13659383,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,996.0
13659384,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.4,996.0
13659385,stimulus_PopSci_MultiplEYE_1_page_3,64.6,123.3,996.0
13659386,stimulus_PopSci_MultiplEYE_1_page_3,64.6,123.2,996.0
13659387,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.0,997.0
13659388,stimulus_PopSci_MultiplEYE_1_page_3,64.8,122.7,997.0
13659389,stimulus_PopSci_MultiplEYE_1_page_3,64.7,122.9,998.0
13659390,stimulus_PopSci_MultiplEYE_1_page_3,64.5,123.3,997.0
13659391,stimulus_PopSci_MultiplEYE_1_page_3,64.3,123.7,997.0
13659392,stimulus_PopSci_MultiplEYE_1_page_3,64.2,123.6,997.0
13659393,stimulus_PopSci_MultiplEYE_1_page_3,64.2,123.6,997.0
13659394,stimulus_PopSci_MultiplEYE_1_page_3,64.2,123.7,997.0
13659395,stimulus_PopSci_MultiplEYE_1_page_3,64.1,123.7,996.0
13659396,stimulus_PopSci_MultiplEYE_1_page_3,64.0,123.5,996.0
13659397,stimulus_PopSci_MultiplEYE_1_page_3,64.2,123.3,996.0
13659398,stimulus_PopSci_MultiplEYE_1_page_3,64.3,123.1,995.0
13659399,stimulus_PopSci_MultiplEYE_1_page_3,64.3,122.9,995.0
13659400,stimulus_PopSci_MultiplEYE_1_page_3,64.2,122.7,995.0
13659401,stimulus_PopSci_MultiplEYE_1_page_3,64.1,122.9,995.0
13659402,stimulus_PopSci_MultiplEYE_1_page_3,64.2,123.2,995.0
13659403,stimulus_PopSci_MultiplEYE_1_page_3,64.2,123.5,995.0
13659404,stimulus_PopSci_MultiplEYE_1_page_3,64.2,123.4,995.0
13659405,stimulus_PopSci_MultiplEYE_1_page_3,64.4,123.4,995.0
13659406,stimulus_PopSci_MultiplEYE_1_page_3,64.6,123.5,996.0
13659407,stimulus_PopSci_MultiplEYE_1_page_3,64.8,123.6,996.0
13659408,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,996.0
13659409,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,995.0
13659410,stimulus_PopSci_MultiplEYE_1_page_3,64.8,123.6,995.0
13659411,stimulus_PopSci_MultiplEYE_1_page_3,65.0,123.7,994.0
13659412,stimulus_PopSci_MultiplEYE_1_page_3,64.8,123.6,994.0
13659413,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.6,994.0
13659414,stimulus_PopSci_MultiplEYE_1_page_3,64.5,123.5,995.0
13659415,stimulus_PopSci_MultiplEYE_1_page_3,64.5,123.5,995.0
13659416,stimulus_PopSci_MultiplEYE_1_page_3,64.5,123.6,995.0
13659417,stimulus_PopSci_MultiplEYE_1_page_3,64.5,123.7,995.0
13659418,stimulus_PopSci_MultiplEYE_1_page_3,64.5,123.6,994.0
13659419,stimulus_PopSci_MultiplEYE_1_page_3,64.5,123.4,994.0
13659420,stimulus_PopSci_MultiplEYE_1_page_3,64.6,123.2,994.0
13659421,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.3,994.0
13659422,stimulus_PopSci_MultiplEYE_1_page_3,64.8,123.3,994.0
13659423,stimulus_PopSci_MultiplEYE_1_page_3,64.8,123.2,994.0
13659424,stimulus_PopSci_MultiplEYE_1_page_3,64.8,123.2,994.0
13659425,stimulus_PopSci_MultiplEYE_1_page_3,64.8,123.1,994.0
13659426,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.3,994.0
13659427,stimulus_PopSci_MultiplEYE_1_page_3,64.7,123.5,994.0
13659428,stimulus_PopSci_MultiplEYE_1_page_3,64.6,123.7,994.0
13659429,stimulus_PopSci_MultiplEYE_1_page_3,64.6,123.7,994.0
13659430,stimulus_PopSci_MultiplEYE_1_page_3,64.6,123.8,994.0
13659431,stimulus_PopSci_MultiplEYE_1_page_3,64.7,124.0,994.0
13659432,stimulus_PopSci_MultiplEYE_1_page_3,64.7,124.2,994.0
13659433,stimulus_PopSci_MultiplEYE_1_page_3,65.0,124.0,994.0
13659434,stimulus_PopSci_MultiplEYE_1_page_3,65.6,123.7,994.0
13659435,stimulus_PopSci_MultiplEYE_1_page_3,66.1,123.4,994.0
13659436,stimulus_PopSci_MultiplEYE_1_page_3,66.3,123.5,994.0
13659437,stimulus_PopSci_MultiplEYE_1_page_3,66.2,123.5,994.0
13659438,stimulus_PopSci_MultiplEYE_1_page_3,66.1,123.5,994.0
13659439,stimulus_PopSci_MultiplEYE_1_page_3,65.8,123.7,994.0
13659440,stimulus_PopSci_MultiplEYE_1_page_3,65.5,123.8,993.0
13659441,stimulus_PopSci_MultiplEYE_1_page_3,65.2,124.0,993.0
13659442,stimulus_PopSci_MultiplEYE_1_page_3,65.1,124.0,993.0
13659443,stimulus_PopSci_MultiplEYE_1_page_3,65.2,124.3,993.0
13659444,stimulus_PopSci_MultiplEYE_1_page_3,65.3,124.7,993.0
13659445,stimulus_PopSci_MultiplEYE_1_page_3,65.3,124.9,993.0
13659446,stimulus_PopSci_MultiplEYE_1_page_3,65.1,124.8,994.0
13659447,stimulus_PopSci_MultiplEYE_1_page_3,64.9,124.7,994.0
13659448,stimulus_PopSci_MultiplEYE_1_page_3,65.0,124.6,994.0
13659449,stimulus_PopSci_MultiplEYE_1_page_3,65.1,124.5,995.0
13659450,stimulus_PopSci_MultiplEYE_1_page_3,65.0,124.5,995.0
13659451,stimulus_PopSci_MultiplEYE_1_page_3,65.0,124.6,995.0
13659452,stimulus_PopSci_MultiplEYE_1_page_3,65.2,124.7,995.0
13659453,stimulus_PopSci_MultiplEYE_1_page_3,65.4,124.6,995.0
13659454,stimulus_PopSci_MultiplEYE_1_page_3,65.6,124.6,994.0
13659455,stimulus_PopSci_MultiplEYE_1_page_3,65.6,124.5,992.0
13659456,stimulus_PopSci_MultiplEYE_1_page_3,65.6,124.5,992.0
13659457,stimulus_PopSci_MultiplEYE_1_page_3,65.6,124.5,992.0
13659458,stimulus_PopSci_MultiplEYE_1_page_3,65.7,124.5,993.0
13659459,stimulus_PopSci_MultiplEYE_1_page_3,65.7,124.5,994.0
13659460,stimulus_PopSci_MultiplEYE_1_page_3,65.7,124.4,994.0
13659461,stimulus_PopSci_MultiplEYE_1_page_3,65.6,124.4,995.0
13659462,stimulus_PopSci_MultiplEYE_1_page_3,65.6,124.4,995.0
13659463,stimulus_PopSci_MultiplEYE_1_page_3,65.5,124.6,994.0
13659464,stimulus_PopSci_MultiplEYE_1_page_3,65.7,124.9,994.0
13659465,stimulus_PopSci_MultiplEYE_1_page_3,65.8,125.1,993.0
13659466,stimulus_PopSci_MultiplEYE_1_page_3,66.0,125.2,993.0
13659467,stimulus_PopSci_MultiplEYE_1_page_3,65.8,125.2,994.0
13659468,stimulus_PopSci_MultiplEYE_1_page_3,65.7,125.2,994.0
13659469,stimulus_PopSci_MultiplEYE_1_page_3,65.7,125.0,994.0
13659470,stimulus_PopSci_MultiplEYE_1_page_3,65.8,124.9,993.0
13659471,stimulus_PopSci_MultiplEYE_1_page_3,66.0,124.8,993.0
13659472,stimulus_PopSci_MultiplEYE_1_page_3,66.0,124.8,993.0
13659473,stimulus_PopSci_MultiplEYE_1_page_3,66.1,124.7,993.0
13659474,stimulus_PopSci_MultiplEYE_1_page_3,66.1,124.7,994.0
13659475,stimulus_PopSci_MultiplEYE_1_page_3,66.0,124.6,994.0
13659476,stimulus_PopSci_MultiplEYE_1_page_3,66.0,124.5,994.0
13659477,stimulus_PopSci_MultiplEYE_1_page_3,66.0,124.4,994.0
13659478,stimulus_PopSci_MultiplEYE_1_page_3,66.0,124.3,994.0
