time,screen,pixel_x,pixel_y,pupil
14130899,stimulus_PopSci_MultiplEYE_1_question_1131,1299.3,912.7,1171.0
14130900,stimulus_PopSci_MultiplEYE_1_question_1131,1299.2,912.5,1170.0
14130901,stimulus_PopSci_MultiplEYE_1_question_1131,1299.1,912.2,1170.0
14130902,stimulus_PopSci_MultiplEYE_1_question_1131,1298.9,912.1,1171.0
14130903,stimulus_PopSci_MultiplEYE_1_question_1131,1298.7,912.1,1171.0
14130904,stimulus_PopSci_MultiplEYE_1_question_1131,1298.5,912.1,1171.0
14130905,stimulus_PopSci_MultiplEYE_1_question_1131,1298.4,912.1,1171.0
14130906,stimulus_PopSci_MultiplEYE_1_question_1131,1298.4,912.2,1170.0
14130907,stimulus_PopSci_MultiplEYE_1_question_1131,1298.3,912.7,1169.0
14130908,stimulus_PopSci_MultiplEYE_1_question_1131,1298.3,913.1,1169.0
14130909,stimulus_PopSci_MultiplEYE_1_question_1131,1298.0,914.2,1168.0
14130910,stimulus_PopSci_MultiplEYE_1_question_1131,1297.8,915.0,1167.0
14130911,stimulus_PopSci_MultiplEYE_1_question_1131,1297.6,915.8,1166.0
14130912,stimulus_PopSci_MultiplEYE_1_question_1131,1297.6,917.2,1164.0
14130913,stimulus_PopSci_MultiplEYE_1_question_1131,1297.2,919.4,1163.0
14130914,stimulus_PopSci_MultiplEYE_1_question_1131,1296.5,922.2,1162.0
14130915,stimulus_PopSci_MultiplEYE_1_question_1131,1295.5,925.7,1163.0
14130916,stimulus_PopSci_MultiplEYE_1_question_1131,1294.6,928.9,1166.0
14130917,stimulus_PopSci_MultiplEYE_1_question_1131,1293.7,932.4,1168.0
14130918,stimulus_PopSci_MultiplEYE_1_question_1131,1292.1,934.9,1169.0
14130919,stimulus_PopSci_MultiplEYE_1_question_1131,1290.7,937.1,1169.0
14130920,stimulus_PopSci_MultiplEYE_1_question_1131,1289.0,938.8,1169.0
14130921,stimulus_PopSci_MultiplEYE_1_question_1131,1287.9,940.0,1169.0
14130922,stimulus_PopSci_MultiplEYE_1_question_1131,1286.8,941.3,1169.0
