time,screen,pixel_x,pixel_y,pupil
14416819,stimulus_Lit_Alchemist_4_page_1,62.9,117.6,1199.0
14416820,stimulus_Lit_Alchemist_4_page_1,63.0,117.7,1199.0
14416821,stimulus_Lit_Alchemist_4_page_1,63.1,117.8,1199.0
14416822,stimulus_Lit_Alchemist_4_page_1,63.2,117.9,1199.0
14416823,stimulus_Lit_Alchemist_4_page_1,63.3,117.8,1199.0
14416824,stimulus_Lit_Alchemist_4_page_1,63.1,117.6,1198.0
14416825,stimulus_Lit_Alchemist_4_page_1,62.9,117.5,1198.0
14416826,stimulus_Lit_Alchemist_4_page_1,62.6,117.5,1196.0
14416827,stimulus_Lit_Alchemist_4_page_1,62.5,117.5,1195.0
14416828,stimulus_Lit_Alchemist_4_page_1,62.5,117.2,1193.0
14416829,stimulus_Lit_Alchemist_4_page_1,62.6,117.0,1193.0
14416830,stimulus_Lit_Alchemist_4_page_1,62.8,116.7,1192.0
14416831,stimulus_Lit_Alchemist_4_page_1,62.9,116.7,1193.0
14416832,stimulus_Lit_Alchemist_4_page_1,63.0,116.7,1193.0
14416833,stimulus_Lit_Alchemist_4_page_1,62.8,116.5,1194.0
14416834,stimulus_Lit_Alchemist_4_page_1,62.7,116.1,1194.0
14416835,stimulus_Lit_Alchemist_4_page_1,62.5,115.6,1195.0
14416836,stimulus_Lit_Alchemist_4_page_1,62.3,114.3,1195.0
14416837,stimulus_Lit_Alchemist_4_page_1,62.0,113.5,1195.0
14416838,stimulus_Lit_Alchemist_4_page_1,61.7,112.6,1195.0
14416839,stimulus_Lit_Alchemist_4_page_1,61.9,111.6,1195.0
14416840,stimulus_Lit_Alchemist_4_page_1,61.8,110.5,1195.0
14416841,stimulus_Lit_Alchemist_4_page_1,61.6,109.1,1194.0
14416842,stimulus_Lit_Alchemist_4_page_1,61.3,108.7,1194.0
14416843,stimulus_Lit_Alchemist_4_page_1,61.2,108.0,1194.0
14416844,stimulus_Lit_Alchemist_4_page_1,61.4,107.5,1193.0
14416845,stimulus_Lit_Alchemist_4_page_1,61.6,106.3,1192.0
14416846,stimulus_Lit_Alchemist_4_page_1,61.9,104.9,1191.0
14416847,stimulus_Lit_Alchemist_4_page_1,62.2,103.7,1191.0
14416848,stimulus_Lit_Alchemist_4_page_1,62.5,103.3,1192.0
14416849,stimulus_Lit_Alchemist_4_page_1,62.3,103.2,1192.0
14416850,stimulus_Lit_Alchemist_4_page_1,62.1,103.2,1193.0
14416851,stimulus_Lit_Alchemist_4_page_1,61.9,103.2,1192.0
14416852,stimulus_Lit_Alchemist_4_page_1,61.7,103.4,1192.0
14416853,stimulus_Lit_Alchemist_4_page_1,61.4,103.8,1191.0
14416854,stimulus_Lit_Alchemist_4_page_1,61.0,104.2,1191.0
14416855,stimulus_Lit_Alchemist_4_page_1,60.9,104.8,1191.0
14416856,stimulus_Lit_Alchemist_4_page_1,60.8,105.2,1191.0
14416857,stimulus_Lit_Alchemist_4_page_1,60.7,105.7,1192.0
14416858,stimulus_Lit_Alchemist_4_page_1,60.6,105.8,1193.0
14416859,stimulus_Lit_Alchemist_4_page_1,60.6,106.1,1194.0
14416860,stimulus_Lit_Alchemist_4_page_1,60.5,106.2,1195.0
14416861,stimulus_Lit_Alchemist_4_page_1,60.3,106.4,1195.0
14416862,stimulus_Lit_Alchemist_4_page_1,60.2,106.8,1195.0
14416863,stimulus_Lit_Alchemist_4_page_1,60.1,107.1,1193.0
14416864,stimulus_Lit_Alchemist_4_page_1,60.1,107.4,1192.0
14416865,stimulus_Lit_Alchemist_4_page_1,60.0,107.6,1193.0
14416866,stimulus_Lit_Alchemist_4_page_1,60.3,107.8,1194.0
