time,screen,pixel_x,pixel_y,pupil
14696515,stimulus_Lit_Alchemist_4_question_4111,247.7,266.8,1455.0
14696516,stimulus_Lit_Alchemist_4_question_4111,247.8,267.0,1456.0
14696517,stimulus_Lit_Alchemist_4_question_4111,248.1,267.4,1456.0
14696518,stimulus_Lit_Alchemist_4_question_4111,248.1,267.8,1456.0
14696519,stimulus_Lit_Alchemist_4_question_4111,248.2,267.8,1456.0
14696520,stimulus_Lit_Alchemist_4_question_4111,248.1,267.6,1456.0
14696521,stimulus_Lit_Alchemist_4_question_4111,248.0,267.4,1456.0
14696522,stimulus_Lit_Alchemist_4_question_4111,248.1,267.3,1455.0
14696523,stimulus_Lit_Alchemist_4_question_4111,248.4,267.3,1455.0
14696524,stimulus_Lit_Alchemist_4_question_4111,248.3,267.3,1455.0
14696525,stimulus_Lit_Alchemist_4_question_4111,248.0,267.3,1454.0
14696526,stimulus_Lit_Alchemist_4_question_4111,247.9,267.4,1453.0
14696527,stimulus_Lit_Alchemist_4_question_4111,248.1,267.5,1452.0
14696528,stimulus_Lit_Alchemist_4_question_4111,248.2,267.6,1452.0
14696529,stimulus_Lit_Alchemist_4_question_4111,248.1,267.7,1451.0
14696530,stimulus_Lit_Alchemist_4_question_4111,248.0,267.9,1452.0
14696531,stimulus_Lit_Alchemist_4_question_4111,248.3,268.1,1452.0
14696532,stimulus_Lit_Alchemist_4_question_4111,248.5,268.2,1452.0
14696533,stimulus_Lit_Alchemist_4_question_4111,248.7,268.4,1452.0
14696534,stimulus_Lit_Alchemist_4_question_4111,248.5,268.8,1451.0
14696535,stimulus_Lit_Alchemist_4_question_4111,248.5,269.2,1451.0
14696536,stimulus_Lit_Alchemist_4_question_4111,248.5,269.5,1451.0
14696537,stimulus_Lit_Alchemist_4_question_4111,248.6,269.4,1451.0
14696538,stimulus_Lit_Alchemist_4_question_4111,248.7,269.4,1450.0
14696539,stimulus_Lit_Alchemist_4_question_4111,248.9,269.4,1450.0
14696540,stimulus_Lit_Alchemist_4_question_4111,249.2,269.1,1450.0
14696541,stimulus_Lit_Alchemist_4_question_4111,249.2,268.9,1450.0
14696542,stimulus_Lit_Alchemist_4_question_4111,249.1,268.7,1450.0
14696543,stimulus_Lit_Alchemist_4_question_4111,249.0,268.5,1450.0
14696544,stimulus_Lit_Alchemist_4_question_4111,249.1,268.4,1449.0
14696545,stimulus_Lit_Alchemist_4_question_4111,249.4,268.2,1449.0
14696546,stimulus_Lit_Alchemist_4_question_4111,249.6,268.2,1449.0
14696547,stimulus_Lit_Alchemist_4_question_4111,249.6,268.2,1449.0
14696548,stimulus_Lit_Alchemist_4_question_4111,249.6,268.1,1450.0
14696549,stimulus_Lit_Alchemist_4_question_4111,249.6,268.1,1451.0
14696550,stimulus_Lit_Alchemist_4_question_4111,249.5,268.0,1451.0
14696551,stimulus_Lit_Alchemist_4_question_4111,249.5,268.0,1450.0
14696552,stimulus_Lit_Alchemist_4_question_4111,249.4,268.1,1450.0
