time,screen,pixel_x,pixel_y,pupil
11824759,stimulus_Lit_BrokenApril_9_question_9131,1274.5,957.3,1090.0
11824760,stimulus_Lit_BrokenApril_9_question_9131,1274.9,958.0,1090.0
11824761,stimulus_Lit_BrokenApril_9_question_9131,1275.2,958.7,1090.0
11824762,stimulus_Lit_BrokenApril_9_question_9131,1275.5,959.3,1090.0
11824763,stimulus_Lit_BrokenApril_9_question_9131,1275.4,959.3,1090.0
11824764,stimulus_Lit_BrokenApril_9_question_9131,1275.1,959.6,1090.0
11824765,stimulus_Lit_BrokenApril_9_question_9131,1274.7,960.3,1090.0
11824766,stimulus_Lit_BrokenApril_9_question_9131,1274.5,961.1,1090.0
11824767,stimulus_Lit_BrokenApril_9_question_9131,1274.4,961.5,1089.0
11824768,stimulus_Lit_BrokenApril_9_question_9131,1274.3,961.7,1089.0
11824769,stimulus_Lit_BrokenApril_9_question_9131,1274.2,962.2,1089.0
11824770,stimulus_Lit_BrokenApril_9_question_9131,1274.2,962.6,1089.0
11824771,stimulus_Lit_BrokenApril_9_question_9131,1274.2,962.9,1089.0
11824772,stimulus_Lit_BrokenApril_9_question_9131,1274.4,962.8,1089.0
11824773,stimulus_Lit_BrokenApril_9_question_9131,1274.7,962.7,1089.0
11824774,stimulus_Lit_BrokenApril_9_question_9131,1274.9,962.7,1089.0
11824775,stimulus_Lit_BrokenApril_9_question_9131,1275.0,962.8,1089.0
11824776,stimulus_Lit_BrokenApril_9_question_9131,1275.0,962.7,1090.0
11824777,stimulus_Lit_BrokenApril_9_question_9131,1275.3,962.4,1092.0
11824778,stimulus_Lit_BrokenApril_9_question_9131,1275.6,962.1,1095.0
11824779,stimulus_Lit_BrokenApril_9_question_9131,1275.9,962.0,1095.0
11824780,stimulus_Lit_BrokenApril_9_question_9131,1275.8,961.9,1095.0
11824781,stimulus_Lit_BrokenApril_9_question_9131,1275.5,961.7,1095.0
11824782,stimulus_Lit_BrokenApril_9_question_9131,1275.2,961.7,1095.0
11824783,stimulus_Lit_BrokenApril_9_question_9131,1275.0,961.7,1095.0
11824784,stimulus_Lit_BrokenApril_9_question_9131,1275.0,961.7,1094.0
11824785,stimulus_Lit_BrokenApril_9_question_9131,1275.0,962.0,1094.0
11824786,stimulus_Lit_BrokenApril_9_question_9131,1275.0,962.3,1094.0
11824787,stimulus_Lit_BrokenApril_9_question_9131,1275.0,962.1,1094.0
11824788,stimulus_Lit_BrokenApril_9_question_9131,1275.1,961.9,1094.0
11824789,stimulus_Lit_BrokenApril_9_question_9131,1275.0,961.6,1095.0
11824790,stimulus_Lit_BrokenApril_9_question_9131,1275.0,961.7,1096.0
11824791,stimulus_Lit_BrokenApril_9_question_9131,1275.0,961.7,1096.0
11824792,stimulus_Lit_BrokenApril_9_question_9131,1275.0,962.0,1096.0
11824793,stimulus_Lit_BrokenApril_9_question_9131,1275.0,962.4,1097.0
11824794,stimulus_Lit_BrokenApril_9_question_9131,1275.1,962.8,1097.0
11824795,stimulus_Lit_BrokenApril_9_question_9131,1275.2,963.1,1097.0
11824796,stimulus_Lit_BrokenApril_9_question_9131,1275.3,963.4,1097.0
11824797,stimulus_Lit_BrokenApril_9_question_9131,1275.2,963.8,1097.0
11824798,stimulus_Lit_BrokenApril_9_question_9131,1275.1,964.3,1097.0
11824799,stimulus_Lit_BrokenApril_9_question_9131,1274.9,964.7,1099.0
11824800,stimulus_Lit_BrokenApril_9_question_9131,1274.6,965.0,1100.0
11824801,stimulus_Lit_BrokenApril_9_question_9131,1274.3,965.0,1102.0
11824802,stimulus_Lit_BrokenApril_9_question_9131,1274.1,965.0,1101.0
11824803,stimulus_Lit_BrokenApril_9_question_9131,1274.0,965.1,1101.0
11824804,stimulus_Lit_BrokenApril_9_question_9131,1274.2,964.9,1101.0
11824805,stimulus_Lit_BrokenApril_9_question_9131,1274.3,964.6,1101.0
11824806,stimulus_Lit_BrokenApril_9_question_9131,1274.4,964.4,1100.0
11824807,stimulus_Lit_BrokenApril_9_question_9131,1274.4,964.2,1099.0
11824808,stimulus_Lit_BrokenApril_9_question_9131,1274.4,964.1,1101.0
11824809,stimulus_Lit_BrokenApril_9_question_9131,1274.4,963.9,1103.0
11824810,stimulus_Lit_BrokenApril_9_question_9131,1274.4,963.5,1105.0
11824811,stimulus_Lit_BrokenApril_9_question_9131,1274.4,963.1,1104.0
11824812,stimulus_Lit_BrokenApril_9_question_9131,1274.4,962.7,1103.0
11824813,stimulus_Lit_BrokenApril_9_question_9131,1274.3,962.8,1101.0
11824814,stimulus_Lit_BrokenApril_9_question_9131,1274.3,962.8,1101.0
11824815,stimulus_Lit_BrokenApril_9_question_9131,1274.2,962.9,1101.0
