time,screen,pixel_x,pixel_y,pupil
6344449,stimulus_PopSci_Caveman_12_page_1,52.5,116.4,1289.0
6344450,stimulus_PopSci_Caveman_12_page_1,52.8,116.4,1289.0
6344451,stimulus_PopSci_Caveman_12_page_1,52.9,116.7,1289.0
6344452,stimulus_PopSci_Caveman_12_page_1,52.8,117.2,1289.0
6344453,stimulus_PopSci_Caveman_12_page_1,52.7,117.7,1290.0
6344454,stimulus_PopSci_Caveman_12_page_1,52.6,117.8,1290.0
6344455,stimulus_PopSci_Caveman_12_page_1,52.4,117.7,1291.0
6344456,stimulus_PopSci_Caveman_12_page_1,52.3,117.6,1291.0
6344457,stimulus_PopSci_Caveman_12_page_1,52.3,117.5,1291.0
6344458,stimulus_PopSci_Caveman_12_page_1,52.3,117.6,1291.0
6344459,stimulus_PopSci_Caveman_12_page_1,52.3,117.9,1292.0
6344460,stimulus_PopSci_Caveman_12_page_1,52.2,118.1,1292.0
6344461,stimulus_PopSci_Caveman_12_page_1,52.2,118.2,1292.0
6344462,stimulus_PopSci_Caveman_12_page_1,52.2,118.0,1293.0
6344463,stimulus_PopSci_Caveman_12_page_1,52.3,117.7,1294.0
6344464,stimulus_PopSci_Caveman_12_page_1,52.4,117.3,1295.0
6344465,stimulus_PopSci_Caveman_12_page_1,52.5,117.1,1295.0
6344466,stimulus_PopSci_Caveman_12_page_1,52.5,116.9,1295.0
6344467,stimulus_PopSci_Caveman_12_page_1,52.6,116.8,1295.0
6344468,stimulus_PopSci_Caveman_12_page_1,52.6,116.9,1295.0
6344469,stimulus_PopSci_Caveman_12_page_1,52.4,117.0,1296.0
6344470,stimulus_PopSci_Caveman_12_page_1,52.1,117.1,1296.0
6344471,stimulus_PopSci_Caveman_12_page_1,51.9,117.1,1296.0
6344472,stimulus_PopSci_Caveman_12_page_1,51.9,117.3,1295.0
6344473,stimulus_PopSci_Caveman_12_page_1,52.0,117.5,1295.0
6344474,stimulus_PopSci_Caveman_12_page_1,52.0,117.5,1294.0
6344475,stimulus_PopSci_Caveman_12_page_1,52.1,117.1,1294.0
6344476,stimulus_PopSci_Caveman_12_page_1,52.1,116.9,1294.0
6344477,stimulus_PopSci_Caveman_12_page_1,52.1,116.8,1294.0
6344478,stimulus_PopSci_Caveman_12_page_1,52.1,116.8,1294.0
6344479,stimulus_PopSci_Caveman_12_page_1,52.0,116.7,1294.0
6344480,stimulus_PopSci_Caveman_12_page_1,51.8,117.0,1294.0
6344481,stimulus_PopSci_Caveman_12_page_1,51.8,117.5,1294.0
6344482,stimulus_PopSci_Caveman_12_page_1,51.8,118.0,1294.0
6344483,stimulus_PopSci_Caveman_12_page_1,51.8,118.2,1295.0
6344484,stimulus_PopSci_Caveman_12_page_1,51.6,118.2,1295.0
6344485,stimulus_PopSci_Caveman_12_page_1,51.5,117.9,1296.0
6344486,stimulus_PopSci_Caveman_12_page_1,51.6,117.6,1296.0
6344487,stimulus_PopSci_Caveman_12_page_1,51.7,117.3,1295.0
6344488,stimulus_PopSci_Caveman_12_page_1,51.8,117.2,1295.0
6344489,stimulus_PopSci_Caveman_12_page_1,51.8,117.2,1296.0
6344490,stimulus_PopSci_Caveman_12_page_1,51.8,117.1,1296.0
6344491,stimulus_PopSci_Caveman_12_page_1,51.6,117.4,1296.0
6344492,stimulus_PopSci_Caveman_12_page_1,51.7,117.7,1295.0
6344493,stimulus_PopSci_Caveman_12_page_1,51.8,117.9,1296.0
6344494,stimulus_PopSci_Caveman_12_page_1,51.9,117.7,1296.0
6344495,stimulus_PopSci_Caveman_12_page_1,51.8,117.5,1296.0
6344496,stimulus_PopSci_Caveman_12_page_1,51.9,117.3,1296.0
6344497,stimulus_PopSci_Caveman_12_page_1,51.9,117.2,1297.0
6344498,stimulus_PopSci_Caveman_12_page_1,51.9,117.1,1297.0
6344499,stimulus_PopSci_Caveman_12_page_1,52.1,117.0,1297.0
6344500,stimulus_PopSci_Caveman_12_page_1,52.2,117.2,1296.0
6344501,stimulus_PopSci_Caveman_12_page_1,52.2,117.5,1296.0
6344502,stimulus_PopSci_Caveman_12_page_1,52.0,117.8,1296.0
