time,screen,pixel_x,pixel_y,pupil
6778195,stimulus_PopSci_Caveman_12_question_12122,1280.2,952.5,1332.0
6778196,stimulus_PopSci_Caveman_12_question_12122,1277.4,952.3,1331.0
6778197,stimulus_PopSci_Caveman_12_question_12122,1275.1,952.1,1330.0
6778198,stimulus_PopSci_Caveman_12_question_12122,1272.7,952.0,1330.0
6778199,stimulus_PopSci_Caveman_12_question_12122,1270.5,952.0,1331.0
6778200,stimulus_PopSci_Caveman_12_question_12122,1268.8,952.0,1332.0
6778201,stimulus_PopSci_Caveman_12_question_12122,1267.8,951.6,1332.0
6778202,stimulus_PopSci_Caveman_12_question_12122,1267.4,951.0,1332.0
6778203,stimulus_PopSci_Caveman_12_question_12122,1267.4,950.5,1332.0
6778204,stimulus_PopSci_Caveman_12_question_12122,1267.4,950.1,1333.0
6778205,stimulus_PopSci_Caveman_12_question_12122,1267.6,949.5,1334.0
6778206,stimulus_PopSci_Caveman_12_question_12122,1268.1,948.9,1336.0
6778207,stimulus_PopSci_Caveman_12_question_12122,1268.8,948.7,1338.0
6778208,stimulus_PopSci_Caveman_12_question_12122,1270.0,948.7,1340.0
6778209,stimulus_PopSci_Caveman_12_question_12122,1270.7,948.7,1340.0
6778210,stimulus_PopSci_Caveman_12_question_12122,1271.0,948.8,1340.0
6778211,stimulus_PopSci_Caveman_12_question_12122,1271.0,948.7,1340.0
6778212,stimulus_PopSci_Caveman_12_question_12122,1271.1,948.6,1339.0
6778213,stimulus_PopSci_Caveman_12_question_12122,1271.2,948.5,1339.0
6778214,stimulus_PopSci_Caveman_12_question_12122,1271.4,948.5,1337.0
6778215,stimulus_PopSci_Caveman_12_question_12122,1271.3,948.6,1337.0
6778216,stimulus_PopSci_Caveman_12_question_12122,1271.3,948.7,1336.0
6778217,stimulus_PopSci_Caveman_12_question_12122,1271.1,948.8,1336.0
6778218,stimulus_PopSci_Caveman_12_question_12122,1270.9,948.8,1336.0
6778219,stimulus_PopSci_Caveman_12_question_12122,1270.8,948.9,1336.0
6778220,stimulus_PopSci_Caveman_12_question_12122,1270.9,949.2,1336.0
