time,screen,pixel_x,pixel_y,pupil
10703899,familiarity_rating_screen_1,1257.9,965.5,1208.0
10703900,familiarity_rating_screen_1,1258.0,965.6,1209.0
10703901,familiarity_rating_screen_1,1258.0,966.0,1211.0
10703902,familiarity_rating_screen_1,1257.8,966.4,1211.0
10703903,familiarity_rating_screen_1,1257.7,966.8,1211.0
10703904,familiarity_rating_screen_1,1257.6,966.5,1210.0
10703905,familiarity_rating_screen_1,1257.6,966.2,1210.0
10703906,familiarity_rating_screen_1,1257.6,965.8,1209.0
10703907,familiarity_rating_screen_1,1257.6,965.7,1209.0
10703908,familiarity_rating_screen_1,1257.8,965.6,1208.0
10703909,familiarity_rating_screen_1,1257.9,965.5,1208.0
10703910,familiarity_rating_screen_1,1257.8,965.7,1208.0
10703911,familiarity_rating_screen_1,1257.7,965.8,1207.0
10703912,familiarity_rating_screen_1,1257.6,965.8,1207.0
10703913,familiarity_rating_screen_1,1257.6,965.8,1207.0
10703914,familiarity_rating_screen_1,1257.6,965.8,1208.0
10703915,familiarity_rating_screen_1,1257.5,965.8,1208.0
10703916,familiarity_rating_screen_1,1257.0,965.9,1209.0
10703917,familiarity_rating_screen_1,1256.5,966.2,1208.0
10703918,familiarity_rating_screen_1,1256.4,966.8,1207.0
10703919,familiarity_rating_screen_1,1256.9,967.3,1206.0
10703920,familiarity_rating_screen_1,1257.4,967.7,1207.0
10703921,familiarity_rating_screen_1,1257.6,967.6,1207.0
10703922,familiarity_rating_screen_1,1257.7,967.4,1207.0
10703923,familiarity_rating_screen_1,1257.7,967.4,1208.0
10703924,familiarity_rating_screen_1,1257.7,967.4,1207.0
10703925,familiarity_rating_screen_1,1257.7,967.6,1207.0
10703926,familiarity_rating_screen_1,1257.7,967.8,1207.0
10703927,familiarity_rating_screen_1,1257.7,967.9,1206.0
10703928,familiarity_rating_screen_1,1257.6,967.8,1206.0
10703929,familiarity_rating_screen_1,1257.6,967.8,1207.0
10703930,familiarity_rating_screen_1,1257.4,968.0,1207.0
10703931,familiarity_rating_screen_1,1257.4,968.0,1207.0
10703932,familiarity_rating_screen_1,1257.3,968.0,1206.0
10703933,familiarity_rating_screen_1,1257.3,967.9,1205.0
10703934,familiarity_rating_screen_1,1257.3,967.7,1204.0
10703935,familiarity_rating_screen_1,1257.4,967.7,1203.0
10703936,familiarity_rating_screen_1,1257.6,967.7,1203.0
10703937,familiarity_rating_screen_1,1257.8,967.7,1203.0
10703938,familiarity_rating_screen_1,1257.7,967.5,1203.0
10703939,familiarity_rating_screen_1,1257.5,967.6,1204.0
10703940,familiarity_rating_screen_1,1257.2,967.8,1204.0
10703941,familiarity_rating_screen_1,1257.2,968.2,1204.0
10703942,familiarity_rating_screen_1,1257.1,968.3,1203.0
10703943,familiarity_rating_screen_1,1257.1,968.1,1203.0
10703944,familiarity_rating_screen_1,1257.0,967.8,1203.0
10703945,familiarity_rating_screen_1,1256.9,967.6,1203.0
10703946,familiarity_rating_screen_1,1256.9,967.6,1203.0
10703947,familiarity_rating_screen_1,1256.8,967.7,1203.0
10703948,familiarity_rating_screen_1,1257.1,967.7,1203.0
10703949,familiarity_rating_screen_1,1257.5,967.7,1205.0
10703950,familiarity_rating_screen_1,1257.9,967.4,1207.0
10703951,familiarity_rating_screen_1,1257.8,967.2,1207.0
10703952,familiarity_rating_screen_1,1257.7,967.0,1206.0
10703953,familiarity_rating_screen_1,1257.6,966.9,1205.0
10703954,familiarity_rating_screen_1,1257.6,966.8,1205.0
10703955,familiarity_rating_screen_1,1257.6,966.9,1204.0
10703956,familiarity_rating_screen_1,1257.6,967.0,1202.0
10703957,familiarity_rating_screen_1,1257.7,967.0,1202.0
10703958,familiarity_rating_screen_1,1257.7,967.0,1203.0
10703959,familiarity_rating_screen_1,1257.8,967.0,1205.0
10703960,familiarity_rating_screen_1,1257.7,967.1,1205.0
10703961,familiarity_rating_screen_1,1257.5,967.3,1205.0
10703962,familiarity_rating_screen_1,1257.3,967.5,1205.0
10703963,familiarity_rating_screen_1,1257.3,967.6,1206.0
10703964,familiarity_rating_screen_1,1257.3,967.5,1207.0
10703965,familiarity_rating_screen_1,1257.3,967.5,1207.0
10703966,familiarity_rating_screen_1,1257.2,967.4,1207.0
10703967,familiarity_rating_screen_1,1257.2,967.3,1206.0
10703968,familiarity_rating_screen_1,1257.2,967.3,1206.0
10703969,familiarity_rating_screen_1,1257.1,967.3,1206.0
10703970,familiarity_rating_screen_1,1257.2,967.4,1207.0
10703971,familiarity_rating_screen_1,1257.3,967.6,1208.0
10703972,familiarity_rating_screen_1,1257.3,967.7,1208.0
10703973,familiarity_rating_screen_1,1257.3,967.7,1209.0
10703974,familiarity_rating_screen_1,1257.3,967.6,1209.0
