time,screen,pixel_x,pixel_y,pupil
10550012,stimulus_Arg_PISACowsMilk_10_page_10,42.2,108.6,850.0
10550013,stimulus_Arg_PISACowsMilk_10_page_10,42.2,108.6,850.0
10550014,stimulus_Arg_PISACowsMilk_10_page_10,42.2,108.7,850.0
10550015,stimulus_Arg_PISACowsMilk_10_page_10,42.2,108.8,849.0
10550016,stimulus_Arg_PISACowsMilk_10_page_10,42.1,109.0,849.0
10550017,stimulus_Arg_PISACowsMilk_10_page_10,42.1,108.9,850.0
10550018,stimulus_Arg_PISACowsMilk_10_page_10,42.2,108.8,851.0
10550019,stimulus_Arg_PISACowsMilk_10_page_10,42.2,108.8,852.0
10550020,stimulus_Arg_PISACowsMilk_10_page_10,42.3,108.8,852.0
10550021,stimulus_Arg_PISACowsMilk_10_page_10,42.3,108.9,851.0
10550022,stimulus_Arg_PISACowsMilk_10_page_10,42.4,109.1,851.0
10550023,stimulus_Arg_PISACowsMilk_10_page_10,42.1,109.1,852.0
10550024,stimulus_Arg_PISACowsMilk_10_page_10,41.8,109.1,852.0
10550025,stimulus_Arg_PISACowsMilk_10_page_10,41.5,109.2,851.0
10550026,stimulus_Arg_PISACowsMilk_10_page_10,41.4,109.4,851.0
10550027,stimulus_Arg_PISACowsMilk_10_page_10,41.6,109.7,852.0
10550028,stimulus_Arg_PISACowsMilk_10_page_10,41.6,109.8,853.0
10550029,stimulus_Arg_PISACowsMilk_10_page_10,41.7,109.8,854.0
10550030,stimulus_Arg_PISACowsMilk_10_page_10,41.7,109.9,853.0
10550031,stimulus_Arg_PISACowsMilk_10_page_10,42.2,110.0,852.0
10550032,stimulus_Arg_PISACowsMilk_10_page_10,42.8,110.1,851.0
10550033,stimulus_Arg_PISACowsMilk_10_page_10,43.4,109.8,852.0
10550034,stimulus_Arg_PISACowsMilk_10_page_10,43.6,109.5,852.0
10550035,stimulus_Arg_PISACowsMilk_10_page_10,43.5,109.2,853.0
10550036,stimulus_Arg_PISACowsMilk_10_page_10,43.3,109.3,853.0
10550037,stimulus_Arg_PISACowsMilk_10_page_10,43.1,109.3,854.0
10550038,stimulus_Arg_PISACowsMilk_10_page_10,43.0,109.3,854.0
10550039,stimulus_Arg_PISACowsMilk_10_page_10,43.0,109.3,855.0
10550040,stimulus_Arg_PISACowsMilk_10_page_10,43.0,109.2,855.0
10550041,stimulus_Arg_PISACowsMilk_10_page_10,43.2,109.2,854.0
10550042,stimulus_Arg_PISACowsMilk_10_page_10,43.5,109.3,853.0
10550043,stimulus_Arg_PISACowsMilk_10_page_10,43.8,109.3,853.0
10550044,stimulus_Arg_PISACowsMilk_10_page_10,44.0,109.2,853.0
10550045,stimulus_Arg_PISACowsMilk_10_page_10,44.0,108.7,854.0
10550046,stimulus_Arg_PISACowsMilk_10_page_10,43.9,108.5,856.0
10550047,stimulus_Arg_PISACowsMilk_10_page_10,43.8,108.2,856.0
10550048,stimulus_Arg_PISACowsMilk_10_page_10,43.8,108.1,856.0
10550049,stimulus_Arg_PISACowsMilk_10_page_10,43.3,108.0,855.0
10550050,stimulus_Arg_PISACowsMilk_10_page_10,42.7,107.9,855.0
10550051,stimulus_Arg_PISACowsMilk_10_page_10,42.0,107.8,855.0
10550052,stimulus_Arg_PISACowsMilk_10_page_10,42.0,107.8,856.0
10550053,stimulus_Arg_PISACowsMilk_10_page_10,42.2,107.8,857.0
10550054,stimulus_Arg_PISACowsMilk_10_page_10,42.4,107.7,857.0
10550055,stimulus_Arg_PISACowsMilk_10_page_10,42.4,107.7,857.0
10550056,stimulus_Arg_PISACowsMilk_10_page_10,42.4,107.7,858.0
10550057,stimulus_Arg_PISACowsMilk_10_page_10,42.2,107.7,858.0
10550058,stimulus_Arg_PISACowsMilk_10_page_10,42.0,107.8,859.0
10550059,stimulus_Arg_PISACowsMilk_10_page_10,41.8,107.8,859.0
10550060,stimulus_Arg_PISACowsMilk_10_page_10,41.8,107.8,859.0
10550061,stimulus_Arg_PISACowsMilk_10_page_10,41.8,107.8,859.0
10550062,stimulus_Arg_PISACowsMilk_10_page_10,41.8,108.0,859.0
10550063,stimulus_Arg_PISACowsMilk_10_page_10,41.8,108.1,858.0
10550064,stimulus_Arg_PISACowsMilk_10_page_10,41.8,108.5,857.0
10550065,stimulus_Arg_PISACowsMilk_10_page_10,41.7,108.8,857.0
10550066,stimulus_Arg_PISACowsMilk_10_page_10,41.8,109.1,858.0
10550067,stimulus_Arg_PISACowsMilk_10_page_10,41.8,109.2,858.0
10550068,stimulus_Arg_PISACowsMilk_10_page_10,41.6,109.3,859.0
10550069,stimulus_Arg_PISACowsMilk_10_page_10,41.5,109.4,859.0
10550070,stimulus_Arg_PISACowsMilk_10_page_10,41.3,109.3,859.0
10550071,stimulus_Arg_PISACowsMilk_10_page_10,41.4,109.4,858.0
10550072,stimulus_Arg_PISACowsMilk_10_page_10,41.3,109.6,858.0
10550073,stimulus_Arg_PISACowsMilk_10_page_10,41.3,109.8,858.0
10550074,stimulus_Arg_PISACowsMilk_10_page_10,41.2,109.9,858.0
10550075,stimulus_Arg_PISACowsMilk_10_page_10,41.2,109.9,858.0
10550076,stimulus_Arg_PISACowsMilk_10_page_10,41.1,109.9,858.0
10550077,stimulus_Arg_PISACowsMilk_10_page_10,41.0,109.9,859.0
10550078,stimulus_Arg_PISACowsMilk_10_page_10,40.9,109.9,859.0
10550079,stimulus_Arg_PISACowsMilk_10_page_10,40.8,109.9,860.0
10550080,stimulus_Arg_PISACowsMilk_10_page_10,40.6,109.9,860.0
10550081,stimulus_Arg_PISACowsMilk_10_page_10,40.4,109.9,859.0
10550082,stimulus_Arg_PISACowsMilk_10_page_10,40.2,109.9,859.0
10550083,stimulus_Arg_PISACowsMilk_10_page_10,40.3,110.0,858.0
10550084,stimulus_Arg_PISACowsMilk_10_page_10,40.4,110.0,859.0
10550085,stimulus_Arg_PISACowsMilk_10_page_10,40.5,110.1,859.0
10550086,stimulus_Arg_PISACowsMilk_10_page_10,40.4,110.2,859.0
10550087,stimulus_Arg_PISACowsMilk_10_page_10,40.3,110.6,860.0
10550088,stimulus_Arg_PISACowsMilk_10_page_10,40.1,111.0,861.0
10550089,stimulus_Arg_PISACowsMilk_10_page_10,40.0,111.1,861.0
10550090,stimulus_Arg_PISACowsMilk_10_page_10,40.0,111.0,861.0
10550091,stimulus_Arg_PISACowsMilk_10_page_10,40.0,110.9,861.0
10550092,stimulus_Arg_PISACowsMilk_10_page_10,39.9,110.8,860.0
10550093,stimulus_Arg_PISACowsMilk_10_page_10,39.9,110.6,860.0
10550094,stimulus_Arg_PISACowsMilk_10_page_10,40.0,110.5,860.0
10550095,stimulus_Arg_PISACowsMilk_10_page_10,40.0,110.4,861.0
10550096,stimulus_Arg_PISACowsMilk_10_page_10,40.2,110.4,862.0
10550097,stimulus_Arg_PISACowsMilk_10_page_10,40.3,110.4,862.0
10550098,stimulus_Arg_PISACowsMilk_10_page_10,40.6,110.4,863.0
10550099,stimulus_Arg_PISACowsMilk_10_page_10,40.8,110.4,863.0
10550100,stimulus_Arg_PISACowsMilk_10_page_10,41.0,110.5,863.0
10550101,stimulus_Arg_PISACowsMilk_10_page_10,41.0,110.6,863.0
10550102,stimulus_Arg_PISACowsMilk_10_page_10,40.9,110.7,863.0
10550103,stimulus_Arg_PISACowsMilk_10_page_10,40.7,110.8,863.0
10550104,stimulus_Arg_PISACowsMilk_10_page_10,40.5,110.8,863.0
10550105,stimulus_Arg_PISACowsMilk_10_page_10,40.8,110.8,863.0
10550106,stimulus_Arg_PISACowsMilk_10_page_10,41.0,110.9,863.0
10550107,stimulus_Arg_PISACowsMilk_10_page_10,41.0,110.9,863.0
10550108,stimulus_Arg_PISACowsMilk_10_page_10,40.7,110.9,863.0
10550109,stimulus_Arg_PISACowsMilk_10_page_10,40.5,110.9,863.0
10550110,stimulus_Arg_PISACowsMilk_10_page_10,41.0,111.0,863.0
