time,screen,pixel_x,pixel_y,pupil
10829643,stimulus_Arg_PISACowsMilk_10_question_10222,1264.5,939.4,1282.0
10829644,stimulus_Arg_PISACowsMilk_10_question_10222,1264.5,939.9,1282.0
10829645,stimulus_Arg_PISACowsMilk_10_question_10222,1264.4,940.4,1282.0
10829646,stimulus_Arg_PISACowsMilk_10_question_10222,1264.1,940.8,1281.0
10829647,stimulus_Arg_PISACowsMilk_10_question_10222,1264.0,940.7,1281.0
10829648,stimulus_Arg_PISACowsMilk_10_question_10222,1263.9,940.7,1280.0
10829649,stimulus_Arg_PISACowsMilk_10_question_10222,1263.9,940.8,1280.0
10829650,stimulus_Arg_PISACowsMilk_10_question_10222,1263.6,941.0,1280.0
10829651,stimulus_Arg_PISACowsMilk_10_question_10222,1263.3,941.0,1280.0
10829652,stimulus_Arg_PISACowsMilk_10_question_10222,1263.0,941.0,1280.0
10829653,stimulus_Arg_PISACowsMilk_10_question_10222,1263.0,941.0,1280.0
10829654,stimulus_Arg_PISACowsMilk_10_question_10222,1262.9,940.9,1280.0
10829655,stimulus_Arg_PISACowsMilk_10_question_10222,1262.6,940.9,1280.0
10829656,stimulus_Arg_PISACowsMilk_10_question_10222,1262.3,940.9,1282.0
10829657,stimulus_Arg_PISACowsMilk_10_question_10222,1261.9,940.9,1283.0
10829658,stimulus_Arg_PISACowsMilk_10_question_10222,1261.8,941.1,1284.0
10829659,stimulus_Arg_PISACowsMilk_10_question_10222,1261.7,941.2,1284.0
10829660,stimulus_Arg_PISACowsMilk_10_question_10222,1261.8,941.3,1284.0
10829661,stimulus_Arg_PISACowsMilk_10_question_10222,1261.8,941.3,1284.0
10829662,stimulus_Arg_PISACowsMilk_10_question_10222,1261.9,941.3,1283.0
10829663,stimulus_Arg_PISACowsMilk_10_question_10222,1261.9,941.2,1283.0
10829664,stimulus_Arg_PISACowsMilk_10_question_10222,1261.9,941.1,1283.0
10829665,stimulus_Arg_PISACowsMilk_10_question_10222,1261.8,940.9,1284.0
10829666,stimulus_Arg_PISACowsMilk_10_question_10222,1261.7,940.9,1284.0
10829667,stimulus_Arg_PISACowsMilk_10_question_10222,1261.6,940.9,1285.0
10829668,stimulus_Arg_PISACowsMilk_10_question_10222,1261.4,941.0,1286.0
10829669,stimulus_Arg_PISACowsMilk_10_question_10222,1261.1,941.2,1285.0
10829670,stimulus_Arg_PISACowsMilk_10_question_10222,1260.9,941.2,1285.0
10829671,stimulus_Arg_PISACowsMilk_10_question_10222,1260.9,941.3,1283.0
10829672,stimulus_Arg_PISACowsMilk_10_question_10222,1260.8,941.1,1282.0
10829673,stimulus_Arg_PISACowsMilk_10_question_10222,1260.7,940.9,1281.0
10829674,stimulus_Arg_PISACowsMilk_10_question_10222,1260.6,940.6,1282.0
10829675,stimulus_Arg_PISACowsMilk_10_question_10222,1260.4,940.7,1283.0
10829676,stimulus_Arg_PISACowsMilk_10_question_10222,1260.3,940.7,1284.0
10829677,stimulus_Arg_PISACowsMilk_10_question_10222,1260.3,940.7,1285.0
10829678,stimulus_Arg_PISACowsMilk_10_question_10222,1260.3,940.7,1285.0
10829679,stimulus_Arg_PISACowsMilk_10_question_10222,1260.3,940.7,1285.0
10829680,stimulus_Arg_PISACowsMilk_10_question_10222,1260.3,941.0,1284.0
10829681,stimulus_Arg_PISACowsMilk_10_question_10222,1260.2,941.3,1283.0
10829682,stimulus_Arg_PISACowsMilk_10_question_10222,1260.1,941.9,1283.0
10829683,stimulus_Arg_PISACowsMilk_10_question_10222,1260.0,942.4,1282.0
10829684,stimulus_Arg_PISACowsMilk_10_question_10222,1260.0,942.9,1282.0
10829685,stimulus_Arg_PISACowsMilk_10_question_10222,1259.9,943.1,1282.0
10829686,stimulus_Arg_PISACowsMilk_10_question_10222,1260.0,943.0,1282.0
10829687,stimulus_Arg_PISACowsMilk_10_question_10222,1260.1,942.7,1281.0
10829688,stimulus_Arg_PISACowsMilk_10_question_10222,1260.1,942.5,1281.0
10829689,stimulus_Arg_PISACowsMilk_10_question_10222,1260.1,942.3,1282.0
10829690,stimulus_Arg_PISACowsMilk_10_question_10222,1260.0,942.3,1282.0
10829691,stimulus_Arg_PISACowsMilk_10_question_10222,1259.9,942.7,1283.0
10829692,stimulus_Arg_PISACowsMilk_10_question_10222,1259.7,943.0,1281.0
10829693,stimulus_Arg_PISACowsMilk_10_question_10222,1259.6,943.1,1280.0
10829694,stimulus_Arg_PISACowsMilk_10_question_10222,1259.7,942.9,1280.0
10829695,stimulus_Arg_PISACowsMilk_10_question_10222,1259.8,942.8,1281.0
10829696,stimulus_Arg_PISACowsMilk_10_question_10222,1259.8,942.9,1281.0
10829697,stimulus_Arg_PISACowsMilk_10_question_10222,1259.8,943.1,1281.0
10829698,stimulus_Arg_PISACowsMilk_10_question_10222,1259.8,943.4,1281.0
10829699,stimulus_Arg_PISACowsMilk_10_question_10222,1259.9,943.6,1280.0
