time,screen,pixel_x,pixel_y,pupil
13244883,stimulus_Ins_LearningMobility_3_question_3112,160.8,98.4,1111.0
13244884,stimulus_Ins_LearningMobility_3_question_3112,161.0,98.6,1111.0
13244885,stimulus_Ins_LearningMobility_3_question_3112,161.0,98.8,1111.0
13244886,stimulus_Ins_LearningMobility_3_question_3112,161.1,99.0,1112.0
13244887,stimulus_Ins_LearningMobility_3_question_3112,161.0,98.9,1113.0
13244888,stimulus_Ins_LearningMobility_3_question_3112,161.1,98.8,1114.0
13244889,stimulus_Ins_LearningMobility_3_question_3112,161.2,98.8,1114.0
13244890,stimulus_Ins_LearningMobility_3_question_3112,161.4,98.8,1114.0
13244891,stimulus_Ins_LearningMobility_3_question_3112,161.5,98.8,1114.0
13244892,stimulus_Ins_LearningMobility_3_question_3112,161.6,98.8,1114.0
13244893,stimulus_Ins_LearningMobility_3_question_3112,161.7,98.8,1114.0
13244894,stimulus_Ins_LearningMobility_3_question_3112,161.8,98.8,1113.0
13244895,stimulus_Ins_LearningMobility_3_question_3112,161.9,98.8,1113.0
13244896,stimulus_Ins_LearningMobility_3_question_3112,161.8,98.9,1113.0
13244897,stimulus_Ins_LearningMobility_3_question_3112,161.8,99.0,1113.0
13244898,stimulus_Ins_LearningMobility_3_question_3112,161.8,99.2,1113.0
13244899,stimulus_Ins_LearningMobility_3_question_3112,161.9,99.2,1114.0
13244900,stimulus_Ins_LearningMobility_3_question_3112,161.9,99.2,1115.0
13244901,stimulus_Ins_LearningMobility_3_question_3112,161.7,99.1,1115.0
13244902,stimulus_Ins_LearningMobility_3_question_3112,161.4,99.2,1116.0
13244903,stimulus_Ins_LearningMobility_3_question_3112,161.2,99.3,1115.0
13244904,stimulus_Ins_LearningMobility_3_question_3112,161.1,99.4,1114.0
13244905,stimulus_Ins_LearningMobility_3_question_3112,161.1,99.4,1114.0
13244906,stimulus_Ins_LearningMobility_3_question_3112,161.1,99.2,1114.0
13244907,stimulus_Ins_LearningMobility_3_question_3112,160.8,98.9,1115.0
13244908,stimulus_Ins_LearningMobility_3_question_3112,160.5,98.8,1116.0
13244909,stimulus_Ins_LearningMobility_3_question_3112,160.4,98.5,1117.0
13244910,stimulus_Ins_LearningMobility_3_question_3112,160.7,98.4,1116.0
13244911,stimulus_Ins_LearningMobility_3_question_3112,160.9,98.2,1116.0
13244912,stimulus_Ins_LearningMobility_3_question_3112,160.9,98.2,1116.0
13244913,stimulus_Ins_LearningMobility_3_question_3112,160.9,98.3,1116.0
13244914,stimulus_Ins_LearningMobility_3_question_3112,160.9,98.4,1115.0
13244915,stimulus_Ins_LearningMobility_3_question_3112,161.0,98.5,1116.0
13244916,stimulus_Ins_LearningMobility_3_question_3112,161.0,98.5,1116.0
13244917,stimulus_Ins_LearningMobility_3_question_3112,161.0,98.5,1117.0
13244918,stimulus_Ins_LearningMobility_3_question_3112,160.9,98.5,1118.0
13244919,stimulus_Ins_LearningMobility_3_question_3112,161.1,98.4,1118.0
13244920,stimulus_Ins_LearningMobility_3_question_3112,161.4,98.3,1119.0
