time,screen,pixel_x,pixel_y,pupil
247174,stimulus_Enc_WikiMoon_13_question_13131,1015.7,453.6,1146.0
247176,stimulus_Enc_WikiMoon_13_question_13131,1015.7,453.5,1147.0
247178,stimulus_Enc_WikiMoon_13_question_13131,1015.6,453.3,1147.0
247180,stimulus_Enc_WikiMoon_13_question_13131,1015.0,453.7,1147.0
247182,stimulus_Enc_WikiMoon_13_question_13131,1015.0,452.7,1146.0
247184,stimulus_Enc_WikiMoon_13_question_13131,1014.9,452.2,1148.0
247186,stimulus_Enc_WikiMoon_13_question_13131,1014.4,452.3,1149.0
247188,stimulus_Enc_WikiMoon_13_question_13131,1013.4,451.8,1149.0
247190,stimulus_Enc_WikiMoon_13_question_13131,1013.0,451.8,1149.0
247192,stimulus_Enc_WikiMoon_13_question_13131,1012.7,452.1,1147.0
247194,stimulus_Enc_WikiMoon_13_question_13131,1012.7,452.3,1146.0
247196,stimulus_Enc_WikiMoon_13_question_13131,1012.8,452.1,1146.0
247198,stimulus_Enc_WikiMoon_13_question_13131,1012.4,451.7,1147.0
247200,stimulus_Enc_WikiMoon_13_question_13131,1012.4,452.5,1148.0
247202,stimulus_Enc_WikiMoon_13_question_13131,1012.5,453.3,1148.0
247204,stimulus_Enc_WikiMoon_13_question_13131,1012.2,454.1,1148.0
247206,stimulus_Enc_WikiMoon_13_question_13131,1012.2,454.9,1149.0
247208,stimulus_Enc_WikiMoon_13_question_13131,1012.7,455.3,1147.0
247210,stimulus_Enc_WikiMoon_13_question_13131,1012.9,455.9,1147.0
247212,stimulus_Enc_WikiMoon_13_question_13131,1012.6,456.2,1149.0
247214,stimulus_Enc_WikiMoon_13_question_13131,1012.7,456.1,1150.0
247216,stimulus_Enc_WikiMoon_13_question_13131,1012.8,456.0,1148.0
247218,stimulus_Enc_WikiMoon_13_question_13131,1013.1,456.5,1146.0
247220,stimulus_Enc_WikiMoon_13_question_13131,1013.4,457.2,1147.0
247222,stimulus_Enc_WikiMoon_13_question_13131,1013.6,457.0,1147.0
247224,stimulus_Enc_WikiMoon_13_question_13131,1013.5,457.3,1148.0
247226,stimulus_Enc_WikiMoon_13_question_13131,1013.3,457.5,1150.0
247228,stimulus_Enc_WikiMoon_13_question_13131,1013.3,457.3,1150.0
247230,stimulus_Enc_WikiMoon_13_question_13131,1013.4,457.1,1149.0
247232,stimulus_Enc_WikiMoon_13_question_13131,1013.6,457.0,1148.0
247234,stimulus_Enc_WikiMoon_13_question_13131,1014.0,457.3,1146.0
247236,stimulus_Enc_WikiMoon_13_question_13131,1014.0,457.5,1149.0
247238,stimulus_Enc_WikiMoon_13_question_13131,1014.0,457.6,1151.0
247240,stimulus_Enc_WikiMoon_13_question_13131,1014.1,458.1,1151.0
247242,stimulus_Enc_WikiMoon_13_question_13131,1014.3,458.5,1149.0
247244,stimulus_Enc_WikiMoon_13_question_13131,1014.8,459.5,1149.0
247246,stimulus_Enc_WikiMoon_13_question_13131,1015.2,459.2,1150.0
247248,stimulus_Enc_WikiMoon_13_question_13131,1015.4,458.9,1149.0
247250,stimulus_Enc_WikiMoon_13_question_13131,1014.9,458.2,1149.0
247252,stimulus_Enc_WikiMoon_13_question_13131,1014.5,458.1,1149.0
247254,stimulus_Enc_WikiMoon_13_question_13131,1014.9,458.5,1150.0
247256,stimulus_Enc_WikiMoon_13_question_13131,1015.3,458.9,1151.0
247258,stimulus_Enc_WikiMoon_13_question_13131,1015.1,459.0,1151.0
247260,stimulus_Enc_WikiMoon_13_question_13131,1014.9,459.0,1152.0
247262,stimulus_Enc_WikiMoon_13_question_13131,1014.8,459.0,1152.0
247264,stimulus_Enc_WikiMoon_13_question_13131,1014.7,458.9,1153.0
247266,stimulus_Enc_WikiMoon_13_question_13131,1014.6,458.3,1153.0
247268,stimulus_Enc_WikiMoon_13_question_13131,1014.2,457.5,1153.0
247270,stimulus_Enc_WikiMoon_13_question_13131,1014.0,457.0,1152.0
247272,stimulus_Enc_WikiMoon_13_question_13131,1013.7,456.8,1152.0
247274,stimulus_Enc_WikiMoon_13_question_13131,1013.6,456.7,1152.0
247276,stimulus_Enc_WikiMoon_13_question_13131,1013.8,456.7,1153.0
247278,stimulus_Enc_WikiMoon_13_question_13131,1014.0,456.6,1154.0
247280,stimulus_Enc_WikiMoon_13_question_13131,1013.9,456.6,1154.0
247282,stimulus_Enc_WikiMoon_13_question_13131,1014.0,456.8,1152.0
247284,stimulus_Enc_WikiMoon_13_question_13131,1014.2,457.4,1149.0
247286,stimulus_Enc_WikiMoon_13_question_13131,1014.4,457.9,1150.0
247288,stimulus_Enc_WikiMoon_13_question_13131,1014.3,458.2,1151.0
247290,stimulus_Enc_WikiMoon_13_question_13131,1014.1,458.1,1152.0
247292,stimulus_Enc_WikiMoon_13_question_13131,1014.0,458.2,1152.0
247294,stimulus_Enc_WikiMoon_13_question_13131,1013.6,458.4,1154.0
247296,stimulus_Enc_WikiMoon_13_question_13131,1013.3,458.2,1154.0
247298,stimulus_Enc_WikiMoon_13_question_13131,1013.7,457.8,1152.0
247300,stimulus_Enc_WikiMoon_13_question_13131,1013.7,457.5,1153.0
247302,stimulus_Enc_WikiMoon_13_question_13131,1013.4,457.3,1154.0
247304,stimulus_Enc_WikiMoon_13_question_13131,1013.9,456.8,1155.0
247306,stimulus_Enc_WikiMoon_13_question_13131,1014.1,456.5,1157.0
247308,stimulus_Enc_WikiMoon_13_question_13131,1013.8,456.2,1157.0
247310,stimulus_Enc_WikiMoon_13_question_13131,1013.1,456.1,1156.0
247312,stimulus_Enc_WikiMoon_13_question_13131,1012.5,455.2,1155.0
247314,stimulus_Enc_WikiMoon_13_question_13131,1012.1,455.2,1155.0
247316,stimulus_Enc_WikiMoon_13_question_13131,1011.8,455.9,1154.0
