time,screen,pixel_x,pixel_y,pupil
2155032,familiarity_rating_screen_2,169.6,279.3,1259.0
2155034,familiarity_rating_screen_2,167.1,286.9,1265.0
2155036,familiarity_rating_screen_2,163.7,296.8,1270.0
2155038,familiarity_rating_screen_2,159.7,305.9,1274.0
2155040,familiarity_rating_screen_2,158.3,316.2,1277.0
2155042,familiarity_rating_screen_2,159.0,325.2,1285.0
2155044,familiarity_rating_screen_2,160.6,329.3,1290.0
2155046,familiarity_rating_screen_2,162.7,331.4,1289.0
2155048,familiarity_rating_screen_2,163.8,331.5,1289.0
2155050,familiarity_rating_screen_2,163.6,329.9,1291.0
2155052,familiarity_rating_screen_2,163.3,327.3,1294.0
2155054,familiarity_rating_screen_2,163.1,325.5,1289.0
2155056,familiarity_rating_screen_2,163.5,323.3,1283.0
2155058,familiarity_rating_screen_2,163.6,322.3,1278.0
2155060,familiarity_rating_screen_2,163.5,321.6,1279.0
2155062,familiarity_rating_screen_2,163.2,322.5,1278.0
2155064,familiarity_rating_screen_2,163.2,323.3,1276.0
2155066,familiarity_rating_screen_2,163.1,323.9,1276.0
2155068,familiarity_rating_screen_2,162.5,323.9,1275.0
2155070,familiarity_rating_screen_2,162.3,323.7,1275.0
2155072,familiarity_rating_screen_2,162.2,324.0,1276.0
2155074,familiarity_rating_screen_2,161.9,324.3,1277.0
2155076,familiarity_rating_screen_2,161.7,323.9,1277.0
2155078,familiarity_rating_screen_2,161.7,323.8,1277.0
2155080,familiarity_rating_screen_2,161.8,323.8,1277.0
2155082,familiarity_rating_screen_2,161.7,323.8,1278.0
2155084,familiarity_rating_screen_2,161.8,323.2,1279.0
2155086,familiarity_rating_screen_2,161.9,322.6,1278.0
2155088,familiarity_rating_screen_2,161.9,322.4,1277.0
2155090,familiarity_rating_screen_2,161.9,322.5,1278.0
2155092,familiarity_rating_screen_2,161.6,322.6,1279.0
2155094,familiarity_rating_screen_2,161.1,322.9,1281.0
2155096,familiarity_rating_screen_2,161.4,323.4,1283.0
2155098,familiarity_rating_screen_2,162.0,324.0,1285.0
2155100,familiarity_rating_screen_2,162.3,324.4,1287.0
2155102,familiarity_rating_screen_2,161.7,324.6,1288.0
2155104,familiarity_rating_screen_2,161.1,325.0,1291.0
2155106,familiarity_rating_screen_2,161.0,324.8,1292.0
2155108,familiarity_rating_screen_2,160.7,324.9,1292.0
2155110,familiarity_rating_screen_2,160.0,325.0,1290.0
2155112,familiarity_rating_screen_2,159.7,324.7,1289.0
2155114,familiarity_rating_screen_2,159.5,324.7,1291.0
2155116,familiarity_rating_screen_2,159.0,324.8,1291.0
2155118,familiarity_rating_screen_2,158.8,324.6,1290.0
2155120,familiarity_rating_screen_2,158.8,324.3,1291.0
2155122,familiarity_rating_screen_2,158.7,324.5,1291.0
2155124,familiarity_rating_screen_2,158.5,324.5,1293.0
2155126,familiarity_rating_screen_2,159.1,324.4,1295.0
2155128,familiarity_rating_screen_2,158.7,324.6,1295.0
2155130,familiarity_rating_screen_2,158.6,324.5,1293.0
2155132,familiarity_rating_screen_2,158.5,324.7,1292.0
2155134,familiarity_rating_screen_2,158.3,325.1,1293.0
2155136,familiarity_rating_screen_2,158.2,325.0,1294.0
2155138,familiarity_rating_screen_2,159.2,324.4,1294.0
2155140,familiarity_rating_screen_2,160.0,324.0,1294.0
2155142,familiarity_rating_screen_2,160.2,324.1,1292.0
2155144,familiarity_rating_screen_2,160.4,324.2,1294.0
2155146,familiarity_rating_screen_2,160.6,324.0,1294.0
2155148,familiarity_rating_screen_2,160.8,324.3,1294.0
2155150,familiarity_rating_screen_2,161.0,324.4,1295.0
2155152,familiarity_rating_screen_2,161.4,324.3,1298.0
2155154,familiarity_rating_screen_2,161.7,324.1,1302.0
2155156,familiarity_rating_screen_2,161.7,323.6,1302.0
2155158,familiarity_rating_screen_2,161.8,323.6,1305.0
2155160,familiarity_rating_screen_2,162.0,323.6,1307.0
2155162,familiarity_rating_screen_2,161.8,323.9,1309.0
2155164,familiarity_rating_screen_2,161.6,323.9,1309.0
2155166,familiarity_rating_screen_2,160.7,323.9,1309.0
2155168,familiarity_rating_screen_2,160.4,324.0,1309.0
2155170,familiarity_rating_screen_2,160.6,324.0,1308.0
2155172,familiarity_rating_screen_2,160.1,324.3,1311.0
2155174,familiarity_rating_screen_2,160.0,324.8,1312.0
2155176,familiarity_rating_screen_2,160.0,324.7,1312.0
2155178,familiarity_rating_screen_2,160.1,324.2,1311.0
2155180,familiarity_rating_screen_2,160.3,323.7,1310.0
2155182,familiarity_rating_screen_2,160.1,323.0,1310.0
2155184,familiarity_rating_screen_2,160.0,322.7,1310.0
2155186,familiarity_rating_screen_2,160.5,322.4,1309.0
2155188,familiarity_rating_screen_2,160.1,322.2,1309.0
2155190,familiarity_rating_screen_2,159.8,322.2,1309.0
2155192,familiarity_rating_screen_2,159.7,322.3,1311.0
2155194,familiarity_rating_screen_2,159.6,322.4,1314.0
2155196,familiarity_rating_screen_2,158.8,322.5,1316.0
