time,screen,pixel_x,pixel_y,pupil
2200462,stimulus_Ins_LearningMobility_3_question_3121,439.1,879.3,1384.0
2200464,stimulus_Ins_LearningMobility_3_question_3121,439.4,879.1,1383.0
2200466,stimulus_Ins_LearningMobility_3_question_3121,439.3,879.1,1383.0
2200468,stimulus_Ins_LearningMobility_3_question_3121,439.3,879.4,1381.0
2200470,stimulus_Ins_LearningMobility_3_question_3121,438.8,879.9,1381.0
2200472,stimulus_Ins_LearningMobility_3_question_3121,439.0,879.7,1383.0
2200474,stimulus_Ins_LearningMobility_3_question_3121,439.0,879.6,1383.0
2200476,stimulus_Ins_LearningMobility_3_question_3121,438.6,879.8,1383.0
2200478,stimulus_Ins_LearningMobility_3_question_3121,439.1,880.8,1384.0
2200480,stimulus_Ins_LearningMobility_3_question_3121,440.2,881.3,1384.0
2200482,stimulus_Ins_LearningMobility_3_question_3121,440.6,881.4,1384.0
2200484,stimulus_Ins_LearningMobility_3_question_3121,439.8,881.7,1386.0
2200486,stimulus_Ins_LearningMobility_3_question_3121,439.6,881.9,1385.0
2200488,stimulus_Ins_LearningMobility_3_question_3121,439.7,881.8,1384.0
2200490,stimulus_Ins_LearningMobility_3_question_3121,439.4,881.6,1384.0
2200492,stimulus_Ins_LearningMobility_3_question_3121,439.4,881.5,1384.0
2200494,stimulus_Ins_LearningMobility_3_question_3121,439.5,881.6,1383.0
2200496,stimulus_Ins_LearningMobility_3_question_3121,439.3,881.1,1382.0
2200498,stimulus_Ins_LearningMobility_3_question_3121,439.4,880.7,1381.0
2200500,stimulus_Ins_LearningMobility_3_question_3121,439.8,880.7,1383.0
2200502,stimulus_Ins_LearningMobility_3_question_3121,440.2,880.4,1382.0
2200504,stimulus_Ins_LearningMobility_3_question_3121,440.3,880.4,1381.0
2200506,stimulus_Ins_LearningMobility_3_question_3121,440.2,880.5,1380.0
2200508,stimulus_Ins_LearningMobility_3_question_3121,440.0,880.5,1381.0
2200510,stimulus_Ins_LearningMobility_3_question_3121,439.9,879.8,1382.0
2200512,stimulus_Ins_LearningMobility_3_question_3121,439.6,879.6,1380.0
2200514,stimulus_Ins_LearningMobility_3_question_3121,439.5,880.0,1380.0
2200516,stimulus_Ins_LearningMobility_3_question_3121,439.9,879.9,1381.0
2200518,stimulus_Ins_LearningMobility_3_question_3121,440.5,879.5,1381.0
2200520,stimulus_Ins_LearningMobility_3_question_3121,440.4,879.4,1380.0
2200522,stimulus_Ins_LearningMobility_3_question_3121,440.6,879.4,1380.0
2200524,stimulus_Ins_LearningMobility_3_question_3121,440.8,879.1,1381.0
2200526,stimulus_Ins_LearningMobility_3_question_3121,441.1,878.5,1381.0
2200528,stimulus_Ins_LearningMobility_3_question_3121,440.7,878.5,1381.0
2200530,stimulus_Ins_LearningMobility_3_question_3121,440.3,878.6,1379.0
2200532,stimulus_Ins_LearningMobility_3_question_3121,440.5,878.3,1379.0
2200534,stimulus_Ins_LearningMobility_3_question_3121,441.2,878.1,1378.0
2200536,stimulus_Ins_LearningMobility_3_question_3121,442.1,878.3,1378.0
2200538,stimulus_Ins_LearningMobility_3_question_3121,442.8,878.3,1379.0
2200540,stimulus_Ins_LearningMobility_3_question_3121,442.9,878.2,1379.0
2200542,stimulus_Ins_LearningMobility_3_question_3121,442.4,878.2,1379.0
2200544,stimulus_Ins_LearningMobility_3_question_3121,441.8,878.3,1378.0
2200546,stimulus_Ins_LearningMobility_3_question_3121,442.0,878.4,1377.0
2200548,stimulus_Ins_LearningMobility_3_question_3121,442.1,878.2,1377.0
2200550,stimulus_Ins_LearningMobility_3_question_3121,441.8,878.0,1376.0
2200552,stimulus_Ins_LearningMobility_3_question_3121,441.3,878.6,1375.0
2200554,stimulus_Ins_LearningMobility_3_question_3121,441.1,879.7,1374.0
2200556,stimulus_Ins_LearningMobility_3_question_3121,442.0,881.4,1375.0
2200558,stimulus_Ins_LearningMobility_3_question_3121,442.7,876.7,1375.0
2200560,stimulus_Ins_LearningMobility_3_question_3121,442.0,863.2,1375.0
2200562,stimulus_Ins_LearningMobility_3_question_3121,441.2,842.1,1377.0
2200564,stimulus_Ins_LearningMobility_3_question_3121,440.3,814.1,1377.0
2200566,stimulus_Ins_LearningMobility_3_question_3121,438.6,781.7,1377.0
