time,screen,pixel_x,pixel_y,pupil
3768628,stimulus_PopSci_Caveman_12_question_12132,438.5,561.3,1209.0
3768630,stimulus_PopSci_Caveman_12_question_12132,438.6,561.2,1209.0
3768632,stimulus_PopSci_Caveman_12_question_12132,438.9,561.3,1211.0
3768634,stimulus_PopSci_Caveman_12_question_12132,439.2,561.4,1211.0
3768636,stimulus_PopSci_Caveman_12_question_12132,439.4,561.3,1209.0
3768638,stimulus_PopSci_Caveman_12_question_12132,439.5,561.1,1207.0
3768640,stimulus_PopSci_Caveman_12_question_12132,439.3,560.9,1210.0
3768642,stimulus_PopSci_Caveman_12_question_12132,438.9,560.3,1211.0
3768644,stimulus_PopSci_Caveman_12_question_12132,438.5,559.5,1209.0
3768646,stimulus_PopSci_Caveman_12_question_12132,438.5,558.8,1208.0
3768648,stimulus_PopSci_Caveman_12_question_12132,438.8,558.4,1207.0
3768650,stimulus_PopSci_Caveman_12_question_12132,439.0,558.3,1207.0
3768652,stimulus_PopSci_Caveman_12_question_12132,438.9,558.3,1209.0
3768654,stimulus_PopSci_Caveman_12_question_12132,438.9,558.5,1210.0
3768656,stimulus_PopSci_Caveman_12_question_12132,439.0,558.3,1209.0
3768658,stimulus_PopSci_Caveman_12_question_12132,438.8,557.8,1209.0
3768660,stimulus_PopSci_Caveman_12_question_12132,438.3,557.6,1209.0
3768662,stimulus_PopSci_Caveman_12_question_12132,438.7,558.0,1209.0
3768664,stimulus_PopSci_Caveman_12_question_12132,438.8,559.0,1209.0
3768666,stimulus_PopSci_Caveman_12_question_12132,438.4,559.2,1209.0
3768668,stimulus_PopSci_Caveman_12_question_12132,437.9,559.7,1209.0
3768670,stimulus_PopSci_Caveman_12_question_12132,437.8,560.1,1210.0
3768672,stimulus_PopSci_Caveman_12_question_12132,437.8,560.2,1211.0
3768674,stimulus_PopSci_Caveman_12_question_12132,437.7,560.3,1211.0
3768676,stimulus_PopSci_Caveman_12_question_12132,437.8,560.3,1211.0
3768678,stimulus_PopSci_Caveman_12_question_12132,438.5,560.4,1210.0
3768680,stimulus_PopSci_Caveman_12_question_12132,438.7,560.8,1212.0
3768682,stimulus_PopSci_Caveman_12_question_12132,438.7,561.1,1213.0
3768684,stimulus_PopSci_Caveman_12_question_12132,438.8,561.1,1211.0
3768686,stimulus_PopSci_Caveman_12_question_12132,438.9,560.8,1212.0
3768688,stimulus_PopSci_Caveman_12_question_12132,439.4,561.1,1212.0
3768690,stimulus_PopSci_Caveman_12_question_12132,439.9,560.9,1213.0
3768692,stimulus_PopSci_Caveman_12_question_12132,439.4,560.5,1214.0
3768694,stimulus_PopSci_Caveman_12_question_12132,439.0,560.9,1215.0
3768696,stimulus_PopSci_Caveman_12_question_12132,439.4,561.5,1215.0
3768698,stimulus_PopSci_Caveman_12_question_12132,440.1,562.5,1216.0
3768700,stimulus_PopSci_Caveman_12_question_12132,440.2,563.1,1218.0
3768702,stimulus_PopSci_Caveman_12_question_12132,440.1,563.2,1220.0
3768704,stimulus_PopSci_Caveman_12_question_12132,440.0,563.0,1221.0
3768706,stimulus_PopSci_Caveman_12_question_12132,439.9,562.7,1222.0
3768708,stimulus_PopSci_Caveman_12_question_12132,439.9,562.5,1220.0
3768710,stimulus_PopSci_Caveman_12_question_12132,439.8,562.6,1219.0
3768712,stimulus_PopSci_Caveman_12_question_12132,439.7,562.7,1220.0
3768714,stimulus_PopSci_Caveman_12_question_12132,439.6,562.7,1219.0
3768716,stimulus_PopSci_Caveman_12_question_12132,439.8,563.2,1219.0
3768718,stimulus_PopSci_Caveman_12_question_12132,440.0,563.5,1220.0
3768720,stimulus_PopSci_Caveman_12_question_12132,439.4,563.2,1221.0
3768722,stimulus_PopSci_Caveman_12_question_12132,438.7,563.1,1222.0
3768724,stimulus_PopSci_Caveman_12_question_12132,439.3,563.2,1223.0
3768726,stimulus_PopSci_Caveman_12_question_12132,440.1,563.6,1223.0
3768728,stimulus_PopSci_Caveman_12_question_12132,440.0,564.0,1223.0
3768730,stimulus_PopSci_Caveman_12_question_12132,439.7,564.0,1222.0
3768732,stimulus_PopSci_Caveman_12_question_12132,439.5,564.2,1223.0
3768734,stimulus_PopSci_Caveman_12_question_12132,438.8,564.0,1223.0
3768736,stimulus_PopSci_Caveman_12_question_12132,438.6,563.2,1223.0
3768738,stimulus_PopSci_Caveman_12_question_12132,438.4,562.8,1224.0
3768740,stimulus_PopSci_Caveman_12_question_12132,438.6,562.7,1222.0
3768742,stimulus_PopSci_Caveman_12_question_12132,438.8,562.5,1219.0
3768744,stimulus_PopSci_Caveman_12_question_12132,438.8,562.3,1218.0
3768746,stimulus_PopSci_Caveman_12_question_12132,438.6,561.6,1218.0
3768748,stimulus_PopSci_Caveman_12_question_12132,438.6,561.2,1219.0
3768750,stimulus_PopSci_Caveman_12_question_12132,438.4,561.3,1221.0
3768752,stimulus_PopSci_Caveman_12_question_12132,438.7,561.4,1221.0
3768754,stimulus_PopSci_Caveman_12_question_12132,438.9,562.3,1223.0
3768756,stimulus_PopSci_Caveman_12_question_12132,439.3,562.8,1224.0
3768758,stimulus_PopSci_Caveman_12_question_12132,439.5,562.7,1224.0
3768760,stimulus_PopSci_Caveman_12_question_12132,438.9,562.6,1224.0
3768762,stimulus_PopSci_Caveman_12_question_12132,438.4,562.2,1225.0
3768764,stimulus_PopSci_Caveman_12_question_12132,438.7,561.9,1224.0
3768766,stimulus_PopSci_Caveman_12_question_12132,439.3,562.1,1224.0
3768768,stimulus_PopSci_Caveman_12_question_12132,439.4,562.3,1223.0
3768770,stimulus_PopSci_Caveman_12_question_12132,438.8,562.4,1224.0
3768772,stimulus_PopSci_Caveman_12_question_12132,438.7,562.7,1225.0
3768774,stimulus_PopSci_Caveman_12_question_12132,438.7,562.5,1225.0
3768776,stimulus_PopSci_Caveman_12_question_12132,438.6,562.1,1223.0
3768778,stimulus_PopSci_Caveman_12_question_12132,438.5,562.5,1224.0
3768780,stimulus_PopSci_Caveman_12_question_12132,438.6,562.9,1225.0
3768782,stimulus_PopSci_Caveman_12_question_12132,438.9,562.7,1228.0
3768784,stimulus_PopSci_Caveman_12_question_12132,439.0,562.6,1227.0
3768786,stimulus_PopSci_Caveman_12_question_12132,439.0,562.8,1225.0
3768788,stimulus_PopSci_Caveman_12_question_12132,438.8,562.5,1225.0
3768790,stimulus_PopSci_Caveman_12_question_12132,438.9,562.2,1227.0
3768792,stimulus_PopSci_Caveman_12_question_12132,439.1,562.1,1227.0
3768794,stimulus_PopSci_Caveman_12_question_12132,439.1,562.4,1226.0
3768796,stimulus_PopSci_Caveman_12_question_12132,439.1,562.9,1226.0
