time,screen,pixel_x,pixel_y,pupil
498266,stimulus_Lit_MagicMountain_6_page_5,68.0,107.1,1248.0
498268,stimulus_Lit_MagicMountain_6_page_5,67.8,106.7,1250.0
498270,stimulus_Lit_MagicMountain_6_page_5,68.0,106.6,1250.0
498272,stimulus_Lit_MagicMountain_6_page_5,68.2,106.6,1250.0
498274,stimulus_Lit_MagicMountain_6_page_5,68.2,106.6,1249.0
498276,stimulus_Lit_MagicMountain_6_page_5,68.0,106.6,1251.0
498278,stimulus_Lit_MagicMountain_6_page_5,67.7,106.7,1253.0
498280,stimulus_Lit_MagicMountain_6_page_5,67.6,106.8,1251.0
498282,stimulus_Lit_MagicMountain_6_page_5,67.5,106.8,1251.0
498284,stimulus_Lit_MagicMountain_6_page_5,67.8,106.8,1250.0
498286,stimulus_Lit_MagicMountain_6_page_5,68.0,106.7,1250.0
498288,stimulus_Lit_MagicMountain_6_page_5,68.2,106.5,1250.0
498290,stimulus_Lit_MagicMountain_6_page_5,68.1,106.5,1250.0
498292,stimulus_Lit_MagicMountain_6_page_5,67.8,106.9,1251.0
498294,stimulus_Lit_MagicMountain_6_page_5,67.5,107.1,1250.0
498296,stimulus_Lit_MagicMountain_6_page_5,67.2,107.0,1250.0
498298,stimulus_Lit_MagicMountain_6_page_5,67.0,106.9,1250.0
498300,stimulus_Lit_MagicMountain_6_page_5,66.9,106.8,1250.0
498302,stimulus_Lit_MagicMountain_6_page_5,66.8,106.6,1251.0
498304,stimulus_Lit_MagicMountain_6_page_5,66.7,106.5,1253.0
498306,stimulus_Lit_MagicMountain_6_page_5,66.7,106.5,1254.0
498308,stimulus_Lit_MagicMountain_6_page_5,66.7,106.5,1252.0
498310,stimulus_Lit_MagicMountain_6_page_5,66.7,106.8,1252.0
498312,stimulus_Lit_MagicMountain_6_page_5,66.4,107.0,1252.0
498314,stimulus_Lit_MagicMountain_6_page_5,66.3,107.0,1251.0
