time,screen,pixel_x,pixel_y,pupil
578498,stimulus_Lit_MagicMountain_6_question_6122,371.6,302.7,1336.0
578500,stimulus_Lit_MagicMountain_6_question_6122,371.5,302.5,1333.0
578502,stimulus_Lit_MagicMountain_6_question_6122,371.8,303.0,1331.0
578504,stimulus_Lit_MagicMountain_6_question_6122,371.8,304.1,1330.0
578506,stimulus_Lit_MagicMountain_6_question_6122,371.9,304.4,1330.0
578508,stimulus_Lit_MagicMountain_6_question_6122,372.0,304.4,1331.0
578510,stimulus_Lit_MagicMountain_6_question_6122,371.8,304.0,1332.0
578512,stimulus_Lit_MagicMountain_6_question_6122,372.1,304.1,1332.0
578514,stimulus_Lit_MagicMountain_6_question_6122,372.4,304.0,1332.0
578516,stimulus_Lit_MagicMountain_6_question_6122,372.2,303.9,1333.0
578518,stimulus_Lit_MagicMountain_6_question_6122,372.2,303.8,1334.0
578520,stimulus_Lit_MagicMountain_6_question_6122,372.2,303.2,1335.0
578522,stimulus_Lit_MagicMountain_6_question_6122,372.4,303.1,1332.0
578524,stimulus_Lit_MagicMountain_6_question_6122,372.5,303.5,1330.0
578526,stimulus_Lit_MagicMountain_6_question_6122,372.2,303.7,1330.0
578528,stimulus_Lit_MagicMountain_6_question_6122,372.1,303.4,1331.0
578530,stimulus_Lit_MagicMountain_6_question_6122,372.2,303.3,1333.0
578532,stimulus_Lit_MagicMountain_6_question_6122,371.9,303.5,1331.0
578534,stimulus_Lit_MagicMountain_6_question_6122,371.4,303.7,1329.0
578536,stimulus_Lit_MagicMountain_6_question_6122,371.1,303.7,1329.0
578538,stimulus_Lit_MagicMountain_6_question_6122,370.8,303.6,1329.0
578540,stimulus_Lit_MagicMountain_6_question_6122,370.2,303.5,1328.0
578542,stimulus_Lit_MagicMountain_6_question_6122,369.4,303.5,1326.0
578544,stimulus_Lit_MagicMountain_6_question_6122,369.1,303.4,1326.0
578546,stimulus_Lit_MagicMountain_6_question_6122,368.5,303.5,1326.0
578548,stimulus_Lit_MagicMountain_6_question_6122,368.5,303.6,1326.0
578550,stimulus_Lit_MagicMountain_6_question_6122,368.8,303.8,1326.0
578552,stimulus_Lit_MagicMountain_6_question_6122,368.5,303.9,1327.0
578554,stimulus_Lit_MagicMountain_6_question_6122,368.3,304.0,1329.0
578556,stimulus_Lit_MagicMountain_6_question_6122,368.8,304.1,1329.0
578558,stimulus_Lit_MagicMountain_6_question_6122,369.4,304.1,1330.0
578560,stimulus_Lit_MagicMountain_6_question_6122,369.4,303.8,1330.0
578562,stimulus_Lit_MagicMountain_6_question_6122,369.5,303.4,1329.0
578564,stimulus_Lit_MagicMountain_6_question_6122,369.9,303.2,1328.0
578566,stimulus_Lit_MagicMountain_6_question_6122,370.2,303.3,1328.0
578568,stimulus_Lit_MagicMountain_6_question_6122,370.6,303.3,1327.0
578570,stimulus_Lit_MagicMountain_6_question_6122,371.0,303.2,1327.0
578572,stimulus_Lit_MagicMountain_6_question_6122,371.3,303.1,1327.0
578574,stimulus_Lit_MagicMountain_6_question_6122,371.5,302.9,1328.0
578576,stimulus_Lit_MagicMountain_6_question_6122,371.5,302.6,1327.0
578578,stimulus_Lit_MagicMountain_6_question_6122,371.7,302.4,1326.0
578580,stimulus_Lit_MagicMountain_6_question_6122,371.3,302.7,1327.0
578582,stimulus_Lit_MagicMountain_6_question_6122,371.1,302.7,1328.0
578584,stimulus_Lit_MagicMountain_6_question_6122,371.7,302.6,1328.0
578586,stimulus_Lit_MagicMountain_6_question_6122,371.9,302.3,1330.0
578588,stimulus_Lit_MagicMountain_6_question_6122,372.1,301.9,1332.0
578590,stimulus_Lit_MagicMountain_6_question_6122,372.1,302.2,1332.0
578592,stimulus_Lit_MagicMountain_6_question_6122,371.9,302.6,1330.0
578594,stimulus_Lit_MagicMountain_6_question_6122,371.8,302.6,1329.0
578596,stimulus_Lit_MagicMountain_6_question_6122,371.6,302.8,1329.0
578598,stimulus_Lit_MagicMountain_6_question_6122,371.6,302.6,1329.0
578600,stimulus_Lit_MagicMountain_6_question_6122,371.6,302.5,1329.0
578602,stimulus_Lit_MagicMountain_6_question_6122,371.5,302.3,1327.0
578604,stimulus_Lit_MagicMountain_6_question_6122,371.2,302.1,1328.0
578606,stimulus_Lit_MagicMountain_6_question_6122,370.9,301.2,1329.0
578608,stimulus_Lit_MagicMountain_6_question_6122,370.8,300.8,1330.0
578610,stimulus_Lit_MagicMountain_6_question_6122,370.6,301.2,1332.0
578612,stimulus_Lit_MagicMountain_6_question_6122,370.7,301.9,1332.0
578614,stimulus_Lit_MagicMountain_6_question_6122,370.9,302.0,1332.0
578616,stimulus_Lit_MagicMountain_6_question_6122,370.8,302.0,1331.0
