time,screen,pixel_x,pixel_y,pupil
1596324,stimulus_Lit_Alchemist_4_page_5,162.7,170.4,1216.0
1596326,stimulus_Lit_Alchemist_4_page_5,162.2,170.7,1216.0
1596328,stimulus_Lit_Alchemist_4_page_5,161.8,171.0,1216.0
1596330,stimulus_Lit_Alchemist_4_page_5,162.4,171.1,1215.0
1596332,stimulus_Lit_Alchemist_4_page_5,162.5,171.0,1216.0
1596334,stimulus_Lit_Alchemist_4_page_5,162.4,171.2,1214.0
1596336,stimulus_Lit_Alchemist_4_page_5,162.6,171.4,1212.0
1596338,stimulus_Lit_Alchemist_4_page_5,163.2,171.3,1212.0
1596340,stimulus_Lit_Alchemist_4_page_5,163.1,171.4,1212.0
1596342,stimulus_Lit_Alchemist_4_page_5,162.9,171.5,1213.0
1596344,stimulus_Lit_Alchemist_4_page_5,163.2,171.2,1215.0
1596346,stimulus_Lit_Alchemist_4_page_5,163.4,171.1,1216.0
1596348,stimulus_Lit_Alchemist_4_page_5,163.5,170.8,1215.0
1596350,stimulus_Lit_Alchemist_4_page_5,163.5,171.1,1214.0
1596352,stimulus_Lit_Alchemist_4_page_5,163.6,171.5,1214.0
1596354,stimulus_Lit_Alchemist_4_page_5,163.1,171.3,1213.0
1596356,stimulus_Lit_Alchemist_4_page_5,162.2,171.1,1212.0
1596358,stimulus_Lit_Alchemist_4_page_5,159.3,170.1,1211.0
1596360,stimulus_Lit_Alchemist_4_page_5,155.4,168.6,1213.0
1596362,stimulus_Lit_Alchemist_4_page_5,150.3,166.9,1214.0
1596364,stimulus_Lit_Alchemist_4_page_5,142.3,164.5,1213.0
1596366,stimulus_Lit_Alchemist_4_page_5,133.1,162.3,1213.0
1596368,stimulus_Lit_Alchemist_4_page_5,123.0,161.7,1212.0
1596370,stimulus_Lit_Alchemist_4_page_5,115.3,161.1,1211.0
1596372,stimulus_Lit_Alchemist_4_page_5,111.7,159.3,1208.0
1596374,stimulus_Lit_Alchemist_4_page_5,105.6,157.4,1203.0
1596376,stimulus_Lit_Alchemist_4_page_5,99.4,156.3,1204.0
1596378,stimulus_Lit_Alchemist_4_page_5,94.6,155.5,1205.0
1596380,stimulus_Lit_Alchemist_4_page_5,89.2,155.3,1202.0
1596382,stimulus_Lit_Alchemist_4_page_5,86.6,155.1,1201.0
1596384,stimulus_Lit_Alchemist_4_page_5,86.5,155.3,1201.0
1596386,stimulus_Lit_Alchemist_4_page_5,87.1,155.8,1200.0
1596388,stimulus_Lit_Alchemist_4_page_5,88.4,155.8,1200.0
1596390,stimulus_Lit_Alchemist_4_page_5,89.7,156.1,1203.0
1596392,stimulus_Lit_Alchemist_4_page_5,90.8,156.8,1203.0
1596394,stimulus_Lit_Alchemist_4_page_5,91.3,157.1,1203.0
1596396,stimulus_Lit_Alchemist_4_page_5,91.6,157.3,1203.0
1596398,stimulus_Lit_Alchemist_4_page_5,91.1,157.2,1204.0
1596400,stimulus_Lit_Alchemist_4_page_5,91.1,156.9,1203.0
1596402,stimulus_Lit_Alchemist_4_page_5,91.7,156.7,1202.0
1596404,stimulus_Lit_Alchemist_4_page_5,92.2,156.6,1201.0
1596406,stimulus_Lit_Alchemist_4_page_5,93.0,156.4,1202.0
1596408,stimulus_Lit_Alchemist_4_page_5,93.2,156.3,1203.0
1596410,stimulus_Lit_Alchemist_4_page_5,93.4,156.5,1202.0
1596412,stimulus_Lit_Alchemist_4_page_5,93.5,156.6,1203.0
1596414,stimulus_Lit_Alchemist_4_page_5,92.8,156.7,1201.0
1596416,stimulus_Lit_Alchemist_4_page_5,92.5,156.6,1199.0
1596418,stimulus_Lit_Alchemist_4_page_5,92.5,156.6,1201.0
1596420,stimulus_Lit_Alchemist_4_page_5,92.5,156.3,1204.0
1596422,stimulus_Lit_Alchemist_4_page_5,92.8,156.0,1205.0
1596424,stimulus_Lit_Alchemist_4_page_5,92.9,156.3,1203.0
1596426,stimulus_Lit_Alchemist_4_page_5,93.0,156.4,1201.0
1596428,stimulus_Lit_Alchemist_4_page_5,92.8,156.3,1202.0
1596430,stimulus_Lit_Alchemist_4_page_5,92.7,156.3,1205.0
1596432,stimulus_Lit_Alchemist_4_page_5,92.7,156.3,1208.0
1596434,stimulus_Lit_Alchemist_4_page_5,92.7,156.4,1205.0
1596436,stimulus_Lit_Alchemist_4_page_5,92.6,156.6,1200.0
1596438,stimulus_Lit_Alchemist_4_page_5,92.3,156.7,1200.0
1596440,stimulus_Lit_Alchemist_4_page_5,92.4,156.4,1203.0
1596442,stimulus_Lit_Alchemist_4_page_5,92.3,156.2,1203.0
1596444,stimulus_Lit_Alchemist_4_page_5,92.1,156.4,1201.0
1596446,stimulus_Lit_Alchemist_4_page_5,91.6,156.7,1201.0
1596448,stimulus_Lit_Alchemist_4_page_5,91.6,156.7,1201.0
1596450,stimulus_Lit_Alchemist_4_page_5,91.4,156.7,1204.0
1596452,stimulus_Lit_Alchemist_4_page_5,91.3,156.5,1204.0
1596454,stimulus_Lit_Alchemist_4_page_5,91.4,156.5,1202.0
1596456,stimulus_Lit_Alchemist_4_page_5,91.4,156.6,1203.0
1596458,stimulus_Lit_Alchemist_4_page_5,91.4,156.9,1204.0
1596460,stimulus_Lit_Alchemist_4_page_5,91.3,157.0,1205.0
1596462,stimulus_Lit_Alchemist_4_page_5,91.4,157.0,1204.0
1596464,stimulus_Lit_Alchemist_4_page_5,91.9,156.9,1203.0
1596466,stimulus_Lit_Alchemist_4_page_5,91.8,156.7,1203.0
1596468,stimulus_Lit_Alchemist_4_page_5,91.4,156.6,1202.0
1596470,stimulus_Lit_Alchemist_4_page_5,91.5,156.4,1203.0
