time,screen,pixel_x,pixel_y,pupil
3302479,stimulus_Lit_BrokenApril_9_page_8,112.1,145.0,1220.0
3302481,stimulus_Lit_BrokenApril_9_page_8,112.3,145.1,1222.0
3302483,stimulus_Lit_BrokenApril_9_page_8,112.5,145.2,1220.0
3302485,stimulus_Lit_BrokenApril_9_page_8,112.6,145.2,1217.0
3302487,stimulus_Lit_BrokenApril_9_page_8,112.7,145.3,1217.0
3302489,stimulus_Lit_BrokenApril_9_page_8,113.2,145.4,1216.0
3302491,stimulus_Lit_BrokenApril_9_page_8,113.5,145.7,1216.0
3302493,stimulus_Lit_BrokenApril_9_page_8,113.7,145.8,1216.0
3302495,stimulus_Lit_BrokenApril_9_page_8,113.6,145.8,1215.0
3302497,stimulus_Lit_BrokenApril_9_page_8,113.4,146.2,1214.0
3302499,stimulus_Lit_BrokenApril_9_page_8,113.5,146.4,1216.0
3302501,stimulus_Lit_BrokenApril_9_page_8,114.2,146.4,1218.0
3302503,stimulus_Lit_BrokenApril_9_page_8,114.4,146.3,1217.0
3302505,stimulus_Lit_BrokenApril_9_page_8,113.9,146.1,1215.0
3302507,stimulus_Lit_BrokenApril_9_page_8,113.9,145.7,1214.0
3302509,stimulus_Lit_BrokenApril_9_page_8,113.6,145.6,1215.0
3302511,stimulus_Lit_BrokenApril_9_page_8,112.8,145.5,1218.0
3302513,stimulus_Lit_BrokenApril_9_page_8,111.8,145.7,1220.0
3302515,stimulus_Lit_BrokenApril_9_page_8,111.3,145.8,1218.0
3302517,stimulus_Lit_BrokenApril_9_page_8,110.5,145.8,1216.0
3302519,stimulus_Lit_BrokenApril_9_page_8,111.9,148.5,1215.0
3302521,stimulus_Lit_BrokenApril_9_page_8,113.8,151.4,1212.0
3302523,stimulus_Lit_BrokenApril_9_page_8,114.7,151.0,1212.0
3302525,stimulus_Lit_BrokenApril_9_page_8,116.0,150.3,1211.0
3302527,stimulus_Lit_BrokenApril_9_page_8,116.4,149.8,1211.0
3302529,stimulus_Lit_BrokenApril_9_page_8,116.6,150.0,1211.0
3302531,stimulus_Lit_BrokenApril_9_page_8,116.9,150.2,1208.0
3302533,stimulus_Lit_BrokenApril_9_page_8,116.8,150.5,1206.0
3302535,stimulus_Lit_BrokenApril_9_page_8,116.4,151.0,1207.0
3302537,stimulus_Lit_BrokenApril_9_page_8,116.2,151.4,1207.0
3302539,stimulus_Lit_BrokenApril_9_page_8,116.1,150.9,1207.0
