time,screen,pixel_x,pixel_y,pupil
3448119,stimulus_Lit_BrokenApril_9_question_9132,606.6,261.2,1167.0
3448121,stimulus_Lit_BrokenApril_9_question_9132,606.6,261.0,1167.0
3448123,stimulus_Lit_BrokenApril_9_question_9132,607.1,261.0,1166.0
3448125,stimulus_Lit_BrokenApril_9_question_9132,607.3,261.2,1166.0
3448127,stimulus_Lit_BrokenApril_9_question_9132,607.0,261.5,1166.0
3448129,stimulus_Lit_BrokenApril_9_question_9132,606.6,261.5,1167.0
3448131,stimulus_Lit_BrokenApril_9_question_9132,606.6,261.4,1168.0
3448133,stimulus_Lit_BrokenApril_9_question_9132,606.7,261.6,1168.0
3448135,stimulus_Lit_BrokenApril_9_question_9132,606.9,261.8,1168.0
3448137,stimulus_Lit_BrokenApril_9_question_9132,607.2,261.7,1168.0
3448139,stimulus_Lit_BrokenApril_9_question_9132,607.3,261.7,1168.0
3448141,stimulus_Lit_BrokenApril_9_question_9132,607.4,261.7,1169.0
3448143,stimulus_Lit_BrokenApril_9_question_9132,607.3,261.6,1170.0
3448145,stimulus_Lit_BrokenApril_9_question_9132,606.9,261.2,1171.0
3448147,stimulus_Lit_BrokenApril_9_question_9132,606.4,261.6,1171.0
3448149,stimulus_Lit_BrokenApril_9_question_9132,606.2,261.5,1171.0
3448151,stimulus_Lit_BrokenApril_9_question_9132,606.3,261.4,1172.0
3448153,stimulus_Lit_BrokenApril_9_question_9132,606.4,261.8,1174.0
3448155,stimulus_Lit_BrokenApril_9_question_9132,606.1,262.3,1175.0
3448157,stimulus_Lit_BrokenApril_9_question_9132,605.6,262.7,1173.0
3448159,stimulus_Lit_BrokenApril_9_question_9132,605.4,262.7,1173.0
3448161,stimulus_Lit_BrokenApril_9_question_9132,605.4,262.5,1172.0
3448163,stimulus_Lit_BrokenApril_9_question_9132,605.9,262.2,1172.0
3448165,stimulus_Lit_BrokenApril_9_question_9132,606.6,262.2,1172.0
3448167,stimulus_Lit_BrokenApril_9_question_9132,607.1,262.4,1172.0
3448169,stimulus_Lit_BrokenApril_9_question_9132,607.8,262.3,1172.0
3448171,stimulus_Lit_BrokenApril_9_question_9132,607.8,262.1,1171.0
3448173,stimulus_Lit_BrokenApril_9_question_9132,607.9,262.2,1173.0
3448175,stimulus_Lit_BrokenApril_9_question_9132,608.1,262.0,1174.0
3448177,stimulus_Lit_BrokenApril_9_question_9132,608.2,261.9,1175.0
3448179,stimulus_Lit_BrokenApril_9_question_9132,608.1,261.9,1175.0
3448181,stimulus_Lit_BrokenApril_9_question_9132,607.9,262.0,1177.0
3448183,stimulus_Lit_BrokenApril_9_question_9132,608.1,262.0,1177.0
3448185,stimulus_Lit_BrokenApril_9_question_9132,608.0,262.0,1177.0
3448187,stimulus_Lit_BrokenApril_9_question_9132,608.1,261.6,1181.0
3448189,stimulus_Lit_BrokenApril_9_question_9132,608.4,261.4,1183.0
3448191,stimulus_Lit_BrokenApril_9_question_9132,608.3,261.1,1184.0
3448193,stimulus_Lit_BrokenApril_9_question_9132,608.0,261.3,1182.0
3448195,stimulus_Lit_BrokenApril_9_question_9132,607.8,261.5,1181.0
3448197,stimulus_Lit_BrokenApril_9_question_9132,607.6,261.6,1182.0
3448199,stimulus_Lit_BrokenApril_9_question_9132,607.6,261.6,1180.0
3448201,stimulus_Lit_BrokenApril_9_question_9132,607.4,261.7,1179.0
3448203,stimulus_Lit_BrokenApril_9_question_9132,607.2,262.3,1178.0
3448205,stimulus_Lit_BrokenApril_9_question_9132,607.4,262.4,1176.0
3448207,stimulus_Lit_BrokenApril_9_question_9132,608.1,262.3,1176.0
3448209,stimulus_Lit_BrokenApril_9_question_9132,607.9,262.7,1177.0
3448211,stimulus_Lit_BrokenApril_9_question_9132,607.6,262.5,1178.0
3448213,stimulus_Lit_BrokenApril_9_question_9132,607.4,262.1,1178.0
3448215,stimulus_Lit_BrokenApril_9_question_9132,607.4,262.5,1177.0
3448217,stimulus_Lit_BrokenApril_9_question_9132,607.6,262.9,1176.0
3448219,stimulus_Lit_BrokenApril_9_question_9132,607.6,262.7,1176.0
