time,screen,pixel_x,pixel_y,pupil
2911459,stimulus_Arg_PISARapaNui_11_page_13,173.0,89.4,1255.0
2911461,stimulus_Arg_PISARapaNui_11_page_13,173.1,89.4,1254.0
2911463,stimulus_Arg_PISARapaNui_11_page_13,173.0,89.2,1254.0
2911465,stimulus_Arg_PISARapaNui_11_page_13,172.8,89.0,1253.0
2911467,stimulus_Arg_PISARapaNui_11_page_13,172.6,89.0,1253.0
2911469,stimulus_Arg_PISARapaNui_11_page_13,172.5,88.8,1251.0
2911471,stimulus_Arg_PISARapaNui_11_page_13,172.6,88.6,1251.0
2911473,stimulus_Arg_PISARapaNui_11_page_13,172.4,88.4,1251.0
2911475,stimulus_Arg_PISARapaNui_11_page_13,172.4,88.3,1251.0
2911477,stimulus_Arg_PISARapaNui_11_page_13,172.9,88.6,1248.0
2911479,stimulus_Arg_PISARapaNui_11_page_13,173.1,88.8,1247.0
2911481,stimulus_Arg_PISARapaNui_11_page_13,172.6,88.8,1249.0
2911483,stimulus_Arg_PISARapaNui_11_page_13,172.5,88.5,1249.0
2911485,stimulus_Arg_PISARapaNui_11_page_13,172.6,88.3,1248.0
2911487,stimulus_Arg_PISARapaNui_11_page_13,173.2,88.3,1246.0
2911489,stimulus_Arg_PISARapaNui_11_page_13,173.2,88.4,1243.0
2911491,stimulus_Arg_PISARapaNui_11_page_13,172.7,88.6,1243.0
2911493,stimulus_Arg_PISARapaNui_11_page_13,172.8,88.6,1244.0
2911495,stimulus_Arg_PISARapaNui_11_page_13,173.1,88.8,1243.0
2911497,stimulus_Arg_PISARapaNui_11_page_13,173.1,88.8,1240.0
2911499,stimulus_Arg_PISARapaNui_11_page_13,172.6,88.6,1239.0
2911501,stimulus_Arg_PISARapaNui_11_page_13,172.8,88.9,1238.0
2911503,stimulus_Arg_PISARapaNui_11_page_13,173.0,89.2,1238.0
2911505,stimulus_Arg_PISARapaNui_11_page_13,173.3,89.4,1239.0
2911507,stimulus_Arg_PISARapaNui_11_page_13,173.4,89.5,1239.0
2911509,stimulus_Arg_PISARapaNui_11_page_13,173.6,89.8,1237.0
2911511,stimulus_Arg_PISARapaNui_11_page_13,174.1,90.2,1233.0
2911513,stimulus_Arg_PISARapaNui_11_page_13,174.1,90.4,1232.0
2911515,stimulus_Arg_PISARapaNui_11_page_13,174.0,90.5,1232.0
2911517,stimulus_Arg_PISARapaNui_11_page_13,174.0,90.9,1231.0
2911519,stimulus_Arg_PISARapaNui_11_page_13,174.1,91.0,1231.0
2911521,stimulus_Arg_PISARapaNui_11_page_13,174.0,91.0,1232.0
2911523,stimulus_Arg_PISARapaNui_11_page_13,173.6,91.2,1231.0
2911525,stimulus_Arg_PISARapaNui_11_page_13,173.5,91.2,1231.0
2911527,stimulus_Arg_PISARapaNui_11_page_13,173.8,90.6,1231.0
2911529,stimulus_Arg_PISARapaNui_11_page_13,174.0,89.9,1229.0
2911531,stimulus_Arg_PISARapaNui_11_page_13,173.7,89.5,1227.0
2911533,stimulus_Arg_PISARapaNui_11_page_13,172.6,89.4,1228.0
2911535,stimulus_Arg_PISARapaNui_11_page_13,172.2,89.2,1228.0
2911537,stimulus_Arg_PISARapaNui_11_page_13,172.4,89.2,1230.0
2911539,stimulus_Arg_PISARapaNui_11_page_13,173.6,89.0,1229.0
2911541,stimulus_Arg_PISARapaNui_11_page_13,173.4,88.8,1230.0
2911543,stimulus_Arg_PISARapaNui_11_page_13,173.1,88.5,1231.0
2911545,stimulus_Arg_PISARapaNui_11_page_13,172.9,88.8,1230.0
2911547,stimulus_Arg_PISARapaNui_11_page_13,173.2,89.0,1229.0
2911549,stimulus_Arg_PISARapaNui_11_page_13,173.4,89.1,1227.0
2911551,stimulus_Arg_PISARapaNui_11_page_13,173.3,89.1,1226.0
2911553,stimulus_Arg_PISARapaNui_11_page_13,173.4,89.1,1226.0
2911555,stimulus_Arg_PISARapaNui_11_page_13,173.7,88.9,1226.0
2911557,stimulus_Arg_PISARapaNui_11_page_13,174.4,88.9,1225.0
2911559,stimulus_Arg_PISARapaNui_11_page_13,174.2,89.0,1223.0
2911561,stimulus_Arg_PISARapaNui_11_page_13,174.0,89.6,1222.0
2911563,stimulus_Arg_PISARapaNui_11_page_13,174.2,90.1,1222.0
2911565,stimulus_Arg_PISARapaNui_11_page_13,174.0,89.7,1221.0
2911567,stimulus_Arg_PISARapaNui_11_page_13,174.1,89.7,1221.0
2911569,stimulus_Arg_PISARapaNui_11_page_13,174.3,89.7,1221.0
2911571,stimulus_Arg_PISARapaNui_11_page_13,174.4,89.7,1220.0
2911573,stimulus_Arg_PISARapaNui_11_page_13,174.2,89.6,1219.0
2911575,stimulus_Arg_PISARapaNui_11_page_13,174.2,89.9,1218.0
2911577,stimulus_Arg_PISARapaNui_11_page_13,174.5,90.1,1217.0
2911579,stimulus_Arg_PISARapaNui_11_page_13,174.8,89.8,1218.0
2911581,stimulus_Arg_PISARapaNui_11_page_13,174.8,89.3,1219.0
2911583,stimulus_Arg_PISARapaNui_11_page_13,174.8,88.9,1220.0
2911585,stimulus_Arg_PISARapaNui_11_page_13,174.1,88.8,1222.0
2911587,stimulus_Arg_PISARapaNui_11_page_13,174.2,88.7,1220.0
