time,screen,pixel_x,pixel_y,pupil
2966515,stimulus_Arg_PISARapaNui_11_question_11212,210.7,198.5,1173.0
2966517,stimulus_Arg_PISARapaNui_11_question_11212,211.9,199.1,1170.0
2966519,stimulus_Arg_PISARapaNui_11_question_11212,212.9,198.6,1171.0
2966521,stimulus_Arg_PISARapaNui_11_question_11212,213.1,198.2,1173.0
2966523,stimulus_Arg_PISARapaNui_11_question_11212,213.2,198.7,1173.0
2966525,stimulus_Arg_PISARapaNui_11_question_11212,213.4,198.9,1173.0
2966527,stimulus_Arg_PISARapaNui_11_question_11212,213.5,199.0,1171.0
2966529,stimulus_Arg_PISARapaNui_11_question_11212,213.4,199.7,1170.0
2966531,stimulus_Arg_PISARapaNui_11_question_11212,213.4,200.0,1170.0
2966533,stimulus_Arg_PISARapaNui_11_question_11212,213.5,200.3,1169.0
2966535,stimulus_Arg_PISARapaNui_11_question_11212,213.5,200.7,1168.0
2966537,stimulus_Arg_PISARapaNui_11_question_11212,213.1,201.2,1165.0
2966539,stimulus_Arg_PISARapaNui_11_question_11212,212.2,202.1,1164.0
2966541,stimulus_Arg_PISARapaNui_11_question_11212,211.9,203.1,1164.0
2966543,stimulus_Arg_PISARapaNui_11_question_11212,212.3,203.6,1164.0
2966545,stimulus_Arg_PISARapaNui_11_question_11212,211.9,204.3,1164.0
2966547,stimulus_Arg_PISARapaNui_11_question_11212,211.6,204.8,1164.0
2966549,stimulus_Arg_PISARapaNui_11_question_11212,211.7,205.1,1163.0
2966551,stimulus_Arg_PISARapaNui_11_question_11212,211.8,205.4,1161.0
2966553,stimulus_Arg_PISARapaNui_11_question_11212,211.9,204.7,1161.0
2966555,stimulus_Arg_PISARapaNui_11_question_11212,212.2,204.5,1161.0
2966557,stimulus_Arg_PISARapaNui_11_question_11212,212.6,204.5,1160.0
2966559,stimulus_Arg_PISARapaNui_11_question_11212,212.6,203.9,1158.0
2966561,stimulus_Arg_PISARapaNui_11_question_11212,212.4,202.6,1160.0
2966563,stimulus_Arg_PISARapaNui_11_question_11212,212.4,201.9,1161.0
2966565,stimulus_Arg_PISARapaNui_11_question_11212,213.0,202.4,1158.0
2966567,stimulus_Arg_PISARapaNui_11_question_11212,214.0,202.3,1156.0
2966569,stimulus_Arg_PISARapaNui_11_question_11212,214.2,202.0,1155.0
2966571,stimulus_Arg_PISARapaNui_11_question_11212,214.3,201.9,1156.0
2966573,stimulus_Arg_PISARapaNui_11_question_11212,214.3,202.0,1155.0
2966575,stimulus_Arg_PISARapaNui_11_question_11212,214.1,202.6,1156.0
2966577,stimulus_Arg_PISARapaNui_11_question_11212,213.5,203.0,1157.0
2966579,stimulus_Arg_PISARapaNui_11_question_11212,213.4,202.9,1158.0
2966581,stimulus_Arg_PISARapaNui_11_question_11212,213.7,203.4,1158.0
2966583,stimulus_Arg_PISARapaNui_11_question_11212,213.7,203.8,1159.0
2966585,stimulus_Arg_PISARapaNui_11_question_11212,213.2,204.5,1158.0
2966587,stimulus_Arg_PISARapaNui_11_question_11212,212.8,205.2,1157.0
2966589,stimulus_Arg_PISARapaNui_11_question_11212,212.8,205.4,1156.0
2966591,stimulus_Arg_PISARapaNui_11_question_11212,212.2,205.7,1156.0
2966593,stimulus_Arg_PISARapaNui_11_question_11212,211.6,205.8,1156.0
2966595,stimulus_Arg_PISARapaNui_11_question_11212,211.2,206.4,1156.0
2966597,stimulus_Arg_PISARapaNui_11_question_11212,211.1,207.4,1158.0
2966599,stimulus_Arg_PISARapaNui_11_question_11212,211.8,207.5,1157.0
2966601,stimulus_Arg_PISARapaNui_11_question_11212,211.6,207.2,1157.0
2966603,stimulus_Arg_PISARapaNui_11_question_11212,211.7,206.5,1157.0
2966605,stimulus_Arg_PISARapaNui_11_question_11212,212.2,206.2,1158.0
2966607,stimulus_Arg_PISARapaNui_11_question_11212,212.3,205.9,1155.0
2966609,stimulus_Arg_PISARapaNui_11_question_11212,212.2,205.4,1152.0
2966611,stimulus_Arg_PISARapaNui_11_question_11212,212.1,205.5,1155.0
2966613,stimulus_Arg_PISARapaNui_11_question_11212,212.0,205.6,1158.0
2966615,stimulus_Arg_PISARapaNui_11_question_11212,211.9,205.8,1155.0
2966617,stimulus_Arg_PISARapaNui_11_question_11212,211.9,206.3,1154.0
2966619,stimulus_Arg_PISARapaNui_11_question_11212,212.2,206.5,1155.0
2966621,stimulus_Arg_PISARapaNui_11_question_11212,212.6,206.3,1156.0
2966623,stimulus_Arg_PISARapaNui_11_question_11212,212.5,206.3,1156.0
2966625,stimulus_Arg_PISARapaNui_11_question_11212,212.4,206.4,1156.0
2966627,stimulus_Arg_PISARapaNui_11_question_11212,212.4,206.4,1155.0
2966629,stimulus_Arg_PISARapaNui_11_question_11212,212.4,206.0,1155.0
2966631,stimulus_Arg_PISARapaNui_11_question_11212,212.4,205.8,1155.0
2966633,stimulus_Arg_PISARapaNui_11_question_11212,212.6,205.6,1155.0
2966635,stimulus_Arg_PISARapaNui_11_question_11212,213.1,205.6,1155.0
2966637,stimulus_Arg_PISARapaNui_11_question_11212,213.3,205.4,1154.0
2966639,stimulus_Arg_PISARapaNui_11_question_11212,213.1,204.6,1155.0
2966641,stimulus_Arg_PISARapaNui_11_question_11212,212.9,204.1,1157.0
2966643,stimulus_Arg_PISARapaNui_11_question_11212,212.8,204.4,1156.0
2966645,stimulus_Arg_PISARapaNui_11_question_11212,213.0,204.4,1154.0
2966647,stimulus_Arg_PISARapaNui_11_question_11212,213.5,204.3,1153.0
2966649,stimulus_Arg_PISARapaNui_11_question_11212,213.6,204.4,1156.0
2966651,stimulus_Arg_PISARapaNui_11_question_11212,213.6,204.4,1157.0
2966653,stimulus_Arg_PISARapaNui_11_question_11212,213.8,204.5,1157.0
2966655,stimulus_Arg_PISARapaNui_11_question_11212,214.0,205.4,1156.0
2966657,stimulus_Arg_PISARapaNui_11_question_11212,213.7,206.7,1155.0
2966659,stimulus_Arg_PISARapaNui_11_question_11212,213.1,207.8,1157.0
2966661,stimulus_Arg_PISARapaNui_11_question_11212,213.0,208.7,1158.0
2966663,stimulus_Arg_PISARapaNui_11_question_11212,213.2,208.8,1157.0
2966665,stimulus_Arg_PISARapaNui_11_question_11212,213.4,208.8,1156.0
2966667,stimulus_Arg_PISARapaNui_11_question_11212,213.3,208.9,1154.0
2966669,stimulus_Arg_PISARapaNui_11_question_11212,212.9,209.0,1152.0
2966671,stimulus_Arg_PISARapaNui_11_question_11212,212.9,209.0,1152.0
2966673,stimulus_Arg_PISARapaNui_11_question_11212,213.0,209.0,1153.0
2966675,stimulus_Arg_PISARapaNui_11_question_11212,213.2,209.3,1154.0
2966677,stimulus_Arg_PISARapaNui_11_question_11212,213.2,209.4,1154.0
2966679,stimulus_Arg_PISARapaNui_11_question_11212,213.2,209.5,1155.0
2966681,stimulus_Arg_PISARapaNui_11_question_11212,213.4,209.5,1156.0
2966683,stimulus_Arg_PISARapaNui_11_question_11212,213.6,209.2,1157.0
2966685,stimulus_Arg_PISARapaNui_11_question_11212,213.6,209.0,1157.0
2966687,stimulus_Arg_PISARapaNui_11_question_11212,213.6,209.1,1156.0
2966689,stimulus_Arg_PISARapaNui_11_question_11212,213.9,208.7,1155.0
2966691,stimulus_Arg_PISARapaNui_11_question_11212,214.7,208.3,1154.0
2966693,stimulus_Arg_PISARapaNui_11_question_11212,214.9,208.5,1153.0
2966695,stimulus_Arg_PISARapaNui_11_question_11212,214.5,208.4,1152.0
2966697,stimulus_Arg_PISARapaNui_11_question_11212,214.4,207.6,1154.0
2966699,stimulus_Arg_PISARapaNui_11_question_11212,214.3,207.3,1155.0
2966701,stimulus_Arg_PISARapaNui_11_question_11212,214.1,206.6,1156.0
2966703,stimulus_Arg_PISARapaNui_11_question_11212,214.3,206.4,1156.0
2966705,stimulus_Arg_PISARapaNui_11_question_11212,214.4,205.9,1157.0
2966707,stimulus_Arg_PISARapaNui_11_question_11212,214.4,205.5,1157.0
2966709,stimulus_Arg_PISARapaNui_11_question_11212,214.4,204.6,1157.0
2966711,stimulus_Arg_PISARapaNui_11_question_11212,214.3,204.2,1156.0
2966713,stimulus_Arg_PISARapaNui_11_question_11212,214.7,204.4,1156.0
2966715,stimulus_Arg_PISARapaNui_11_question_11212,214.9,204.6,1155.0
2966717,stimulus_Arg_PISARapaNui_11_question_11212,214.2,204.8,1154.0
2966719,stimulus_Arg_PISARapaNui_11_question_11212,214.6,205.3,1155.0
2966721,stimulus_Arg_PISARapaNui_11_question_11212,215.3,205.2,1158.0
2966723,stimulus_Arg_PISARapaNui_11_question_11212,215.8,204.5,1157.0
2966725,stimulus_Arg_PISARapaNui_11_question_11212,216.2,204.3,1155.0
2966727,stimulus_Arg_PISARapaNui_11_question_11212,216.1,204.7,1156.0
2966729,stimulus_Arg_PISARapaNui_11_question_11212,215.6,205.4,1157.0
2966731,stimulus_Arg_PISARapaNui_11_question_11212,215.4,206.5,1158.0
2966733,stimulus_Arg_PISARapaNui_11_question_11212,216.3,209.5,1159.0
2966735,stimulus_Arg_PISARapaNui_11_question_11212,217.9,214.7,1160.0
2966737,stimulus_Arg_PISARapaNui_11_question_11212,221.0,223.4,1164.0
2966739,stimulus_Arg_PISARapaNui_11_question_11212,226.4,234.2,1167.0
2966741,stimulus_Arg_PISARapaNui_11_question_11212,231.5,244.7,1173.0
2966743,stimulus_Arg_PISARapaNui_11_question_11212,235.0,255.3,1176.0
2966745,stimulus_Arg_PISARapaNui_11_question_11212,238.9,264.6,1179.0
2966747,stimulus_Arg_PISARapaNui_11_question_11212,243.3,270.2,1183.0
2966749,stimulus_Arg_PISARapaNui_11_question_11212,245.2,273.7,1185.0
2966751,stimulus_Arg_PISARapaNui_11_question_11212,245.8,274.6,1186.0
2966753,stimulus_Arg_PISARapaNui_11_question_11212,245.8,273.0,1187.0
2966755,stimulus_Arg_PISARapaNui_11_question_11212,245.3,270.0,1187.0
2966757,stimulus_Arg_PISARapaNui_11_question_11212,244.3,267.4,1185.0
2966759,stimulus_Arg_PISARapaNui_11_question_11212,243.9,266.3,1185.0
2966761,stimulus_Arg_PISARapaNui_11_question_11212,244.1,265.8,1185.0
2966763,stimulus_Arg_PISARapaNui_11_question_11212,244.4,265.5,1184.0
2966765,stimulus_Arg_PISARapaNui_11_question_11212,244.6,266.1,1182.0
