time,screen,pixel_x,pixel_y,pupil
1042237,stimulus_PopSci_MultiplEYE_1_page_3,64.2,129.4,1114.0
1042239,stimulus_PopSci_MultiplEYE_1_page_3,64.4,129.4,1115.0
1042241,stimulus_PopSci_MultiplEYE_1_page_3,64.8,129.4,1115.0
1042243,stimulus_PopSci_MultiplEYE_1_page_3,64.9,129.3,1114.0
1042245,stimulus_PopSci_MultiplEYE_1_page_3,65.1,129.8,1115.0
1042247,stimulus_PopSci_MultiplEYE_1_page_3,65.6,129.9,1116.0
1042249,stimulus_PopSci_MultiplEYE_1_page_3,65.7,130.0,1117.0
1042251,stimulus_PopSci_MultiplEYE_1_page_3,65.5,130.1,1117.0
1042253,stimulus_PopSci_MultiplEYE_1_page_3,65.5,130.2,1116.0
1042255,stimulus_PopSci_MultiplEYE_1_page_3,65.2,130.5,1115.0
1042257,stimulus_PopSci_MultiplEYE_1_page_3,65.1,131.0,1115.0
1042259,stimulus_PopSci_MultiplEYE_1_page_3,65.3,130.8,1117.0
1042261,stimulus_PopSci_MultiplEYE_1_page_3,65.5,130.7,1118.0
1042263,stimulus_PopSci_MultiplEYE_1_page_3,66.0,131.0,1117.0
1042265,stimulus_PopSci_MultiplEYE_1_page_3,66.4,131.0,1115.0
1042267,stimulus_PopSci_MultiplEYE_1_page_3,66.3,131.1,1116.0
1042269,stimulus_PopSci_MultiplEYE_1_page_3,66.5,131.3,1117.0
1042271,stimulus_PopSci_MultiplEYE_1_page_3,66.6,131.4,1116.0
1042273,stimulus_PopSci_MultiplEYE_1_page_3,66.4,131.5,1118.0
1042275,stimulus_PopSci_MultiplEYE_1_page_3,66.8,131.7,1117.0
1042277,stimulus_PopSci_MultiplEYE_1_page_3,67.1,131.8,1116.0
1042279,stimulus_PopSci_MultiplEYE_1_page_3,67.2,131.9,1117.0
1042281,stimulus_PopSci_MultiplEYE_1_page_3,67.1,131.9,1117.0
1042283,stimulus_PopSci_MultiplEYE_1_page_3,67.0,132.2,1116.0
1042285,stimulus_PopSci_MultiplEYE_1_page_3,66.7,132.4,1115.0
1042287,stimulus_PopSci_MultiplEYE_1_page_3,66.6,132.4,1115.0
1042289,stimulus_PopSci_MultiplEYE_1_page_3,66.6,132.2,1115.0
1042291,stimulus_PopSci_MultiplEYE_1_page_3,66.8,132.0,1116.0
1042293,stimulus_PopSci_MultiplEYE_1_page_3,66.8,132.1,1118.0
1042295,stimulus_PopSci_MultiplEYE_1_page_3,67.1,132.2,1117.0
1042297,stimulus_PopSci_MultiplEYE_1_page_3,67.2,132.2,1116.0
1042299,stimulus_PopSci_MultiplEYE_1_page_3,67.3,132.7,1115.0
1042301,stimulus_PopSci_MultiplEYE_1_page_3,67.3,133.1,1116.0
1042303,stimulus_PopSci_MultiplEYE_1_page_3,67.4,133.3,1115.0
1042305,stimulus_PopSci_MultiplEYE_1_page_3,67.8,133.5,1113.0
1042307,stimulus_PopSci_MultiplEYE_1_page_3,67.9,133.6,1113.0
1042309,stimulus_PopSci_MultiplEYE_1_page_3,67.7,133.4,1114.0
1042311,stimulus_PopSci_MultiplEYE_1_page_3,67.6,133.5,1113.0
1042313,stimulus_PopSci_MultiplEYE_1_page_3,67.9,133.6,1112.0
1042315,stimulus_PopSci_MultiplEYE_1_page_3,68.2,133.9,1112.0
1042317,stimulus_PopSci_MultiplEYE_1_page_3,68.5,133.6,1114.0
1042319,stimulus_PopSci_MultiplEYE_1_page_3,68.8,133.1,1116.0
1042321,stimulus_PopSci_MultiplEYE_1_page_3,69.6,132.9,1116.0
1042323,stimulus_PopSci_MultiplEYE_1_page_3,69.6,132.9,1114.0
1042325,stimulus_PopSci_MultiplEYE_1_page_3,69.7,132.7,1113.0
1042327,stimulus_PopSci_MultiplEYE_1_page_3,69.8,132.2,1113.0
1042329,stimulus_PopSci_MultiplEYE_1_page_3,69.8,132.0,1115.0
1042331,stimulus_PopSci_MultiplEYE_1_page_3,69.8,132.0,1115.0
1042333,stimulus_PopSci_MultiplEYE_1_page_3,69.5,131.7,1115.0
1042335,stimulus_PopSci_MultiplEYE_1_page_3,68.8,131.4,1115.0
1042337,stimulus_PopSci_MultiplEYE_1_page_3,68.6,131.1,1117.0
1042339,stimulus_PopSci_MultiplEYE_1_page_3,68.1,131.1,1118.0
1042341,stimulus_PopSci_MultiplEYE_1_page_3,67.8,131.3,1118.0
1042343,stimulus_PopSci_MultiplEYE_1_page_3,68.2,131.4,1118.0
1042345,stimulus_PopSci_MultiplEYE_1_page_3,68.0,131.5,1119.0
1042347,stimulus_PopSci_MultiplEYE_1_page_3,67.6,131.6,1119.0
1042349,stimulus_PopSci_MultiplEYE_1_page_3,67.4,131.7,1120.0
1042351,stimulus_PopSci_MultiplEYE_1_page_3,67.3,131.8,1119.0
1042353,stimulus_PopSci_MultiplEYE_1_page_3,67.1,131.4,1119.0
1042355,stimulus_PopSci_MultiplEYE_1_page_3,67.1,131.3,1118.0
1042357,stimulus_PopSci_MultiplEYE_1_page_3,67.0,131.3,1118.0
