time,screen,pixel_x,pixel_y,pupil
1293105,stimulus_PopSci_MultiplEYE_1_question_1112,971.4,782.4,1291.0
1293107,stimulus_PopSci_MultiplEYE_1_question_1112,971.3,782.5,1290.0
1293109,stimulus_PopSci_MultiplEYE_1_question_1112,971.2,782.6,1290.0
1293111,stimulus_PopSci_MultiplEYE_1_question_1112,971.2,783.0,1290.0
1293113,stimulus_PopSci_MultiplEYE_1_question_1112,971.1,783.0,1290.0
1293115,stimulus_PopSci_MultiplEYE_1_question_1112,970.6,782.9,1289.0
1293117,stimulus_PopSci_MultiplEYE_1_question_1112,971.1,783.1,1289.0
1293119,stimulus_PopSci_MultiplEYE_1_question_1112,971.2,783.6,1289.0
1293121,stimulus_PopSci_MultiplEYE_1_question_1112,971.7,783.5,1288.0
1293123,stimulus_PopSci_MultiplEYE_1_question_1112,972.1,783.2,1288.0
1293125,stimulus_PopSci_MultiplEYE_1_question_1112,971.5,783.0,1288.0
1293127,stimulus_PopSci_MultiplEYE_1_question_1112,971.9,782.8,1287.0
1293129,stimulus_PopSci_MultiplEYE_1_question_1112,972.2,783.0,1285.0
1293131,stimulus_PopSci_MultiplEYE_1_question_1112,972.5,783.5,1285.0
1293133,stimulus_PopSci_MultiplEYE_1_question_1112,972.8,783.9,1285.0
1293135,stimulus_PopSci_MultiplEYE_1_question_1112,972.8,783.9,1285.0
1293137,stimulus_PopSci_MultiplEYE_1_question_1112,972.7,783.9,1285.0
1293139,stimulus_PopSci_MultiplEYE_1_question_1112,972.8,783.6,1285.0
1293141,stimulus_PopSci_MultiplEYE_1_question_1112,972.5,783.1,1284.0
1293143,stimulus_PopSci_MultiplEYE_1_question_1112,972.2,783.7,1284.0
1293145,stimulus_PopSci_MultiplEYE_1_question_1112,971.7,784.3,1284.0
1293147,stimulus_PopSci_MultiplEYE_1_question_1112,971.6,784.4,1286.0
1293149,stimulus_PopSci_MultiplEYE_1_question_1112,972.2,784.5,1287.0
1293151,stimulus_PopSci_MultiplEYE_1_question_1112,972.4,784.1,1286.0
1293153,stimulus_PopSci_MultiplEYE_1_question_1112,971.6,783.5,1284.0
1293155,stimulus_PopSci_MultiplEYE_1_question_1112,971.0,783.1,1284.0
1293157,stimulus_PopSci_MultiplEYE_1_question_1112,971.7,782.9,1284.0
1293159,stimulus_PopSci_MultiplEYE_1_question_1112,972.2,782.8,1285.0
1293161,stimulus_PopSci_MultiplEYE_1_question_1112,972.3,782.9,1285.0
1293163,stimulus_PopSci_MultiplEYE_1_question_1112,972.3,783.3,1285.0
1293165,stimulus_PopSci_MultiplEYE_1_question_1112,972.2,784.4,1284.0
1293167,stimulus_PopSci_MultiplEYE_1_question_1112,971.4,784.8,1285.0
1293169,stimulus_PopSci_MultiplEYE_1_question_1112,971.5,784.4,1284.0
1293171,stimulus_PopSci_MultiplEYE_1_question_1112,971.9,784.3,1283.0
1293173,stimulus_PopSci_MultiplEYE_1_question_1112,971.4,784.4,1282.0
1293175,stimulus_PopSci_MultiplEYE_1_question_1112,971.3,784.6,1282.0
1293177,stimulus_PopSci_MultiplEYE_1_question_1112,972.0,784.7,1282.0
1293179,stimulus_PopSci_MultiplEYE_1_question_1112,972.1,784.8,1282.0
1293181,stimulus_PopSci_MultiplEYE_1_question_1112,972.3,785.1,1282.0
1293183,stimulus_PopSci_MultiplEYE_1_question_1112,972.5,785.9,1282.0
1293185,stimulus_PopSci_MultiplEYE_1_question_1112,972.5,785.7,1281.0
1293187,stimulus_PopSci_MultiplEYE_1_question_1112,972.5,784.9,1281.0
1293189,stimulus_PopSci_MultiplEYE_1_question_1112,973.2,784.3,1278.0
1293191,stimulus_PopSci_MultiplEYE_1_question_1112,973.8,783.5,1278.0
1293193,stimulus_PopSci_MultiplEYE_1_question_1112,973.9,782.1,1277.0
1293195,stimulus_PopSci_MultiplEYE_1_question_1112,974.3,781.8,1272.0
1293197,stimulus_PopSci_MultiplEYE_1_question_1112,973.9,781.7,1270.0
1293199,stimulus_PopSci_MultiplEYE_1_question_1112,974.3,780.6,1272.0
1293201,stimulus_PopSci_MultiplEYE_1_question_1112,974.6,780.2,1276.0
1293203,stimulus_PopSci_MultiplEYE_1_question_1112,974.0,780.5,1278.0
1293205,stimulus_PopSci_MultiplEYE_1_question_1112,973.8,780.2,1279.0
1293207,stimulus_PopSci_MultiplEYE_1_question_1112,974.0,780.1,1279.0
1293209,stimulus_PopSci_MultiplEYE_1_question_1112,974.4,780.3,1279.0
1293211,stimulus_PopSci_MultiplEYE_1_question_1112,974.4,780.6,1279.0
1293213,stimulus_PopSci_MultiplEYE_1_question_1112,973.9,780.7,1280.0
1293215,stimulus_PopSci_MultiplEYE_1_question_1112,973.0,780.5,1280.0
1293217,stimulus_PopSci_MultiplEYE_1_question_1112,972.6,780.2,1281.0
1293219,stimulus_PopSci_MultiplEYE_1_question_1112,972.2,780.1,1281.0
1293221,stimulus_PopSci_MultiplEYE_1_question_1112,971.8,779.9,1279.0
1293223,stimulus_PopSci_MultiplEYE_1_question_1112,971.7,779.5,1279.0
1293225,stimulus_PopSci_MultiplEYE_1_question_1112,971.1,779.1,1278.0
1293227,stimulus_PopSci_MultiplEYE_1_question_1112,971.4,778.8,1278.0
1293229,stimulus_PopSci_MultiplEYE_1_question_1112,972.0,779.2,1277.0
1293231,stimulus_PopSci_MultiplEYE_1_question_1112,971.8,779.8,1279.0
1293233,stimulus_PopSci_MultiplEYE_1_question_1112,971.6,779.7,1281.0
1293235,stimulus_PopSci_MultiplEYE_1_question_1112,971.3,779.7,1283.0
1293237,stimulus_PopSci_MultiplEYE_1_question_1112,971.2,780.5,1285.0
1293239,stimulus_PopSci_MultiplEYE_1_question_1112,970.9,781.2,1284.0
1293241,stimulus_PopSci_MultiplEYE_1_question_1112,970.9,781.2,1286.0
1293243,stimulus_PopSci_MultiplEYE_1_question_1112,970.9,781.6,1288.0
1293245,stimulus_PopSci_MultiplEYE_1_question_1112,970.9,782.4,1286.0
1293247,stimulus_PopSci_MultiplEYE_1_question_1112,971.0,782.9,1286.0
1293249,stimulus_PopSci_MultiplEYE_1_question_1112,971.1,782.5,1287.0
1293251,stimulus_PopSci_MultiplEYE_1_question_1112,971.2,782.2,1286.0
1293253,stimulus_PopSci_MultiplEYE_1_question_1112,971.1,781.4,1284.0
1293255,stimulus_PopSci_MultiplEYE_1_question_1112,971.2,781.2,1283.0
1293257,stimulus_PopSci_MultiplEYE_1_question_1112,971.4,781.2,1283.0
1293259,stimulus_PopSci_MultiplEYE_1_question_1112,971.6,781.8,1284.0
1293261,stimulus_PopSci_MultiplEYE_1_question_1112,971.2,782.3,1286.0
1293263,stimulus_PopSci_MultiplEYE_1_question_1112,971.1,782.1,1288.0
