time,screen,pixel_x,pixel_y,pupil
710845,stimulus_Ins_HumanRights_2_page_3,63.2,103.1,1402.0
710847,stimulus_Ins_HumanRights_2_page_3,63.7,103.8,1401.0
710849,stimulus_Ins_HumanRights_2_page_3,64.1,104.6,1401.0
710851,stimulus_Ins_HumanRights_2_page_3,64.1,104.7,1402.0
710853,stimulus_Ins_HumanRights_2_page_3,63.3,104.8,1404.0
710855,stimulus_Ins_HumanRights_2_page_3,62.2,105.5,1405.0
710857,stimulus_Ins_HumanRights_2_page_3,61.7,106.4,1405.0
710859,stimulus_Ins_HumanRights_2_page_3,61.5,107.2,1404.0
710861,stimulus_Ins_HumanRights_2_page_3,61.5,107.9,1404.0
710863,stimulus_Ins_HumanRights_2_page_3,61.8,108.3,1404.0
710865,stimulus_Ins_HumanRights_2_page_3,59.5,100.9,1404.0
710867,stimulus_Ins_HumanRights_2_page_3,57.8,93.6,1404.0
710869,stimulus_Ins_HumanRights_2_page_3,58.6,93.8,1404.0
710871,stimulus_Ins_HumanRights_2_page_3,59.1,94.3,1407.0
710873,stimulus_Ins_HumanRights_2_page_3,59.6,95.2,1408.0
710875,stimulus_Ins_HumanRights_2_page_3,59.6,96.0,1408.0
710877,stimulus_Ins_HumanRights_2_page_3,59.7,96.6,1409.0
710879,stimulus_Ins_HumanRights_2_page_3,59.1,96.6,1410.0
710881,stimulus_Ins_HumanRights_2_page_3,58.9,96.9,1409.0
710883,stimulus_Ins_HumanRights_2_page_3,59.6,97.5,1408.0
710885,stimulus_Ins_HumanRights_2_page_3,59.4,98.1,1408.0
710887,stimulus_Ins_HumanRights_2_page_3,59.1,99.0,1408.0
710889,stimulus_Ins_HumanRights_2_page_3,59.0,100.0,1409.0
710891,stimulus_Ins_HumanRights_2_page_3,59.1,100.6,1408.0
710893,stimulus_Ins_HumanRights_2_page_3,59.7,101.1,1407.0
710895,stimulus_Ins_HumanRights_2_page_3,60.8,101.4,1408.0
710897,stimulus_Ins_HumanRights_2_page_3,61.2,101.4,1409.0
710899,stimulus_Ins_HumanRights_2_page_3,61.5,101.6,1406.0
710901,stimulus_Ins_HumanRights_2_page_3,62.1,101.9,1407.0
710903,stimulus_Ins_HumanRights_2_page_3,62.4,102.3,1406.0
710905,stimulus_Ins_HumanRights_2_page_3,61.9,101.7,1406.0
710907,stimulus_Ins_HumanRights_2_page_3,61.8,101.3,1408.0
710909,stimulus_Ins_HumanRights_2_page_3,61.8,101.3,1409.0
710911,stimulus_Ins_HumanRights_2_page_3,62.0,101.5,1408.0
710913,stimulus_Ins_HumanRights_2_page_3,62.2,101.4,1410.0
710915,stimulus_Ins_HumanRights_2_page_3,62.4,101.8,1410.0
710917,stimulus_Ins_HumanRights_2_page_3,62.4,102.0,1409.0
710919,stimulus_Ins_HumanRights_2_page_3,62.8,102.1,1410.0
710921,stimulus_Ins_HumanRights_2_page_3,62.9,102.3,1411.0
710923,stimulus_Ins_HumanRights_2_page_3,63.0,102.0,1410.0
710925,stimulus_Ins_HumanRights_2_page_3,63.3,101.5,1412.0
