time,screen,pixel_x,pixel_y,pupil
916275,stimulus_Ins_HumanRights_2_question_2131,307.7,329.3,1205.0
916277,stimulus_Ins_HumanRights_2_question_2131,308.1,329.2,1207.0
916279,stimulus_Ins_HumanRights_2_question_2131,308.7,328.8,1206.0
916281,stimulus_Ins_HumanRights_2_question_2131,308.5,328.6,1205.0
916283,stimulus_Ins_HumanRights_2_question_2131,308.2,328.4,1206.0
916285,stimulus_Ins_HumanRights_2_question_2131,308.5,328.2,1208.0
916287,stimulus_Ins_HumanRights_2_question_2131,308.6,328.3,1208.0
916289,stimulus_Ins_HumanRights_2_question_2131,308.6,328.3,1207.0
916291,stimulus_Ins_HumanRights_2_question_2131,308.5,328.0,1207.0
916293,stimulus_Ins_HumanRights_2_question_2131,308.6,328.0,1207.0
916295,stimulus_Ins_HumanRights_2_question_2131,309.1,327.9,1207.0
916297,stimulus_Ins_HumanRights_2_question_2131,308.6,327.6,1208.0
916299,stimulus_Ins_HumanRights_2_question_2131,308.5,327.4,1208.0
916301,stimulus_Ins_HumanRights_2_question_2131,308.5,327.4,1208.0
916303,stimulus_Ins_HumanRights_2_question_2131,308.4,327.2,1209.0
916305,stimulus_Ins_HumanRights_2_question_2131,308.2,326.7,1209.0
916307,stimulus_Ins_HumanRights_2_question_2131,307.8,326.8,1208.0
916309,stimulus_Ins_HumanRights_2_question_2131,307.6,327.0,1206.0
916311,stimulus_Ins_HumanRights_2_question_2131,307.4,327.0,1205.0
916313,stimulus_Ins_HumanRights_2_question_2131,308.0,327.0,1206.0
916315,stimulus_Ins_HumanRights_2_question_2131,307.9,327.1,1207.0
916317,stimulus_Ins_HumanRights_2_question_2131,307.6,327.4,1207.0
916319,stimulus_Ins_HumanRights_2_question_2131,307.5,327.6,1206.0
916321,stimulus_Ins_HumanRights_2_question_2131,307.5,327.5,1207.0
916323,stimulus_Ins_HumanRights_2_question_2131,307.5,327.5,1209.0
916325,stimulus_Ins_HumanRights_2_question_2131,307.2,327.5,1208.0
916327,stimulus_Ins_HumanRights_2_question_2131,306.9,327.7,1205.0
916329,stimulus_Ins_HumanRights_2_question_2131,306.3,327.7,1204.0
916331,stimulus_Ins_HumanRights_2_question_2131,306.2,327.6,1204.0
916333,stimulus_Ins_HumanRights_2_question_2131,306.0,327.5,1205.0
916335,stimulus_Ins_HumanRights_2_question_2131,305.9,327.5,1205.0
916337,stimulus_Ins_HumanRights_2_question_2131,305.9,327.6,1204.0
916339,stimulus_Ins_HumanRights_2_question_2131,305.7,327.6,1202.0
916341,stimulus_Ins_HumanRights_2_question_2131,305.5,327.9,1199.0
916343,stimulus_Ins_HumanRights_2_question_2131,305.9,327.8,1198.0
916345,stimulus_Ins_HumanRights_2_question_2131,305.8,327.3,1199.0
916347,stimulus_Ins_HumanRights_2_question_2131,305.8,327.3,1199.0
916349,stimulus_Ins_HumanRights_2_question_2131,306.1,327.5,1198.0
916351,stimulus_Ins_HumanRights_2_question_2131,306.5,327.6,1196.0
916353,stimulus_Ins_HumanRights_2_question_2131,306.8,327.6,1198.0
916355,stimulus_Ins_HumanRights_2_question_2131,307.6,327.4,1199.0
916357,stimulus_Ins_HumanRights_2_question_2131,308.0,327.0,1198.0
916359,stimulus_Ins_HumanRights_2_question_2131,308.3,326.9,1196.0
916361,stimulus_Ins_HumanRights_2_question_2131,308.5,327.3,1195.0
916363,stimulus_Ins_HumanRights_2_question_2131,308.1,327.5,1195.0
916365,stimulus_Ins_HumanRights_2_question_2131,307.4,327.6,1195.0
916367,stimulus_Ins_HumanRights_2_question_2131,307.4,327.6,1194.0
916369,stimulus_Ins_HumanRights_2_question_2131,307.9,327.5,1191.0
916371,stimulus_Ins_HumanRights_2_question_2131,308.2,327.4,1190.0
916373,stimulus_Ins_HumanRights_2_question_2131,308.3,327.1,1189.0
916375,stimulus_Ins_HumanRights_2_question_2131,308.5,326.7,1189.0
916377,stimulus_Ins_HumanRights_2_question_2131,308.9,326.6,1189.0
916379,stimulus_Ins_HumanRights_2_question_2131,309.2,326.6,1190.0
916381,stimulus_Ins_HumanRights_2_question_2131,309.8,326.5,1190.0
916383,stimulus_Ins_HumanRights_2_question_2131,309.8,326.6,1192.0
916385,stimulus_Ins_HumanRights_2_question_2131,309.8,326.5,1194.0
916387,stimulus_Ins_HumanRights_2_question_2131,309.9,326.5,1194.0
916389,stimulus_Ins_HumanRights_2_question_2131,310.3,326.9,1192.0
916391,stimulus_Ins_HumanRights_2_question_2131,310.4,327.0,1191.0
916393,stimulus_Ins_HumanRights_2_question_2131,310.5,327.4,1193.0
916395,stimulus_Ins_HumanRights_2_question_2131,310.4,328.1,1194.0
916397,stimulus_Ins_HumanRights_2_question_2131,310.4,328.3,1193.0
916399,stimulus_Ins_HumanRights_2_question_2131,310.0,328.5,1192.0
916401,stimulus_Ins_HumanRights_2_question_2131,309.6,328.5,1192.0
916403,stimulus_Ins_HumanRights_2_question_2131,309.9,329.2,1193.0
916405,stimulus_Ins_HumanRights_2_question_2131,310.1,329.4,1192.0
916407,stimulus_Ins_HumanRights_2_question_2131,310.1,329.4,1191.0
916409,stimulus_Ins_HumanRights_2_question_2131,310.1,329.3,1188.0
916411,stimulus_Ins_HumanRights_2_question_2131,309.7,329.4,1188.0
916413,stimulus_Ins_HumanRights_2_question_2131,309.4,329.1,1188.0
916415,stimulus_Ins_HumanRights_2_question_2131,309.3,328.9,1188.0
916417,stimulus_Ins_HumanRights_2_question_2131,309.0,328.9,1189.0
916419,stimulus_Ins_HumanRights_2_question_2131,308.3,328.9,1185.0
916421,stimulus_Ins_HumanRights_2_question_2131,308.2,328.9,1184.0
916423,stimulus_Ins_HumanRights_2_question_2131,308.5,328.9,1185.0
916425,stimulus_Ins_HumanRights_2_question_2131,308.6,328.6,1185.0
916427,stimulus_Ins_HumanRights_2_question_2131,308.6,328.3,1184.0
916429,stimulus_Ins_HumanRights_2_question_2131,308.7,328.1,1184.0
916431,stimulus_Ins_HumanRights_2_question_2131,308.8,327.9,1183.0
916433,stimulus_Ins_HumanRights_2_question_2131,308.9,327.9,1183.0
916435,stimulus_Ins_HumanRights_2_question_2131,309.2,327.9,1184.0
916437,stimulus_Ins_HumanRights_2_question_2131,309.3,328.1,1184.0
916439,stimulus_Ins_HumanRights_2_question_2131,309.5,328.1,1183.0
916441,stimulus_Ins_HumanRights_2_question_2131,309.6,328.0,1184.0
916443,stimulus_Ins_HumanRights_2_question_2131,309.8,327.9,1184.0
916445,stimulus_Ins_HumanRights_2_question_2131,309.7,328.1,1185.0
916447,stimulus_Ins_HumanRights_2_question_2131,309.3,328.4,1185.0
916449,stimulus_Ins_HumanRights_2_question_2131,309.2,328.3,1184.0
916451,stimulus_Ins_HumanRights_2_question_2131,309.4,328.4,1183.0
916453,stimulus_Ins_HumanRights_2_question_2131,309.4,328.7,1180.0
916455,stimulus_Ins_HumanRights_2_question_2131,309.2,328.8,1180.0
916457,stimulus_Ins_HumanRights_2_question_2131,308.5,328.9,1180.0
916459,stimulus_Ins_HumanRights_2_question_2131,308.2,328.6,1181.0
916461,stimulus_Ins_HumanRights_2_question_2131,307.9,328.3,1182.0
916463,stimulus_Ins_HumanRights_2_question_2131,307.8,328.4,1183.0
916465,stimulus_Ins_HumanRights_2_question_2131,307.6,328.7,1183.0
916467,stimulus_Ins_HumanRights_2_question_2131,307.2,328.8,1182.0
916469,stimulus_Ins_HumanRights_2_question_2131,306.6,329.1,1180.0
916471,stimulus_Ins_HumanRights_2_question_2131,306.0,329.9,1179.0
916473,stimulus_Ins_HumanRights_2_question_2131,306.4,330.3,1179.0
916475,stimulus_Ins_HumanRights_2_question_2131,306.9,330.1,1180.0
916477,stimulus_Ins_HumanRights_2_question_2131,307.6,329.1,1183.0
916479,stimulus_Ins_HumanRights_2_question_2131,307.5,326.6,1185.0
916481,stimulus_Ins_HumanRights_2_question_2131,306.8,322.6,1184.0
916483,stimulus_Ins_HumanRights_2_question_2131,302.8,314.6,1184.0
916485,stimulus_Ins_HumanRights_2_question_2131,293.7,304.5,1183.0
916487,stimulus_Ins_HumanRights_2_question_2131,286.8,294.2,1180.0
916489,stimulus_Ins_HumanRights_2_question_2131,277.9,283.6,1175.0
916491,stimulus_Ins_HumanRights_2_question_2131,266.7,274.7,1169.0
916493,stimulus_Ins_HumanRights_2_question_2131,258.7,265.6,1167.0
916495,stimulus_Ins_HumanRights_2_question_2131,250.8,252.8,1161.0
916497,stimulus_Ins_HumanRights_2_question_2131,240.8,235.2,1155.0
916499,stimulus_Ins_HumanRights_2_question_2131,230.9,220.8,1154.0
916501,stimulus_Ins_HumanRights_2_question_2131,224.3,211.1,1149.0
916503,stimulus_Ins_HumanRights_2_question_2131,215.9,203.9,1148.0
916505,stimulus_Ins_HumanRights_2_question_2131,209.3,199.5,1146.0
916507,stimulus_Ins_HumanRights_2_question_2131,204.0,196.6,1140.0
916509,stimulus_Ins_HumanRights_2_question_2131,200.1,194.3,1140.0
916511,stimulus_Ins_HumanRights_2_question_2131,196.8,193.7,1140.0
916513,stimulus_Ins_HumanRights_2_question_2131,195.1,194.4,1143.0
916515,stimulus_Ins_HumanRights_2_question_2131,194.2,196.4,1146.0
916517,stimulus_Ins_HumanRights_2_question_2131,194.3,197.9,1148.0
916519,stimulus_Ins_HumanRights_2_question_2131,194.2,199.0,1150.0
916521,stimulus_Ins_HumanRights_2_question_2131,193.4,199.2,1152.0
916523,stimulus_Ins_HumanRights_2_question_2131,193.5,198.5,1153.0
916525,stimulus_Ins_HumanRights_2_question_2131,193.5,197.1,1154.0
916527,stimulus_Ins_HumanRights_2_question_2131,193.1,195.6,1153.0
916529,stimulus_Ins_HumanRights_2_question_2131,193.1,195.0,1153.0
916531,stimulus_Ins_HumanRights_2_question_2131,193.0,194.7,1154.0
916533,stimulus_Ins_HumanRights_2_question_2131,193.2,194.4,1153.0
916535,stimulus_Ins_HumanRights_2_question_2131,193.2,194.3,1153.0
916537,stimulus_Ins_HumanRights_2_question_2131,193.1,194.4,1154.0
916539,stimulus_Ins_HumanRights_2_question_2131,192.9,194.5,1152.0
916541,stimulus_Ins_HumanRights_2_question_2131,193.0,194.6,1152.0
916543,stimulus_Ins_HumanRights_2_question_2131,193.2,194.3,1152.0
916545,stimulus_Ins_HumanRights_2_question_2131,193.6,194.0,1153.0
916547,stimulus_Ins_HumanRights_2_question_2131,194.0,194.0,1153.0
916549,stimulus_Ins_HumanRights_2_question_2131,193.9,193.9,1151.0
916551,stimulus_Ins_HumanRights_2_question_2131,193.7,194.0,1150.0
916553,stimulus_Ins_HumanRights_2_question_2131,193.8,193.5,1150.0
