time,screen,pixel_x,pixel_y,pupil
824075,subject_difficulty_screen,182.7,328.3,1229.0
824077,subject_difficulty_screen,182.6,328.3,1230.0
824079,subject_difficulty_screen,182.6,328.6,1231.0
824081,subject_difficulty_screen,182.5,329.1,1229.0
824083,subject_difficulty_screen,182.4,329.3,1228.0
824085,subject_difficulty_screen,182.5,329.1,1228.0
824087,subject_difficulty_screen,182.8,328.9,1228.0
824089,subject_difficulty_screen,183.1,328.6,1229.0
824091,subject_difficulty_screen,183.4,328.6,1230.0
824093,subject_difficulty_screen,183.3,328.8,1231.0
824095,subject_difficulty_screen,182.6,328.7,1232.0
824097,subject_difficulty_screen,182.2,328.4,1232.0
824099,subject_difficulty_screen,182.1,328.3,1232.0
824101,subject_difficulty_screen,182.7,328.4,1232.0
824103,subject_difficulty_screen,183.0,328.2,1233.0
824105,subject_difficulty_screen,183.1,328.2,1234.0
824107,subject_difficulty_screen,183.1,328.6,1234.0
824109,subject_difficulty_screen,183.1,328.6,1233.0
824111,subject_difficulty_screen,183.4,328.6,1233.0
824113,subject_difficulty_screen,183.7,329.2,1235.0
824115,subject_difficulty_screen,183.4,329.3,1237.0
824117,subject_difficulty_screen,183.1,328.7,1238.0
824119,subject_difficulty_screen,182.9,328.3,1240.0
824121,subject_difficulty_screen,182.2,328.2,1241.0
824123,subject_difficulty_screen,181.8,328.0,1241.0
824125,subject_difficulty_screen,181.8,328.0,1241.0
824127,subject_difficulty_screen,181.6,328.2,1243.0
824129,subject_difficulty_screen,181.4,328.3,1244.0
824131,subject_difficulty_screen,181.4,328.5,1242.0
824133,subject_difficulty_screen,181.3,328.8,1241.0
824135,subject_difficulty_screen,181.0,328.9,1241.0
824137,subject_difficulty_screen,180.9,329.0,1241.0
824139,subject_difficulty_screen,180.9,329.1,1240.0
824141,subject_difficulty_screen,180.8,329.2,1240.0
824143,subject_difficulty_screen,180.7,329.0,1240.0
824145,subject_difficulty_screen,180.7,328.7,1240.0
824147,subject_difficulty_screen,180.5,328.6,1241.0
824149,subject_difficulty_screen,179.9,328.4,1241.0
824151,subject_difficulty_screen,179.7,328.4,1241.0
824153,subject_difficulty_screen,179.5,328.2,1241.0
824155,subject_difficulty_screen,179.4,328.5,1239.0
824157,subject_difficulty_screen,179.9,328.8,1239.0
824159,subject_difficulty_screen,180.7,328.7,1239.0
824161,subject_difficulty_screen,181.4,328.4,1239.0
824163,subject_difficulty_screen,181.4,328.2,1239.0
824165,subject_difficulty_screen,181.3,328.1,1239.0
824167,subject_difficulty_screen,181.4,328.3,1239.0
824169,subject_difficulty_screen,181.5,328.8,1239.0
824171,subject_difficulty_screen,181.5,329.0,1239.0
824173,subject_difficulty_screen,181.7,328.8,1240.0
824175,subject_difficulty_screen,182.0,328.8,1240.0
824177,subject_difficulty_screen,182.6,328.7,1240.0
824179,subject_difficulty_screen,182.8,328.8,1241.0
824181,subject_difficulty_screen,182.8,329.4,1242.0
824183,subject_difficulty_screen,182.6,329.8,1242.0
824185,subject_difficulty_screen,181.9,330.0,1242.0
824187,subject_difficulty_screen,181.3,330.2,1241.0
824189,subject_difficulty_screen,180.6,330.7,1240.0
824191,subject_difficulty_screen,180.5,331.1,1239.0
824193,subject_difficulty_screen,180.1,331.1,1239.0
824195,subject_difficulty_screen,179.8,331.4,1239.0
824197,subject_difficulty_screen,179.8,331.7,1239.0
824199,subject_difficulty_screen,179.7,331.8,1240.0
824201,subject_difficulty_screen,180.0,331.1,1241.0
824203,subject_difficulty_screen,180.3,330.7,1240.0
824205,subject_difficulty_screen,180.4,330.4,1241.0
824207,subject_difficulty_screen,180.5,329.8,1244.0
824209,subject_difficulty_screen,180.5,329.4,1245.0
824211,subject_difficulty_screen,180.6,329.1,1245.0
824213,subject_difficulty_screen,180.8,328.8,1245.0
824215,subject_difficulty_screen,180.9,328.9,1245.0
824217,subject_difficulty_screen,180.9,328.7,1244.0
824219,subject_difficulty_screen,180.7,328.5,1245.0
824221,subject_difficulty_screen,180.6,328.3,1247.0
824223,subject_difficulty_screen,180.6,328.5,1247.0
824225,subject_difficulty_screen,181.2,328.1,1248.0
824227,subject_difficulty_screen,181.6,327.6,1250.0
824229,subject_difficulty_screen,181.0,327.6,1253.0
824231,subject_difficulty_screen,180.7,327.6,1252.0
824233,subject_difficulty_screen,181.1,327.9,1251.0
824235,subject_difficulty_screen,181.9,328.0,1253.0
824237,subject_difficulty_screen,181.9,327.9,1254.0
824239,subject_difficulty_screen,181.3,328.3,1255.0
824241,subject_difficulty_screen,181.2,328.4,1254.0
824243,subject_difficulty_screen,180.5,328.5,1253.0
824245,subject_difficulty_screen,180.3,328.8,1254.0
824247,subject_difficulty_screen,180.5,327.9,1255.0
824249,subject_difficulty_screen,180.2,326.2,1256.0
824251,subject_difficulty_screen,180.7,322.5,1259.0
824253,subject_difficulty_screen,182.8,314.8,1259.0
824255,subject_difficulty_screen,186.7,305.1,1257.0
824257,subject_difficulty_screen,190.0,296.9,1253.0
824259,subject_difficulty_screen,194.4,288.2,1248.0
824261,subject_difficulty_screen,198.3,281.8,1246.0
824263,subject_difficulty_screen,200.9,274.4,1242.0
824265,subject_difficulty_screen,200.4,268.2,1239.0
824267,subject_difficulty_screen,199.5,257.2,1236.0
824269,subject_difficulty_screen,197.7,242.9,1233.0
824271,subject_difficulty_screen,196.3,229.7,1230.0
824273,subject_difficulty_screen,195.2,219.3,1226.0
824275,subject_difficulty_screen,194.2,211.4,1220.0
824277,subject_difficulty_screen,193.0,205.8,1220.0
824279,subject_difficulty_screen,191.9,203.2,1223.0
824281,subject_difficulty_screen,191.4,202.6,1223.0
824283,subject_difficulty_screen,191.2,203.2,1223.0
824285,subject_difficulty_screen,191.0,204.7,1224.0
824287,subject_difficulty_screen,191.1,206.5,1225.0
824289,subject_difficulty_screen,191.0,208.0,1227.0
824291,subject_difficulty_screen,191.5,209.4,1227.0
824293,subject_difficulty_screen,191.9,210.0,1227.0
824295,subject_difficulty_screen,191.9,209.4,1227.0
824297,subject_difficulty_screen,191.9,209.3,1229.0
824299,subject_difficulty_screen,191.9,209.4,1231.0
824301,subject_difficulty_screen,192.0,209.3,1234.0
824303,subject_difficulty_screen,192.0,209.5,1234.0
824305,subject_difficulty_screen,191.9,210.1,1235.0
824307,subject_difficulty_screen,191.5,210.5,1236.0
824309,subject_difficulty_screen,191.7,210.6,1236.0
824311,subject_difficulty_screen,192.0,210.2,1236.0
824313,subject_difficulty_screen,191.7,210.1,1232.0
824315,subject_difficulty_screen,191.7,210.5,1231.0
824317,subject_difficulty_screen,191.3,210.7,1234.0
824319,subject_difficulty_screen,190.9,210.7,1234.0
824321,subject_difficulty_screen,190.8,210.6,1233.0
824323,subject_difficulty_screen,190.6,211.0,1233.0
824325,subject_difficulty_screen,190.4,211.1,1234.0
824327,subject_difficulty_screen,190.4,210.7,1235.0
824329,subject_difficulty_screen,190.2,210.6,1234.0
824331,subject_difficulty_screen,189.8,210.7,1233.0
824333,subject_difficulty_screen,190.1,210.8,1231.0
824335,subject_difficulty_screen,190.2,210.8,1230.0
824337,subject_difficulty_screen,190.1,210.8,1231.0
824339,subject_difficulty_screen,189.9,210.9,1232.0
824341,subject_difficulty_screen,190.2,211.0,1230.0
824343,subject_difficulty_screen,190.2,211.1,1228.0
824345,subject_difficulty_screen,189.6,211.1,1226.0
824347,subject_difficulty_screen,189.2,211.0,1228.0
824349,subject_difficulty_screen,189.2,210.8,1230.0
824351,subject_difficulty_screen,189.0,210.5,1230.0
824353,subject_difficulty_screen,188.9,210.5,1228.0
824355,subject_difficulty_screen,189.0,210.6,1227.0
824357,subject_difficulty_screen,189.2,210.7,1227.0
824359,subject_difficulty_screen,189.5,210.8,1226.0
824361,subject_difficulty_screen,189.4,211.1,1226.0
824363,subject_difficulty_screen,189.1,211.5,1226.0
824365,subject_difficulty_screen,189.2,211.6,1225.0
824367,subject_difficulty_screen,189.2,211.3,1225.0
824369,subject_difficulty_screen,189.0,211.1,1225.0
824371,subject_difficulty_screen,189.0,210.9,1226.0
