time,screen,pixel_x,pixel_y,pupil
3866353,stimulus_Lit_Solaris_8_page_1,75.9,168.0,1208.0
3866355,stimulus_Lit_Solaris_8_page_1,76.2,168.4,1208.0
3866357,stimulus_Lit_Solaris_8_page_1,76.5,168.5,1210.0
3866359,stimulus_Lit_Solaris_8_page_1,76.7,168.8,1211.0
3866361,stimulus_Lit_Solaris_8_page_1,76.9,168.9,1210.0
3866363,stimulus_Lit_Solaris_8_page_1,77.0,169.2,1208.0
3866365,stimulus_Lit_Solaris_8_page_1,77.0,169.3,1209.0
3866367,stimulus_Lit_Solaris_8_page_1,76.9,169.4,1210.0
3866369,stimulus_Lit_Solaris_8_page_1,76.6,169.4,1210.0
3866371,stimulus_Lit_Solaris_8_page_1,77.0,169.1,1213.0
3866373,stimulus_Lit_Solaris_8_page_1,77.3,169.0,1213.0
3866375,stimulus_Lit_Solaris_8_page_1,77.3,168.9,1212.0
3866377,stimulus_Lit_Solaris_8_page_1,77.5,168.8,1212.0
3866379,stimulus_Lit_Solaris_8_page_1,77.5,168.7,1213.0
3866381,stimulus_Lit_Solaris_8_page_1,77.5,168.7,1214.0
3866383,stimulus_Lit_Solaris_8_page_1,77.3,168.7,1213.0
3866385,stimulus_Lit_Solaris_8_page_1,76.6,168.9,1212.0
3866387,stimulus_Lit_Solaris_8_page_1,76.0,169.0,1213.0
3866389,stimulus_Lit_Solaris_8_page_1,76.3,168.9,1212.0
3866391,stimulus_Lit_Solaris_8_page_1,76.1,169.0,1213.0
3866393,stimulus_Lit_Solaris_8_page_1,75.9,169.5,1212.0
3866395,stimulus_Lit_Solaris_8_page_1,75.5,169.8,1212.0
3866397,stimulus_Lit_Solaris_8_page_1,75.4,169.7,1212.0
3866399,stimulus_Lit_Solaris_8_page_1,75.9,169.6,1212.0
3866401,stimulus_Lit_Solaris_8_page_1,75.8,169.7,1212.0
3866403,stimulus_Lit_Solaris_8_page_1,75.7,169.8,1212.0
3866405,stimulus_Lit_Solaris_8_page_1,75.9,169.7,1213.0
3866407,stimulus_Lit_Solaris_8_page_1,76.2,169.6,1213.0
3866409,stimulus_Lit_Solaris_8_page_1,76.4,169.6,1211.0
3866411,stimulus_Lit_Solaris_8_page_1,76.8,169.7,1211.0
3866413,stimulus_Lit_Solaris_8_page_1,77.3,169.7,1210.0
3866415,stimulus_Lit_Solaris_8_page_1,77.7,169.7,1210.0
3866417,stimulus_Lit_Solaris_8_page_1,78.0,169.6,1209.0
3866419,stimulus_Lit_Solaris_8_page_1,78.1,169.5,1209.0
3866421,stimulus_Lit_Solaris_8_page_1,78.1,169.9,1211.0
3866423,stimulus_Lit_Solaris_8_page_1,77.8,170.1,1211.0
3866425,stimulus_Lit_Solaris_8_page_1,77.9,170.2,1211.0
3866427,stimulus_Lit_Solaris_8_page_1,77.9,170.7,1211.0
3866429,stimulus_Lit_Solaris_8_page_1,77.9,171.0,1211.0
3866431,stimulus_Lit_Solaris_8_page_1,77.5,171.5,1212.0
3866433,stimulus_Lit_Solaris_8_page_1,77.1,171.9,1213.0
3866435,stimulus_Lit_Solaris_8_page_1,76.9,171.7,1214.0
3866437,stimulus_Lit_Solaris_8_page_1,76.9,171.6,1213.0
3866439,stimulus_Lit_Solaris_8_page_1,77.0,171.7,1211.0
3866441,stimulus_Lit_Solaris_8_page_1,77.6,171.7,1212.0
3866443,stimulus_Lit_Solaris_8_page_1,78.3,171.7,1213.0
3866445,stimulus_Lit_Solaris_8_page_1,78.7,171.5,1214.0
3866447,stimulus_Lit_Solaris_8_page_1,78.7,171.4,1214.0
3866449,stimulus_Lit_Solaris_8_page_1,78.8,171.5,1215.0
3866451,stimulus_Lit_Solaris_8_page_1,78.2,171.5,1214.0
3866453,stimulus_Lit_Solaris_8_page_1,77.7,171.5,1214.0
3866455,stimulus_Lit_Solaris_8_page_1,77.7,171.5,1213.0
3866457,stimulus_Lit_Solaris_8_page_1,77.6,171.6,1213.0
3866459,stimulus_Lit_Solaris_8_page_1,77.3,171.7,1213.0
3866461,stimulus_Lit_Solaris_8_page_1,77.1,171.5,1213.0
3866463,stimulus_Lit_Solaris_8_page_1,76.9,171.2,1212.0
3866465,stimulus_Lit_Solaris_8_page_1,76.5,171.3,1210.0
3866467,stimulus_Lit_Solaris_8_page_1,76.3,171.5,1211.0
3866469,stimulus_Lit_Solaris_8_page_1,76.8,171.7,1210.0
3866471,stimulus_Lit_Solaris_8_page_1,77.0,172.1,1208.0
3866473,stimulus_Lit_Solaris_8_page_1,77.7,172.5,1210.0
3866475,stimulus_Lit_Solaris_8_page_1,77.9,172.7,1210.0
3866477,stimulus_Lit_Solaris_8_page_1,77.9,173.3,1209.0
3866479,stimulus_Lit_Solaris_8_page_1,77.6,174.0,1208.0
3866481,stimulus_Lit_Solaris_8_page_1,77.3,174.5,1209.0
3866483,stimulus_Lit_Solaris_8_page_1,77.3,174.4,1209.0
3866485,stimulus_Lit_Solaris_8_page_1,77.6,173.3,1210.0
3866487,stimulus_Lit_Solaris_8_page_1,76.7,169.7,1209.0
3866489,stimulus_Lit_Solaris_8_page_1,74.1,163.7,1207.0
3866491,stimulus_Lit_Solaris_8_page_1,70.7,156.9,1206.0
3866493,stimulus_Lit_Solaris_8_page_1,68.0,150.5,1206.0
3866495,stimulus_Lit_Solaris_8_page_1,65.6,145.0,1207.0
3866497,stimulus_Lit_Solaris_8_page_1,64.1,140.8,1207.0
3866499,stimulus_Lit_Solaris_8_page_1,63.6,137.7,1207.0
3866501,stimulus_Lit_Solaris_8_page_1,63.7,136.0,1208.0
3866503,stimulus_Lit_Solaris_8_page_1,64.6,134.7,1207.0
3866505,stimulus_Lit_Solaris_8_page_1,66.6,133.9,1206.0
3866507,stimulus_Lit_Solaris_8_page_1,67.7,134.0,1204.0
3866509,stimulus_Lit_Solaris_8_page_1,68.4,134.5,1202.0
3866511,stimulus_Lit_Solaris_8_page_1,68.3,135.2,1202.0
3866513,stimulus_Lit_Solaris_8_page_1,67.9,136.3,1202.0
3866515,stimulus_Lit_Solaris_8_page_1,67.7,137.4,1200.0
3866517,stimulus_Lit_Solaris_8_page_1,67.7,138.7,1199.0
3866519,stimulus_Lit_Solaris_8_page_1,67.8,139.4,1200.0
3866521,stimulus_Lit_Solaris_8_page_1,67.6,140.0,1200.0
3866523,stimulus_Lit_Solaris_8_page_1,67.7,140.5,1201.0
3866525,stimulus_Lit_Solaris_8_page_1,68.1,141.0,1202.0
3866527,stimulus_Lit_Solaris_8_page_1,68.0,141.3,1203.0
3866529,stimulus_Lit_Solaris_8_page_1,68.0,141.3,1203.0
3866531,stimulus_Lit_Solaris_8_page_1,68.0,141.2,1201.0
3866533,stimulus_Lit_Solaris_8_page_1,68.3,141.0,1201.0
3866535,stimulus_Lit_Solaris_8_page_1,68.6,140.7,1200.0
3866537,stimulus_Lit_Solaris_8_page_1,68.6,140.4,1200.0
3866539,stimulus_Lit_Solaris_8_page_1,68.4,140.0,1199.0
3866541,stimulus_Lit_Solaris_8_page_1,68.0,139.9,1197.0
3866543,stimulus_Lit_Solaris_8_page_1,67.8,139.9,1196.0
3866545,stimulus_Lit_Solaris_8_page_1,67.8,139.8,1195.0
3866547,stimulus_Lit_Solaris_8_page_1,67.9,139.6,1195.0
3866549,stimulus_Lit_Solaris_8_page_1,67.8,139.7,1198.0
3866551,stimulus_Lit_Solaris_8_page_1,69.9,147.6,1197.0
3866553,stimulus_Lit_Solaris_8_page_1,72.1,155.8,1196.0
