timestamp_started,timestamp_completed,trial_id,stimulus_id,stimulus_name,completed
134013.16770000267,193617.0395000081,PRACTICE_1,13,Enc_WikiMoon,1
193631.76499999827,235296.6916000005,PRACTICE_2,7,Lit_NorthWind,1
276134.60560000385,567035.0638999953,1,6,Lit_MagicMountain,1
611070.0683000032,884266.1570000055,2,2,Ins_HumanRights,1
919979.7846000001,1319019.5703000063,3,1,PopSci_MultiplEYE,1
1407463.0666000012,1614630.557299999,4,4,Lit_Alchemist,1
1842570.3203000012,2183402.680600004,5,3,Ins_LearningMobility,1
2621942.8992000176,2976948.066300014,6,11,Arg_PISARapaNui,1
3077934.0641000015,3400413.1775000133,7,9,Lit_BrokenApril,1
3490128.966000018,3740795.158299996,8,12,PopSci_Caveman,1
3805422.845199995,,9,8,Lit_Solaris,0
