page,word_idx,word,question_image_version
question_12111,0,Unde,question_images_version_238
question_12111,1,a,question_images_version_238
question_12111,2,trăit,question_images_version_238
question_12111,3,omul,question_images_version_238
question_12111,4,mezolitic?,question_images_version_238
PopSci_Caveman_12_question_12111_target,0,Spania.,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,0,Oamenii,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,1,de,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,2,știință,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,3,au,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,4,restrâns,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,5,căutarea,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,6,la,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,7,7.000,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,8,de,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,9,locații,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_a,10,plauzibile.,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_b,0,Ferme,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_b,1,în,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_b,2,Europa.,question_images_version_238
PopSci_Caveman_12_question_12111_distractor_c,0,Africa.,question_images_version_238
question_12112,0,Cine,question_images_version_238
question_12112,1,a,question_images_version_238
question_12112,2,descoperit,question_images_version_238
question_12112,3,cele,question_images_version_238
question_12112,4,două,question_images_version_238
question_12112,5,schelete,question_images_version_238
question_12112,6,mezolitice?,question_images_version_238
PopSci_Caveman_12_question_12112_target,0,Un,question_images_version_238
PopSci_Caveman_12_question_12112_target,1,grup,question_images_version_238
PopSci_Caveman_12_question_12112_target,2,de,question_images_version_238
PopSci_Caveman_12_question_12112_target,3,speologi.,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_a,0,Oameni,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_a,1,de,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_a,2,știință,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_a,3,spanioli.,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_b,0,Fermieri,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_b,1,spanioli.,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_c,0,Un,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_c,1,grup,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_c,2,de,question_images_version_238
PopSci_Caveman_12_question_12112_distractor_c,3,alpiniști.,question_images_version_238
question_12121,0,Ce,question_images_version_238
question_12121,1,ne,question_images_version_238
question_12121,2,spune,question_images_version_238
question_12121,3,datarea,question_images_version_238
question_12121,4,cu,question_images_version_238
question_12121,5,carbon,question_images_version_238
question_12121,6,despre,question_images_version_238
question_12121,7,schelete?,question_images_version_238
PopSci_Caveman_12_question_12121_target,0,Acestea,question_images_version_238
PopSci_Caveman_12_question_12121_target,1,provin,question_images_version_238
PopSci_Caveman_12_question_12121_target,2,din,question_images_version_238
PopSci_Caveman_12_question_12121_target,3,perioada,question_images_version_238
PopSci_Caveman_12_question_12121_target,4,anterioară,question_images_version_238
PopSci_Caveman_12_question_12121_target,5,introducerii,question_images_version_238
PopSci_Caveman_12_question_12121_target,6,agriculturii,question_images_version_238
PopSci_Caveman_12_question_12121_target,7,în,question_images_version_238
PopSci_Caveman_12_question_12121_target,8,Europa.,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,0,Acestea,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,1,au,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,2,aparținut,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,3,unor,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,4,bărbați,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,5,care,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,6,au,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,7,sosit,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,8,în,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,9,Europa,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,10,din,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,11,Orientul,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_a,12,Mijlociu.,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_b,0,Acestea,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_b,1,au,question_images_version_238
PopSci_Caveman_12_question_12121_distractor_b,2,aparținut,question_images_version_238
