page,word_idx,word,question_image_version
question_03111,0,Care,question_images_version_173
question_03111,1,a,question_images_version_173
question_03111,2,fost,question_images_version_173
question_03111,3,obiectivul,question_images_version_173
question_03111,4,inițial,question_images_version_173
question_03111,5,al,question_images_version_173
question_03111,6,Cadrului,question_images_version_173
question_03111,7,Strategic,question_images_version_173
question_03111,8,pentru,question_images_version_173
question_03111,9,Cooperarea,question_images_version_173
question_03111,10,Europeană,question_images_version_173
question_03111,11,în,question_images_version_173
question_03111,12,Educație,question_images_version_173
question_03111,13,și,question_images_version_173
question_03111,14,Formare,question_images_version_173
question_03111,15,Profesională,question_images_version_173
question_03111,16,2020?,question_images_version_173
Ins_LearningMobility_3_question_03111_target,0,Mobilitatea,question_images_version_173
Ins_LearningMobility_3_question_03111_target,1,fizică,question_images_version_173
Ins_LearningMobility_3_question_03111_target,2,în,question_images_version_173
Ins_LearningMobility_3_question_03111_target,3,învățământul,question_images_version_173
Ins_LearningMobility_3_question_03111_target,4,superior.,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,0,Un,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,1,punct,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,2,de,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,3,referință,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,4,în,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,5,educație,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,6,și,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,7,formare,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_a,8,profesională.,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_b,0,Tinerii,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_b,1,dobândind,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_b,2,experiențe,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_b,3,de,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_b,4,învățare,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_b,5,în,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_b,6,străinătate.,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,0,Un,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,1,punct,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,2,de,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,3,referință,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,4,pentru,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,5,capacitatea,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,6,de,question_images_version_173
Ins_LearningMobility_3_question_03111_distractor_c,7,angajare.,question_images_version_173
question_03112,0,Ce,question_images_version_173
question_03112,1,măsoară,question_images_version_173
question_03112,2,indicatorul,question_images_version_173
question_03112,3,de,question_images_version_173
question_03112,4,referință,question_images_version_173
question_03112,5,al,question_images_version_173
question_03112,6,UE?,question_images_version_173
Ins_LearningMobility_3_question_03112_target,0,Numărul,question_images_version_173
Ins_LearningMobility_3_question_03112_target,1,de,question_images_version_173
Ins_LearningMobility_3_question_03112_target,2,absolvenți,question_images_version_173
Ins_LearningMobility_3_question_03112_target,3,calificați,question_images_version_173
Ins_LearningMobility_3_question_03112_target,4,care,question_images_version_173
Ins_LearningMobility_3_question_03112_target,5,au,question_images_version_173
Ins_LearningMobility_3_question_03112_target,6,fost,question_images_version_173
Ins_LearningMobility_3_question_03112_target,7,mobili.,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,0,Numărul,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,1,de,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,2,tineri,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,3,care,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,4,au,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,5,absolvit,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,6,în,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_a,7,străinătate.,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,0,Numărul,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,1,de,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,2,cetățeni,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,3,UE,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,4,care,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,5,au,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,6,absolvit,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,7,în,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,8,afara,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_b,9,UE.,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,0,Numărul,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,1,de,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,2,absolviri,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,3,finalizate,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,4,în,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,5,cadrul,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,6,programului,question_images_version_173
Ins_LearningMobility_3_question_03112_distractor_c,7,ERASMUS+.,question_images_version_173
question_03121,0,Care,question_images_version_173
question_03121,1,sunt,question_images_version_173
question_03121,2,obiectivele,question_images_version_173
question_03121,3,diferite,question_images_version_173
question_03121,4,ale,question_images_version_173
question_03121,5,celor,question_images_version_173
question_03121,6,doi,question_images_version_173
question_03121,7,indicatori,question_images_version_173
question_03121,8,de,question_images_version_173
question_03121,9,referință,question_images_version_173
question_03121,10,privind,question_images_version_173
question_03121,11,mobilitatea,question_images_version_173
question_03121,12,în,question_images_version_173
question_03121,13,scop,question_images_version_173
question_03121,14,educațional?,question_images_version_173
Ins_LearningMobility_3_question_03121_target,0,Unul,question_images_version_173
Ins_LearningMobility_3_question_03121_target,1,se,question_images_version_173
Ins_LearningMobility_3_question_03121_target,2,concentrează,question_images_version_173
