time,screen,pixel_x,pixel_y,pupil
2363319,stimulus_Lit_NorthWind_7_page_1,76.5,104.1,1589.0
2363321,stimulus_Lit_NorthWind_7_page_1,76.2,104.5,1587.0
2363323,stimulus_Lit_NorthWind_7_page_1,76.6,104.6,1588.0
2363325,stimulus_Lit_NorthWind_7_page_1,76.6,104.1,1590.0
2363327,stimulus_Lit_NorthWind_7_page_1,76.2,104.3,1590.0
2363329,stimulus_Lit_NorthWind_7_page_1,76.1,104.5,1590.0
2363331,stimulus_Lit_NorthWind_7_page_1,76.6,104.5,1588.0
2363333,stimulus_Lit_NorthWind_7_page_1,77.0,104.6,1585.0
2363335,stimulus_Lit_NorthWind_7_page_1,77.1,104.6,1585.0
2363337,stimulus_Lit_NorthWind_7_page_1,76.7,105.1,1587.0
2363339,stimulus_Lit_NorthWind_7_page_1,76.8,105.2,1589.0
2363341,stimulus_Lit_NorthWind_7_page_1,76.9,105.0,1591.0
2363343,stimulus_Lit_NorthWind_7_page_1,77.1,104.7,1594.0
2363345,stimulus_Lit_NorthWind_7_page_1,77.4,104.4,1595.0
2363347,stimulus_Lit_NorthWind_7_page_1,77.1,104.4,1596.0
2363349,stimulus_Lit_NorthWind_7_page_1,76.7,104.4,1594.0
2363351,stimulus_Lit_NorthWind_7_page_1,76.6,104.7,1589.0
2363353,stimulus_Lit_NorthWind_7_page_1,76.6,104.8,1586.0
2363355,stimulus_Lit_NorthWind_7_page_1,76.6,104.9,1588.0
2363357,stimulus_Lit_NorthWind_7_page_1,76.6,104.9,1591.0
2363359,stimulus_Lit_NorthWind_7_page_1,76.6,105.1,1592.0
2363361,stimulus_Lit_NorthWind_7_page_1,76.7,105.3,1592.0
2363363,stimulus_Lit_NorthWind_7_page_1,76.6,105.3,1593.0
2363365,stimulus_Lit_NorthWind_7_page_1,76.2,105.2,1594.0
2363367,stimulus_Lit_NorthWind_7_page_1,76.3,104.9,1594.0
2363369,stimulus_Lit_NorthWind_7_page_1,76.6,105.0,1593.0
2363371,stimulus_Lit_NorthWind_7_page_1,76.9,105.2,1590.0
2363373,stimulus_Lit_NorthWind_7_page_1,76.4,105.4,1589.0
2363375,stimulus_Lit_NorthWind_7_page_1,76.6,105.1,1590.0
2363377,stimulus_Lit_NorthWind_7_page_1,76.6,104.7,1593.0
2363379,stimulus_Lit_NorthWind_7_page_1,76.5,105.0,1593.0
2363381,stimulus_Lit_NorthWind_7_page_1,76.7,105.2,1590.0
2363383,stimulus_Lit_NorthWind_7_page_1,76.7,105.0,1591.0
2363385,stimulus_Lit_NorthWind_7_page_1,76.8,104.5,1592.0
2363387,stimulus_Lit_NorthWind_7_page_1,76.8,105.0,1593.0
2363389,stimulus_Lit_NorthWind_7_page_1,76.7,105.4,1594.0
2363391,stimulus_Lit_NorthWind_7_page_1,76.6,105.6,1589.0
2363393,stimulus_Lit_NorthWind_7_page_1,76.6,105.6,1587.0
2363395,stimulus_Lit_NorthWind_7_page_1,76.7,105.5,1589.0
2363397,stimulus_Lit_NorthWind_7_page_1,77.0,105.1,1593.0
2363399,stimulus_Lit_NorthWind_7_page_1,76.9,105.0,1593.0
2363401,stimulus_Lit_NorthWind_7_page_1,76.7,104.9,1592.0
2363403,stimulus_Lit_NorthWind_7_page_1,76.9,104.8,1591.0
2363405,stimulus_Lit_NorthWind_7_page_1,76.8,105.0,1594.0
2363407,stimulus_Lit_NorthWind_7_page_1,76.9,105.0,1600.0
2363409,stimulus_Lit_NorthWind_7_page_1,77.1,104.9,1600.0
2363411,stimulus_Lit_NorthWind_7_page_1,76.9,104.9,1595.0
2363413,stimulus_Lit_NorthWind_7_page_1,76.8,105.3,1594.0
2363415,stimulus_Lit_NorthWind_7_page_1,76.8,105.7,1595.0
2363417,stimulus_Lit_NorthWind_7_page_1,76.7,105.8,1599.0
2363419,stimulus_Lit_NorthWind_7_page_1,76.7,105.5,1599.0
2363421,stimulus_Lit_NorthWind_7_page_1,76.5,105.6,1597.0
2363423,stimulus_Lit_NorthWind_7_page_1,76.9,105.8,1596.0
2363425,stimulus_Lit_NorthWind_7_page_1,77.2,105.9,1596.0
2363427,stimulus_Lit_NorthWind_7_page_1,76.9,105.6,1600.0
2363429,stimulus_Lit_NorthWind_7_page_1,76.8,105.2,1601.0
2363431,stimulus_Lit_NorthWind_7_page_1,76.9,105.2,1594.0
2363433,stimulus_Lit_NorthWind_7_page_1,77.0,106.0,1592.0
2363435,stimulus_Lit_NorthWind_7_page_1,77.0,105.8,1593.0
2363437,stimulus_Lit_NorthWind_7_page_1,77.0,105.6,1600.0
2363439,stimulus_Lit_NorthWind_7_page_1,77.0,105.6,1601.0
2363441,stimulus_Lit_NorthWind_7_page_1,77.0,105.4,1596.0
2363443,stimulus_Lit_NorthWind_7_page_1,77.2,105.2,1597.0
2363445,stimulus_Lit_NorthWind_7_page_1,77.3,105.1,1598.0
2363447,stimulus_Lit_NorthWind_7_page_1,77.4,105.3,1601.0
2363449,stimulus_Lit_NorthWind_7_page_1,76.7,105.4,1599.0
2363451,stimulus_Lit_NorthWind_7_page_1,76.5,105.6,1594.0
2363453,stimulus_Lit_NorthWind_7_page_1,77.0,106.0,1595.0
2363455,stimulus_Lit_NorthWind_7_page_1,77.1,106.0,1598.0
2363457,stimulus_Lit_NorthWind_7_page_1,77.2,106.2,1603.0
2363459,stimulus_Lit_NorthWind_7_page_1,77.1,106.3,1605.0
2363461,stimulus_Lit_NorthWind_7_page_1,76.8,106.1,1602.0
2363463,stimulus_Lit_NorthWind_7_page_1,76.8,106.1,1602.0
2363465,stimulus_Lit_NorthWind_7_page_1,76.7,106.4,1604.0
2363467,stimulus_Lit_NorthWind_7_page_1,76.6,106.4,1604.0
2363469,stimulus_Lit_NorthWind_7_page_1,76.7,106.6,1604.0
2363471,stimulus_Lit_NorthWind_7_page_1,77.3,106.7,1602.0
2363473,stimulus_Lit_NorthWind_7_page_1,77.4,106.9,1599.0
2363475,stimulus_Lit_NorthWind_7_page_1,77.4,107.5,1602.0
2363477,stimulus_Lit_NorthWind_7_page_1,77.4,107.5,1606.0
2363479,stimulus_Lit_NorthWind_7_page_1,77.4,107.5,1608.0
2363481,stimulus_Lit_NorthWind_7_page_1,77.3,107.5,1610.0
2363483,stimulus_Lit_NorthWind_7_page_1,77.1,107.8,1610.0
2363485,stimulus_Lit_NorthWind_7_page_1,77.1,107.8,1607.0
2363487,stimulus_Lit_NorthWind_7_page_1,77.0,107.8,1606.0
2363489,stimulus_Lit_NorthWind_7_page_1,76.9,107.8,1605.0
2363491,stimulus_Lit_NorthWind_7_page_1,77.3,108.1,1603.0
2363493,stimulus_Lit_NorthWind_7_page_1,77.4,108.6,1601.0
2363495,stimulus_Lit_NorthWind_7_page_1,77.2,108.3,1604.0
2363497,stimulus_Lit_NorthWind_7_page_1,77.3,108.1,1612.0
2363499,stimulus_Lit_NorthWind_7_page_1,77.3,107.9,1615.0
2363501,stimulus_Lit_NorthWind_7_page_1,77.1,108.4,1610.0
2363503,stimulus_Lit_NorthWind_7_page_1,77.0,108.2,1610.0
2363505,stimulus_Lit_NorthWind_7_page_1,76.9,107.5,1614.0
2363507,stimulus_Lit_NorthWind_7_page_1,76.6,107.9,1618.0
2363509,stimulus_Lit_NorthWind_7_page_1,76.6,108.0,1615.0
2363511,stimulus_Lit_NorthWind_7_page_1,76.6,107.9,1613.0
2363513,stimulus_Lit_NorthWind_7_page_1,76.6,108.1,1611.0
2363515,stimulus_Lit_NorthWind_7_page_1,76.8,108.1,1612.0
2363517,stimulus_Lit_NorthWind_7_page_1,76.7,107.9,1614.0
2363519,stimulus_Lit_NorthWind_7_page_1,76.1,107.7,1614.0
2363521,stimulus_Lit_NorthWind_7_page_1,76.1,107.6,1612.0
2363523,stimulus_Lit_NorthWind_7_page_1,76.5,108.0,1612.0
2363525,stimulus_Lit_NorthWind_7_page_1,76.7,108.4,1615.0
2363527,stimulus_Lit_NorthWind_7_page_1,77.0,108.4,1615.0
2363529,stimulus_Lit_NorthWind_7_page_1,77.2,108.4,1612.0
2363531,stimulus_Lit_NorthWind_7_page_1,76.9,108.3,1611.0
2363533,stimulus_Lit_NorthWind_7_page_1,77.1,108.3,1612.0
2363535,stimulus_Lit_NorthWind_7_page_1,76.9,108.2,1614.0
2363537,stimulus_Lit_NorthWind_7_page_1,76.4,108.0,1617.0
2363539,stimulus_Lit_NorthWind_7_page_1,76.5,107.9,1617.0
2363541,stimulus_Lit_NorthWind_7_page_1,76.8,108.3,1615.0
2363543,stimulus_Lit_NorthWind_7_page_1,77.1,108.3,1615.0
2363545,stimulus_Lit_NorthWind_7_page_1,76.9,107.9,1619.0
2363547,stimulus_Lit_NorthWind_7_page_1,76.5,108.0,1620.0
2363549,stimulus_Lit_NorthWind_7_page_1,76.5,108.2,1617.0
2363551,stimulus_Lit_NorthWind_7_page_1,76.6,108.2,1615.0
2363553,stimulus_Lit_NorthWind_7_page_1,76.5,108.2,1613.0
2363555,stimulus_Lit_NorthWind_7_page_1,76.6,108.1,1616.0
2363557,stimulus_Lit_NorthWind_7_page_1,76.6,107.9,1619.0
2363559,stimulus_Lit_NorthWind_7_page_1,76.5,107.9,1621.0
2363561,stimulus_Lit_NorthWind_7_page_1,76.4,108.3,1620.0
2363563,stimulus_Lit_NorthWind_7_page_1,76.3,108.3,1619.0
2363565,stimulus_Lit_NorthWind_7_page_1,76.4,107.9,1621.0
2363567,stimulus_Lit_NorthWind_7_page_1,76.7,107.6,1622.0
2363569,stimulus_Lit_NorthWind_7_page_1,76.8,107.6,1622.0
2363571,stimulus_Lit_NorthWind_7_page_1,76.6,107.9,1621.0
2363573,stimulus_Lit_NorthWind_7_page_1,76.8,108.2,1620.0
2363575,stimulus_Lit_NorthWind_7_page_1,77.1,108.2,1621.0
2363577,stimulus_Lit_NorthWind_7_page_1,76.6,108.1,1625.0
2363579,stimulus_Lit_NorthWind_7_page_1,76.5,108.1,1624.0
2363581,stimulus_Lit_NorthWind_7_page_1,76.6,108.0,1624.0
2363583,stimulus_Lit_NorthWind_7_page_1,76.6,108.0,1623.0
2363585,stimulus_Lit_NorthWind_7_page_1,76.6,107.9,1624.0
2363587,stimulus_Lit_NorthWind_7_page_1,76.7,107.9,1625.0
2363589,stimulus_Lit_NorthWind_7_page_1,77.0,108.0,1625.0
2363591,stimulus_Lit_NorthWind_7_page_1,77.3,107.9,1622.0
2363593,stimulus_Lit_NorthWind_7_page_1,77.3,107.9,1621.0
2363595,stimulus_Lit_NorthWind_7_page_1,76.8,107.9,1622.0
2363597,stimulus_Lit_NorthWind_7_page_1,76.7,107.9,1627.0
2363599,stimulus_Lit_NorthWind_7_page_1,77.0,107.2,1629.0
2363601,stimulus_Lit_NorthWind_7_page_1,76.9,107.2,1626.0
2363603,stimulus_Lit_NorthWind_7_page_1,76.5,107.5,1623.0
2363605,stimulus_Lit_NorthWind_7_page_1,76.7,106.8,1625.0
2363607,stimulus_Lit_NorthWind_7_page_1,76.8,106.6,1627.0
2363609,stimulus_Lit_NorthWind_7_page_1,76.7,107.1,1624.0
2363611,stimulus_Lit_NorthWind_7_page_1,76.5,107.6,1621.0
2363613,stimulus_Lit_NorthWind_7_page_1,76.8,107.5,1619.0
2363615,stimulus_Lit_NorthWind_7_page_1,76.8,107.5,1623.0
2363617,stimulus_Lit_NorthWind_7_page_1,76.5,107.4,1629.0
2363619,stimulus_Lit_NorthWind_7_page_1,76.7,107.4,1633.0
2363621,stimulus_Lit_NorthWind_7_page_1,76.8,107.2,1634.0
2363623,stimulus_Lit_NorthWind_7_page_1,76.9,107.0,1628.0
2363625,stimulus_Lit_NorthWind_7_page_1,77.0,106.9,1628.0
2363627,stimulus_Lit_NorthWind_7_page_1,76.9,106.7,1632.0
2363629,stimulus_Lit_NorthWind_7_page_1,76.8,106.7,1632.0
2363631,stimulus_Lit_NorthWind_7_page_1,76.8,106.8,1628.0
