time,screen,pixel_x,pixel_y,pupil
5148111,familiarity_rating_screen_2,123.8,141.6,1637.0
5148112,familiarity_rating_screen_2,121.8,142.7,1636.0
5148113,familiarity_rating_screen_2,120.7,143.5,1635.0
5148114,familiarity_rating_screen_2,119.2,144.4,1636.0
5148115,familiarity_rating_screen_2,118.3,145.2,1636.0
5148116,familiarity_rating_screen_2,117.4,146.1,1637.0
5148117,familiarity_rating_screen_2,117.4,146.3,1637.0
5148118,familiarity_rating_screen_2,117.3,146.6,1637.0
5148119,familiarity_rating_screen_2,117.4,146.8,1638.0
5148120,familiarity_rating_screen_2,117.7,146.7,1639.0
5148121,familiarity_rating_screen_2,118.4,146.6,1639.0
5148122,familiarity_rating_screen_2,119.2,146.6,1639.0
5148123,familiarity_rating_screen_2,120.0,146.9,1639.0
5148124,familiarity_rating_screen_2,120.2,147.1,1639.0
5148125,familiarity_rating_screen_2,120.6,147.2,1639.0
5148126,familiarity_rating_screen_2,120.9,147.3,1640.0
5148127,familiarity_rating_screen_2,121.1,147.5,1639.0
5148128,familiarity_rating_screen_2,120.9,147.6,1639.0
5148129,familiarity_rating_screen_2,120.8,147.7,1639.0
5148130,familiarity_rating_screen_2,120.8,147.8,1640.0
5148131,familiarity_rating_screen_2,120.8,147.9,1641.0
5148132,familiarity_rating_screen_2,120.8,147.9,1639.0
5148133,familiarity_rating_screen_2,120.9,148.0,1638.0
5148134,familiarity_rating_screen_2,121.1,148.1,1638.0
5148135,familiarity_rating_screen_2,121.3,148.3,1641.0
5148136,familiarity_rating_screen_2,121.4,148.5,1643.0
5148137,familiarity_rating_screen_2,121.9,148.6,1643.0
5148138,familiarity_rating_screen_2,122.4,148.6,1643.0
5148139,familiarity_rating_screen_2,122.8,148.9,1643.0
5148140,familiarity_rating_screen_2,122.8,149.1,1643.0
5148141,familiarity_rating_screen_2,122.6,149.6,1643.0
5148142,familiarity_rating_screen_2,122.5,149.8,1644.0
5148143,familiarity_rating_screen_2,122.3,150.0,1645.0
5148144,familiarity_rating_screen_2,122.3,149.9,1646.0
5148145,familiarity_rating_screen_2,122.3,149.8,1646.0
5148146,familiarity_rating_screen_2,122.5,149.6,1646.0
5148147,familiarity_rating_screen_2,122.7,149.3,1646.0
5148148,familiarity_rating_screen_2,122.6,149.1,1647.0
5148149,familiarity_rating_screen_2,122.4,149.1,1647.0
5148150,familiarity_rating_screen_2,122.3,149.2,1648.0
5148151,familiarity_rating_screen_2,122.4,149.2,1648.0
5148152,familiarity_rating_screen_2,122.6,149.3,1648.0
5148153,familiarity_rating_screen_2,122.6,149.4,1648.0
5148154,familiarity_rating_screen_2,122.7,149.6,1648.0
5148155,familiarity_rating_screen_2,122.7,149.8,1649.0
5148156,familiarity_rating_screen_2,122.5,149.9,1649.0
5148157,familiarity_rating_screen_2,122.4,149.8,1649.0
5148158,familiarity_rating_screen_2,122.3,149.8,1649.0
5148159,familiarity_rating_screen_2,122.2,149.9,1649.0
5148160,familiarity_rating_screen_2,122.1,150.1,1649.0
5148161,familiarity_rating_screen_2,122.1,150.2,1650.0
5148162,familiarity_rating_screen_2,122.0,150.4,1650.0
5148163,familiarity_rating_screen_2,122.1,150.5,1650.0
5148164,familiarity_rating_screen_2,122.0,150.4,1650.0
5148165,familiarity_rating_screen_2,121.8,149.9,1650.0
5148166,familiarity_rating_screen_2,121.7,149.3,1652.0
5148167,familiarity_rating_screen_2,121.6,148.8,1653.0
5148168,familiarity_rating_screen_2,121.7,148.5,1653.0
5148169,familiarity_rating_screen_2,121.7,148.5,1651.0
5148170,familiarity_rating_screen_2,121.7,148.6,1650.0
5148171,familiarity_rating_screen_2,121.6,148.6,1650.0
5148172,familiarity_rating_screen_2,122.1,148.6,1650.0
5148173,familiarity_rating_screen_2,122.7,148.6,1649.0
5148174,familiarity_rating_screen_2,123.3,148.2,1649.0
5148175,familiarity_rating_screen_2,123.6,147.7,1650.0
5148176,familiarity_rating_screen_2,124.0,147.1,1651.0
5148177,familiarity_rating_screen_2,124.3,146.8,1653.0
5148178,familiarity_rating_screen_2,124.3,146.7,1652.0
5148179,familiarity_rating_screen_2,124.3,146.6,1651.0
5148180,familiarity_rating_screen_2,124.3,146.6,1649.0
5148181,familiarity_rating_screen_2,124.1,146.6,1649.0
5148182,familiarity_rating_screen_2,123.9,146.9,1650.0
5148183,familiarity_rating_screen_2,123.8,147.2,1650.0
5148184,familiarity_rating_screen_2,123.8,147.2,1651.0
5148185,familiarity_rating_screen_2,123.8,147.0,1652.0
5148186,familiarity_rating_screen_2,123.9,146.9,1653.0
5148187,familiarity_rating_screen_2,123.8,147.0,1653.0
5148188,familiarity_rating_screen_2,123.5,146.9,1653.0
5148189,familiarity_rating_screen_2,123.2,146.8,1653.0
5148190,familiarity_rating_screen_2,123.0,146.7,1653.0
5148191,familiarity_rating_screen_2,123.4,146.7,1653.0
5148192,familiarity_rating_screen_2,123.7,146.6,1653.0
5148193,familiarity_rating_screen_2,123.8,146.7,1653.0
5148194,familiarity_rating_screen_2,123.7,146.8,1653.0
5148195,familiarity_rating_screen_2,123.6,146.9,1653.0
5148196,familiarity_rating_screen_2,123.6,146.8,1652.0
5148197,familiarity_rating_screen_2,123.6,146.8,1652.0
5148198,familiarity_rating_screen_2,123.9,146.8,1651.0
5148199,familiarity_rating_screen_2,124.1,146.8,1650.0
5148200,familiarity_rating_screen_2,124.3,146.8,1650.0
5148201,familiarity_rating_screen_2,124.3,146.6,1651.0
5148202,familiarity_rating_screen_2,124.4,146.4,1652.0
5148203,familiarity_rating_screen_2,124.4,146.2,1651.0
5148204,familiarity_rating_screen_2,124.4,146.3,1651.0
5148205,familiarity_rating_screen_2,124.4,146.3,1652.0
5148206,familiarity_rating_screen_2,124.6,146.3,1652.0
5148207,familiarity_rating_screen_2,124.8,146.2,1653.0
5148208,familiarity_rating_screen_2,124.6,146.1,1653.0
5148209,familiarity_rating_screen_2,124.2,146.0,1652.0
5148210,familiarity_rating_screen_2,123.8,146.0,1652.0
5148211,familiarity_rating_screen_2,123.7,146.0,1650.0
5148212,familiarity_rating_screen_2,123.7,146.1,1649.0
5148213,familiarity_rating_screen_2,124.1,146.2,1648.0
5148214,familiarity_rating_screen_2,124.5,146.2,1650.0
5148215,familiarity_rating_screen_2,124.8,146.3,1650.0
5148216,familiarity_rating_screen_2,124.7,146.4,1649.0
5148217,familiarity_rating_screen_2,125.0,146.5,1648.0
5148218,familiarity_rating_screen_2,125.4,146.6,1646.0
5148219,familiarity_rating_screen_2,125.7,146.5,1644.0
5148220,familiarity_rating_screen_2,125.4,146.3,1644.0
5148221,familiarity_rating_screen_2,125.1,146.1,1645.0
5148222,familiarity_rating_screen_2,124.8,146.3,1646.0
5148223,familiarity_rating_screen_2,124.9,146.5,1645.0
5148224,familiarity_rating_screen_2,125.0,146.7,1645.0
5148225,familiarity_rating_screen_2,125.0,146.8,1645.0
