time,screen,pixel_x,pixel_y,pupil
5214670,stimulus_Lit_NorthWind_7_page_1,53.5,126.4,1188.0
5214671,stimulus_Lit_NorthWind_7_page_1,53.7,126.4,1189.0
5214672,stimulus_Lit_NorthWind_7_page_1,54.0,126.4,1190.0
5214673,stimulus_Lit_NorthWind_7_page_1,54.3,126.3,1191.0
5214674,stimulus_Lit_NorthWind_7_page_1,54.4,126.2,1191.0
5214675,stimulus_Lit_NorthWind_7_page_1,54.2,126.0,1190.0
5214676,stimulus_Lit_NorthWind_7_page_1,54.1,125.7,1191.0
5214677,stimulus_Lit_NorthWind_7_page_1,54.0,125.6,1192.0
5214678,stimulus_Lit_NorthWind_7_page_1,53.9,125.5,1193.0
5214679,stimulus_Lit_NorthWind_7_page_1,53.8,125.3,1194.0
5214680,stimulus_Lit_NorthWind_7_page_1,53.5,125.2,1194.0
5214681,stimulus_Lit_NorthWind_7_page_1,53.3,125.1,1193.0
5214682,stimulus_Lit_NorthWind_7_page_1,53.1,125.2,1191.0
5214683,stimulus_Lit_NorthWind_7_page_1,53.1,125.4,1190.0
5214684,stimulus_Lit_NorthWind_7_page_1,53.2,125.4,1189.0
5214685,stimulus_Lit_NorthWind_7_page_1,53.3,125.3,1189.0
5214686,stimulus_Lit_NorthWind_7_page_1,53.2,125.2,1190.0
5214687,stimulus_Lit_NorthWind_7_page_1,53.1,125.2,1191.0
5214688,stimulus_Lit_NorthWind_7_page_1,53.0,125.0,1192.0
5214689,stimulus_Lit_NorthWind_7_page_1,53.1,124.7,1193.0
5214690,stimulus_Lit_NorthWind_7_page_1,53.2,124.3,1193.0
5214691,stimulus_Lit_NorthWind_7_page_1,53.3,124.1,1192.0
5214692,stimulus_Lit_NorthWind_7_page_1,53.4,124.0,1191.0
5214693,stimulus_Lit_NorthWind_7_page_1,53.4,124.1,1190.0
5214694,stimulus_Lit_NorthWind_7_page_1,53.8,124.2,1188.0
5214695,stimulus_Lit_NorthWind_7_page_1,54.3,124.2,1188.0
5214696,stimulus_Lit_NorthWind_7_page_1,54.6,124.1,1187.0
5214697,stimulus_Lit_NorthWind_7_page_1,54.6,124.2,1186.0
5214698,stimulus_Lit_NorthWind_7_page_1,54.4,124.8,1185.0
5214699,stimulus_Lit_NorthWind_7_page_1,54.3,125.4,1185.0
5214700,stimulus_Lit_NorthWind_7_page_1,54.2,126.0,1185.0
5214701,stimulus_Lit_NorthWind_7_page_1,54.2,126.3,1185.0
5214702,stimulus_Lit_NorthWind_7_page_1,54.4,126.3,1186.0
5214703,stimulus_Lit_NorthWind_7_page_1,54.7,126.2,1187.0
5214704,stimulus_Lit_NorthWind_7_page_1,54.7,126.1,1187.0
5214705,stimulus_Lit_NorthWind_7_page_1,54.4,126.2,1187.0
5214706,stimulus_Lit_NorthWind_7_page_1,54.2,126.4,1187.0
5214707,stimulus_Lit_NorthWind_7_page_1,54.2,126.9,1187.0
5214708,stimulus_Lit_NorthWind_7_page_1,54.2,127.4,1188.0
5214709,stimulus_Lit_NorthWind_7_page_1,54.3,127.8,1190.0
5214710,stimulus_Lit_NorthWind_7_page_1,54.3,127.7,1191.0
5214711,stimulus_Lit_NorthWind_7_page_1,54.4,127.4,1192.0
5214712,stimulus_Lit_NorthWind_7_page_1,54.4,127.0,1191.0
5214713,stimulus_Lit_NorthWind_7_page_1,54.4,126.8,1190.0
5214714,stimulus_Lit_NorthWind_7_page_1,54.2,127.1,1189.0
5214715,stimulus_Lit_NorthWind_7_page_1,54.1,127.5,1190.0
5214716,stimulus_Lit_NorthWind_7_page_1,54.4,127.8,1190.0
5214717,stimulus_Lit_NorthWind_7_page_1,54.7,127.8,1189.0
5214718,stimulus_Lit_NorthWind_7_page_1,55.1,127.6,1188.0
5214719,stimulus_Lit_NorthWind_7_page_1,55.1,127.7,1188.0
5214720,stimulus_Lit_NorthWind_7_page_1,55.3,128.0,1190.0
5214721,stimulus_Lit_NorthWind_7_page_1,55.5,128.2,1190.0
5214722,stimulus_Lit_NorthWind_7_page_1,55.8,128.2,1190.0
5214723,stimulus_Lit_NorthWind_7_page_1,55.6,128.1,1189.0
5214724,stimulus_Lit_NorthWind_7_page_1,55.4,128.1,1190.0
5214725,stimulus_Lit_NorthWind_7_page_1,55.2,127.9,1191.0
5214726,stimulus_Lit_NorthWind_7_page_1,55.2,127.7,1191.0
5214727,stimulus_Lit_NorthWind_7_page_1,55.2,127.5,1191.0
5214728,stimulus_Lit_NorthWind_7_page_1,55.1,127.5,1191.0
5214729,stimulus_Lit_NorthWind_7_page_1,55.0,127.5,1191.0
5214730,stimulus_Lit_NorthWind_7_page_1,55.0,127.2,1190.0
5214731,stimulus_Lit_NorthWind_7_page_1,54.9,126.9,1190.0
5214732,stimulus_Lit_NorthWind_7_page_1,54.9,126.5,1190.0
5214733,stimulus_Lit_NorthWind_7_page_1,54.8,126.3,1190.0
5214734,stimulus_Lit_NorthWind_7_page_1,54.8,126.0,1190.0
5214735,stimulus_Lit_NorthWind_7_page_1,55.0,126.0,1191.0
5214736,stimulus_Lit_NorthWind_7_page_1,55.1,125.9,1191.0
5214737,stimulus_Lit_NorthWind_7_page_1,55.1,126.0,1191.0
5214738,stimulus_Lit_NorthWind_7_page_1,54.9,126.0,1191.0
5214739,stimulus_Lit_NorthWind_7_page_1,55.3,126.1,1191.0
5214740,stimulus_Lit_NorthWind_7_page_1,55.8,126.1,1191.0
5214741,stimulus_Lit_NorthWind_7_page_1,56.2,126.2,1191.0
5214742,stimulus_Lit_NorthWind_7_page_1,56.1,126.1,1191.0
5214743,stimulus_Lit_NorthWind_7_page_1,55.7,126.0,1191.0
5214744,stimulus_Lit_NorthWind_7_page_1,55.4,125.9,1191.0
5214745,stimulus_Lit_NorthWind_7_page_1,55.4,125.5,1191.0
5214746,stimulus_Lit_NorthWind_7_page_1,55.7,125.1,1191.0
5214747,stimulus_Lit_NorthWind_7_page_1,56.1,124.7,1191.0
5214748,stimulus_Lit_NorthWind_7_page_1,56.4,124.7,1190.0
5214749,stimulus_Lit_NorthWind_7_page_1,56.5,124.7,1191.0
5214750,stimulus_Lit_NorthWind_7_page_1,56.4,125.2,1192.0
5214751,stimulus_Lit_NorthWind_7_page_1,56.3,125.8,1191.0
5214752,stimulus_Lit_NorthWind_7_page_1,56.3,125.9,1190.0
