time,screen,pixel_x,pixel_y,pupil
5278630,subject_difficulty_screen,1272.2,951.7,1535.0
5278631,subject_difficulty_screen,1272.1,951.3,1535.0
5278632,subject_difficulty_screen,1272.4,951.3,1537.0
5278633,subject_difficulty_screen,1272.7,951.6,1539.0
5278634,subject_difficulty_screen,1272.9,951.8,1542.0
5278635,subject_difficulty_screen,1272.9,951.7,1544.0
5278636,subject_difficulty_screen,1272.9,951.7,1546.0
5278637,subject_difficulty_screen,1272.9,951.8,1547.0
5278638,subject_difficulty_screen,1272.9,951.7,1547.0
5278639,subject_difficulty_screen,1272.9,951.6,1547.0
5278640,subject_difficulty_screen,1272.8,951.4,1546.0
5278641,subject_difficulty_screen,1272.5,951.8,1545.0
5278642,subject_difficulty_screen,1272.2,952.2,1544.0
5278643,subject_difficulty_screen,1271.9,952.6,1545.0
5278644,subject_difficulty_screen,1271.9,952.5,1546.0
5278645,subject_difficulty_screen,1272.0,952.5,1547.0
5278646,subject_difficulty_screen,1272.3,952.6,1547.0
5278647,subject_difficulty_screen,1272.9,952.6,1548.0
5278648,subject_difficulty_screen,1273.4,952.7,1550.0
5278649,subject_difficulty_screen,1273.7,952.6,1551.0
5278650,subject_difficulty_screen,1273.8,952.6,1551.0
5278651,subject_difficulty_screen,1273.8,952.7,1550.0
5278652,subject_difficulty_screen,1273.7,953.0,1551.0
5278653,subject_difficulty_screen,1273.8,953.6,1551.0
5278654,subject_difficulty_screen,1273.9,954.1,1552.0
5278655,subject_difficulty_screen,1273.7,954.5,1552.0
5278656,subject_difficulty_screen,1273.3,954.4,1552.0
5278657,subject_difficulty_screen,1272.9,954.2,1552.0
5278658,subject_difficulty_screen,1272.9,954.0,1552.0
5278659,subject_difficulty_screen,1273.1,953.8,1552.0
5278660,subject_difficulty_screen,1273.2,953.6,1553.0
5278661,subject_difficulty_screen,1273.3,953.4,1553.0
5278662,subject_difficulty_screen,1273.4,953.2,1553.0
5278663,subject_difficulty_screen,1273.3,953.2,1553.0
5278664,subject_difficulty_screen,1273.1,953.7,1554.0
5278665,subject_difficulty_screen,1272.9,954.3,1556.0
5278666,subject_difficulty_screen,1272.9,954.9,1557.0
5278667,subject_difficulty_screen,1272.9,954.9,1558.0
5278668,subject_difficulty_screen,1272.8,954.9,1559.0
5278669,subject_difficulty_screen,1272.7,954.9,1560.0
5278670,subject_difficulty_screen,1272.6,954.8,1560.0
5278671,subject_difficulty_screen,1272.7,954.6,1561.0
5278672,subject_difficulty_screen,1272.8,954.3,1562.0
5278673,subject_difficulty_screen,1272.8,954.2,1563.0
5278674,subject_difficulty_screen,1272.9,954.4,1564.0
5278675,subject_difficulty_screen,1273.0,954.6,1566.0
5278676,subject_difficulty_screen,1273.2,954.9,1566.0
5278677,subject_difficulty_screen,1273.4,955.0,1567.0
5278678,subject_difficulty_screen,1273.7,954.8,1567.0
5278679,subject_difficulty_screen,1273.7,954.5,1567.0
5278680,subject_difficulty_screen,1273.5,954.1,1567.0
5278681,subject_difficulty_screen,1273.3,953.9,1567.0
5278682,subject_difficulty_screen,1273.3,953.8,1567.0
5278683,subject_difficulty_screen,1273.3,953.8,1567.0
5278684,subject_difficulty_screen,1273.3,953.9,1568.0
5278685,subject_difficulty_screen,1273.8,954.2,1569.0
5278686,subject_difficulty_screen,1274.2,954.5,1570.0
5278687,subject_difficulty_screen,1274.2,954.3,1571.0
5278688,subject_difficulty_screen,1273.8,954.1,1571.0
5278689,subject_difficulty_screen,1273.6,953.9,1571.0
5278690,subject_difficulty_screen,1273.7,953.9,1571.0
5278691,subject_difficulty_screen,1273.9,953.9,1571.0
5278692,subject_difficulty_screen,1273.9,954.0,1570.0
5278693,subject_difficulty_screen,1273.8,954.1,1569.0
5278694,subject_difficulty_screen,1273.7,954.0,1569.0
5278695,subject_difficulty_screen,1273.6,953.8,1570.0
5278696,subject_difficulty_screen,1273.6,953.7,1570.0
5278697,subject_difficulty_screen,1273.6,953.8,1570.0
5278698,subject_difficulty_screen,1273.6,953.8,1570.0
5278699,subject_difficulty_screen,1273.7,954.0,1570.0
5278700,subject_difficulty_screen,1273.7,954.0,1570.0
5278701,subject_difficulty_screen,1273.6,953.9,1570.0
5278702,subject_difficulty_screen,1273.5,953.7,1570.0
5278703,subject_difficulty_screen,1273.4,953.5,1570.0
5278704,subject_difficulty_screen,1273.5,953.4,1569.0
5278705,subject_difficulty_screen,1273.6,953.3,1569.0
5278706,subject_difficulty_screen,1273.7,953.2,1570.0
5278707,subject_difficulty_screen,1273.7,953.1,1572.0
5278708,subject_difficulty_screen,1273.9,953.0,1573.0
5278709,subject_difficulty_screen,1274.0,953.0,1573.0
5278710,subject_difficulty_screen,1274.2,953.1,1573.0
5278711,subject_difficulty_screen,1274.0,953.3,1574.0
5278712,subject_difficulty_screen,1273.8,953.5,1575.0
5278713,subject_difficulty_screen,1273.6,953.7,1576.0
5278714,subject_difficulty_screen,1273.4,953.7,1576.0
5278715,subject_difficulty_screen,1273.2,953.6,1576.0
5278716,subject_difficulty_screen,1273.2,953.6,1576.0
5278717,subject_difficulty_screen,1273.2,953.5,1576.0
5278718,subject_difficulty_screen,1273.3,953.5,1576.0
5278719,subject_difficulty_screen,1273.3,953.4,1576.0
5278720,subject_difficulty_screen,1273.3,953.3,1577.0
5278721,subject_difficulty_screen,1273.4,953.2,1577.0
5278722,subject_difficulty_screen,1273.5,953.1,1577.0
5278723,subject_difficulty_screen,1273.4,953.3,1577.0
5278724,subject_difficulty_screen,1273.3,953.5,1578.0
5278725,subject_difficulty_screen,1273.2,953.8,1579.0
5278726,subject_difficulty_screen,1273.2,953.8,1581.0
5278727,subject_difficulty_screen,1273.2,953.7,1581.0
5278728,subject_difficulty_screen,1273.1,953.5,1581.0
5278729,subject_difficulty_screen,1273.0,953.3,1580.0
5278730,subject_difficulty_screen,1273.1,953.2,1580.0
5278731,subject_difficulty_screen,1273.3,952.9,1581.0
5278732,subject_difficulty_screen,1273.4,952.7,1582.0
5278733,subject_difficulty_screen,1273.4,952.8,1582.0
5278734,subject_difficulty_screen,1273.5,953.1,1581.0
5278735,subject_difficulty_screen,1273.6,953.4,1581.0
5278736,subject_difficulty_screen,1273.8,953.5,1582.0
5278737,subject_difficulty_screen,1273.9,954.0,1583.0
5278738,subject_difficulty_screen,1274.0,954.4,1584.0
5278739,subject_difficulty_screen,1273.9,954.2,1583.0
5278740,subject_difficulty_screen,1273.5,953.8,1582.0
5278741,subject_difficulty_screen,1273.0,953.4,1582.0
5278742,subject_difficulty_screen,1272.5,953.5,1582.0
5278743,subject_difficulty_screen,1272.5,953.4,1581.0
5278744,subject_difficulty_screen,1272.4,953.2,1581.0
5278745,subject_difficulty_screen,1272.8,952.8,1581.0
5278746,subject_difficulty_screen,1273.2,952.4,1582.0
5278747,subject_difficulty_screen,1273.7,952.2,1583.0
5278748,subject_difficulty_screen,1273.6,952.2,1584.0
5278749,subject_difficulty_screen,1273.4,952.2,1585.0
5278750,subject_difficulty_screen,1273.2,952.3,1585.0
5278751,subject_difficulty_screen,1273.2,952.4,1586.0
5278752,subject_difficulty_screen,1273.3,952.4,1585.0
5278753,subject_difficulty_screen,1273.2,952.4,1585.0
5278754,subject_difficulty_screen,1273.1,952.3,1585.0
5278755,subject_difficulty_screen,1273.3,952.3,1586.0
5278756,subject_difficulty_screen,1273.6,952.3,1587.0
5278757,subject_difficulty_screen,1273.9,952.3,1589.0
5278758,subject_difficulty_screen,1273.9,952.2,1590.0
5278759,subject_difficulty_screen,1273.8,952.0,1590.0
5278760,subject_difficulty_screen,1273.7,951.7,1590.0
5278761,subject_difficulty_screen,1273.7,951.5,1589.0
5278762,subject_difficulty_screen,1273.8,951.4,1589.0
5278763,subject_difficulty_screen,1274.0,951.4,1589.0
5278764,subject_difficulty_screen,1273.9,951.1,1590.0
5278765,subject_difficulty_screen,1273.8,950.9,1590.0
5278766,subject_difficulty_screen,1273.6,951.0,1589.0
5278767,subject_difficulty_screen,1273.7,951.4,1590.0
5278768,subject_difficulty_screen,1273.7,951.8,1591.0
5278769,subject_difficulty_screen,1273.6,951.7,1592.0
5278770,subject_difficulty_screen,1273.6,951.8,1593.0
5278771,subject_difficulty_screen,1273.6,951.9,1592.0
5278772,subject_difficulty_screen,1273.7,952.1,1590.0
5278773,subject_difficulty_screen,1274.0,951.6,1590.0
5278774,subject_difficulty_screen,1274.4,951.1,1592.0
5278775,subject_difficulty_screen,1274.2,950.6,1594.0
5278776,subject_difficulty_screen,1273.8,950.7,1595.0
5278777,subject_difficulty_screen,1273.4,950.7,1595.0
5278778,subject_difficulty_screen,1273.5,950.5,1594.0
5278779,subject_difficulty_screen,1273.6,950.2,1593.0
5278780,subject_difficulty_screen,1273.6,950.2,1592.0
5278781,subject_difficulty_screen,1273.8,950.4,1591.0
5278782,subject_difficulty_screen,1274.0,950.4,1590.0
5278783,subject_difficulty_screen,1274.3,950.1,1591.0
5278784,subject_difficulty_screen,1274.0,949.6,1591.0
5278785,subject_difficulty_screen,1273.7,949.1,1592.0
5278786,subject_difficulty_screen,1273.7,948.9,1595.0
5278787,subject_difficulty_screen,1274.1,948.7,1597.0
5278788,subject_difficulty_screen,1274.4,948.3,1599.0
5278789,subject_difficulty_screen,1274.8,947.9,1599.0
5278790,subject_difficulty_screen,1275.1,947.8,1599.0
5278791,subject_difficulty_screen,1275.5,948.1,1600.0
5278792,subject_difficulty_screen,1275.5,948.4,1601.0
5278793,subject_difficulty_screen,1275.7,948.6,1601.0
5278794,subject_difficulty_screen,1275.9,948.7,1601.0
5278795,subject_difficulty_screen,1275.6,949.0,1600.0
5278796,subject_difficulty_screen,1275.1,949.2,1600.0
5278797,subject_difficulty_screen,1274.6,949.3,1600.0
5278798,subject_difficulty_screen,1274.5,949.3,1601.0
5278799,subject_difficulty_screen,1274.4,948.8,1601.0
5278800,subject_difficulty_screen,1274.2,948.3,1601.0
5278801,subject_difficulty_screen,1273.9,947.9,1601.0
5278802,subject_difficulty_screen,1273.7,947.9,1603.0
5278803,subject_difficulty_screen,1273.8,947.9,1605.0
5278804,subject_difficulty_screen,1273.8,947.8,1606.0
5278805,subject_difficulty_screen,1274.3,947.8,1606.0
5278806,subject_difficulty_screen,1274.9,947.7,1606.0
5278807,subject_difficulty_screen,1275.2,947.6,1606.0
5278808,subject_difficulty_screen,1275.0,947.5,1606.0
5278809,subject_difficulty_screen,1274.7,947.4,1606.0
5278810,subject_difficulty_screen,1274.7,947.5,1607.0
5278811,subject_difficulty_screen,1274.7,947.7,1606.0
5278812,subject_difficulty_screen,1274.8,948.0,1605.0
5278813,subject_difficulty_screen,1274.9,948.2,1605.0
5278814,subject_difficulty_screen,1275.0,948.4,1606.0
5278815,subject_difficulty_screen,1274.8,948.6,1606.0
5278816,subject_difficulty_screen,1274.6,948.7,1607.0
5278817,subject_difficulty_screen,1274.2,948.8,1607.0
5278818,subject_difficulty_screen,1274.0,948.7,1608.0
5278819,subject_difficulty_screen,1273.9,948.6,1608.0
5278820,subject_difficulty_screen,1274.0,948.5,1608.0
5278821,subject_difficulty_screen,1274.1,948.8,1608.0
5278822,subject_difficulty_screen,1273.8,949.0,1608.0
5278823,subject_difficulty_screen,1273.4,949.2,1608.0
5278824,subject_difficulty_screen,1273.3,949.2,1609.0
5278825,subject_difficulty_screen,1273.6,949.3,1609.0
5278826,subject_difficulty_screen,1273.7,949.4,1609.0
5278827,subject_difficulty_screen,1273.6,949.4,1611.0
5278828,subject_difficulty_screen,1273.6,949.5,1612.0
5278829,subject_difficulty_screen,1273.6,949.6,1613.0
5278830,subject_difficulty_screen,1273.7,949.7,1614.0
5278831,subject_difficulty_screen,1273.9,949.7,1614.0
5278832,subject_difficulty_screen,1274.1,949.7,1613.0
5278833,subject_difficulty_screen,1274.3,949.3,1613.0
5278834,subject_difficulty_screen,1274.3,948.9,1613.0
5278835,subject_difficulty_screen,1274.2,948.5,1614.0
5278836,subject_difficulty_screen,1274.2,948.6,1614.0
5278837,subject_difficulty_screen,1274.2,948.7,1614.0
5278838,subject_difficulty_screen,1274.4,948.9,1614.0
5278839,subject_difficulty_screen,1274.5,948.9,1615.0
5278840,subject_difficulty_screen,1274.6,949.1,1615.0
5278841,subject_difficulty_screen,1274.5,949.3,1615.0
5278842,subject_difficulty_screen,1274.2,949.5,1616.0
5278843,subject_difficulty_screen,1273.8,949.5,1617.0
5278844,subject_difficulty_screen,1273.6,949.5,1617.0
5278845,subject_difficulty_screen,1273.5,949.4,1618.0
5278846,subject_difficulty_screen,1273.6,949.4,1618.0
5278847,subject_difficulty_screen,1273.6,949.4,1618.0
5278848,subject_difficulty_screen,1273.7,949.4,1619.0
5278849,subject_difficulty_screen,1273.7,949.4,1619.0
5278850,subject_difficulty_screen,1273.7,949.4,1619.0
5278851,subject_difficulty_screen,1273.9,949.5,1619.0
5278852,subject_difficulty_screen,1274.0,949.6,1619.0
5278853,subject_difficulty_screen,1274.6,949.7,1619.0
5278854,subject_difficulty_screen,1275.0,950.3,1619.0
5278855,subject_difficulty_screen,1275.0,950.8,1622.0
5278856,subject_difficulty_screen,1274.6,951.3,1624.0
5278857,subject_difficulty_screen,1274.4,951.3,1626.0
5278858,subject_difficulty_screen,1274.7,951.2,1626.0
5278859,subject_difficulty_screen,1275.0,951.1,1626.0
5278860,subject_difficulty_screen,1275.0,951.1,1626.0
5278861,subject_difficulty_screen,1274.7,951.3,1626.0
5278862,subject_difficulty_screen,1274.3,951.4,1626.0
5278863,subject_difficulty_screen,1273.9,951.6,1627.0
5278864,subject_difficulty_screen,1273.8,951.8,1627.0
5278865,subject_difficulty_screen,1274.0,952.1,1628.0
5278866,subject_difficulty_screen,1274.4,952.4,1628.0
5278867,subject_difficulty_screen,1274.8,952.6,1628.0
5278868,subject_difficulty_screen,1274.9,952.7,1629.0
5278869,subject_difficulty_screen,1274.9,952.7,1631.0
5278870,subject_difficulty_screen,1274.2,951.8,1634.0
5278871,subject_difficulty_screen,1273.5,949.2,1637.0
5278872,subject_difficulty_screen,1273.0,944.3,1640.0
5278873,subject_difficulty_screen,1273.1,938.5,1640.0
5278874,subject_difficulty_screen,1272.6,931.7,1639.0
5278875,subject_difficulty_screen,1271.3,925.1,1639.0
5278876,subject_difficulty_screen,1269.4,917.0,1640.0
5278877,subject_difficulty_screen,1268.1,906.1,1640.0
5278878,subject_difficulty_screen,1266.4,893.5,1640.0
5278879,subject_difficulty_screen,1263.7,880.7,1641.0
5278880,subject_difficulty_screen,1259.7,868.8,1644.0
5278881,subject_difficulty_screen,1253.3,855.9,1646.0
5278882,subject_difficulty_screen,1247.4,842.4,1646.0
5278883,subject_difficulty_screen,1242.7,830.4,1646.0
5278884,subject_difficulty_screen,1237.5,819.6,1646.0
5278885,subject_difficulty_screen,1231.1,808.1,1646.0
5278886,subject_difficulty_screen,1222.9,796.6,1647.0
5278887,subject_difficulty_screen,1216.9,785.8,1648.0
5278888,subject_difficulty_screen,1209.5,776.3,1649.0
5278889,subject_difficulty_screen,1200.0,765.8,1649.0
5278890,subject_difficulty_screen,1190.5,755.8,1650.0
5278891,subject_difficulty_screen,1181.5,744.6,1650.0
5278892,subject_difficulty_screen,1172.9,734.3,1650.0
5278893,subject_difficulty_screen,1162.9,722.6,1650.0
5278894,subject_difficulty_screen,1151.4,711.3,1649.0
5278895,subject_difficulty_screen,1140.8,699.9,1650.0
5278896,subject_difficulty_screen,1129.0,686.4,1650.0
5278897,subject_difficulty_screen,1117.1,672.1,1649.0
5278898,subject_difficulty_screen,1105.7,657.4,1647.0
5278899,subject_difficulty_screen,1093.2,641.7,1646.0
5278900,subject_difficulty_screen,1082.7,625.2,1646.0
5278901,subject_difficulty_screen,1071.7,609.9,1647.0
5278902,subject_difficulty_screen,1061.1,596.2,1647.0
5278903,subject_difficulty_screen,1050.9,584.8,1648.0
5278904,subject_difficulty_screen,1039.9,572.0,1648.0
5278905,subject_difficulty_screen,1030.8,559.6,1648.0
5278906,subject_difficulty_screen,1022.0,547.7,1648.0
5278907,subject_difficulty_screen,1012.6,536.0,1650.0
5278908,subject_difficulty_screen,1002.6,525.6,1653.0
5278909,subject_difficulty_screen,990.8,515.4,1653.0
5278910,subject_difficulty_screen,979.8,505.1,1653.0
5278911,subject_difficulty_screen,966.7,494.5,1653.0
5278912,subject_difficulty_screen,954.0,485.1,1654.0
5278913,subject_difficulty_screen,940.7,475.7,1653.0
5278914,subject_difficulty_screen,927.7,464.7,1653.0
5278915,subject_difficulty_screen,914.9,454.1,1655.0
5278916,subject_difficulty_screen,901.8,443.1,1658.0
5278917,subject_difficulty_screen,888.8,433.9,1661.0
5278918,subject_difficulty_screen,875.8,422.8,1662.0
5278919,subject_difficulty_screen,864.0,413.6,1663.0
5278920,subject_difficulty_screen,852.4,404.2,1663.0
5278921,subject_difficulty_screen,840.1,395.9,1663.0
5278922,subject_difficulty_screen,826.4,387.1,1663.0
5278923,subject_difficulty_screen,811.8,377.4,1662.0
5278924,subject_difficulty_screen,797.1,367.1,1661.0
5278925,subject_difficulty_screen,782.7,358.6,1662.0
5278926,subject_difficulty_screen,770.2,350.5,1662.0
5278927,subject_difficulty_screen,757.6,344.4,1662.0
5278928,subject_difficulty_screen,745.6,336.7,1661.0
5278929,subject_difficulty_screen,732.6,331.1,1659.0
5278930,subject_difficulty_screen,722.0,323.5,1657.0
5278931,subject_difficulty_screen,710.7,315.6,1656.0
5278932,subject_difficulty_screen,699.8,306.6,1656.0
5278933,subject_difficulty_screen,688.0,296.7,1655.0
5278934,subject_difficulty_screen,677.2,286.1,1653.0
5278935,subject_difficulty_screen,668.1,276.4,1650.0
5278936,subject_difficulty_screen,659.4,267.2,1649.0
5278937,subject_difficulty_screen,652.5,259.6,1644.0
5278938,subject_difficulty_screen,645.4,253.0,1640.0
5278939,subject_difficulty_screen,639.7,247.5,1635.0
5278940,subject_difficulty_screen,633.8,242.4,1635.0
5278941,subject_difficulty_screen,627.6,236.3,1631.0
5278942,subject_difficulty_screen,620.9,230.7,1628.0
5278943,subject_difficulty_screen,615.5,227.2,1625.0
5278944,subject_difficulty_screen,612.3,224.8,1626.0
5278945,subject_difficulty_screen,610.1,223.5,1627.0
5278946,subject_difficulty_screen,608.4,222.0,1628.0
5278947,subject_difficulty_screen,607.4,221.5,1630.0
5278948,subject_difficulty_screen,608.4,221.7,1631.0
5278949,subject_difficulty_screen,610.1,222.8,1635.0
