time,screen,pixel_x,pixel_y,pupil
12089246,stimulus_Ins_HumanRights_2_page_3,58.1,125.5,1265.0
12089247,stimulus_Ins_HumanRights_2_page_3,59.1,125.7,1265.0
12089248,stimulus_Ins_HumanRights_2_page_3,60.3,125.5,1265.0
12089249,stimulus_Ins_HumanRights_2_page_3,61.8,125.4,1264.0
12089250,stimulus_Ins_HumanRights_2_page_3,62.6,125.1,1264.0
12089251,stimulus_Ins_HumanRights_2_page_3,62.8,125.1,1265.0
12089252,stimulus_Ins_HumanRights_2_page_3,62.9,125.0,1265.0
12089253,stimulus_Ins_HumanRights_2_page_3,62.8,125.0,1266.0
12089254,stimulus_Ins_HumanRights_2_page_3,62.7,124.9,1266.0
12089255,stimulus_Ins_HumanRights_2_page_3,62.4,124.8,1265.0
12089256,stimulus_Ins_HumanRights_2_page_3,62.2,124.7,1265.0
12089257,stimulus_Ins_HumanRights_2_page_3,62.0,124.6,1264.0
12089258,stimulus_Ins_HumanRights_2_page_3,62.1,124.6,1264.0
12089259,stimulus_Ins_HumanRights_2_page_3,62.2,124.6,1264.0
12089260,stimulus_Ins_HumanRights_2_page_3,62.1,124.4,1265.0
12089261,stimulus_Ins_HumanRights_2_page_3,62.0,124.3,1267.0
12089262,stimulus_Ins_HumanRights_2_page_3,61.7,124.1,1268.0
12089263,stimulus_Ins_HumanRights_2_page_3,61.5,124.1,1268.0
12089264,stimulus_Ins_HumanRights_2_page_3,61.4,124.0,1269.0
12089265,stimulus_Ins_HumanRights_2_page_3,61.4,123.9,1269.0
12089266,stimulus_Ins_HumanRights_2_page_3,61.4,123.9,1268.0
12089267,stimulus_Ins_HumanRights_2_page_3,61.5,124.0,1268.0
12089268,stimulus_Ins_HumanRights_2_page_3,61.3,123.9,1267.0
12089269,stimulus_Ins_HumanRights_2_page_3,61.1,123.9,1267.0
12089270,stimulus_Ins_HumanRights_2_page_3,60.9,123.8,1267.0
12089271,stimulus_Ins_HumanRights_2_page_3,61.0,123.8,1268.0
12089272,stimulus_Ins_HumanRights_2_page_3,60.7,123.6,1268.0
12089273,stimulus_Ins_HumanRights_2_page_3,60.4,123.5,1268.0
12089274,stimulus_Ins_HumanRights_2_page_3,60.5,123.3,1268.0
12089275,stimulus_Ins_HumanRights_2_page_3,60.8,123.5,1268.0
12089276,stimulus_Ins_HumanRights_2_page_3,61.1,123.7,1268.0
12089277,stimulus_Ins_HumanRights_2_page_3,61.1,123.9,1269.0
12089278,stimulus_Ins_HumanRights_2_page_3,61.2,124.1,1270.0
12089279,stimulus_Ins_HumanRights_2_page_3,61.6,124.3,1272.0
12089280,stimulus_Ins_HumanRights_2_page_3,62.4,124.5,1273.0
12089281,stimulus_Ins_HumanRights_2_page_3,63.2,124.8,1274.0
12089282,stimulus_Ins_HumanRights_2_page_3,63.7,125.0,1276.0
12089283,stimulus_Ins_HumanRights_2_page_3,64.0,125.0,1276.0
12089284,stimulus_Ins_HumanRights_2_page_3,64.5,124.5,1277.0
12089285,stimulus_Ins_HumanRights_2_page_3,65.1,124.0,1278.0
12089286,stimulus_Ins_HumanRights_2_page_3,65.5,123.9,1279.0
12089287,stimulus_Ins_HumanRights_2_page_3,65.7,124.1,1280.0
12089288,stimulus_Ins_HumanRights_2_page_3,65.9,124.2,1281.0
12089289,stimulus_Ins_HumanRights_2_page_3,66.0,124.2,1281.0
12089290,stimulus_Ins_HumanRights_2_page_3,66.1,124.2,1281.0
12089291,stimulus_Ins_HumanRights_2_page_3,66.2,124.4,1281.0
12089292,stimulus_Ins_HumanRights_2_page_3,66.4,124.4,1282.0
12089293,stimulus_Ins_HumanRights_2_page_3,66.4,124.4,1282.0
12089294,stimulus_Ins_HumanRights_2_page_3,66.2,124.3,1283.0
12089295,stimulus_Ins_HumanRights_2_page_3,66.0,124.2,1283.0
12089296,stimulus_Ins_HumanRights_2_page_3,65.8,124.2,1283.0
12089297,stimulus_Ins_HumanRights_2_page_3,65.8,124.3,1284.0
12089298,stimulus_Ins_HumanRights_2_page_3,65.8,124.6,1285.0
12089299,stimulus_Ins_HumanRights_2_page_3,65.8,124.9,1285.0
12089300,stimulus_Ins_HumanRights_2_page_3,65.6,125.1,1284.0
12089301,stimulus_Ins_HumanRights_2_page_3,65.4,125.2,1283.0
12089302,stimulus_Ins_HumanRights_2_page_3,64.9,125.4,1284.0
12089303,stimulus_Ins_HumanRights_2_page_3,64.7,125.5,1285.0
12089304,stimulus_Ins_HumanRights_2_page_3,64.5,125.6,1285.0
12089305,stimulus_Ins_HumanRights_2_page_3,64.0,125.6,1285.0
12089306,stimulus_Ins_HumanRights_2_page_3,63.4,125.4,1284.0
12089307,stimulus_Ins_HumanRights_2_page_3,62.8,125.3,1284.0
12089308,stimulus_Ins_HumanRights_2_page_3,62.5,125.1,1284.0
12089309,stimulus_Ins_HumanRights_2_page_3,62.3,124.8,1284.0
12089310,stimulus_Ins_HumanRights_2_page_3,61.9,124.4,1285.0
12089311,stimulus_Ins_HumanRights_2_page_3,61.6,124.0,1285.0
12089312,stimulus_Ins_HumanRights_2_page_3,61.5,123.9,1285.0
12089313,stimulus_Ins_HumanRights_2_page_3,61.5,124.1,1286.0
12089314,stimulus_Ins_HumanRights_2_page_3,61.6,124.3,1286.0
12089315,stimulus_Ins_HumanRights_2_page_3,61.9,124.3,1286.0
12089316,stimulus_Ins_HumanRights_2_page_3,62.5,124.2,1286.0
12089317,stimulus_Ins_HumanRights_2_page_3,62.9,124.2,1286.0
12089318,stimulus_Ins_HumanRights_2_page_3,63.1,124.2,1286.0
12089319,stimulus_Ins_HumanRights_2_page_3,63.0,124.2,1286.0
12089320,stimulus_Ins_HumanRights_2_page_3,63.0,124.1,1286.0
12089321,stimulus_Ins_HumanRights_2_page_3,63.4,124.0,1287.0
12089322,stimulus_Ins_HumanRights_2_page_3,64.0,124.0,1287.0
12089323,stimulus_Ins_HumanRights_2_page_3,64.5,124.1,1288.0
12089324,stimulus_Ins_HumanRights_2_page_3,64.5,124.2,1288.0
12089325,stimulus_Ins_HumanRights_2_page_3,64.7,124.3,1289.0
12089326,stimulus_Ins_HumanRights_2_page_3,64.9,124.2,1289.0
12089327,stimulus_Ins_HumanRights_2_page_3,65.1,124.1,1290.0
12089328,stimulus_Ins_HumanRights_2_page_3,65.3,124.0,1290.0
12089329,stimulus_Ins_HumanRights_2_page_3,65.6,124.0,1290.0
12089330,stimulus_Ins_HumanRights_2_page_3,65.8,124.0,1289.0
12089331,stimulus_Ins_HumanRights_2_page_3,66.1,124.0,1289.0
12089332,stimulus_Ins_HumanRights_2_page_3,66.2,123.9,1288.0
12089333,stimulus_Ins_HumanRights_2_page_3,66.4,123.6,1289.0
12089334,stimulus_Ins_HumanRights_2_page_3,66.3,123.3,1290.0
12089335,stimulus_Ins_HumanRights_2_page_3,66.2,123.0,1291.0
12089336,stimulus_Ins_HumanRights_2_page_3,66.0,123.0,1291.0
12089337,stimulus_Ins_HumanRights_2_page_3,65.9,123.1,1290.0
12089338,stimulus_Ins_HumanRights_2_page_3,66.0,123.3,1290.0
12089339,stimulus_Ins_HumanRights_2_page_3,66.4,123.5,1290.0
12089340,stimulus_Ins_HumanRights_2_page_3,66.7,123.9,1291.0
12089341,stimulus_Ins_HumanRights_2_page_3,66.9,124.4,1292.0
12089342,stimulus_Ins_HumanRights_2_page_3,66.7,124.9,1292.0
12089343,stimulus_Ins_HumanRights_2_page_3,66.6,125.0,1292.0
12089344,stimulus_Ins_HumanRights_2_page_3,66.4,125.1,1293.0
12089345,stimulus_Ins_HumanRights_2_page_3,66.4,125.1,1293.0
12089346,stimulus_Ins_HumanRights_2_page_3,66.3,125.1,1294.0
12089347,stimulus_Ins_HumanRights_2_page_3,66.4,125.2,1294.0
12089348,stimulus_Ins_HumanRights_2_page_3,66.4,125.3,1294.0
12089349,stimulus_Ins_HumanRights_2_page_3,66.3,125.3,1294.0
12089350,stimulus_Ins_HumanRights_2_page_3,66.2,125.2,1294.0
12089351,stimulus_Ins_HumanRights_2_page_3,66.0,125.2,1294.0
12089352,stimulus_Ins_HumanRights_2_page_3,65.8,125.1,1294.0
12089353,stimulus_Ins_HumanRights_2_page_3,65.2,125.0,1294.0
12089354,stimulus_Ins_HumanRights_2_page_3,64.5,124.8,1294.0
12089355,stimulus_Ins_HumanRights_2_page_3,64.0,124.8,1295.0
12089356,stimulus_Ins_HumanRights_2_page_3,63.9,124.8,1295.0
12089357,stimulus_Ins_HumanRights_2_page_3,63.8,124.8,1295.0
12089358,stimulus_Ins_HumanRights_2_page_3,63.8,124.8,1296.0
12089359,stimulus_Ins_HumanRights_2_page_3,63.9,124.5,1296.0
12089360,stimulus_Ins_HumanRights_2_page_3,63.9,124.2,1295.0
12089361,stimulus_Ins_HumanRights_2_page_3,64.0,123.9,1294.0
12089362,stimulus_Ins_HumanRights_2_page_3,64.1,123.8,1294.0
12089363,stimulus_Ins_HumanRights_2_page_3,64.3,123.8,1295.0
12089364,stimulus_Ins_HumanRights_2_page_3,64.6,123.7,1296.0
12089365,stimulus_Ins_HumanRights_2_page_3,65.0,123.5,1296.0
12089366,stimulus_Ins_HumanRights_2_page_3,65.4,123.3,1297.0
12089367,stimulus_Ins_HumanRights_2_page_3,66.0,122.9,1298.0
12089368,stimulus_Ins_HumanRights_2_page_3,66.2,122.8,1299.0
12089369,stimulus_Ins_HumanRights_2_page_3,66.5,122.7,1300.0
12089370,stimulus_Ins_HumanRights_2_page_3,66.4,122.6,1301.0
12089371,stimulus_Ins_HumanRights_2_page_3,66.4,122.5,1302.0
12089372,stimulus_Ins_HumanRights_2_page_3,66.4,122.3,1304.0
12089373,stimulus_Ins_HumanRights_2_page_3,66.3,122.2,1305.0
12089374,stimulus_Ins_HumanRights_2_page_3,66.3,122.0,1305.0
12089375,stimulus_Ins_HumanRights_2_page_3,66.4,121.6,1305.0
12089376,stimulus_Ins_HumanRights_2_page_3,66.6,121.3,1305.0
12089377,stimulus_Ins_HumanRights_2_page_3,66.8,121.0,1305.0
12089378,stimulus_Ins_HumanRights_2_page_3,66.9,121.1,1305.0
