time,screen,pixel_x,pixel_y,pupil
12482535,stimulus_Ins_HumanRights_2_question_2132,1255.1,949.5,1209.0
12482536,stimulus_Ins_HumanRights_2_question_2132,1255.0,949.6,1210.0
12482537,stimulus_Ins_HumanRights_2_question_2132,1255.0,949.7,1210.0
12482538,stimulus_Ins_HumanRights_2_question_2132,1255.1,950.0,1210.0
12482539,stimulus_Ins_HumanRights_2_question_2132,1255.2,950.3,1210.0
12482540,stimulus_Ins_HumanRights_2_question_2132,1255.4,950.5,1209.0
12482541,stimulus_Ins_HumanRights_2_question_2132,1255.4,950.6,1207.0
12482542,stimulus_Ins_HumanRights_2_question_2132,1255.5,950.4,1206.0
12482543,stimulus_Ins_HumanRights_2_question_2132,1255.6,949.8,1205.0
12482544,stimulus_Ins_HumanRights_2_question_2132,1255.7,949.3,1207.0
12482545,stimulus_Ins_HumanRights_2_question_2132,1255.7,948.9,1208.0
12482546,stimulus_Ins_HumanRights_2_question_2132,1255.8,948.8,1209.0
12482547,stimulus_Ins_HumanRights_2_question_2132,1256.0,948.7,1209.0
12482548,stimulus_Ins_HumanRights_2_question_2132,1256.1,948.6,1208.0
12482549,stimulus_Ins_HumanRights_2_question_2132,1256.1,948.8,1207.0
12482550,stimulus_Ins_HumanRights_2_question_2132,1256.1,949.0,1206.0
12482551,stimulus_Ins_HumanRights_2_question_2132,1255.9,949.3,1206.0
12482552,stimulus_Ins_HumanRights_2_question_2132,1255.7,949.4,1206.0
12482553,stimulus_Ins_HumanRights_2_question_2132,1255.4,949.4,1206.0
12482554,stimulus_Ins_HumanRights_2_question_2132,1255.3,949.5,1206.0
12482555,stimulus_Ins_HumanRights_2_question_2132,1255.2,949.5,1206.0
12482556,stimulus_Ins_HumanRights_2_question_2132,1255.3,949.9,1205.0
12482557,stimulus_Ins_HumanRights_2_question_2132,1255.3,950.3,1206.0
12482558,stimulus_Ins_HumanRights_2_question_2132,1255.3,950.6,1207.0
12482559,stimulus_Ins_HumanRights_2_question_2132,1255.2,950.4,1208.0
12482560,stimulus_Ins_HumanRights_2_question_2132,1255.1,950.3,1206.0
12482561,stimulus_Ins_HumanRights_2_question_2132,1254.9,950.1,1204.0
12482562,stimulus_Ins_HumanRights_2_question_2132,1255.0,949.7,1203.0
12482563,stimulus_Ins_HumanRights_2_question_2132,1255.0,949.3,1204.0
12482564,stimulus_Ins_HumanRights_2_question_2132,1255.0,948.9,1204.0
12482565,stimulus_Ins_HumanRights_2_question_2132,1255.2,948.9,1205.0
12482566,stimulus_Ins_HumanRights_2_question_2132,1255.3,948.9,1205.0
12482567,stimulus_Ins_HumanRights_2_question_2132,1255.5,949.0,1205.0
12482568,stimulus_Ins_HumanRights_2_question_2132,1255.5,948.9,1205.0
12482569,stimulus_Ins_HumanRights_2_question_2132,1255.7,948.8,1205.0
12482570,stimulus_Ins_HumanRights_2_question_2132,1255.9,948.6,1205.0
12482571,stimulus_Ins_HumanRights_2_question_2132,1256.1,948.6,1204.0
12482572,stimulus_Ins_HumanRights_2_question_2132,1256.0,948.7,1203.0
12482573,stimulus_Ins_HumanRights_2_question_2132,1256.0,948.8,1203.0
12482574,stimulus_Ins_HumanRights_2_question_2132,1256.1,948.9,1203.0
12482575,stimulus_Ins_HumanRights_2_question_2132,1256.2,949.0,1203.0
12482576,stimulus_Ins_HumanRights_2_question_2132,1256.3,948.9,1204.0
12482577,stimulus_Ins_HumanRights_2_question_2132,1256.3,948.6,1204.0
12482578,stimulus_Ins_HumanRights_2_question_2132,1256.2,948.3,1205.0
12482579,stimulus_Ins_HumanRights_2_question_2132,1256.3,948.1,1207.0
12482580,stimulus_Ins_HumanRights_2_question_2132,1256.3,947.9,1208.0
12482581,stimulus_Ins_HumanRights_2_question_2132,1256.4,947.7,1208.0
12482582,stimulus_Ins_HumanRights_2_question_2132,1256.4,947.8,1207.0
12482583,stimulus_Ins_HumanRights_2_question_2132,1256.5,947.9,1206.0
12482584,stimulus_Ins_HumanRights_2_question_2132,1256.7,948.2,1205.0
12482585,stimulus_Ins_HumanRights_2_question_2132,1256.7,948.3,1205.0
12482586,stimulus_Ins_HumanRights_2_question_2132,1256.7,948.5,1205.0
12482587,stimulus_Ins_HumanRights_2_question_2132,1256.6,948.5,1206.0
12482588,stimulus_Ins_HumanRights_2_question_2132,1256.5,948.6,1207.0
12482589,stimulus_Ins_HumanRights_2_question_2132,1256.8,948.2,1208.0
12482590,stimulus_Ins_HumanRights_2_question_2132,1257.0,947.7,1207.0
12482591,stimulus_Ins_HumanRights_2_question_2132,1257.2,947.2,1207.0
12482592,stimulus_Ins_HumanRights_2_question_2132,1257.0,947.1,1207.0
12482593,stimulus_Ins_HumanRights_2_question_2132,1256.9,947.1,1207.0
