time,screen,pixel_x,pixel_y,pupil
8214970,stimulus_Lit_Solaris_8_page_12,39.4,89.7,1066.0
8214971,stimulus_Lit_Solaris_8_page_12,39.5,89.5,1067.0
8214972,stimulus_Lit_Solaris_8_page_12,39.6,88.9,1067.0
8214973,stimulus_Lit_Solaris_8_page_12,39.6,88.4,1067.0
8214974,stimulus_Lit_Solaris_8_page_12,39.5,88.1,1068.0
8214975,stimulus_Lit_Solaris_8_page_12,39.3,88.1,1068.0
8214976,stimulus_Lit_Solaris_8_page_12,39.0,88.0,1068.0
8214977,stimulus_Lit_Solaris_8_page_12,38.8,87.9,1067.0
8214978,stimulus_Lit_Solaris_8_page_12,38.7,87.9,1067.0
8214979,stimulus_Lit_Solaris_8_page_12,38.7,88.2,1067.0
8214980,stimulus_Lit_Solaris_8_page_12,38.8,88.5,1067.0
8214981,stimulus_Lit_Solaris_8_page_12,38.8,88.7,1067.0
8214982,stimulus_Lit_Solaris_8_page_12,38.8,88.7,1066.0
8214983,stimulus_Lit_Solaris_8_page_12,38.7,89.2,1066.0
8214984,stimulus_Lit_Solaris_8_page_12,38.7,89.6,1067.0
8214985,stimulus_Lit_Solaris_8_page_12,38.7,89.9,1069.0
8214986,stimulus_Lit_Solaris_8_page_12,38.5,89.8,1070.0
8214987,stimulus_Lit_Solaris_8_page_12,38.4,89.6,1069.0
8214988,stimulus_Lit_Solaris_8_page_12,38.8,89.6,1069.0
8214989,stimulus_Lit_Solaris_8_page_12,39.6,89.8,1069.0
8214990,stimulus_Lit_Solaris_8_page_12,40.5,90.3,1070.0
8214991,stimulus_Lit_Solaris_8_page_12,40.8,90.8,1070.0
8214992,stimulus_Lit_Solaris_8_page_12,40.7,91.0,1070.0
8214993,stimulus_Lit_Solaris_8_page_12,40.6,91.0,1070.0
8214994,stimulus_Lit_Solaris_8_page_12,40.5,91.1,1068.0
8214995,stimulus_Lit_Solaris_8_page_12,40.6,90.7,1067.0
8214996,stimulus_Lit_Solaris_8_page_12,40.7,90.2,1065.0
8214997,stimulus_Lit_Solaris_8_page_12,40.3,89.5,1065.0
8214998,stimulus_Lit_Solaris_8_page_12,39.8,89.3,1065.0
8214999,stimulus_Lit_Solaris_8_page_12,39.3,89.2,1066.0
8215000,stimulus_Lit_Solaris_8_page_12,39.3,89.3,1066.0
8215001,stimulus_Lit_Solaris_8_page_12,39.2,89.4,1067.0
8215002,stimulus_Lit_Solaris_8_page_12,39.4,89.8,1067.0
8215003,stimulus_Lit_Solaris_8_page_12,39.6,90.2,1067.0
8215004,stimulus_Lit_Solaris_8_page_12,39.9,90.5,1067.0
8215005,stimulus_Lit_Solaris_8_page_12,39.9,90.5,1068.0
8215006,stimulus_Lit_Solaris_8_page_12,39.7,90.4,1069.0
8215007,stimulus_Lit_Solaris_8_page_12,39.4,90.5,1071.0
8215008,stimulus_Lit_Solaris_8_page_12,39.1,90.6,1071.0
8215009,stimulus_Lit_Solaris_8_page_12,39.1,90.7,1071.0
8215010,stimulus_Lit_Solaris_8_page_12,39.3,90.3,1069.0
8215011,stimulus_Lit_Solaris_8_page_12,39.7,90.0,1066.0
8215012,stimulus_Lit_Solaris_8_page_12,40.0,89.9,1066.0
8215013,stimulus_Lit_Solaris_8_page_12,40.1,90.1,1066.0
8215014,stimulus_Lit_Solaris_8_page_12,40.1,90.1,1067.0
8215015,stimulus_Lit_Solaris_8_page_12,40.4,89.4,1067.0
8215016,stimulus_Lit_Solaris_8_page_12,40.6,88.8,1067.0
8215017,stimulus_Lit_Solaris_8_page_12,40.5,88.5,1068.0
8215018,stimulus_Lit_Solaris_8_page_12,40.2,88.5,1070.0
8215019,stimulus_Lit_Solaris_8_page_12,39.8,88.5,1072.0
8215020,stimulus_Lit_Solaris_8_page_12,39.8,88.5,1072.0
8215021,stimulus_Lit_Solaris_8_page_12,39.8,88.5,1070.0
8215022,stimulus_Lit_Solaris_8_page_12,39.7,88.7,1069.0
8215023,stimulus_Lit_Solaris_8_page_12,39.7,88.9,1070.0
8215024,stimulus_Lit_Solaris_8_page_12,39.6,89.0,1070.0
8215025,stimulus_Lit_Solaris_8_page_12,39.5,89.0,1070.0
8215026,stimulus_Lit_Solaris_8_page_12,39.5,89.0,1071.0
8215027,stimulus_Lit_Solaris_8_page_12,39.5,89.0,1071.0
8215028,stimulus_Lit_Solaris_8_page_12,39.5,88.9,1071.0
8215029,stimulus_Lit_Solaris_8_page_12,39.5,88.8,1072.0
8215030,stimulus_Lit_Solaris_8_page_12,39.6,88.8,1072.0
8215031,stimulus_Lit_Solaris_8_page_12,39.6,88.9,1072.0
8215032,stimulus_Lit_Solaris_8_page_12,39.6,88.9,1072.0
8215033,stimulus_Lit_Solaris_8_page_12,39.6,88.9,1071.0
8215034,stimulus_Lit_Solaris_8_page_12,39.7,89.0,1071.0
8215035,stimulus_Lit_Solaris_8_page_12,39.8,89.1,1071.0
8215036,stimulus_Lit_Solaris_8_page_12,39.9,89.0,1071.0
8215037,stimulus_Lit_Solaris_8_page_12,39.9,88.9,1071.0
8215038,stimulus_Lit_Solaris_8_page_12,39.9,89.1,1071.0
8215039,stimulus_Lit_Solaris_8_page_12,39.8,89.6,1071.0
8215040,stimulus_Lit_Solaris_8_page_12,39.8,90.1,1071.0
8215041,stimulus_Lit_Solaris_8_page_12,39.8,90.3,1072.0
8215042,stimulus_Lit_Solaris_8_page_12,39.9,90.4,1072.0
8215043,stimulus_Lit_Solaris_8_page_12,39.9,90.3,1072.0
8215044,stimulus_Lit_Solaris_8_page_12,39.6,90.3,1071.0
8215045,stimulus_Lit_Solaris_8_page_12,39.4,90.2,1072.0
8215046,stimulus_Lit_Solaris_8_page_12,39.3,90.1,1073.0
8215047,stimulus_Lit_Solaris_8_page_12,39.3,90.0,1077.0
8215048,stimulus_Lit_Solaris_8_page_12,39.3,89.9,1078.0
8215049,stimulus_Lit_Solaris_8_page_12,39.3,89.9,1080.0
8215050,stimulus_Lit_Solaris_8_page_12,39.5,90.1,1079.0
8215051,stimulus_Lit_Solaris_8_page_12,39.8,90.4,1078.0
8215052,stimulus_Lit_Solaris_8_page_12,40.1,90.8,1078.0
