time,screen,pixel_x,pixel_y,pupil
8397151,stimulus_Lit_Solaris_8_question_8112,1266.0,934.9,1341.0
8397152,stimulus_Lit_Solaris_8_question_8112,1266.0,935.0,1341.0
8397153,stimulus_Lit_Solaris_8_question_8112,1265.9,934.9,1341.0
8397154,stimulus_Lit_Solaris_8_question_8112,1265.7,934.7,1341.0
8397155,stimulus_Lit_Solaris_8_question_8112,1265.4,934.5,1341.0
8397156,stimulus_Lit_Solaris_8_question_8112,1265.2,934.7,1340.0
8397157,stimulus_Lit_Solaris_8_question_8112,1265.5,934.8,1340.0
8397158,stimulus_Lit_Solaris_8_question_8112,1265.8,934.8,1339.0
8397159,stimulus_Lit_Solaris_8_question_8112,1265.8,935.1,1340.0
8397160,stimulus_Lit_Solaris_8_question_8112,1265.7,935.5,1340.0
8397161,stimulus_Lit_Solaris_8_question_8112,1266.1,936.0,1339.0
8397162,stimulus_Lit_Solaris_8_question_8112,1266.7,935.9,1339.0
8397163,stimulus_Lit_Solaris_8_question_8112,1267.4,935.8,1339.0
8397164,stimulus_Lit_Solaris_8_question_8112,1267.9,935.6,1339.0
8397165,stimulus_Lit_Solaris_8_question_8112,1268.3,935.3,1338.0
8397166,stimulus_Lit_Solaris_8_question_8112,1268.3,935.0,1338.0
8397167,stimulus_Lit_Solaris_8_question_8112,1268.0,934.7,1338.0
8397168,stimulus_Lit_Solaris_8_question_8112,1267.8,934.6,1338.0
8397169,stimulus_Lit_Solaris_8_question_8112,1268.0,934.4,1337.0
8397170,stimulus_Lit_Solaris_8_question_8112,1268.1,934.2,1335.0
8397171,stimulus_Lit_Solaris_8_question_8112,1268.0,933.9,1334.0
8397172,stimulus_Lit_Solaris_8_question_8112,1267.9,933.8,1334.0
8397173,stimulus_Lit_Solaris_8_question_8112,1267.7,933.7,1335.0
8397174,stimulus_Lit_Solaris_8_question_8112,1267.5,933.6,1336.0
8397175,stimulus_Lit_Solaris_8_question_8112,1267.2,933.5,1337.0
8397176,stimulus_Lit_Solaris_8_question_8112,1267.1,933.4,1338.0
8397177,stimulus_Lit_Solaris_8_question_8112,1267.5,933.7,1339.0
8397178,stimulus_Lit_Solaris_8_question_8112,1268.0,934.2,1339.0
8397179,stimulus_Lit_Solaris_8_question_8112,1268.5,934.7,1339.0
8397180,stimulus_Lit_Solaris_8_question_8112,1268.6,934.7,1339.0
8397181,stimulus_Lit_Solaris_8_question_8112,1268.6,934.5,1339.0
8397182,stimulus_Lit_Solaris_8_question_8112,1268.5,934.3,1339.0
8397183,stimulus_Lit_Solaris_8_question_8112,1268.3,934.4,1339.0
8397184,stimulus_Lit_Solaris_8_question_8112,1268.2,934.3,1338.0
8397185,stimulus_Lit_Solaris_8_question_8112,1268.7,934.7,1338.0
8397186,stimulus_Lit_Solaris_8_question_8112,1269.2,935.0,1338.0
8397187,stimulus_Lit_Solaris_8_question_8112,1269.6,935.2,1337.0
8397188,stimulus_Lit_Solaris_8_question_8112,1269.4,935.0,1336.0
8397189,stimulus_Lit_Solaris_8_question_8112,1268.9,934.6,1335.0
8397190,stimulus_Lit_Solaris_8_question_8112,1268.5,934.4,1333.0
8397191,stimulus_Lit_Solaris_8_question_8112,1268.5,934.2,1333.0
8397192,stimulus_Lit_Solaris_8_question_8112,1268.7,934.0,1333.0
8397193,stimulus_Lit_Solaris_8_question_8112,1268.8,933.9,1335.0
8397194,stimulus_Lit_Solaris_8_question_8112,1268.7,933.8,1337.0
8397195,stimulus_Lit_Solaris_8_question_8112,1268.6,933.7,1338.0
8397196,stimulus_Lit_Solaris_8_question_8112,1268.6,933.6,1338.0
8397197,stimulus_Lit_Solaris_8_question_8112,1268.8,934.0,1338.0
8397198,stimulus_Lit_Solaris_8_question_8112,1269.0,934.4,1337.0
8397199,stimulus_Lit_Solaris_8_question_8112,1269.1,935.0,1337.0
8397200,stimulus_Lit_Solaris_8_question_8112,1269.1,935.1,1337.0
8397201,stimulus_Lit_Solaris_8_question_8112,1269.1,935.2,1337.0
8397202,stimulus_Lit_Solaris_8_question_8112,1269.2,935.0,1337.0
8397203,stimulus_Lit_Solaris_8_question_8112,1269.4,935.0,1337.0
8397204,stimulus_Lit_Solaris_8_question_8112,1269.6,934.9,1337.0
8397205,stimulus_Lit_Solaris_8_question_8112,1269.8,935.0,1337.0
8397206,stimulus_Lit_Solaris_8_question_8112,1269.9,935.1,1337.0
8397207,stimulus_Lit_Solaris_8_question_8112,1269.8,935.1,1337.0
8397208,stimulus_Lit_Solaris_8_question_8112,1269.6,935.0,1337.0
8397209,stimulus_Lit_Solaris_8_question_8112,1269.1,934.8,1337.0
8397210,stimulus_Lit_Solaris_8_question_8112,1268.7,934.6,1337.0
8397211,stimulus_Lit_Solaris_8_question_8112,1268.5,934.4,1338.0
8397212,stimulus_Lit_Solaris_8_question_8112,1268.7,934.2,1338.0
8397213,stimulus_Lit_Solaris_8_question_8112,1268.4,934.1,1339.0
8397214,stimulus_Lit_Solaris_8_question_8112,1268.1,934.1,1339.0
8397215,stimulus_Lit_Solaris_8_question_8112,1268.0,934.1,1339.0
8397216,stimulus_Lit_Solaris_8_question_8112,1268.7,934.1,1339.0
8397217,stimulus_Lit_Solaris_8_question_8112,1269.7,934.1,1338.0
8397218,stimulus_Lit_Solaris_8_question_8112,1270.3,934.2,1338.0
8397219,stimulus_Lit_Solaris_8_question_8112,1270.3,934.3,1338.0
8397220,stimulus_Lit_Solaris_8_question_8112,1270.1,934.5,1338.0
8397221,stimulus_Lit_Solaris_8_question_8112,1269.8,934.6,1339.0
8397222,stimulus_Lit_Solaris_8_question_8112,1269.7,934.4,1339.0
8397223,stimulus_Lit_Solaris_8_question_8112,1269.1,934.1,1338.0
8397224,stimulus_Lit_Solaris_8_question_8112,1268.4,934.0,1338.0
8397225,stimulus_Lit_Solaris_8_question_8112,1267.9,934.1,1339.0
8397226,stimulus_Lit_Solaris_8_question_8112,1267.9,934.2,1339.0
8397227,stimulus_Lit_Solaris_8_question_8112,1268.0,934.2,1339.0
8397228,stimulus_Lit_Solaris_8_question_8112,1268.1,934.5,1339.0
8397229,stimulus_Lit_Solaris_8_question_8112,1267.9,934.7,1338.0
8397230,stimulus_Lit_Solaris_8_question_8112,1267.7,935.0,1338.0
8397231,stimulus_Lit_Solaris_8_question_8112,1267.5,935.1,1337.0
8397232,stimulus_Lit_Solaris_8_question_8112,1267.6,935.2,1336.0
8397233,stimulus_Lit_Solaris_8_question_8112,1267.7,935.4,1338.0
8397234,stimulus_Lit_Solaris_8_question_8112,1268.1,935.4,1339.0
8397235,stimulus_Lit_Solaris_8_question_8112,1268.6,935.1,1341.0
8397236,stimulus_Lit_Solaris_8_question_8112,1269.2,934.7,1341.0
8397237,stimulus_Lit_Solaris_8_question_8112,1269.2,934.5,1341.0
8397238,stimulus_Lit_Solaris_8_question_8112,1269.0,934.9,1341.0
8397239,stimulus_Lit_Solaris_8_question_8112,1268.8,935.2,1341.0
8397240,stimulus_Lit_Solaris_8_question_8112,1268.8,935.4,1340.0
8397241,stimulus_Lit_Solaris_8_question_8112,1268.4,935.6,1338.0
8397242,stimulus_Lit_Solaris_8_question_8112,1268.1,935.7,1336.0
8397243,stimulus_Lit_Solaris_8_question_8112,1267.8,935.9,1337.0
8397244,stimulus_Lit_Solaris_8_question_8112,1268.0,936.0,1338.0
8397245,stimulus_Lit_Solaris_8_question_8112,1268.1,936.0,1337.0
8397246,stimulus_Lit_Solaris_8_question_8112,1268.2,936.0,1336.0
8397247,stimulus_Lit_Solaris_8_question_8112,1268.2,936.0,1335.0
8397248,stimulus_Lit_Solaris_8_question_8112,1268.1,935.8,1335.0
8397249,stimulus_Lit_Solaris_8_question_8112,1268.0,935.6,1335.0
8397250,stimulus_Lit_Solaris_8_question_8112,1267.8,935.5,1335.0
8397251,stimulus_Lit_Solaris_8_question_8112,1267.6,935.5,1335.0
8397252,stimulus_Lit_Solaris_8_question_8112,1267.5,935.4,1335.0
8397253,stimulus_Lit_Solaris_8_question_8112,1267.4,935.4,1335.0
8397254,stimulus_Lit_Solaris_8_question_8112,1267.4,935.4,1335.0
8397255,stimulus_Lit_Solaris_8_question_8112,1267.4,935.6,1335.0
8397256,stimulus_Lit_Solaris_8_question_8112,1267.3,936.3,1335.0
8397257,stimulus_Lit_Solaris_8_question_8112,1267.3,937.0,1335.0
8397258,stimulus_Lit_Solaris_8_question_8112,1267.1,937.5,1334.0
8397259,stimulus_Lit_Solaris_8_question_8112,1267.0,937.4,1333.0
8397260,stimulus_Lit_Solaris_8_question_8112,1267.0,937.2,1331.0
8397261,stimulus_Lit_Solaris_8_question_8112,1267.1,937.1,1331.0
8397262,stimulus_Lit_Solaris_8_question_8112,1267.2,937.1,1331.0
8397263,stimulus_Lit_Solaris_8_question_8112,1267.2,937.1,1332.0
8397264,stimulus_Lit_Solaris_8_question_8112,1267.6,937.0,1332.0
8397265,stimulus_Lit_Solaris_8_question_8112,1268.0,936.5,1332.0
8397266,stimulus_Lit_Solaris_8_question_8112,1268.5,936.1,1331.0
8397267,stimulus_Lit_Solaris_8_question_8112,1268.8,935.9,1330.0
8397268,stimulus_Lit_Solaris_8_question_8112,1269.1,936.1,1328.0
8397269,stimulus_Lit_Solaris_8_question_8112,1269.1,936.5,1328.0
8397270,stimulus_Lit_Solaris_8_question_8112,1268.8,937.0,1328.0
8397271,stimulus_Lit_Solaris_8_question_8112,1268.5,937.5,1328.0
8397272,stimulus_Lit_Solaris_8_question_8112,1268.6,937.9,1328.0
8397273,stimulus_Lit_Solaris_8_question_8112,1268.6,938.0,1328.0
8397274,stimulus_Lit_Solaris_8_question_8112,1268.8,938.2,1328.0
8397275,stimulus_Lit_Solaris_8_question_8112,1269.0,938.2,1328.0
8397276,stimulus_Lit_Solaris_8_question_8112,1268.9,938.3,1330.0
8397277,stimulus_Lit_Solaris_8_question_8112,1268.4,938.5,1332.0
8397278,stimulus_Lit_Solaris_8_question_8112,1268.0,938.7,1334.0
8397279,stimulus_Lit_Solaris_8_question_8112,1268.2,938.9,1336.0
8397280,stimulus_Lit_Solaris_8_question_8112,1268.5,938.9,1336.0
8397281,stimulus_Lit_Solaris_8_question_8112,1268.5,938.9,1336.0
8397282,stimulus_Lit_Solaris_8_question_8112,1268.3,939.0,1335.0
8397283,stimulus_Lit_Solaris_8_question_8112,1267.8,939.1,1334.0
8397284,stimulus_Lit_Solaris_8_question_8112,1267.7,939.3,1334.0
8397285,stimulus_Lit_Solaris_8_question_8112,1267.6,939.5,1335.0
8397286,stimulus_Lit_Solaris_8_question_8112,1267.7,939.7,1336.0
8397287,stimulus_Lit_Solaris_8_question_8112,1267.8,939.9,1338.0
8397288,stimulus_Lit_Solaris_8_question_8112,1267.8,940.1,1338.0
8397289,stimulus_Lit_Solaris_8_question_8112,1267.6,940.2,1338.0
8397290,stimulus_Lit_Solaris_8_question_8112,1267.3,940.2,1337.0
8397291,stimulus_Lit_Solaris_8_question_8112,1267.1,940.2,1337.0
8397292,stimulus_Lit_Solaris_8_question_8112,1267.5,940.2,1336.0
8397293,stimulus_Lit_Solaris_8_question_8112,1267.9,940.3,1337.0
8397294,stimulus_Lit_Solaris_8_question_8112,1268.4,940.4,1337.0
8397295,stimulus_Lit_Solaris_8_question_8112,1268.5,940.4,1338.0
8397296,stimulus_Lit_Solaris_8_question_8112,1268.5,940.5,1338.0
8397297,stimulus_Lit_Solaris_8_question_8112,1268.6,940.6,1337.0
8397298,stimulus_Lit_Solaris_8_question_8112,1268.7,940.9,1336.0
