time,screen,pixel_x,pixel_y,pupil
8846984,stimulus_Lit_MagicMountain_6_page_3,53.1,100.2,1066.0
8846985,stimulus_Lit_MagicMountain_6_page_3,53.2,100.4,1066.0
8846986,stimulus_Lit_MagicMountain_6_page_3,53.1,100.7,1066.0
8846987,stimulus_Lit_MagicMountain_6_page_3,53.0,101.1,1066.0
8846988,stimulus_Lit_MagicMountain_6_page_3,53.3,101.1,1066.0
8846989,stimulus_Lit_MagicMountain_6_page_3,53.4,101.4,1066.0
8846990,stimulus_Lit_MagicMountain_6_page_3,53.6,101.7,1066.0
8846991,stimulus_Lit_MagicMountain_6_page_3,53.6,101.8,1066.0
8846992,stimulus_Lit_MagicMountain_6_page_3,53.8,101.8,1066.0
8846993,stimulus_Lit_MagicMountain_6_page_3,54.1,101.8,1066.0
8846994,stimulus_Lit_MagicMountain_6_page_3,54.4,101.7,1066.0
8846995,stimulus_Lit_MagicMountain_6_page_3,54.5,101.3,1067.0
8846996,stimulus_Lit_MagicMountain_6_page_3,54.4,100.9,1068.0
8846997,stimulus_Lit_MagicMountain_6_page_3,54.3,100.6,1069.0
8846998,stimulus_Lit_MagicMountain_6_page_3,54.0,100.7,1069.0
8846999,stimulus_Lit_MagicMountain_6_page_3,53.9,100.7,1069.0
8847000,stimulus_Lit_MagicMountain_6_page_3,53.8,100.7,1068.0
8847001,stimulus_Lit_MagicMountain_6_page_3,53.8,100.7,1067.0
8847002,stimulus_Lit_MagicMountain_6_page_3,54.0,100.6,1067.0
8847003,stimulus_Lit_MagicMountain_6_page_3,54.2,100.4,1067.0
8847004,stimulus_Lit_MagicMountain_6_page_3,54.4,100.3,1068.0
8847005,stimulus_Lit_MagicMountain_6_page_3,54.5,100.1,1069.0
8847006,stimulus_Lit_MagicMountain_6_page_3,54.8,100.0,1070.0
8847007,stimulus_Lit_MagicMountain_6_page_3,55.0,100.1,1070.0
8847008,stimulus_Lit_MagicMountain_6_page_3,55.2,100.2,1070.0
