time,screen,pixel_x,pixel_y,pupil
9148999,stimulus_Lit_MagicMountain_6_question_6122,331.5,246.9,1565.0
9149000,stimulus_Lit_MagicMountain_6_question_6122,331.9,247.0,1565.0
9149001,stimulus_Lit_MagicMountain_6_question_6122,332.2,247.0,1565.0
9149002,stimulus_Lit_MagicMountain_6_question_6122,332.3,247.0,1564.0
9149003,stimulus_Lit_MagicMountain_6_question_6122,332.2,247.0,1564.0
9149004,stimulus_Lit_MagicMountain_6_question_6122,332.1,247.0,1565.0
9149005,stimulus_Lit_MagicMountain_6_question_6122,332.0,247.0,1566.0
9149006,stimulus_Lit_MagicMountain_6_question_6122,332.0,247.1,1567.0
9149007,stimulus_Lit_MagicMountain_6_question_6122,332.0,247.2,1567.0
9149008,stimulus_Lit_MagicMountain_6_question_6122,331.7,247.4,1566.0
9149009,stimulus_Lit_MagicMountain_6_question_6122,331.2,247.6,1566.0
9149010,stimulus_Lit_MagicMountain_6_question_6122,331.0,247.7,1566.0
9149011,stimulus_Lit_MagicMountain_6_question_6122,331.3,247.7,1568.0
9149012,stimulus_Lit_MagicMountain_6_question_6122,331.2,247.8,1569.0
9149013,stimulus_Lit_MagicMountain_6_question_6122,330.9,248.0,1571.0
9149014,stimulus_Lit_MagicMountain_6_question_6122,331.0,248.2,1571.0
9149015,stimulus_Lit_MagicMountain_6_question_6122,331.4,248.3,1571.0
9149016,stimulus_Lit_MagicMountain_6_question_6122,331.8,248.3,1570.0
9149017,stimulus_Lit_MagicMountain_6_question_6122,331.7,248.2,1569.0
9149018,stimulus_Lit_MagicMountain_6_question_6122,331.7,248.3,1569.0
9149019,stimulus_Lit_MagicMountain_6_question_6122,331.6,248.2,1569.0
9149020,stimulus_Lit_MagicMountain_6_question_6122,331.4,248.0,1570.0
9149021,stimulus_Lit_MagicMountain_6_question_6122,331.2,247.8,1570.0
9149022,stimulus_Lit_MagicMountain_6_question_6122,331.0,247.7,1571.0
9149023,stimulus_Lit_MagicMountain_6_question_6122,331.0,247.7,1572.0
