time,screen,pixel_x,pixel_y,pupil
5414304,stimulus_Arg_PISARapaNui_11_page_2,70.2,132.2,1367.0
5414305,stimulus_Arg_PISARapaNui_11_page_2,70.4,132.2,1368.0
5414306,stimulus_Arg_PISARapaNui_11_page_2,70.6,132.0,1371.0
5414307,stimulus_Arg_PISARapaNui_11_page_2,70.8,131.9,1372.0
5414308,stimulus_Arg_PISARapaNui_11_page_2,70.8,131.9,1372.0
5414309,stimulus_Arg_PISARapaNui_11_page_2,70.8,132.2,1372.0
5414310,stimulus_Arg_PISARapaNui_11_page_2,70.8,132.6,1372.0
5414311,stimulus_Arg_PISARapaNui_11_page_2,70.7,133.0,1372.0
5414312,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.2,1373.0
5414313,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.2,1375.0
5414314,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.4,1376.0
5414315,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.5,1377.0
5414316,stimulus_Arg_PISARapaNui_11_page_2,70.5,133.5,1377.0
5414317,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.3,1377.0
5414318,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.2,1377.0
5414319,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.2,1376.0
5414320,stimulus_Arg_PISARapaNui_11_page_2,70.5,133.1,1377.0
5414321,stimulus_Arg_PISARapaNui_11_page_2,70.4,133.1,1378.0
5414322,stimulus_Arg_PISARapaNui_11_page_2,70.5,133.0,1379.0
5414323,stimulus_Arg_PISARapaNui_11_page_2,70.5,133.0,1380.0
5414324,stimulus_Arg_PISARapaNui_11_page_2,70.3,133.1,1380.0
5414325,stimulus_Arg_PISARapaNui_11_page_2,70.2,133.2,1381.0
5414326,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.3,1380.0
5414327,stimulus_Arg_PISARapaNui_11_page_2,69.8,133.3,1380.0
5414328,stimulus_Arg_PISARapaNui_11_page_2,70.0,133.2,1379.0
5414329,stimulus_Arg_PISARapaNui_11_page_2,70.4,133.2,1379.0
5414330,stimulus_Arg_PISARapaNui_11_page_2,70.8,133.4,1379.0
5414331,stimulus_Arg_PISARapaNui_11_page_2,70.4,133.6,1379.0
5414332,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.9,1380.0
5414333,stimulus_Arg_PISARapaNui_11_page_2,69.7,133.9,1380.0
5414334,stimulus_Arg_PISARapaNui_11_page_2,69.9,134.0,1380.0
5414335,stimulus_Arg_PISARapaNui_11_page_2,70.1,134.1,1380.0
5414336,stimulus_Arg_PISARapaNui_11_page_2,70.1,134.0,1380.0
5414337,stimulus_Arg_PISARapaNui_11_page_2,70.1,133.8,1380.0
5414338,stimulus_Arg_PISARapaNui_11_page_2,70.1,133.5,1379.0
5414339,stimulus_Arg_PISARapaNui_11_page_2,70.1,133.2,1379.0
5414340,stimulus_Arg_PISARapaNui_11_page_2,70.0,133.0,1380.0
5414341,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.1,1382.0
5414342,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.3,1384.0
5414343,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.4,1384.0
5414344,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.4,1383.0
5414345,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.5,1383.0
5414346,stimulus_Arg_PISARapaNui_11_page_2,69.8,133.6,1383.0
5414347,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.7,1384.0
5414348,stimulus_Arg_PISARapaNui_11_page_2,70.0,133.8,1384.0
5414349,stimulus_Arg_PISARapaNui_11_page_2,70.2,133.8,1384.0
5414350,stimulus_Arg_PISARapaNui_11_page_2,70.3,133.8,1385.0
5414351,stimulus_Arg_PISARapaNui_11_page_2,70.5,133.7,1386.0
5414352,stimulus_Arg_PISARapaNui_11_page_2,70.6,133.6,1387.0
5414353,stimulus_Arg_PISARapaNui_11_page_2,70.4,133.7,1387.0
5414354,stimulus_Arg_PISARapaNui_11_page_2,70.1,133.7,1388.0
5414355,stimulus_Arg_PISARapaNui_11_page_2,69.9,133.7,1388.0
5414356,stimulus_Arg_PISARapaNui_11_page_2,69.5,133.9,1388.0
5414357,stimulus_Arg_PISARapaNui_11_page_2,69.2,134.1,1388.0
5414358,stimulus_Arg_PISARapaNui_11_page_2,69.3,134.3,1388.0
5414359,stimulus_Arg_PISARapaNui_11_page_2,69.6,134.4,1388.0
5414360,stimulus_Arg_PISARapaNui_11_page_2,70.3,134.4,1388.0
5414361,stimulus_Arg_PISARapaNui_11_page_2,70.7,134.3,1388.0
5414362,stimulus_Arg_PISARapaNui_11_page_2,71.0,134.3,1388.0
5414363,stimulus_Arg_PISARapaNui_11_page_2,70.8,134.1,1389.0
5414364,stimulus_Arg_PISARapaNui_11_page_2,70.4,134.0,1389.0
5414365,stimulus_Arg_PISARapaNui_11_page_2,70.0,134.5,1389.0
5414366,stimulus_Arg_PISARapaNui_11_page_2,69.6,134.9,1388.0
5414367,stimulus_Arg_PISARapaNui_11_page_2,69.7,135.1,1389.0
5414368,stimulus_Arg_PISARapaNui_11_page_2,69.7,134.8,1389.0
5414369,stimulus_Arg_PISARapaNui_11_page_2,69.7,134.5,1390.0
5414370,stimulus_Arg_PISARapaNui_11_page_2,69.7,134.5,1390.0
5414371,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.5,1390.0
5414372,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.6,1390.0
5414373,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.6,1391.0
5414374,stimulus_Arg_PISARapaNui_11_page_2,69.6,134.7,1392.0
5414375,stimulus_Arg_PISARapaNui_11_page_2,69.4,134.8,1392.0
5414376,stimulus_Arg_PISARapaNui_11_page_2,69.2,135.0,1392.0
5414377,stimulus_Arg_PISARapaNui_11_page_2,69.1,135.1,1393.0
5414378,stimulus_Arg_PISARapaNui_11_page_2,69.0,135.1,1393.0
5414379,stimulus_Arg_PISARapaNui_11_page_2,69.1,134.9,1393.0
5414380,stimulus_Arg_PISARapaNui_11_page_2,69.2,134.7,1394.0
5414381,stimulus_Arg_PISARapaNui_11_page_2,69.2,134.2,1394.0
5414382,stimulus_Arg_PISARapaNui_11_page_2,69.1,134.0,1395.0
5414383,stimulus_Arg_PISARapaNui_11_page_2,69.3,134.1,1396.0
5414384,stimulus_Arg_PISARapaNui_11_page_2,69.5,134.3,1397.0
5414385,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.5,1398.0
5414386,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.4,1398.0
5414387,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.4,1398.0
5414388,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.4,1398.0
5414389,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.6,1397.0
5414390,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.7,1397.0
5414391,stimulus_Arg_PISARapaNui_11_page_2,69.8,134.9,1398.0
5414392,stimulus_Arg_PISARapaNui_11_page_2,69.9,135.0,1399.0
5414393,stimulus_Arg_PISARapaNui_11_page_2,70.1,135.2,1399.0
5414394,stimulus_Arg_PISARapaNui_11_page_2,70.3,135.2,1400.0
5414395,stimulus_Arg_PISARapaNui_11_page_2,70.3,135.2,1400.0
5414396,stimulus_Arg_PISARapaNui_11_page_2,70.1,135.0,1400.0
5414397,stimulus_Arg_PISARapaNui_11_page_2,70.2,134.9,1401.0
5414398,stimulus_Arg_PISARapaNui_11_page_2,70.4,134.8,1401.0
5414399,stimulus_Arg_PISARapaNui_11_page_2,70.6,134.8,1401.0
5414400,stimulus_Arg_PISARapaNui_11_page_2,70.5,134.9,1401.0
5414401,stimulus_Arg_PISARapaNui_11_page_2,70.3,135.1,1402.0
5414402,stimulus_Arg_PISARapaNui_11_page_2,70.1,135.3,1403.0
5414403,stimulus_Arg_PISARapaNui_11_page_2,70.1,135.5,1404.0
5414404,stimulus_Arg_PISARapaNui_11_page_2,70.3,135.5,1404.0
5414405,stimulus_Arg_PISARapaNui_11_page_2,70.5,135.5,1405.0
5414406,stimulus_Arg_PISARapaNui_11_page_2,70.8,135.5,1405.0
5414407,stimulus_Arg_PISARapaNui_11_page_2,71.0,135.5,1405.0
5414408,stimulus_Arg_PISARapaNui_11_page_2,71.4,135.5,1406.0
5414409,stimulus_Arg_PISARapaNui_11_page_2,71.6,135.3,1406.0
5414410,stimulus_Arg_PISARapaNui_11_page_2,72.0,135.1,1407.0
5414411,stimulus_Arg_PISARapaNui_11_page_2,72.3,134.9,1407.0
5414412,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.7,1409.0
5414413,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.5,1410.0
5414414,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.4,1412.0
5414415,stimulus_Arg_PISARapaNui_11_page_2,72.5,134.4,1413.0
5414416,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.2,1413.0
5414417,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.1,1414.0
5414418,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.0,1414.0
5414419,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.1,1413.0
5414420,stimulus_Arg_PISARapaNui_11_page_2,72.4,134.2,1413.0
5414421,stimulus_Arg_PISARapaNui_11_page_2,72.2,134.1,1413.0
5414422,stimulus_Arg_PISARapaNui_11_page_2,72.1,133.9,1414.0
5414423,stimulus_Arg_PISARapaNui_11_page_2,72.0,133.6,1415.0
5414424,stimulus_Arg_PISARapaNui_11_page_2,72.0,133.5,1415.0
5414425,stimulus_Arg_PISARapaNui_11_page_2,72.0,133.5,1415.0
5414426,stimulus_Arg_PISARapaNui_11_page_2,72.1,133.6,1415.0
5414427,stimulus_Arg_PISARapaNui_11_page_2,72.1,133.7,1414.0
5414428,stimulus_Arg_PISARapaNui_11_page_2,72.3,133.8,1414.0
5414429,stimulus_Arg_PISARapaNui_11_page_2,72.5,133.8,1413.0
5414430,stimulus_Arg_PISARapaNui_11_page_2,72.6,133.9,1413.0
5414431,stimulus_Arg_PISARapaNui_11_page_2,72.5,133.6,1415.0
5414432,stimulus_Arg_PISARapaNui_11_page_2,72.5,133.4,1417.0
5414433,stimulus_Arg_PISARapaNui_11_page_2,72.5,133.1,1419.0
5414434,stimulus_Arg_PISARapaNui_11_page_2,72.5,133.1,1419.0
5414435,stimulus_Arg_PISARapaNui_11_page_2,72.4,133.1,1419.0
5414436,stimulus_Arg_PISARapaNui_11_page_2,72.3,133.1,1419.0
5414437,stimulus_Arg_PISARapaNui_11_page_2,72.2,133.2,1419.0
5414438,stimulus_Arg_PISARapaNui_11_page_2,72.2,133.2,1418.0
5414439,stimulus_Arg_PISARapaNui_11_page_2,72.3,133.2,1418.0
5414440,stimulus_Arg_PISARapaNui_11_page_2,72.4,133.3,1418.0
5414441,stimulus_Arg_PISARapaNui_11_page_2,72.7,133.2,1418.0
5414442,stimulus_Arg_PISARapaNui_11_page_2,73.1,133.0,1418.0
5414443,stimulus_Arg_PISARapaNui_11_page_2,73.4,132.9,1418.0
5414444,stimulus_Arg_PISARapaNui_11_page_2,73.3,132.7,1418.0
5414445,stimulus_Arg_PISARapaNui_11_page_2,73.3,132.6,1419.0
5414446,stimulus_Arg_PISARapaNui_11_page_2,73.4,132.5,1419.0
5414447,stimulus_Arg_PISARapaNui_11_page_2,73.5,132.6,1418.0
5414448,stimulus_Arg_PISARapaNui_11_page_2,73.5,132.8,1418.0
5414449,stimulus_Arg_PISARapaNui_11_page_2,73.4,132.6,1417.0
5414450,stimulus_Arg_PISARapaNui_11_page_2,73.2,132.3,1416.0
5414451,stimulus_Arg_PISARapaNui_11_page_2,72.9,132.1,1416.0
5414452,stimulus_Arg_PISARapaNui_11_page_2,72.8,132.0,1417.0
5414453,stimulus_Arg_PISARapaNui_11_page_2,72.6,132.1,1417.0
5414454,stimulus_Arg_PISARapaNui_11_page_2,72.4,132.2,1416.0
5414455,stimulus_Arg_PISARapaNui_11_page_2,72.2,132.3,1416.0
5414456,stimulus_Arg_PISARapaNui_11_page_2,72.0,132.3,1416.0
5414457,stimulus_Arg_PISARapaNui_11_page_2,71.9,132.2,1415.0
5414458,stimulus_Arg_PISARapaNui_11_page_2,71.8,132.2,1414.0
5414459,stimulus_Arg_PISARapaNui_11_page_2,71.7,132.0,1415.0
5414460,stimulus_Arg_PISARapaNui_11_page_2,71.8,131.8,1416.0
5414461,stimulus_Arg_PISARapaNui_11_page_2,71.9,131.7,1418.0
5414462,stimulus_Arg_PISARapaNui_11_page_2,72.1,131.7,1418.0
5414463,stimulus_Arg_PISARapaNui_11_page_2,72.2,131.7,1418.0
5414464,stimulus_Arg_PISARapaNui_11_page_2,72.3,131.7,1418.0
