time,screen,pixel_x,pixel_y,pupil
5850708,subject_difficulty_screen,1265.1,935.1,1440.0
5850709,subject_difficulty_screen,1265.2,935.4,1440.0
5850710,subject_difficulty_screen,1265.3,935.8,1439.0
5850711,subject_difficulty_screen,1265.3,935.9,1437.0
5850712,subject_difficulty_screen,1265.2,935.8,1438.0
5850713,subject_difficulty_screen,1264.9,935.6,1439.0
5850714,subject_difficulty_screen,1264.9,935.5,1441.0
5850715,subject_difficulty_screen,1265.2,935.4,1443.0
5850716,subject_difficulty_screen,1265.4,935.2,1443.0
5850717,subject_difficulty_screen,1265.4,935.1,1443.0
5850718,subject_difficulty_screen,1265.4,935.7,1442.0
5850719,subject_difficulty_screen,1265.2,936.1,1443.0
5850720,subject_difficulty_screen,1264.9,936.5,1444.0
5850721,subject_difficulty_screen,1264.6,936.7,1446.0
5850722,subject_difficulty_screen,1264.4,937.2,1448.0
5850723,subject_difficulty_screen,1264.4,937.9,1448.0
5850724,subject_difficulty_screen,1264.3,938.3,1449.0
5850725,subject_difficulty_screen,1264.2,938.6,1449.0
5850726,subject_difficulty_screen,1264.1,938.6,1449.0
5850727,subject_difficulty_screen,1264.0,938.6,1449.0
5850728,subject_difficulty_screen,1264.0,938.6,1450.0
5850729,subject_difficulty_screen,1264.0,937.9,1450.0
5850730,subject_difficulty_screen,1264.3,937.2,1451.0
5850731,subject_difficulty_screen,1264.7,936.4,1452.0
5850732,subject_difficulty_screen,1264.8,936.3,1453.0
5850733,subject_difficulty_screen,1264.4,936.3,1453.0
5850734,subject_difficulty_screen,1264.0,936.3,1452.0
5850735,subject_difficulty_screen,1264.3,936.5,1452.0
5850736,subject_difficulty_screen,1264.5,936.6,1451.0
5850737,subject_difficulty_screen,1264.7,936.8,1452.0
5850738,subject_difficulty_screen,1264.8,936.4,1453.0
5850739,subject_difficulty_screen,1264.8,936.1,1454.0
5850740,subject_difficulty_screen,1264.8,935.7,1454.0
5850741,subject_difficulty_screen,1264.7,936.0,1454.0
5850742,subject_difficulty_screen,1264.5,936.2,1453.0
5850743,subject_difficulty_screen,1264.2,936.3,1452.0
5850744,subject_difficulty_screen,1264.1,936.0,1454.0
5850745,subject_difficulty_screen,1264.4,936.1,1455.0
5850746,subject_difficulty_screen,1264.8,936.2,1456.0
5850747,subject_difficulty_screen,1265.1,936.2,1456.0
5850748,subject_difficulty_screen,1265.2,935.9,1456.0
5850749,subject_difficulty_screen,1265.2,936.2,1455.0
5850750,subject_difficulty_screen,1265.3,936.7,1455.0
5850751,subject_difficulty_screen,1265.4,937.3,1456.0
5850752,subject_difficulty_screen,1265.5,937.3,1457.0
5850753,subject_difficulty_screen,1265.3,937.3,1458.0
5850754,subject_difficulty_screen,1265.2,937.4,1457.0
5850755,subject_difficulty_screen,1265.0,937.5,1457.0
5850756,subject_difficulty_screen,1265.0,937.5,1457.0
5850757,subject_difficulty_screen,1265.4,937.5,1457.0
5850758,subject_difficulty_screen,1265.8,937.5,1458.0
5850759,subject_difficulty_screen,1266.0,937.5,1459.0
5850760,subject_difficulty_screen,1265.8,938.0,1461.0
5850761,subject_difficulty_screen,1265.6,938.6,1463.0
5850762,subject_difficulty_screen,1265.5,939.3,1464.0
5850763,subject_difficulty_screen,1265.4,939.8,1465.0
5850764,subject_difficulty_screen,1265.3,940.2,1465.0
5850765,subject_difficulty_screen,1265.2,940.5,1465.0
5850766,subject_difficulty_screen,1265.3,940.5,1465.0
5850767,subject_difficulty_screen,1265.4,940.4,1466.0
5850768,subject_difficulty_screen,1265.4,940.6,1467.0
5850769,subject_difficulty_screen,1265.5,940.7,1467.0
5850770,subject_difficulty_screen,1265.5,940.9,1467.0
5850771,subject_difficulty_screen,1265.4,940.8,1467.0
