time,screen,pixel_x,pixel_y,pupil
13621273,stimulus_PopSci_MultiplEYE_1_page_2,55.5,110.0,959.0
13621274,stimulus_PopSci_MultiplEYE_1_page_2,55.4,110.0,960.0
13621275,stimulus_PopSci_MultiplEYE_1_page_2,55.3,110.2,960.0
13621276,stimulus_PopSci_MultiplEYE_1_page_2,55.3,110.4,960.0
13621277,stimulus_PopSci_MultiplEYE_1_page_2,55.4,110.4,961.0
13621278,stimulus_PopSci_MultiplEYE_1_page_2,55.5,110.2,961.0
13621279,stimulus_PopSci_MultiplEYE_1_page_2,55.6,110.3,961.0
13621280,stimulus_PopSci_MultiplEYE_1_page_2,55.6,110.5,961.0
13621281,stimulus_PopSci_MultiplEYE_1_page_2,55.6,110.8,961.0
13621282,stimulus_PopSci_MultiplEYE_1_page_2,55.5,111.0,961.0
13621283,stimulus_PopSci_MultiplEYE_1_page_2,55.4,111.3,961.0
13621284,stimulus_PopSci_MultiplEYE_1_page_2,55.4,111.6,961.0
13621285,stimulus_PopSci_MultiplEYE_1_page_2,55.4,111.7,961.0
13621286,stimulus_PopSci_MultiplEYE_1_page_2,55.4,111.8,961.0
13621287,stimulus_PopSci_MultiplEYE_1_page_2,55.5,111.8,961.0
13621288,stimulus_PopSci_MultiplEYE_1_page_2,56.0,111.7,961.0
13621289,stimulus_PopSci_MultiplEYE_1_page_2,56.5,111.7,961.0
13621290,stimulus_PopSci_MultiplEYE_1_page_2,57.0,111.6,961.0
13621291,stimulus_PopSci_MultiplEYE_1_page_2,57.0,111.5,961.0
13621292,stimulus_PopSci_MultiplEYE_1_page_2,57.0,111.4,961.0
13621293,stimulus_PopSci_MultiplEYE_1_page_2,57.1,111.7,962.0
13621294,stimulus_PopSci_MultiplEYE_1_page_2,57.2,112.0,963.0
13621295,stimulus_PopSci_MultiplEYE_1_page_2,57.3,112.3,963.0
13621296,stimulus_PopSci_MultiplEYE_1_page_2,57.2,112.3,963.0
13621297,stimulus_PopSci_MultiplEYE_1_page_2,57.1,112.5,962.0
13621298,stimulus_PopSci_MultiplEYE_1_page_2,57.0,112.7,961.0
13621299,stimulus_PopSci_MultiplEYE_1_page_2,56.9,113.1,962.0
13621300,stimulus_PopSci_MultiplEYE_1_page_2,56.9,113.3,962.0
13621301,stimulus_PopSci_MultiplEYE_1_page_2,56.9,113.4,963.0
13621302,stimulus_PopSci_MultiplEYE_1_page_2,57.0,113.3,963.0
13621303,stimulus_PopSci_MultiplEYE_1_page_2,56.9,113.3,964.0
13621304,stimulus_PopSci_MultiplEYE_1_page_2,57.1,113.3,965.0
13621305,stimulus_PopSci_MultiplEYE_1_page_2,57.2,113.2,965.0
13621306,stimulus_PopSci_MultiplEYE_1_page_2,57.3,113.1,965.0
13621307,stimulus_PopSci_MultiplEYE_1_page_2,57.3,113.0,964.0
13621308,stimulus_PopSci_MultiplEYE_1_page_2,57.5,113.0,965.0
13621309,stimulus_PopSci_MultiplEYE_1_page_2,57.7,112.9,965.0
13621310,stimulus_PopSci_MultiplEYE_1_page_2,58.0,112.9,965.0
13621311,stimulus_PopSci_MultiplEYE_1_page_2,58.0,112.8,965.0
13621312,stimulus_PopSci_MultiplEYE_1_page_2,58.1,112.8,966.0
