time,screen,pixel_x,pixel_y,pupil
13990676,stimulus_PopSci_MultiplEYE_1_question_1111,141.3,155.0,1255.0
13990677,stimulus_PopSci_MultiplEYE_1_question_1111,138.7,154.6,1255.0
13990678,stimulus_PopSci_MultiplEYE_1_question_1111,137.5,154.4,1253.0
13990679,stimulus_PopSci_MultiplEYE_1_question_1111,137.9,154.2,1252.0
13990680,stimulus_PopSci_MultiplEYE_1_question_1111,138.9,154.0,1251.0
13990681,stimulus_PopSci_MultiplEYE_1_question_1111,139.9,153.9,1251.0
13990682,stimulus_PopSci_MultiplEYE_1_question_1111,140.4,153.7,1251.0
13990683,stimulus_PopSci_MultiplEYE_1_question_1111,140.5,152.8,1249.0
13990684,stimulus_PopSci_MultiplEYE_1_question_1111,140.7,151.1,1248.0
13990685,stimulus_PopSci_MultiplEYE_1_question_1111,141.3,149.3,1246.0
13990686,stimulus_PopSci_MultiplEYE_1_question_1111,141.9,147.9,1246.0
13990687,stimulus_PopSci_MultiplEYE_1_question_1111,142.3,147.0,1246.0
13990688,stimulus_PopSci_MultiplEYE_1_question_1111,142.6,146.2,1246.0
13990689,stimulus_PopSci_MultiplEYE_1_question_1111,143.0,145.0,1246.0
13990690,stimulus_PopSci_MultiplEYE_1_question_1111,143.8,143.8,1246.0
13990691,stimulus_PopSci_MultiplEYE_1_question_1111,144.6,142.9,1246.0
13990692,stimulus_PopSci_MultiplEYE_1_question_1111,146.0,142.9,1248.0
13990693,stimulus_PopSci_MultiplEYE_1_question_1111,147.5,143.1,1249.0
13990694,stimulus_PopSci_MultiplEYE_1_question_1111,149.1,143.0,1249.0
13990695,stimulus_PopSci_MultiplEYE_1_question_1111,150.7,142.9,1248.0
13990696,stimulus_PopSci_MultiplEYE_1_question_1111,152.4,142.8,1247.0
13990697,stimulus_PopSci_MultiplEYE_1_question_1111,153.9,142.9,1247.0
13990698,stimulus_PopSci_MultiplEYE_1_question_1111,154.9,143.1,1247.0
13990699,stimulus_PopSci_MultiplEYE_1_question_1111,155.4,143.6,1246.0
13990700,stimulus_PopSci_MultiplEYE_1_question_1111,155.6,144.4,1244.0
13990701,stimulus_PopSci_MultiplEYE_1_question_1111,155.6,145.1,1242.0
13990702,stimulus_PopSci_MultiplEYE_1_question_1111,155.5,145.9,1241.0
13990703,stimulus_PopSci_MultiplEYE_1_question_1111,155.2,146.8,1240.0
13990704,stimulus_PopSci_MultiplEYE_1_question_1111,154.5,147.9,1239.0
13990705,stimulus_PopSci_MultiplEYE_1_question_1111,153.6,148.6,1238.0
13990706,stimulus_PopSci_MultiplEYE_1_question_1111,152.4,148.7,1238.0
