time,screen,pixel_x,pixel_y,pupil
14628729,stimulus_Lit_Alchemist_4_page_5,48.7,94.3,936.0
14628730,stimulus_Lit_Alchemist_4_page_5,48.7,94.0,936.0
14628731,stimulus_Lit_Alchemist_4_page_5,48.7,93.8,936.0
14628732,stimulus_Lit_Alchemist_4_page_5,48.7,93.6,935.0
14628733,stimulus_Lit_Alchemist_4_page_5,48.8,93.5,935.0
14628734,stimulus_Lit_Alchemist_4_page_5,49.0,93.8,934.0
14628735,stimulus_Lit_Alchemist_4_page_5,49.2,94.2,933.0
14628736,stimulus_Lit_Alchemist_4_page_5,49.2,94.6,933.0
14628737,stimulus_Lit_Alchemist_4_page_5,49.2,94.5,934.0
14628738,stimulus_Lit_Alchemist_4_page_5,49.2,94.5,934.0
14628739,stimulus_Lit_Alchemist_4_page_5,49.2,94.3,934.0
14628740,stimulus_Lit_Alchemist_4_page_5,49.2,93.8,934.0
14628741,stimulus_Lit_Alchemist_4_page_5,49.2,93.4,934.0
14628742,stimulus_Lit_Alchemist_4_page_5,49.2,93.2,933.0
14628743,stimulus_Lit_Alchemist_4_page_5,49.1,93.4,932.0
14628744,stimulus_Lit_Alchemist_4_page_5,49.0,93.5,932.0
14628745,stimulus_Lit_Alchemist_4_page_5,49.0,93.6,932.0
14628746,stimulus_Lit_Alchemist_4_page_5,49.2,93.8,932.0
14628747,stimulus_Lit_Alchemist_4_page_5,49.5,93.9,932.0
14628748,stimulus_Lit_Alchemist_4_page_5,49.6,94.0,932.0
14628749,stimulus_Lit_Alchemist_4_page_5,49.9,93.9,932.0
14628750,stimulus_Lit_Alchemist_4_page_5,50.1,94.0,932.0
14628751,stimulus_Lit_Alchemist_4_page_5,50.4,94.0,931.0
14628752,stimulus_Lit_Alchemist_4_page_5,50.5,94.0,932.0
14628753,stimulus_Lit_Alchemist_4_page_5,50.5,93.9,932.0
14628754,stimulus_Lit_Alchemist_4_page_5,50.4,93.7,933.0
14628755,stimulus_Lit_Alchemist_4_page_5,50.2,93.4,933.0
14628756,stimulus_Lit_Alchemist_4_page_5,50.1,93.3,933.0
14628757,stimulus_Lit_Alchemist_4_page_5,50.0,93.3,932.0
14628758,stimulus_Lit_Alchemist_4_page_5,50.0,93.5,931.0
14628759,stimulus_Lit_Alchemist_4_page_5,50.2,93.7,931.0
14628760,stimulus_Lit_Alchemist_4_page_5,50.4,93.8,930.0
14628761,stimulus_Lit_Alchemist_4_page_5,50.6,93.7,929.0
14628762,stimulus_Lit_Alchemist_4_page_5,50.7,93.6,929.0
14628763,stimulus_Lit_Alchemist_4_page_5,50.9,93.7,930.0
14628764,stimulus_Lit_Alchemist_4_page_5,51.0,93.7,931.0
14628765,stimulus_Lit_Alchemist_4_page_5,50.8,93.5,931.0
14628766,stimulus_Lit_Alchemist_4_page_5,50.6,93.2,931.0
14628767,stimulus_Lit_Alchemist_4_page_5,50.4,93.1,931.0
14628768,stimulus_Lit_Alchemist_4_page_5,50.5,93.0,929.0
14628769,stimulus_Lit_Alchemist_4_page_5,50.7,93.0,929.0
14628770,stimulus_Lit_Alchemist_4_page_5,50.9,93.0,928.0
14628771,stimulus_Lit_Alchemist_4_page_5,51.1,93.0,928.0
14628772,stimulus_Lit_Alchemist_4_page_5,51.3,93.2,928.0
14628773,stimulus_Lit_Alchemist_4_page_5,51.5,93.4,928.0
14628774,stimulus_Lit_Alchemist_4_page_5,51.7,93.6,928.0
14628775,stimulus_Lit_Alchemist_4_page_5,51.9,93.6,928.0
14628776,stimulus_Lit_Alchemist_4_page_5,52.1,93.6,929.0
14628777,stimulus_Lit_Alchemist_4_page_5,51.8,93.7,929.0
14628778,stimulus_Lit_Alchemist_4_page_5,51.5,93.7,929.0
14628779,stimulus_Lit_Alchemist_4_page_5,51.2,94.1,928.0
14628780,stimulus_Lit_Alchemist_4_page_5,51.2,94.6,928.0
14628781,stimulus_Lit_Alchemist_4_page_5,51.1,94.7,927.0
14628782,stimulus_Lit_Alchemist_4_page_5,51.1,94.4,927.0
14628783,stimulus_Lit_Alchemist_4_page_5,51.1,93.9,927.0
14628784,stimulus_Lit_Alchemist_4_page_5,51.0,93.8,927.0
14628785,stimulus_Lit_Alchemist_4_page_5,50.8,93.6,927.0
14628786,stimulus_Lit_Alchemist_4_page_5,50.7,93.6,927.0
14628787,stimulus_Lit_Alchemist_4_page_5,50.7,93.6,927.0
14628788,stimulus_Lit_Alchemist_4_page_5,50.7,93.6,927.0
14628789,stimulus_Lit_Alchemist_4_page_5,50.9,93.5,927.0
14628790,stimulus_Lit_Alchemist_4_page_5,51.0,93.5,927.0
14628791,stimulus_Lit_Alchemist_4_page_5,51.2,93.3,927.0
14628792,stimulus_Lit_Alchemist_4_page_5,51.2,93.2,926.0
14628793,stimulus_Lit_Alchemist_4_page_5,51.2,93.1,926.0
14628794,stimulus_Lit_Alchemist_4_page_5,51.1,93.1,926.0
14628795,stimulus_Lit_Alchemist_4_page_5,51.1,93.1,926.0
14628796,stimulus_Lit_Alchemist_4_page_5,51.1,93.1,926.0
14628797,stimulus_Lit_Alchemist_4_page_5,51.1,93.1,926.0
14628798,stimulus_Lit_Alchemist_4_page_5,51.1,92.9,926.0
14628799,stimulus_Lit_Alchemist_4_page_5,51.1,92.7,926.0
14628800,stimulus_Lit_Alchemist_4_page_5,51.1,92.6,925.0
14628801,stimulus_Lit_Alchemist_4_page_5,51.2,92.6,925.0
14628802,stimulus_Lit_Alchemist_4_page_5,51.4,92.7,925.0
14628803,stimulus_Lit_Alchemist_4_page_5,51.6,92.7,926.0
14628804,stimulus_Lit_Alchemist_4_page_5,51.7,92.7,926.0
14628805,stimulus_Lit_Alchemist_4_page_5,51.6,92.7,925.0
14628806,stimulus_Lit_Alchemist_4_page_5,51.6,92.6,925.0
14628807,stimulus_Lit_Alchemist_4_page_5,51.6,92.4,926.0
14628808,stimulus_Lit_Alchemist_4_page_5,51.7,92.3,926.0
14628809,stimulus_Lit_Alchemist_4_page_5,51.8,92.1,926.0
14628810,stimulus_Lit_Alchemist_4_page_5,51.8,92.1,926.0
14628811,stimulus_Lit_Alchemist_4_page_5,51.9,92.2,925.0
14628812,stimulus_Lit_Alchemist_4_page_5,51.9,92.4,925.0
14628813,stimulus_Lit_Alchemist_4_page_5,51.9,92.5,925.0
14628814,stimulus_Lit_Alchemist_4_page_5,51.9,92.5,925.0
14628815,stimulus_Lit_Alchemist_4_page_5,51.9,92.4,925.0
14628816,stimulus_Lit_Alchemist_4_page_5,51.9,92.3,925.0
14628817,stimulus_Lit_Alchemist_4_page_5,52.0,92.3,925.0
14628818,stimulus_Lit_Alchemist_4_page_5,52.0,92.3,925.0
14628819,stimulus_Lit_Alchemist_4_page_5,52.0,92.1,925.0
14628820,stimulus_Lit_Alchemist_4_page_5,51.9,91.9,925.0
14628821,stimulus_Lit_Alchemist_4_page_5,52.1,91.6,924.0
14628822,stimulus_Lit_Alchemist_4_page_5,52.3,91.4,924.0
14628823,stimulus_Lit_Alchemist_4_page_5,52.6,91.4,923.0
14628824,stimulus_Lit_Alchemist_4_page_5,52.6,91.3,923.0
14628825,stimulus_Lit_Alchemist_4_page_5,52.2,91.3,924.0
14628826,stimulus_Lit_Alchemist_4_page_5,51.8,91.2,924.0
14628827,stimulus_Lit_Alchemist_4_page_5,51.6,91.1,925.0
14628828,stimulus_Lit_Alchemist_4_page_5,51.7,91.0,924.0
14628829,stimulus_Lit_Alchemist_4_page_5,52.1,91.0,924.0
14628830,stimulus_Lit_Alchemist_4_page_5,52.3,90.9,924.0
14628831,stimulus_Lit_Alchemist_4_page_5,52.5,90.9,925.0
14628832,stimulus_Lit_Alchemist_4_page_5,52.6,90.8,925.0
14628833,stimulus_Lit_Alchemist_4_page_5,52.8,90.7,925.0
14628834,stimulus_Lit_Alchemist_4_page_5,52.9,90.6,926.0
14628835,stimulus_Lit_Alchemist_4_page_5,53.1,90.5,926.0
14628836,stimulus_Lit_Alchemist_4_page_5,53.1,90.4,925.0
