time,screen,pixel_x,pixel_y,pupil
11726425,familiarity_rating_screen_1,1281.5,957.6,976.0
11726426,familiarity_rating_screen_1,1281.1,957.8,976.0
11726427,familiarity_rating_screen_1,1280.7,957.9,975.0
11726428,familiarity_rating_screen_1,1280.3,957.9,975.0
11726429,familiarity_rating_screen_1,1280.4,957.8,976.0
11726430,familiarity_rating_screen_1,1280.4,957.7,976.0
11726431,familiarity_rating_screen_1,1280.4,957.9,976.0
11726432,familiarity_rating_screen_1,1280.4,958.1,977.0
11726433,familiarity_rating_screen_1,1280.3,958.3,978.0
11726434,familiarity_rating_screen_1,1280.2,958.4,979.0
11726435,familiarity_rating_screen_1,1280.0,958.5,979.0
11726436,familiarity_rating_screen_1,1279.9,958.5,979.0
11726437,familiarity_rating_screen_1,1280.0,958.4,980.0
11726438,familiarity_rating_screen_1,1280.0,958.4,981.0
11726439,familiarity_rating_screen_1,1280.0,958.5,981.0
11726440,familiarity_rating_screen_1,1280.1,958.7,981.0
11726441,familiarity_rating_screen_1,1280.1,958.7,982.0
11726442,familiarity_rating_screen_1,1280.2,958.8,982.0
11726443,familiarity_rating_screen_1,1280.3,958.9,983.0
11726444,familiarity_rating_screen_1,1280.4,958.9,983.0
11726445,familiarity_rating_screen_1,1280.4,958.8,982.0
11726446,familiarity_rating_screen_1,1280.4,958.7,982.0
11726447,familiarity_rating_screen_1,1280.3,958.7,981.0
11726448,familiarity_rating_screen_1,1280.2,958.7,981.0
11726449,familiarity_rating_screen_1,1280.1,958.7,980.0
11726450,familiarity_rating_screen_1,1280.0,958.2,980.0
11726451,familiarity_rating_screen_1,1280.0,957.8,979.0
11726452,familiarity_rating_screen_1,1280.1,957.3,979.0
11726453,familiarity_rating_screen_1,1280.2,957.3,979.0
11726454,familiarity_rating_screen_1,1280.3,957.0,979.0
11726455,familiarity_rating_screen_1,1280.4,956.7,980.0
11726456,familiarity_rating_screen_1,1280.5,956.9,980.0
11726457,familiarity_rating_screen_1,1280.5,957.3,980.0
11726458,familiarity_rating_screen_1,1280.3,957.7,980.0
11726459,familiarity_rating_screen_1,1280.1,957.4,980.0
11726460,familiarity_rating_screen_1,1280.0,957.1,980.0
11726461,familiarity_rating_screen_1,1280.0,956.8,980.0
11726462,familiarity_rating_screen_1,1280.1,957.1,980.0
11726463,familiarity_rating_screen_1,1280.1,957.5,981.0
11726464,familiarity_rating_screen_1,1280.2,957.9,983.0
11726465,familiarity_rating_screen_1,1280.3,958.1,984.0
11726466,familiarity_rating_screen_1,1280.1,958.3,984.0
11726467,familiarity_rating_screen_1,1279.8,958.3,984.0
11726468,familiarity_rating_screen_1,1279.5,958.1,984.0
11726469,familiarity_rating_screen_1,1279.5,957.9,985.0
11726470,familiarity_rating_screen_1,1279.6,957.9,985.0
11726471,familiarity_rating_screen_1,1279.6,958.0,985.0
11726472,familiarity_rating_screen_1,1279.5,958.1,985.0
11726473,familiarity_rating_screen_1,1279.5,958.2,985.0
11726474,familiarity_rating_screen_1,1279.5,958.2,985.0
11726475,familiarity_rating_screen_1,1279.6,958.3,986.0
11726476,familiarity_rating_screen_1,1279.6,958.3,986.0
11726477,familiarity_rating_screen_1,1279.6,958.3,987.0
11726478,familiarity_rating_screen_1,1279.6,958.3,987.0
11726479,familiarity_rating_screen_1,1279.6,958.3,986.0
11726480,familiarity_rating_screen_1,1279.6,958.2,986.0
11726481,familiarity_rating_screen_1,1279.8,958.1,986.0
11726482,familiarity_rating_screen_1,1280.0,957.9,986.0
11726483,familiarity_rating_screen_1,1279.8,958.0,985.0
11726484,familiarity_rating_screen_1,1279.6,958.0,985.0
11726485,familiarity_rating_screen_1,1279.6,958.1,984.0
11726486,familiarity_rating_screen_1,1279.8,958.2,984.0
11726487,familiarity_rating_screen_1,1280.0,958.4,984.0
11726488,familiarity_rating_screen_1,1279.9,958.5,985.0
11726489,familiarity_rating_screen_1,1279.9,958.6,985.0
11726490,familiarity_rating_screen_1,1279.9,958.6,984.0
11726491,familiarity_rating_screen_1,1279.7,958.6,983.0
11726492,familiarity_rating_screen_1,1279.6,958.6,982.0
11726493,familiarity_rating_screen_1,1279.4,958.6,983.0
11726494,familiarity_rating_screen_1,1279.4,958.7,983.0
11726495,familiarity_rating_screen_1,1279.2,958.8,984.0
11726496,familiarity_rating_screen_1,1279.1,958.8,984.0
11726497,familiarity_rating_screen_1,1278.8,958.7,986.0
11726498,familiarity_rating_screen_1,1278.7,958.7,987.0
11726499,familiarity_rating_screen_1,1278.6,958.8,987.0
11726500,familiarity_rating_screen_1,1278.6,958.9,987.0
11726501,familiarity_rating_screen_1,1278.6,959.2,986.0
11726502,familiarity_rating_screen_1,1278.6,959.3,986.0
11726503,familiarity_rating_screen_1,1278.6,959.3,987.0
11726504,familiarity_rating_screen_1,1278.7,959.0,987.0
11726505,familiarity_rating_screen_1,1278.7,958.6,987.0
11726506,familiarity_rating_screen_1,1278.7,958.1,987.0
11726507,familiarity_rating_screen_1,1278.7,958.2,988.0
11726508,familiarity_rating_screen_1,1278.7,958.6,988.0
11726509,familiarity_rating_screen_1,1278.5,959.0,988.0
11726510,familiarity_rating_screen_1,1278.4,958.7,989.0
11726511,familiarity_rating_screen_1,1278.4,958.2,988.0
11726512,familiarity_rating_screen_1,1278.6,957.6,988.0
11726513,familiarity_rating_screen_1,1278.8,957.3,987.0
11726514,familiarity_rating_screen_1,1278.8,957.1,987.0
11726515,familiarity_rating_screen_1,1278.5,957.2,988.0
11726516,familiarity_rating_screen_1,1278.3,957.2,990.0
11726517,familiarity_rating_screen_1,1278.2,957.2,991.0
11726518,familiarity_rating_screen_1,1278.2,957.2,991.0
11726519,familiarity_rating_screen_1,1278.1,957.3,991.0
11726520,familiarity_rating_screen_1,1278.0,957.5,990.0
11726521,familiarity_rating_screen_1,1277.8,957.6,990.0
11726522,familiarity_rating_screen_1,1277.7,957.6,991.0
11726523,familiarity_rating_screen_1,1277.7,957.3,991.0
11726524,familiarity_rating_screen_1,1277.8,957.0,992.0
11726525,familiarity_rating_screen_1,1278.0,956.8,993.0
11726526,familiarity_rating_screen_1,1278.0,957.0,994.0
11726527,familiarity_rating_screen_1,1278.1,956.9,996.0
11726528,familiarity_rating_screen_1,1278.2,956.0,995.0
11726529,familiarity_rating_screen_1,1278.0,955.2,995.0
11726530,familiarity_rating_screen_1,1277.8,954.7,995.0
11726531,familiarity_rating_screen_1,1277.7,954.3,993.0
11726532,familiarity_rating_screen_1,1277.9,954.0,993.0
11726533,familiarity_rating_screen_1,1278.2,953.7,992.0
11726534,familiarity_rating_screen_1,1278.2,953.7,993.0
11726535,familiarity_rating_screen_1,1278.2,953.7,993.0
11726536,familiarity_rating_screen_1,1278.2,953.6,994.0
11726537,familiarity_rating_screen_1,1278.1,953.5,994.0
11726538,familiarity_rating_screen_1,1278.0,953.5,994.0
11726539,familiarity_rating_screen_1,1277.7,953.6,995.0
11726540,familiarity_rating_screen_1,1277.4,953.6,996.0
11726541,familiarity_rating_screen_1,1277.1,953.7,997.0
11726542,familiarity_rating_screen_1,1277.0,953.6,998.0
11726543,familiarity_rating_screen_1,1277.0,953.6,998.0
11726544,familiarity_rating_screen_1,1277.0,953.5,999.0
11726545,familiarity_rating_screen_1,1277.0,953.4,999.0
11726546,familiarity_rating_screen_1,1277.0,953.4,999.0
11726547,familiarity_rating_screen_1,1277.0,953.4,999.0
11726548,familiarity_rating_screen_1,1277.0,953.4,999.0
11726549,familiarity_rating_screen_1,1276.9,953.2,999.0
11726550,familiarity_rating_screen_1,1277.1,952.6,998.0
11726551,familiarity_rating_screen_1,1277.3,952.0,998.0
11726552,familiarity_rating_screen_1,1277.4,951.6,999.0
11726553,familiarity_rating_screen_1,1277.3,951.6,999.0
11726554,familiarity_rating_screen_1,1277.3,951.6,999.0
11726555,familiarity_rating_screen_1,1277.6,951.6,999.0
11726556,familiarity_rating_screen_1,1277.8,951.8,999.0
11726557,familiarity_rating_screen_1,1277.7,952.4,1000.0
11726558,familiarity_rating_screen_1,1277.7,952.9,1001.0
11726559,familiarity_rating_screen_1,1277.6,953.3,1002.0
11726560,familiarity_rating_screen_1,1277.4,953.4,1003.0
11726561,familiarity_rating_screen_1,1277.1,953.3,1003.0
11726562,familiarity_rating_screen_1,1276.9,953.2,1002.0
11726563,familiarity_rating_screen_1,1277.1,953.1,1001.0
11726564,familiarity_rating_screen_1,1277.2,953.1,1002.0
11726565,familiarity_rating_screen_1,1277.4,953.1,1003.0
11726566,familiarity_rating_screen_1,1277.5,952.9,1004.0
11726567,familiarity_rating_screen_1,1277.6,952.6,1004.0
11726568,familiarity_rating_screen_1,1277.7,952.3,1004.0
11726569,familiarity_rating_screen_1,1277.7,952.1,1004.0
11726570,familiarity_rating_screen_1,1277.8,952.0,1005.0
11726571,familiarity_rating_screen_1,1277.9,952.5,1005.0
11726572,familiarity_rating_screen_1,1277.9,953.1,1005.0
11726573,familiarity_rating_screen_1,1277.7,953.5,1005.0
11726574,familiarity_rating_screen_1,1277.4,953.4,1004.0
11726575,familiarity_rating_screen_1,1277.3,953.3,1005.0
11726576,familiarity_rating_screen_1,1277.2,953.5,1006.0
11726577,familiarity_rating_screen_1,1277.1,953.7,1007.0
11726578,familiarity_rating_screen_1,1277.2,954.3,1007.0
11726579,familiarity_rating_screen_1,1276.9,954.9,1007.0
11726580,familiarity_rating_screen_1,1276.5,955.5,1007.0
11726581,familiarity_rating_screen_1,1276.2,955.5,1007.0
11726582,familiarity_rating_screen_1,1276.1,955.5,1008.0
11726583,familiarity_rating_screen_1,1276.1,955.5,1008.0
11726584,familiarity_rating_screen_1,1276.2,955.6,1009.0
11726585,familiarity_rating_screen_1,1276.4,955.7,1010.0
11726586,familiarity_rating_screen_1,1276.5,955.8,1011.0
11726587,familiarity_rating_screen_1,1276.8,955.8,1010.0
11726588,familiarity_rating_screen_1,1277.2,955.6,1008.0
11726589,familiarity_rating_screen_1,1277.6,955.5,1007.0
11726590,familiarity_rating_screen_1,1277.5,955.4,1007.0
11726591,familiarity_rating_screen_1,1277.3,955.4,1007.0
