time,screen,pixel_x,pixel_y,pupil
11373301,stimulus_Lit_BrokenApril_9_page_3,47.6,80.8,1022.0
11373302,stimulus_Lit_BrokenApril_9_page_3,47.6,80.6,1022.0
11373303,stimulus_Lit_BrokenApril_9_page_3,47.7,80.6,1022.0
11373304,stimulus_Lit_BrokenApril_9_page_3,47.7,80.8,1022.0
11373305,stimulus_Lit_BrokenApril_9_page_3,47.5,80.9,1022.0
11373306,stimulus_Lit_BrokenApril_9_page_3,47.4,80.8,1022.0
11373307,stimulus_Lit_BrokenApril_9_page_3,47.4,80.9,1022.0
11373308,stimulus_Lit_BrokenApril_9_page_3,47.0,80.9,1022.0
11373309,stimulus_Lit_BrokenApril_9_page_3,46.6,81.0,1022.0
11373310,stimulus_Lit_BrokenApril_9_page_3,46.6,81.1,1021.0
11373311,stimulus_Lit_BrokenApril_9_page_3,47.0,81.2,1022.0
11373312,stimulus_Lit_BrokenApril_9_page_3,47.4,81.2,1023.0
11373313,stimulus_Lit_BrokenApril_9_page_3,47.4,81.0,1024.0
11373314,stimulus_Lit_BrokenApril_9_page_3,47.7,80.9,1024.0
11373315,stimulus_Lit_BrokenApril_9_page_3,47.9,80.7,1023.0
11373316,stimulus_Lit_BrokenApril_9_page_3,48.1,80.7,1023.0
11373317,stimulus_Lit_BrokenApril_9_page_3,47.9,80.7,1022.0
11373318,stimulus_Lit_BrokenApril_9_page_3,47.7,80.7,1023.0
11373319,stimulus_Lit_BrokenApril_9_page_3,47.6,80.7,1023.0
11373320,stimulus_Lit_BrokenApril_9_page_3,47.5,80.8,1025.0
11373321,stimulus_Lit_BrokenApril_9_page_3,47.4,80.8,1026.0
11373322,stimulus_Lit_BrokenApril_9_page_3,47.5,80.8,1027.0
11373323,stimulus_Lit_BrokenApril_9_page_3,47.7,80.9,1026.0
11373324,stimulus_Lit_BrokenApril_9_page_3,47.9,81.0,1025.0
11373325,stimulus_Lit_BrokenApril_9_page_3,47.9,80.8,1024.0
11373326,stimulus_Lit_BrokenApril_9_page_3,47.8,80.6,1024.0
11373327,stimulus_Lit_BrokenApril_9_page_3,47.8,80.4,1023.0
11373328,stimulus_Lit_BrokenApril_9_page_3,47.7,80.4,1023.0
11373329,stimulus_Lit_BrokenApril_9_page_3,47.7,80.3,1024.0
11373330,stimulus_Lit_BrokenApril_9_page_3,47.8,80.3,1024.0
11373331,stimulus_Lit_BrokenApril_9_page_3,48.0,80.1,1024.0
11373332,stimulus_Lit_BrokenApril_9_page_3,48.1,79.9,1024.0
11373333,stimulus_Lit_BrokenApril_9_page_3,48.2,79.6,1025.0
11373334,stimulus_Lit_BrokenApril_9_page_3,48.4,79.5,1025.0
11373335,stimulus_Lit_BrokenApril_9_page_3,48.5,79.5,1025.0
11373336,stimulus_Lit_BrokenApril_9_page_3,48.7,79.6,1025.0
11373337,stimulus_Lit_BrokenApril_9_page_3,48.7,79.6,1025.0
11373338,stimulus_Lit_BrokenApril_9_page_3,48.7,79.5,1025.0
11373339,stimulus_Lit_BrokenApril_9_page_3,48.7,79.6,1026.0
11373340,stimulus_Lit_BrokenApril_9_page_3,48.7,79.6,1026.0
11373341,stimulus_Lit_BrokenApril_9_page_3,48.6,79.7,1026.0
11373342,stimulus_Lit_BrokenApril_9_page_3,48.5,79.9,1025.0
11373343,stimulus_Lit_BrokenApril_9_page_3,48.7,80.0,1025.0
11373344,stimulus_Lit_BrokenApril_9_page_3,48.8,80.1,1024.0
11373345,stimulus_Lit_BrokenApril_9_page_3,49.0,79.8,1024.0
11373346,stimulus_Lit_BrokenApril_9_page_3,49.1,79.7,1024.0
11373347,stimulus_Lit_BrokenApril_9_page_3,49.1,79.6,1025.0
11373348,stimulus_Lit_BrokenApril_9_page_3,48.9,79.5,1025.0
11373349,stimulus_Lit_BrokenApril_9_page_3,48.8,79.4,1026.0
11373350,stimulus_Lit_BrokenApril_9_page_3,48.7,79.5,1026.0
11373351,stimulus_Lit_BrokenApril_9_page_3,48.8,79.7,1026.0
11373352,stimulus_Lit_BrokenApril_9_page_3,48.8,79.7,1026.0
11373353,stimulus_Lit_BrokenApril_9_page_3,48.6,79.5,1025.0
11373354,stimulus_Lit_BrokenApril_9_page_3,48.4,79.4,1025.0
11373355,stimulus_Lit_BrokenApril_9_page_3,48.2,79.3,1025.0
11373356,stimulus_Lit_BrokenApril_9_page_3,48.1,79.2,1025.0
11373357,stimulus_Lit_BrokenApril_9_page_3,48.5,79.0,1026.0
11373358,stimulus_Lit_BrokenApril_9_page_3,48.8,78.9,1027.0
11373359,stimulus_Lit_BrokenApril_9_page_3,49.2,78.9,1027.0
11373360,stimulus_Lit_BrokenApril_9_page_3,49.1,79.0,1027.0
11373361,stimulus_Lit_BrokenApril_9_page_3,49.0,79.0,1027.0
11373362,stimulus_Lit_BrokenApril_9_page_3,48.8,79.1,1027.0
11373363,stimulus_Lit_BrokenApril_9_page_3,48.8,79.3,1026.0
11373364,stimulus_Lit_BrokenApril_9_page_3,48.9,79.5,1026.0
11373365,stimulus_Lit_BrokenApril_9_page_3,49.2,79.6,1026.0
11373366,stimulus_Lit_BrokenApril_9_page_3,49.5,79.3,1026.0
11373367,stimulus_Lit_BrokenApril_9_page_3,49.6,79.1,1026.0
11373368,stimulus_Lit_BrokenApril_9_page_3,49.5,78.8,1026.0
11373369,stimulus_Lit_BrokenApril_9_page_3,49.3,78.9,1027.0
11373370,stimulus_Lit_BrokenApril_9_page_3,49.2,79.0,1027.0
11373371,stimulus_Lit_BrokenApril_9_page_3,49.2,79.1,1027.0
11373372,stimulus_Lit_BrokenApril_9_page_3,49.2,79.1,1027.0
11373373,stimulus_Lit_BrokenApril_9_page_3,49.3,79.0,1027.0
11373374,stimulus_Lit_BrokenApril_9_page_3,49.3,78.9,1027.0
11373375,stimulus_Lit_BrokenApril_9_page_3,49.2,78.9,1026.0
11373376,stimulus_Lit_BrokenApril_9_page_3,49.2,78.8,1026.0
11373377,stimulus_Lit_BrokenApril_9_page_3,49.2,78.7,1026.0
11373378,stimulus_Lit_BrokenApril_9_page_3,49.4,78.7,1027.0
11373379,stimulus_Lit_BrokenApril_9_page_3,49.5,78.7,1027.0
11373380,stimulus_Lit_BrokenApril_9_page_3,49.6,78.7,1028.0
11373381,stimulus_Lit_BrokenApril_9_page_3,49.5,78.7,1027.0
11373382,stimulus_Lit_BrokenApril_9_page_3,49.4,78.8,1027.0
11373383,stimulus_Lit_BrokenApril_9_page_3,49.4,78.8,1027.0
11373384,stimulus_Lit_BrokenApril_9_page_3,49.4,78.8,1027.0
11373385,stimulus_Lit_BrokenApril_9_page_3,49.4,78.7,1028.0
11373386,stimulus_Lit_BrokenApril_9_page_3,49.3,78.6,1028.0
11373387,stimulus_Lit_BrokenApril_9_page_3,49.1,78.6,1029.0
11373388,stimulus_Lit_BrokenApril_9_page_3,49.1,78.6,1030.0
11373389,stimulus_Lit_BrokenApril_9_page_3,49.2,78.6,1030.0
11373390,stimulus_Lit_BrokenApril_9_page_3,49.5,78.7,1030.0
11373391,stimulus_Lit_BrokenApril_9_page_3,49.7,78.8,1030.0
11373392,stimulus_Lit_BrokenApril_9_page_3,49.7,79.1,1030.0
11373393,stimulus_Lit_BrokenApril_9_page_3,49.6,79.2,1029.0
11373394,stimulus_Lit_BrokenApril_9_page_3,49.5,79.4,1028.0
11373395,stimulus_Lit_BrokenApril_9_page_3,49.6,79.5,1028.0
11373396,stimulus_Lit_BrokenApril_9_page_3,49.6,79.5,1030.0
11373397,stimulus_Lit_BrokenApril_9_page_3,50.0,79.6,1031.0
11373398,stimulus_Lit_BrokenApril_9_page_3,50.3,79.8,1032.0
11373399,stimulus_Lit_BrokenApril_9_page_3,50.6,79.7,1031.0
11373400,stimulus_Lit_BrokenApril_9_page_3,50.4,79.6,1031.0
11373401,stimulus_Lit_BrokenApril_9_page_3,50.3,79.4,1030.0
11373402,stimulus_Lit_BrokenApril_9_page_3,50.3,79.5,1029.0
11373403,stimulus_Lit_BrokenApril_9_page_3,50.3,79.4,1030.0
11373404,stimulus_Lit_BrokenApril_9_page_3,50.2,79.2,1031.0
11373405,stimulus_Lit_BrokenApril_9_page_3,50.1,79.2,1031.0
11373406,stimulus_Lit_BrokenApril_9_page_3,49.9,79.2,1032.0
11373407,stimulus_Lit_BrokenApril_9_page_3,49.7,79.3,1033.0
11373408,stimulus_Lit_BrokenApril_9_page_3,49.7,79.2,1034.0
11373409,stimulus_Lit_BrokenApril_9_page_3,49.8,79.1,1034.0
11373410,stimulus_Lit_BrokenApril_9_page_3,50.1,79.0,1035.0
11373411,stimulus_Lit_BrokenApril_9_page_3,50.4,79.1,1035.0
11373412,stimulus_Lit_BrokenApril_9_page_3,50.5,78.9,1035.0
11373413,stimulus_Lit_BrokenApril_9_page_3,50.5,78.8,1035.0
11373414,stimulus_Lit_BrokenApril_9_page_3,50.5,78.7,1035.0
11373415,stimulus_Lit_BrokenApril_9_page_3,50.5,78.7,1035.0
11373416,stimulus_Lit_BrokenApril_9_page_3,50.5,78.7,1035.0
11373417,stimulus_Lit_BrokenApril_9_page_3,50.4,78.6,1035.0
11373418,stimulus_Lit_BrokenApril_9_page_3,50.4,78.6,1036.0
11373419,stimulus_Lit_BrokenApril_9_page_3,50.4,78.6,1036.0
11373420,stimulus_Lit_BrokenApril_9_page_3,50.4,78.6,1035.0
11373421,stimulus_Lit_BrokenApril_9_page_3,50.5,78.7,1036.0
11373422,stimulus_Lit_BrokenApril_9_page_3,50.5,78.8,1037.0
11373423,stimulus_Lit_BrokenApril_9_page_3,50.6,79.1,1037.0
11373424,stimulus_Lit_BrokenApril_9_page_3,50.5,79.2,1037.0
11373425,stimulus_Lit_BrokenApril_9_page_3,50.5,79.4,1036.0
11373426,stimulus_Lit_BrokenApril_9_page_3,50.6,79.5,1035.0
11373427,stimulus_Lit_BrokenApril_9_page_3,50.7,79.6,1036.0
11373428,stimulus_Lit_BrokenApril_9_page_3,51.0,79.6,1037.0
11373429,stimulus_Lit_BrokenApril_9_page_3,51.1,79.3,1037.0
11373430,stimulus_Lit_BrokenApril_9_page_3,51.2,79.1,1038.0
11373431,stimulus_Lit_BrokenApril_9_page_3,51.4,78.9,1038.0
11373432,stimulus_Lit_BrokenApril_9_page_3,51.5,79.0,1038.0
11373433,stimulus_Lit_BrokenApril_9_page_3,51.7,79.1,1038.0
11373434,stimulus_Lit_BrokenApril_9_page_3,51.5,79.2,1038.0
11373435,stimulus_Lit_BrokenApril_9_page_3,51.4,79.2,1038.0
11373436,stimulus_Lit_BrokenApril_9_page_3,51.3,79.2,1038.0
11373437,stimulus_Lit_BrokenApril_9_page_3,51.2,79.4,1038.0
11373438,stimulus_Lit_BrokenApril_9_page_3,51.1,79.5,1039.0
11373439,stimulus_Lit_BrokenApril_9_page_3,51.0,79.7,1039.0
11373440,stimulus_Lit_BrokenApril_9_page_3,51.1,79.6,1040.0
11373441,stimulus_Lit_BrokenApril_9_page_3,51.1,79.5,1040.0
11373442,stimulus_Lit_BrokenApril_9_page_3,51.4,79.4,1040.0
11373443,stimulus_Lit_BrokenApril_9_page_3,51.7,79.5,1038.0
11373444,stimulus_Lit_BrokenApril_9_page_3,51.9,79.6,1036.0
11373445,stimulus_Lit_BrokenApril_9_page_3,51.7,79.7,1036.0
11373446,stimulus_Lit_BrokenApril_9_page_3,51.5,79.7,1037.0
11373447,stimulus_Lit_BrokenApril_9_page_3,51.3,79.8,1040.0
11373448,stimulus_Lit_BrokenApril_9_page_3,51.3,79.9,1042.0
11373449,stimulus_Lit_BrokenApril_9_page_3,51.4,80.1,1042.0
11373450,stimulus_Lit_BrokenApril_9_page_3,51.7,80.0,1040.0
11373451,stimulus_Lit_BrokenApril_9_page_3,51.9,79.7,1040.0
11373452,stimulus_Lit_BrokenApril_9_page_3,52.0,79.3,1041.0
11373453,stimulus_Lit_BrokenApril_9_page_3,52.0,79.2,1042.0
11373454,stimulus_Lit_BrokenApril_9_page_3,52.0,79.3,1041.0
11373455,stimulus_Lit_BrokenApril_9_page_3,51.9,79.3,1042.0
11373456,stimulus_Lit_BrokenApril_9_page_3,51.9,79.2,1042.0
11373457,stimulus_Lit_BrokenApril_9_page_3,51.8,79.2,1043.0
11373458,stimulus_Lit_BrokenApril_9_page_3,51.8,79.2,1042.0
11373459,stimulus_Lit_BrokenApril_9_page_3,51.8,79.3,1042.0
11373460,stimulus_Lit_BrokenApril_9_page_3,51.8,79.4,1043.0
11373461,stimulus_Lit_BrokenApril_9_page_3,51.7,79.4,1043.0
11373462,stimulus_Lit_BrokenApril_9_page_3,51.6,79.6,1043.0
11373463,stimulus_Lit_BrokenApril_9_page_3,51.5,79.8,1043.0
11373464,stimulus_Lit_BrokenApril_9_page_3,51.4,80.1,1043.0
11373465,stimulus_Lit_BrokenApril_9_page_3,51.3,80.1,1043.0
11373466,stimulus_Lit_BrokenApril_9_page_3,51.5,80.2,1043.0
11373467,stimulus_Lit_BrokenApril_9_page_3,51.7,80.2,1043.0
11373468,stimulus_Lit_BrokenApril_9_page_3,51.9,80.2,1044.0
11373469,stimulus_Lit_BrokenApril_9_page_3,51.8,80.2,1044.0
11373470,stimulus_Lit_BrokenApril_9_page_3,51.7,80.2,1045.0
11373471,stimulus_Lit_BrokenApril_9_page_3,51.6,80.3,1045.0
11373472,stimulus_Lit_BrokenApril_9_page_3,51.4,80.3,1045.0
11373473,stimulus_Lit_BrokenApril_9_page_3,51.0,80.5,1044.0
11373474,stimulus_Lit_BrokenApril_9_page_3,50.6,80.6,1044.0
11373475,stimulus_Lit_BrokenApril_9_page_3,50.5,80.9,1044.0
11373476,stimulus_Lit_BrokenApril_9_page_3,50.6,81.0,1044.0
11373477,stimulus_Lit_BrokenApril_9_page_3,50.6,81.1,1044.0
11373478,stimulus_Lit_BrokenApril_9_page_3,50.5,81.3,1044.0
11373479,stimulus_Lit_BrokenApril_9_page_3,50.4,81.5,1043.0
11373480,stimulus_Lit_BrokenApril_9_page_3,50.2,81.6,1042.0
11373481,stimulus_Lit_BrokenApril_9_page_3,50.1,81.5,1043.0
11373482,stimulus_Lit_BrokenApril_9_page_3,50.0,81.2,1044.0
11373483,stimulus_Lit_BrokenApril_9_page_3,50.0,80.9,1044.0
11373484,stimulus_Lit_BrokenApril_9_page_3,50.0,80.8,1044.0
11373485,stimulus_Lit_BrokenApril_9_page_3,50.0,80.7,1043.0
11373486,stimulus_Lit_BrokenApril_9_page_3,50.0,80.7,1043.0
11373487,stimulus_Lit_BrokenApril_9_page_3,49.8,80.6,1043.0
11373488,stimulus_Lit_BrokenApril_9_page_3,49.6,80.6,1043.0
11373489,stimulus_Lit_BrokenApril_9_page_3,49.5,80.5,1042.0
11373490,stimulus_Lit_BrokenApril_9_page_3,49.7,80.5,1041.0
11373491,stimulus_Lit_BrokenApril_9_page_3,49.9,80.4,1040.0
11373492,stimulus_Lit_BrokenApril_9_page_3,49.9,80.6,1040.0
11373493,stimulus_Lit_BrokenApril_9_page_3,49.8,80.8,1040.0
11373494,stimulus_Lit_BrokenApril_9_page_3,49.7,81.1,1042.0
11373495,stimulus_Lit_BrokenApril_9_page_3,49.6,81.2,1043.0
11373496,stimulus_Lit_BrokenApril_9_page_3,49.5,81.4,1043.0
11373497,stimulus_Lit_BrokenApril_9_page_3,49.5,81.1,1042.0
11373498,stimulus_Lit_BrokenApril_9_page_3,49.4,80.9,1042.0
11373499,stimulus_Lit_BrokenApril_9_page_3,49.2,80.7,1042.0
11373500,stimulus_Lit_BrokenApril_9_page_3,49.1,80.7,1042.0
11373501,stimulus_Lit_BrokenApril_9_page_3,49.0,80.7,1041.0
11373502,stimulus_Lit_BrokenApril_9_page_3,49.0,80.8,1040.0
11373503,stimulus_Lit_BrokenApril_9_page_3,49.2,80.8,1040.0
11373504,stimulus_Lit_BrokenApril_9_page_3,49.3,80.9,1040.0
11373505,stimulus_Lit_BrokenApril_9_page_3,49.7,80.9,1040.0
11373506,stimulus_Lit_BrokenApril_9_page_3,50.3,81.0,1041.0
11373507,stimulus_Lit_BrokenApril_9_page_3,50.9,81.0,1042.0
11373508,stimulus_Lit_BrokenApril_9_page_3,51.5,80.5,1043.0
11373509,stimulus_Lit_BrokenApril_9_page_3,51.9,79.9,1043.0
11373510,stimulus_Lit_BrokenApril_9_page_3,52.2,79.5,1043.0
11373511,stimulus_Lit_BrokenApril_9_page_3,52.3,79.6,1043.0
11373512,stimulus_Lit_BrokenApril_9_page_3,52.4,79.5,1043.0
11373513,stimulus_Lit_BrokenApril_9_page_3,52.3,79.3,1043.0
11373514,stimulus_Lit_BrokenApril_9_page_3,52.0,79.0,1042.0
11373515,stimulus_Lit_BrokenApril_9_page_3,51.8,79.0,1041.0
11373516,stimulus_Lit_BrokenApril_9_page_3,51.9,79.0,1040.0
11373517,stimulus_Lit_BrokenApril_9_page_3,51.9,79.0,1041.0
11373518,stimulus_Lit_BrokenApril_9_page_3,51.9,79.0,1041.0
11373519,stimulus_Lit_BrokenApril_9_page_3,52.0,79.0,1042.0
11373520,stimulus_Lit_BrokenApril_9_page_3,52.1,78.7,1043.0
11373521,stimulus_Lit_BrokenApril_9_page_3,52.2,78.1,1043.0
11373522,stimulus_Lit_BrokenApril_9_page_3,52.4,77.5,1043.0
11373523,stimulus_Lit_BrokenApril_9_page_3,52.6,77.3,1043.0
11373524,stimulus_Lit_BrokenApril_9_page_3,52.7,77.4,1043.0
11373525,stimulus_Lit_BrokenApril_9_page_3,52.7,77.5,1042.0
11373526,stimulus_Lit_BrokenApril_9_page_3,52.7,77.7,1043.0
11373527,stimulus_Lit_BrokenApril_9_page_3,52.9,77.8,1044.0
11373528,stimulus_Lit_BrokenApril_9_page_3,53.1,77.8,1046.0
11373529,stimulus_Lit_BrokenApril_9_page_3,53.3,77.9,1047.0
11373530,stimulus_Lit_BrokenApril_9_page_3,53.3,77.9,1046.0
11373531,stimulus_Lit_BrokenApril_9_page_3,53.2,77.8,1046.0
11373532,stimulus_Lit_BrokenApril_9_page_3,53.4,77.8,1045.0
11373533,stimulus_Lit_BrokenApril_9_page_3,53.6,77.9,1045.0
11373534,stimulus_Lit_BrokenApril_9_page_3,53.8,78.0,1045.0
11373535,stimulus_Lit_BrokenApril_9_page_3,53.8,78.2,1045.0
11373536,stimulus_Lit_BrokenApril_9_page_3,53.9,78.1,1047.0
11373537,stimulus_Lit_BrokenApril_9_page_3,53.9,77.7,1050.0
11373538,stimulus_Lit_BrokenApril_9_page_3,53.8,77.2,1052.0
11373539,stimulus_Lit_BrokenApril_9_page_3,53.7,77.0,1052.0
11373540,stimulus_Lit_BrokenApril_9_page_3,54.0,77.5,1052.0
11373541,stimulus_Lit_BrokenApril_9_page_3,54.3,77.9,1052.0
11373542,stimulus_Lit_BrokenApril_9_page_3,54.5,77.9,1052.0
11373543,stimulus_Lit_BrokenApril_9_page_3,54.3,77.6,1052.0
