time,screen,pixel_x,pixel_y,pupil
11780886,stimulus_Lit_BrokenApril_9_question_9122,735.0,316.3,1315.0
11780887,stimulus_Lit_BrokenApril_9_question_9122,734.9,315.1,1314.0
11780888,stimulus_Lit_BrokenApril_9_question_9122,734.5,314.6,1313.0
11780889,stimulus_Lit_BrokenApril_9_question_9122,734.3,313.4,1311.0
11780890,stimulus_Lit_BrokenApril_9_question_9122,733.6,311.8,1310.0
11780891,stimulus_Lit_BrokenApril_9_question_9122,733.1,309.9,1309.0
11780892,stimulus_Lit_BrokenApril_9_question_9122,731.8,308.9,1308.0
11780893,stimulus_Lit_BrokenApril_9_question_9122,730.7,307.8,1307.0
11780894,stimulus_Lit_BrokenApril_9_question_9122,729.4,307.1,1307.0
11780895,stimulus_Lit_BrokenApril_9_question_9122,728.4,306.7,1307.0
11780896,stimulus_Lit_BrokenApril_9_question_9122,727.0,306.7,1306.0
11780897,stimulus_Lit_BrokenApril_9_question_9122,725.3,306.1,1307.0
11780898,stimulus_Lit_BrokenApril_9_question_9122,724.1,305.4,1307.0
11780899,stimulus_Lit_BrokenApril_9_question_9122,723.5,304.7,1307.0
11780900,stimulus_Lit_BrokenApril_9_question_9122,723.0,304.7,1307.0
11780901,stimulus_Lit_BrokenApril_9_question_9122,722.7,304.7,1306.0
11780902,stimulus_Lit_BrokenApril_9_question_9122,722.6,304.7,1306.0
11780903,stimulus_Lit_BrokenApril_9_question_9122,723.0,304.8,1306.0
11780904,stimulus_Lit_BrokenApril_9_question_9122,723.5,305.4,1307.0
11780905,stimulus_Lit_BrokenApril_9_question_9122,723.8,305.9,1308.0
11780906,stimulus_Lit_BrokenApril_9_question_9122,724.0,306.8,1309.0
11780907,stimulus_Lit_BrokenApril_9_question_9122,724.2,307.3,1310.0
11780908,stimulus_Lit_BrokenApril_9_question_9122,724.5,307.8,1310.0
11780909,stimulus_Lit_BrokenApril_9_question_9122,724.8,307.9,1310.0
11780910,stimulus_Lit_BrokenApril_9_question_9122,724.6,308.0,1309.0
11780911,stimulus_Lit_BrokenApril_9_question_9122,724.3,308.4,1308.0
11780912,stimulus_Lit_BrokenApril_9_question_9122,723.8,308.8,1307.0
11780913,stimulus_Lit_BrokenApril_9_question_9122,723.5,309.2,1306.0
11780914,stimulus_Lit_BrokenApril_9_question_9122,723.2,309.2,1306.0
11780915,stimulus_Lit_BrokenApril_9_question_9122,722.8,308.9,1306.0
11780916,stimulus_Lit_BrokenApril_9_question_9122,722.3,308.5,1305.0
11780917,stimulus_Lit_BrokenApril_9_question_9122,722.2,308.3,1304.0
11780918,stimulus_Lit_BrokenApril_9_question_9122,722.5,308.6,1303.0
11780919,stimulus_Lit_BrokenApril_9_question_9122,723.0,308.9,1302.0
11780920,stimulus_Lit_BrokenApril_9_question_9122,723.4,309.0,1302.0
11780921,stimulus_Lit_BrokenApril_9_question_9122,723.7,309.1,1301.0
11780922,stimulus_Lit_BrokenApril_9_question_9122,723.8,309.2,1301.0
11780923,stimulus_Lit_BrokenApril_9_question_9122,723.6,309.2,1301.0
11780924,stimulus_Lit_BrokenApril_9_question_9122,723.4,309.2,1301.0
11780925,stimulus_Lit_BrokenApril_9_question_9122,723.4,309.3,1302.0
11780926,stimulus_Lit_BrokenApril_9_question_9122,723.4,309.8,1302.0
11780927,stimulus_Lit_BrokenApril_9_question_9122,723.4,310.2,1301.0
11780928,stimulus_Lit_BrokenApril_9_question_9122,723.4,310.6,1300.0
11780929,stimulus_Lit_BrokenApril_9_question_9122,723.8,311.1,1300.0
11780930,stimulus_Lit_BrokenApril_9_question_9122,724.2,311.7,1299.0
11780931,stimulus_Lit_BrokenApril_9_question_9122,724.6,312.3,1299.0
11780932,stimulus_Lit_BrokenApril_9_question_9122,724.5,312.4,1301.0
11780933,stimulus_Lit_BrokenApril_9_question_9122,724.5,312.4,1302.0
11780934,stimulus_Lit_BrokenApril_9_question_9122,724.3,313.0,1304.0
11780935,stimulus_Lit_BrokenApril_9_question_9122,724.2,313.7,1305.0
11780936,stimulus_Lit_BrokenApril_9_question_9122,724.1,314.4,1305.0
11780937,stimulus_Lit_BrokenApril_9_question_9122,724.1,314.4,1306.0
11780938,stimulus_Lit_BrokenApril_9_question_9122,724.0,314.2,1306.0
11780939,stimulus_Lit_BrokenApril_9_question_9122,724.0,314.1,1307.0
11780940,stimulus_Lit_BrokenApril_9_question_9122,724.3,314.0,1308.0
11780941,stimulus_Lit_BrokenApril_9_question_9122,724.6,314.0,1309.0
11780942,stimulus_Lit_BrokenApril_9_question_9122,724.7,314.0,1311.0
