time,screen,pixel_x,pixel_y,pupil
6491507,stimulus_PopSci_Caveman_12_page_4,51.7,118.1,1250.0
6491508,stimulus_PopSci_Caveman_12_page_4,51.4,118.1,1249.0
6491509,stimulus_PopSci_Caveman_12_page_4,51.4,118.1,1249.0
6491510,stimulus_PopSci_Caveman_12_page_4,51.4,118.0,1249.0
6491511,stimulus_PopSci_Caveman_12_page_4,51.5,118.0,1248.0
6491512,stimulus_PopSci_Caveman_12_page_4,51.5,118.1,1248.0
6491513,stimulus_PopSci_Caveman_12_page_4,51.4,118.2,1249.0
6491514,stimulus_PopSci_Caveman_12_page_4,51.4,118.3,1250.0
6491515,stimulus_PopSci_Caveman_12_page_4,51.2,118.2,1251.0
6491516,stimulus_PopSci_Caveman_12_page_4,51.1,118.2,1251.0
6491517,stimulus_PopSci_Caveman_12_page_4,50.8,118.6,1250.0
6491518,stimulus_PopSci_Caveman_12_page_4,50.7,119.0,1250.0
6491519,stimulus_PopSci_Caveman_12_page_4,50.7,119.2,1250.0
6491520,stimulus_PopSci_Caveman_12_page_4,50.9,118.9,1250.0
6491521,stimulus_PopSci_Caveman_12_page_4,51.2,118.6,1250.0
6491522,stimulus_PopSci_Caveman_12_page_4,51.3,118.4,1251.0
6491523,stimulus_PopSci_Caveman_12_page_4,51.3,118.5,1251.0
6491524,stimulus_PopSci_Caveman_12_page_4,51.3,118.5,1252.0
6491525,stimulus_PopSci_Caveman_12_page_4,51.0,118.6,1252.0
6491526,stimulus_PopSci_Caveman_12_page_4,50.8,118.6,1252.0
6491527,stimulus_PopSci_Caveman_12_page_4,50.6,118.7,1252.0
6491528,stimulus_PopSci_Caveman_12_page_4,50.7,118.6,1251.0
6491529,stimulus_PopSci_Caveman_12_page_4,50.7,118.6,1252.0
6491530,stimulus_PopSci_Caveman_12_page_4,50.7,118.6,1252.0
6491531,stimulus_PopSci_Caveman_12_page_4,50.8,118.7,1253.0
6491532,stimulus_PopSci_Caveman_12_page_4,50.8,118.6,1253.0
6491533,stimulus_PopSci_Caveman_12_page_4,50.8,118.3,1253.0
6491534,stimulus_PopSci_Caveman_12_page_4,50.8,118.0,1253.0
6491535,stimulus_PopSci_Caveman_12_page_4,50.8,117.9,1253.0
6491536,stimulus_PopSci_Caveman_12_page_4,50.9,118.0,1253.0
6491537,stimulus_PopSci_Caveman_12_page_4,50.9,118.1,1252.0
6491538,stimulus_PopSci_Caveman_12_page_4,50.7,118.1,1253.0
6491539,stimulus_PopSci_Caveman_12_page_4,50.4,118.1,1254.0
6491540,stimulus_PopSci_Caveman_12_page_4,50.4,118.0,1255.0
6491541,stimulus_PopSci_Caveman_12_page_4,50.4,117.8,1254.0
6491542,stimulus_PopSci_Caveman_12_page_4,50.6,117.7,1254.0
6491543,stimulus_PopSci_Caveman_12_page_4,50.8,117.6,1254.0
6491544,stimulus_PopSci_Caveman_12_page_4,50.7,117.5,1254.0
6491545,stimulus_PopSci_Caveman_12_page_4,50.5,117.4,1255.0
6491546,stimulus_PopSci_Caveman_12_page_4,50.2,117.3,1255.0
6491547,stimulus_PopSci_Caveman_12_page_4,50.1,117.3,1255.0
6491548,stimulus_PopSci_Caveman_12_page_4,50.0,117.4,1255.0
6491549,stimulus_PopSci_Caveman_12_page_4,50.2,117.4,1255.0
6491550,stimulus_PopSci_Caveman_12_page_4,50.5,117.3,1256.0
6491551,stimulus_PopSci_Caveman_12_page_4,50.9,117.5,1256.0
6491552,stimulus_PopSci_Caveman_12_page_4,51.0,117.7,1257.0
6491553,stimulus_PopSci_Caveman_12_page_4,51.1,117.9,1256.0
6491554,stimulus_PopSci_Caveman_12_page_4,51.1,117.8,1256.0
6491555,stimulus_PopSci_Caveman_12_page_4,51.0,117.7,1256.0
6491556,stimulus_PopSci_Caveman_12_page_4,50.9,117.4,1256.0
6491557,stimulus_PopSci_Caveman_12_page_4,50.7,117.2,1256.0
6491558,stimulus_PopSci_Caveman_12_page_4,50.6,117.0,1256.0
6491559,stimulus_PopSci_Caveman_12_page_4,50.7,117.0,1257.0
6491560,stimulus_PopSci_Caveman_12_page_4,50.8,117.3,1258.0
6491561,stimulus_PopSci_Caveman_12_page_4,50.9,117.6,1259.0
6491562,stimulus_PopSci_Caveman_12_page_4,50.8,117.8,1259.0
6491563,stimulus_PopSci_Caveman_12_page_4,50.8,117.5,1259.0
6491564,stimulus_PopSci_Caveman_12_page_4,50.8,117.1,1258.0
6491565,stimulus_PopSci_Caveman_12_page_4,50.9,117.1,1258.0
6491566,stimulus_PopSci_Caveman_12_page_4,50.8,117.3,1258.0
6491567,stimulus_PopSci_Caveman_12_page_4,50.8,117.5,1259.0
6491568,stimulus_PopSci_Caveman_12_page_4,50.9,117.5,1259.0
6491569,stimulus_PopSci_Caveman_12_page_4,50.7,117.5,1259.0
6491570,stimulus_PopSci_Caveman_12_page_4,50.6,117.5,1258.0
6491571,stimulus_PopSci_Caveman_12_page_4,50.6,117.5,1258.0
6491572,stimulus_PopSci_Caveman_12_page_4,50.8,117.6,1258.0
6491573,stimulus_PopSci_Caveman_12_page_4,51.0,117.5,1258.0
6491574,stimulus_PopSci_Caveman_12_page_4,51.1,117.4,1258.0
6491575,stimulus_PopSci_Caveman_12_page_4,51.2,117.3,1257.0
6491576,stimulus_PopSci_Caveman_12_page_4,51.3,117.5,1257.0
6491577,stimulus_PopSci_Caveman_12_page_4,51.3,117.7,1257.0
