time,screen,pixel_x,pixel_y,pupil
6732323,stimulus_PopSci_Caveman_12_question_12111,1269.3,961.3,1337.0
6732324,stimulus_PopSci_Caveman_12_question_12111,1269.1,961.0,1338.0
6732325,stimulus_PopSci_Caveman_12_question_12111,1269.0,960.8,1338.0
6732326,stimulus_PopSci_Caveman_12_question_12111,1268.8,960.8,1338.0
6732327,stimulus_PopSci_Caveman_12_question_12111,1269.0,960.8,1337.0
6732328,stimulus_PopSci_Caveman_12_question_12111,1269.2,960.8,1336.0
6732329,stimulus_PopSci_Caveman_12_question_12111,1269.4,960.9,1335.0
6732330,stimulus_PopSci_Caveman_12_question_12111,1269.3,961.0,1334.0
6732331,stimulus_PopSci_Caveman_12_question_12111,1269.1,961.2,1333.0
6732332,stimulus_PopSci_Caveman_12_question_12111,1268.9,960.9,1333.0
6732333,stimulus_PopSci_Caveman_12_question_12111,1268.8,960.5,1332.0
6732334,stimulus_PopSci_Caveman_12_question_12111,1268.8,960.3,1332.0
6732335,stimulus_PopSci_Caveman_12_question_12111,1268.9,960.5,1331.0
6732336,stimulus_PopSci_Caveman_12_question_12111,1269.0,960.9,1332.0
6732337,stimulus_PopSci_Caveman_12_question_12111,1269.2,961.1,1332.0
6732338,stimulus_PopSci_Caveman_12_question_12111,1269.2,961.3,1332.0
6732339,stimulus_PopSci_Caveman_12_question_12111,1269.2,961.4,1331.0
6732340,stimulus_PopSci_Caveman_12_question_12111,1269.3,961.2,1330.0
6732341,stimulus_PopSci_Caveman_12_question_12111,1269.3,961.0,1330.0
6732342,stimulus_PopSci_Caveman_12_question_12111,1269.2,960.8,1330.0
6732343,stimulus_PopSci_Caveman_12_question_12111,1269.0,960.8,1331.0
6732344,stimulus_PopSci_Caveman_12_question_12111,1269.1,960.6,1332.0
6732345,stimulus_PopSci_Caveman_12_question_12111,1268.9,960.5,1333.0
6732346,stimulus_PopSci_Caveman_12_question_12111,1268.7,960.7,1333.0
6732347,stimulus_PopSci_Caveman_12_question_12111,1268.6,961.0,1334.0
6732348,stimulus_PopSci_Caveman_12_question_12111,1268.5,961.3,1333.0
6732349,stimulus_PopSci_Caveman_12_question_12111,1268.3,961.0,1332.0
6732350,stimulus_PopSci_Caveman_12_question_12111,1268.1,960.7,1330.0
6732351,stimulus_PopSci_Caveman_12_question_12111,1267.9,960.6,1328.0
6732352,stimulus_PopSci_Caveman_12_question_12111,1268.0,960.8,1329.0
6732353,stimulus_PopSci_Caveman_12_question_12111,1268.3,960.9,1331.0
6732354,stimulus_PopSci_Caveman_12_question_12111,1268.7,960.8,1333.0
6732355,stimulus_PopSci_Caveman_12_question_12111,1268.8,960.7,1333.0
6732356,stimulus_PopSci_Caveman_12_question_12111,1268.6,960.3,1332.0
6732357,stimulus_PopSci_Caveman_12_question_12111,1268.6,960.0,1331.0
6732358,stimulus_PopSci_Caveman_12_question_12111,1268.6,959.8,1330.0
6732359,stimulus_PopSci_Caveman_12_question_12111,1268.6,959.8,1329.0
6732360,stimulus_PopSci_Caveman_12_question_12111,1268.7,959.8,1328.0
6732361,stimulus_PopSci_Caveman_12_question_12111,1268.7,959.7,1327.0
6732362,stimulus_PopSci_Caveman_12_question_12111,1268.8,959.5,1328.0
6732363,stimulus_PopSci_Caveman_12_question_12111,1268.9,959.4,1329.0
6732364,stimulus_PopSci_Caveman_12_question_12111,1268.9,959.3,1330.0
6732365,stimulus_PopSci_Caveman_12_question_12111,1269.0,959.3,1329.0
6732366,stimulus_PopSci_Caveman_12_question_12111,1269.1,959.3,1327.0
6732367,stimulus_PopSci_Caveman_12_question_12111,1269.2,959.1,1325.0
6732368,stimulus_PopSci_Caveman_12_question_12111,1269.3,958.8,1325.0
6732369,stimulus_PopSci_Caveman_12_question_12111,1269.5,958.6,1324.0
6732370,stimulus_PopSci_Caveman_12_question_12111,1269.6,958.6,1323.0
6732371,stimulus_PopSci_Caveman_12_question_12111,1269.7,958.6,1322.0
6732372,stimulus_PopSci_Caveman_12_question_12111,1269.5,958.8,1322.0
