time,screen,pixel_x,pixel_y,pupil
10381592,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.7,920.0
10381593,stimulus_Arg_PISACowsMilk_10_page_5,56.7,118.6,920.0
10381594,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.3,920.0
10381595,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.1,921.0
10381596,stimulus_Arg_PISACowsMilk_10_page_5,57.0,118.0,921.0
10381597,stimulus_Arg_PISACowsMilk_10_page_5,57.2,118.1,922.0
10381598,stimulus_Arg_PISACowsMilk_10_page_5,57.1,118.3,923.0
10381599,stimulus_Arg_PISACowsMilk_10_page_5,56.9,118.5,922.0
10381600,stimulus_Arg_PISACowsMilk_10_page_5,56.6,118.9,921.0
10381601,stimulus_Arg_PISACowsMilk_10_page_5,56.4,119.0,919.0
10381602,stimulus_Arg_PISACowsMilk_10_page_5,56.3,119.1,918.0
10381603,stimulus_Arg_PISACowsMilk_10_page_5,56.3,119.0,917.0
10381604,stimulus_Arg_PISACowsMilk_10_page_5,56.5,118.7,917.0
10381605,stimulus_Arg_PISACowsMilk_10_page_5,56.6,118.3,917.0
10381606,stimulus_Arg_PISACowsMilk_10_page_5,56.6,117.8,917.0
10381607,stimulus_Arg_PISACowsMilk_10_page_5,56.6,117.6,917.0
10381608,stimulus_Arg_PISACowsMilk_10_page_5,56.6,117.9,917.0
10381609,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.2,917.0
10381610,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.7,917.0
10381611,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.8,916.0
10381612,stimulus_Arg_PISACowsMilk_10_page_5,56.5,118.8,916.0
10381613,stimulus_Arg_PISACowsMilk_10_page_5,56.7,118.7,916.0
10381614,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.6,917.0
10381615,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.5,917.0
10381616,stimulus_Arg_PISACowsMilk_10_page_5,56.9,118.4,917.0
10381617,stimulus_Arg_PISACowsMilk_10_page_5,56.9,117.9,917.0
10381618,stimulus_Arg_PISACowsMilk_10_page_5,57.0,117.5,918.0
10381619,stimulus_Arg_PISACowsMilk_10_page_5,57.0,117.3,918.0
10381620,stimulus_Arg_PISACowsMilk_10_page_5,57.0,117.4,918.0
10381621,stimulus_Arg_PISACowsMilk_10_page_5,57.1,117.6,918.0
10381622,stimulus_Arg_PISACowsMilk_10_page_5,57.0,117.7,918.0
10381623,stimulus_Arg_PISACowsMilk_10_page_5,56.9,117.6,918.0
10381624,stimulus_Arg_PISACowsMilk_10_page_5,56.8,117.5,917.0
10381625,stimulus_Arg_PISACowsMilk_10_page_5,56.8,117.9,917.0
10381626,stimulus_Arg_PISACowsMilk_10_page_5,56.9,118.3,918.0
10381627,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.8,918.0
10381628,stimulus_Arg_PISACowsMilk_10_page_5,56.9,118.6,918.0
10381629,stimulus_Arg_PISACowsMilk_10_page_5,57.0,118.5,918.0
10381630,stimulus_Arg_PISACowsMilk_10_page_5,57.0,118.4,918.0
10381631,stimulus_Arg_PISACowsMilk_10_page_5,57.0,118.7,917.0
10381632,stimulus_Arg_PISACowsMilk_10_page_5,57.1,118.9,916.0
10381633,stimulus_Arg_PISACowsMilk_10_page_5,57.0,119.1,916.0
10381634,stimulus_Arg_PISACowsMilk_10_page_5,56.7,119.0,917.0
10381635,stimulus_Arg_PISACowsMilk_10_page_5,56.5,118.7,918.0
10381636,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.5,918.0
10381637,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.5,918.0
10381638,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.5,918.0
10381639,stimulus_Arg_PISACowsMilk_10_page_5,56.3,118.6,918.0
10381640,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.8,918.0
10381641,stimulus_Arg_PISACowsMilk_10_page_5,56.5,118.9,917.0
10381642,stimulus_Arg_PISACowsMilk_10_page_5,56.6,119.1,916.0
10381643,stimulus_Arg_PISACowsMilk_10_page_5,56.6,119.2,917.0
10381644,stimulus_Arg_PISACowsMilk_10_page_5,56.7,119.2,918.0
10381645,stimulus_Arg_PISACowsMilk_10_page_5,56.7,119.1,919.0
10381646,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.8,919.0
10381647,stimulus_Arg_PISACowsMilk_10_page_5,56.8,118.5,918.0
10381648,stimulus_Arg_PISACowsMilk_10_page_5,56.7,118.3,917.0
10381649,stimulus_Arg_PISACowsMilk_10_page_5,56.6,118.3,915.0
10381650,stimulus_Arg_PISACowsMilk_10_page_5,56.4,118.4,915.0
10381651,stimulus_Arg_PISACowsMilk_10_page_5,56.1,118.4,915.0
10381652,stimulus_Arg_PISACowsMilk_10_page_5,55.9,118.3,916.0
10381653,stimulus_Arg_PISACowsMilk_10_page_5,55.8,118.3,916.0
10381654,stimulus_Arg_PISACowsMilk_10_page_5,55.8,118.3,916.0
10381655,stimulus_Arg_PISACowsMilk_10_page_5,55.8,117.9,916.0
10381656,stimulus_Arg_PISACowsMilk_10_page_5,56.1,117.6,916.0
