time,screen,pixel_x,pixel_y,pupil
10903850,stimulus_Arg_PISACowsMilk_10_question_10232,1261.7,923.2,1416.0
10903851,stimulus_Arg_PISACowsMilk_10_question_10232,1261.6,923.1,1417.0
10903852,stimulus_Arg_PISACowsMilk_10_question_10232,1261.7,923.1,1418.0
10903853,stimulus_Arg_PISACowsMilk_10_question_10232,1261.8,923.1,1418.0
10903854,stimulus_Arg_PISACowsMilk_10_question_10232,1261.8,923.1,1418.0
10903855,stimulus_Arg_PISACowsMilk_10_question_10232,1261.9,923.1,1418.0
10903856,stimulus_Arg_PISACowsMilk_10_question_10232,1261.6,922.9,1418.0
10903857,stimulus_Arg_PISACowsMilk_10_question_10232,1261.0,922.6,1420.0
10903858,stimulus_Arg_PISACowsMilk_10_question_10232,1260.5,922.4,1422.0
10903859,stimulus_Arg_PISACowsMilk_10_question_10232,1260.4,922.3,1423.0
10903860,stimulus_Arg_PISACowsMilk_10_question_10232,1260.4,922.4,1423.0
10903861,stimulus_Arg_PISACowsMilk_10_question_10232,1260.5,922.4,1422.0
10903862,stimulus_Arg_PISACowsMilk_10_question_10232,1260.6,922.3,1422.0
10903863,stimulus_Arg_PISACowsMilk_10_question_10232,1260.7,922.1,1424.0
10903864,stimulus_Arg_PISACowsMilk_10_question_10232,1260.6,922.0,1426.0
10903865,stimulus_Arg_PISACowsMilk_10_question_10232,1260.8,922.0,1428.0
10903866,stimulus_Arg_PISACowsMilk_10_question_10232,1261.0,921.8,1428.0
10903867,stimulus_Arg_PISACowsMilk_10_question_10232,1261.2,921.6,1428.0
10903868,stimulus_Arg_PISACowsMilk_10_question_10232,1261.3,921.3,1428.0
10903869,stimulus_Arg_PISACowsMilk_10_question_10232,1261.3,921.4,1427.0
10903870,stimulus_Arg_PISACowsMilk_10_question_10232,1261.4,921.4,1426.0
10903871,stimulus_Arg_PISACowsMilk_10_question_10232,1261.4,921.3,1426.0
10903872,stimulus_Arg_PISACowsMilk_10_question_10232,1261.4,921.2,1428.0
10903873,stimulus_Arg_PISACowsMilk_10_question_10232,1261.4,921.1,1429.0
10903874,stimulus_Arg_PISACowsMilk_10_question_10232,1261.4,921.2,1428.0
10903875,stimulus_Arg_PISACowsMilk_10_question_10232,1261.5,921.2,1428.0
