time,screen,pixel_x,pixel_y,pupil
13071472,stimulus_Ins_LearningMobility_3_page_6,60.4,92.0,874.0
13071473,stimulus_Ins_LearningMobility_3_page_6,60.4,92.1,874.0
13071474,stimulus_Ins_LearningMobility_3_page_6,60.6,92.1,874.0
13071475,stimulus_Ins_LearningMobility_3_page_6,60.8,92.1,874.0
13071476,stimulus_Ins_LearningMobility_3_page_6,60.9,92.0,874.0
13071477,stimulus_Ins_LearningMobility_3_page_6,60.7,92.0,874.0
13071478,stimulus_Ins_LearningMobility_3_page_6,60.4,91.9,874.0
13071479,stimulus_Ins_LearningMobility_3_page_6,60.2,91.9,874.0
13071480,stimulus_Ins_LearningMobility_3_page_6,60.0,91.8,873.0
13071481,stimulus_Ins_LearningMobility_3_page_6,59.8,91.9,873.0
13071482,stimulus_Ins_LearningMobility_3_page_6,59.7,92.1,872.0
13071483,stimulus_Ins_LearningMobility_3_page_6,59.7,92.2,872.0
13071484,stimulus_Ins_LearningMobility_3_page_6,59.6,92.1,873.0
13071485,stimulus_Ins_LearningMobility_3_page_6,59.8,92.1,873.0
13071486,stimulus_Ins_LearningMobility_3_page_6,60.0,92.0,874.0
13071487,stimulus_Ins_LearningMobility_3_page_6,60.2,92.0,874.0
13071488,stimulus_Ins_LearningMobility_3_page_6,60.3,91.8,874.0
13071489,stimulus_Ins_LearningMobility_3_page_6,60.3,91.7,874.0
13071490,stimulus_Ins_LearningMobility_3_page_6,60.2,91.5,873.0
13071491,stimulus_Ins_LearningMobility_3_page_6,60.2,91.5,873.0
13071492,stimulus_Ins_LearningMobility_3_page_6,60.2,91.5,873.0
13071493,stimulus_Ins_LearningMobility_3_page_6,60.2,91.5,873.0
13071494,stimulus_Ins_LearningMobility_3_page_6,60.2,91.4,873.0
13071495,stimulus_Ins_LearningMobility_3_page_6,60.2,91.2,873.0
13071496,stimulus_Ins_LearningMobility_3_page_6,60.2,91.2,874.0
13071497,stimulus_Ins_LearningMobility_3_page_6,60.1,91.4,874.0
13071498,stimulus_Ins_LearningMobility_3_page_6,60.0,91.7,874.0
13071499,stimulus_Ins_LearningMobility_3_page_6,60.0,91.7,874.0
13071500,stimulus_Ins_LearningMobility_3_page_6,60.0,91.8,873.0
13071501,stimulus_Ins_LearningMobility_3_page_6,60.1,91.8,873.0
13071502,stimulus_Ins_LearningMobility_3_page_6,60.1,91.9,873.0
13071503,stimulus_Ins_LearningMobility_3_page_6,60.5,92.0,873.0
13071504,stimulus_Ins_LearningMobility_3_page_6,60.8,91.9,874.0
13071505,stimulus_Ins_LearningMobility_3_page_6,61.1,91.7,874.0
13071506,stimulus_Ins_LearningMobility_3_page_6,61.0,91.5,873.0
13071507,stimulus_Ins_LearningMobility_3_page_6,61.0,91.6,873.0
13071508,stimulus_Ins_LearningMobility_3_page_6,61.0,91.5,873.0
13071509,stimulus_Ins_LearningMobility_3_page_6,60.9,91.6,873.0
13071510,stimulus_Ins_LearningMobility_3_page_6,60.9,91.7,873.0
13071511,stimulus_Ins_LearningMobility_3_page_6,60.9,91.7,873.0
13071512,stimulus_Ins_LearningMobility_3_page_6,61.0,91.5,873.0
13071513,stimulus_Ins_LearningMobility_3_page_6,61.2,91.3,873.0
13071514,stimulus_Ins_LearningMobility_3_page_6,61.2,91.3,873.0
13071515,stimulus_Ins_LearningMobility_3_page_6,61.2,91.4,874.0
13071516,stimulus_Ins_LearningMobility_3_page_6,61.4,91.5,874.0
13071517,stimulus_Ins_LearningMobility_3_page_6,61.7,91.6,873.0
13071518,stimulus_Ins_LearningMobility_3_page_6,62.0,91.6,873.0
13071519,stimulus_Ins_LearningMobility_3_page_6,62.1,91.5,872.0
13071520,stimulus_Ins_LearningMobility_3_page_6,62.2,91.6,872.0
13071521,stimulus_Ins_LearningMobility_3_page_6,61.9,91.8,872.0
13071522,stimulus_Ins_LearningMobility_3_page_6,61.7,92.0,872.0
13071523,stimulus_Ins_LearningMobility_3_page_6,61.7,91.7,872.0
13071524,stimulus_Ins_LearningMobility_3_page_6,61.8,91.4,873.0
13071525,stimulus_Ins_LearningMobility_3_page_6,61.8,91.3,873.0
13071526,stimulus_Ins_LearningMobility_3_page_6,61.8,91.6,873.0
13071527,stimulus_Ins_LearningMobility_3_page_6,61.7,91.8,874.0
13071528,stimulus_Ins_LearningMobility_3_page_6,61.6,91.7,874.0
13071529,stimulus_Ins_LearningMobility_3_page_6,61.5,91.6,874.0
13071530,stimulus_Ins_LearningMobility_3_page_6,61.4,91.5,874.0
13071531,stimulus_Ins_LearningMobility_3_page_6,61.3,91.4,873.0
13071532,stimulus_Ins_LearningMobility_3_page_6,61.3,91.3,873.0
13071533,stimulus_Ins_LearningMobility_3_page_6,61.3,91.1,873.0
13071534,stimulus_Ins_LearningMobility_3_page_6,61.4,90.9,873.0
13071535,stimulus_Ins_LearningMobility_3_page_6,61.3,90.9,874.0
13071536,stimulus_Ins_LearningMobility_3_page_6,61.5,91.0,874.0
13071537,stimulus_Ins_LearningMobility_3_page_6,61.7,91.1,875.0
13071538,stimulus_Ins_LearningMobility_3_page_6,62.0,91.2,875.0
13071539,stimulus_Ins_LearningMobility_3_page_6,62.1,91.3,875.0
13071540,stimulus_Ins_LearningMobility_3_page_6,62.2,91.0,874.0
13071541,stimulus_Ins_LearningMobility_3_page_6,62.3,90.7,874.0
13071542,stimulus_Ins_LearningMobility_3_page_6,62.4,90.6,873.0
13071543,stimulus_Ins_LearningMobility_3_page_6,62.4,90.7,873.0
13071544,stimulus_Ins_LearningMobility_3_page_6,62.4,90.9,873.0
13071545,stimulus_Ins_LearningMobility_3_page_6,62.1,90.9,874.0
13071546,stimulus_Ins_LearningMobility_3_page_6,61.9,91.0,874.0
13071547,stimulus_Ins_LearningMobility_3_page_6,61.6,90.9,874.0
13071548,stimulus_Ins_LearningMobility_3_page_6,61.6,90.9,874.0
13071549,stimulus_Ins_LearningMobility_3_page_6,61.6,90.9,873.0
13071550,stimulus_Ins_LearningMobility_3_page_6,61.7,90.7,873.0
13071551,stimulus_Ins_LearningMobility_3_page_6,61.9,90.6,873.0
13071552,stimulus_Ins_LearningMobility_3_page_6,61.9,90.5,873.0
13071553,stimulus_Ins_LearningMobility_3_page_6,62.0,90.3,873.0
13071554,stimulus_Ins_LearningMobility_3_page_6,62.2,90.2,873.0
13071555,stimulus_Ins_LearningMobility_3_page_6,62.3,90.2,873.0
13071556,stimulus_Ins_LearningMobility_3_page_6,62.3,90.2,873.0
13071557,stimulus_Ins_LearningMobility_3_page_6,62.2,90.1,872.0
13071558,stimulus_Ins_LearningMobility_3_page_6,62.0,90.0,872.0
13071559,stimulus_Ins_LearningMobility_3_page_6,61.9,89.9,872.0
13071560,stimulus_Ins_LearningMobility_3_page_6,61.9,89.8,872.0
13071561,stimulus_Ins_LearningMobility_3_page_6,61.9,89.8,872.0
13071562,stimulus_Ins_LearningMobility_3_page_6,62.1,89.8,872.0
13071563,stimulus_Ins_LearningMobility_3_page_6,62.2,89.9,872.0
13071564,stimulus_Ins_LearningMobility_3_page_6,62.3,89.9,872.0
13071565,stimulus_Ins_LearningMobility_3_page_6,62.2,90.0,873.0
13071566,stimulus_Ins_LearningMobility_3_page_6,62.3,90.0,873.0
13071567,stimulus_Ins_LearningMobility_3_page_6,62.3,90.0,872.0
13071568,stimulus_Ins_LearningMobility_3_page_6,62.4,90.0,872.0
13071569,stimulus_Ins_LearningMobility_3_page_6,62.3,89.9,872.0
13071570,stimulus_Ins_LearningMobility_3_page_6,62.2,89.9,871.0
13071571,stimulus_Ins_LearningMobility_3_page_6,62.3,90.2,871.0
13071572,stimulus_Ins_LearningMobility_3_page_6,62.5,90.6,871.0
13071573,stimulus_Ins_LearningMobility_3_page_6,62.6,90.8,871.0
13071574,stimulus_Ins_LearningMobility_3_page_6,62.3,90.5,872.0
13071575,stimulus_Ins_LearningMobility_3_page_6,62.0,90.5,872.0
13071576,stimulus_Ins_LearningMobility_3_page_6,61.8,90.6,872.0
13071577,stimulus_Ins_LearningMobility_3_page_6,62.0,90.8,872.0
13071578,stimulus_Ins_LearningMobility_3_page_6,62.2,90.9,872.0
13071579,stimulus_Ins_LearningMobility_3_page_6,62.2,91.0,872.0
13071580,stimulus_Ins_LearningMobility_3_page_6,62.4,91.1,872.0
13071581,stimulus_Ins_LearningMobility_3_page_6,62.6,91.2,872.0
13071582,stimulus_Ins_LearningMobility_3_page_6,62.7,91.3,872.0
13071583,stimulus_Ins_LearningMobility_3_page_6,62.7,91.2,872.0
13071584,stimulus_Ins_LearningMobility_3_page_6,62.7,91.1,872.0
13071585,stimulus_Ins_LearningMobility_3_page_6,62.6,91.1,872.0
13071586,stimulus_Ins_LearningMobility_3_page_6,62.4,91.3,871.0
13071587,stimulus_Ins_LearningMobility_3_page_6,62.3,91.4,871.0
13071588,stimulus_Ins_LearningMobility_3_page_6,62.3,91.4,871.0
13071589,stimulus_Ins_LearningMobility_3_page_6,62.4,91.4,870.0
13071590,stimulus_Ins_LearningMobility_3_page_6,62.6,91.4,870.0
13071591,stimulus_Ins_LearningMobility_3_page_6,62.9,91.3,870.0
13071592,stimulus_Ins_LearningMobility_3_page_6,63.2,91.1,869.0
13071593,stimulus_Ins_LearningMobility_3_page_6,63.2,90.9,869.0
13071594,stimulus_Ins_LearningMobility_3_page_6,63.0,91.0,870.0
13071595,stimulus_Ins_LearningMobility_3_page_6,62.8,91.2,872.0
13071596,stimulus_Ins_LearningMobility_3_page_6,62.3,91.4,873.0
13071597,stimulus_Ins_LearningMobility_3_page_6,62.1,91.6,872.0
13071598,stimulus_Ins_LearningMobility_3_page_6,62.1,91.9,870.0
13071599,stimulus_Ins_LearningMobility_3_page_6,62.2,92.2,869.0
13071600,stimulus_Ins_LearningMobility_3_page_6,62.4,92.3,870.0
13071601,stimulus_Ins_LearningMobility_3_page_6,62.4,92.2,870.0
13071602,stimulus_Ins_LearningMobility_3_page_6,62.4,91.8,871.0
13071603,stimulus_Ins_LearningMobility_3_page_6,62.5,91.6,871.0
13071604,stimulus_Ins_LearningMobility_3_page_6,62.6,91.4,870.0
13071605,stimulus_Ins_LearningMobility_3_page_6,62.6,91.6,870.0
13071606,stimulus_Ins_LearningMobility_3_page_6,62.6,91.8,871.0
13071607,stimulus_Ins_LearningMobility_3_page_6,62.7,91.8,871.0
13071608,stimulus_Ins_LearningMobility_3_page_6,62.7,91.8,871.0
13071609,stimulus_Ins_LearningMobility_3_page_6,62.7,91.9,871.0
13071610,stimulus_Ins_LearningMobility_3_page_6,62.7,91.9,871.0
13071611,stimulus_Ins_LearningMobility_3_page_6,62.6,91.9,871.0
13071612,stimulus_Ins_LearningMobility_3_page_6,62.5,91.9,871.0
13071613,stimulus_Ins_LearningMobility_3_page_6,62.5,91.8,871.0
13071614,stimulus_Ins_LearningMobility_3_page_6,62.4,91.7,871.0
13071615,stimulus_Ins_LearningMobility_3_page_6,62.4,91.4,871.0
13071616,stimulus_Ins_LearningMobility_3_page_6,62.4,91.3,871.0
13071617,stimulus_Ins_LearningMobility_3_page_6,62.4,91.2,871.0
13071618,stimulus_Ins_LearningMobility_3_page_6,62.4,91.2,871.0
