time,screen,pixel_x,pixel_y,pupil
13279060,stimulus_Ins_LearningMobility_3_question_3111,1274.9,932.5,1116.0
13279061,stimulus_Ins_LearningMobility_3_question_3111,1274.9,932.4,1116.0
13279062,stimulus_Ins_LearningMobility_3_question_3111,1274.7,932.2,1117.0
13279063,stimulus_Ins_LearningMobility_3_question_3111,1274.6,932.1,1117.0
13279064,stimulus_Ins_LearningMobility_3_question_3111,1274.5,932.2,1118.0
13279065,stimulus_Ins_LearningMobility_3_question_3111,1274.5,932.6,1119.0
13279066,stimulus_Ins_LearningMobility_3_question_3111,1274.3,933.0,1120.0
13279067,stimulus_Ins_LearningMobility_3_question_3111,1274.2,933.4,1121.0
13279068,stimulus_Ins_LearningMobility_3_question_3111,1274.2,933.2,1122.0
13279069,stimulus_Ins_LearningMobility_3_question_3111,1274.1,932.9,1122.0
13279070,stimulus_Ins_LearningMobility_3_question_3111,1274.1,933.2,1122.0
13279071,stimulus_Ins_LearningMobility_3_question_3111,1274.0,933.7,1122.0
13279072,stimulus_Ins_LearningMobility_3_question_3111,1274.0,934.2,1122.0
13279073,stimulus_Ins_LearningMobility_3_question_3111,1274.0,934.2,1122.0
13279074,stimulus_Ins_LearningMobility_3_question_3111,1274.0,934.2,1121.0
13279075,stimulus_Ins_LearningMobility_3_question_3111,1274.1,934.3,1121.0
13279076,stimulus_Ins_LearningMobility_3_question_3111,1274.2,934.3,1121.0
13279077,stimulus_Ins_LearningMobility_3_question_3111,1274.5,934.4,1121.0
13279078,stimulus_Ins_LearningMobility_3_question_3111,1274.8,934.5,1121.0
13279079,stimulus_Ins_LearningMobility_3_question_3111,1275.1,934.6,1120.0
13279080,stimulus_Ins_LearningMobility_3_question_3111,1275.2,934.7,1120.0
13279081,stimulus_Ins_LearningMobility_3_question_3111,1275.2,934.8,1120.0
13279082,stimulus_Ins_LearningMobility_3_question_3111,1275.2,935.0,1120.0
13279083,stimulus_Ins_LearningMobility_3_question_3111,1275.1,935.1,1120.0
13279084,stimulus_Ins_LearningMobility_3_question_3111,1275.4,935.2,1120.0
13279085,stimulus_Ins_LearningMobility_3_question_3111,1275.7,935.2,1120.0
13279086,stimulus_Ins_LearningMobility_3_question_3111,1276.0,935.2,1120.0
13279087,stimulus_Ins_LearningMobility_3_question_3111,1276.1,935.2,1120.0
13279088,stimulus_Ins_LearningMobility_3_question_3111,1276.2,935.1,1119.0
13279089,stimulus_Ins_LearningMobility_3_question_3111,1276.4,935.1,1119.0
13279090,stimulus_Ins_LearningMobility_3_question_3111,1276.5,934.8,1118.0
13279091,stimulus_Ins_LearningMobility_3_question_3111,1276.6,934.5,1117.0
13279092,stimulus_Ins_LearningMobility_3_question_3111,1276.7,934.1,1117.0
13279093,stimulus_Ins_LearningMobility_3_question_3111,1276.7,934.1,1116.0
13279094,stimulus_Ins_LearningMobility_3_question_3111,1276.8,934.2,1115.0
13279095,stimulus_Ins_LearningMobility_3_question_3111,1276.9,934.3,1114.0
13279096,stimulus_Ins_LearningMobility_3_question_3111,1276.9,934.3,1114.0
13279097,stimulus_Ins_LearningMobility_3_question_3111,1276.9,934.1,1115.0
13279098,stimulus_Ins_LearningMobility_3_question_3111,1276.9,933.9,1115.0
13279099,stimulus_Ins_LearningMobility_3_question_3111,1277.0,934.0,1116.0
13279100,stimulus_Ins_LearningMobility_3_question_3111,1277.1,933.7,1116.0
13279101,stimulus_Ins_LearningMobility_3_question_3111,1277.1,933.4,1116.0
13279102,stimulus_Ins_LearningMobility_3_question_3111,1277.2,933.1,1117.0
13279103,stimulus_Ins_LearningMobility_3_question_3111,1277.3,933.1,1117.0
13279104,stimulus_Ins_LearningMobility_3_question_3111,1277.3,933.0,1117.0
13279105,stimulus_Ins_LearningMobility_3_question_3111,1277.3,933.0,1116.0
13279106,stimulus_Ins_LearningMobility_3_question_3111,1276.9,933.0,1118.0
13279107,stimulus_Ins_LearningMobility_3_question_3111,1276.4,933.0,1119.0
13279108,stimulus_Ins_LearningMobility_3_question_3111,1275.9,933.1,1119.0
13279109,stimulus_Ins_LearningMobility_3_question_3111,1275.7,933.2,1118.0
13279110,stimulus_Ins_LearningMobility_3_question_3111,1275.5,933.3,1118.0
13279111,stimulus_Ins_LearningMobility_3_question_3111,1275.6,933.4,1119.0
13279112,stimulus_Ins_LearningMobility_3_question_3111,1275.7,933.5,1120.0
13279113,stimulus_Ins_LearningMobility_3_question_3111,1275.5,933.6,1120.0
13279114,stimulus_Ins_LearningMobility_3_question_3111,1275.1,933.7,1120.0
13279115,stimulus_Ins_LearningMobility_3_question_3111,1274.8,933.8,1120.0
13279116,stimulus_Ins_LearningMobility_3_question_3111,1274.9,933.9,1120.0
13279117,stimulus_Ins_LearningMobility_3_question_3111,1275.0,934.0,1121.0
13279118,stimulus_Ins_LearningMobility_3_question_3111,1275.2,934.2,1121.0
13279119,stimulus_Ins_LearningMobility_3_question_3111,1275.2,934.4,1122.0
13279120,stimulus_Ins_LearningMobility_3_question_3111,1275.1,934.6,1121.0
13279121,stimulus_Ins_LearningMobility_3_question_3111,1275.0,934.8,1121.0
13279122,stimulus_Ins_LearningMobility_3_question_3111,1275.0,935.0,1120.0
13279123,stimulus_Ins_LearningMobility_3_question_3111,1274.9,935.4,1119.0
13279124,stimulus_Ins_LearningMobility_3_question_3111,1274.9,935.9,1119.0
13279125,stimulus_Ins_LearningMobility_3_question_3111,1274.8,936.3,1118.0
13279126,stimulus_Ins_LearningMobility_3_question_3111,1274.6,936.3,1117.0
13279127,stimulus_Ins_LearningMobility_3_question_3111,1274.5,936.4,1117.0
13279128,stimulus_Ins_LearningMobility_3_question_3111,1274.2,936.8,1118.0
13279129,stimulus_Ins_LearningMobility_3_question_3111,1274.0,937.2,1119.0
13279130,stimulus_Ins_LearningMobility_3_question_3111,1273.7,937.6,1119.0
13279131,stimulus_Ins_LearningMobility_3_question_3111,1273.7,937.6,1119.0
13279132,stimulus_Ins_LearningMobility_3_question_3111,1273.6,937.7,1119.0
13279133,stimulus_Ins_LearningMobility_3_question_3111,1273.7,937.9,1119.0
13279134,stimulus_Ins_LearningMobility_3_question_3111,1273.8,938.0,1120.0
13279135,stimulus_Ins_LearningMobility_3_question_3111,1273.7,938.1,1120.0
13279136,stimulus_Ins_LearningMobility_3_question_3111,1273.4,938.1,1120.0
13279137,stimulus_Ins_LearningMobility_3_question_3111,1273.2,938.2,1120.0
13279138,stimulus_Ins_LearningMobility_3_question_3111,1273.1,938.4,1120.0
13279139,stimulus_Ins_LearningMobility_3_question_3111,1273.1,938.5,1120.0
13279140,stimulus_Ins_LearningMobility_3_question_3111,1273.4,938.3,1119.0
13279141,stimulus_Ins_LearningMobility_3_question_3111,1273.7,938.1,1119.0
13279142,stimulus_Ins_LearningMobility_3_question_3111,1273.9,938.0,1119.0
