time,screen,pixel_x,pixel_y,pupil
5069247,stimulus_Enc_WikiMoon_13_page_1,70.1,118.2,1455.0
5069248,stimulus_Enc_WikiMoon_13_page_1,70.2,118.4,1454.0
5069249,stimulus_Enc_WikiMoon_13_page_1,70.4,118.5,1453.0
5069250,stimulus_Enc_WikiMoon_13_page_1,70.5,118.3,1451.0
5069251,stimulus_Enc_WikiMoon_13_page_1,70.3,117.9,1450.0
5069252,stimulus_Enc_WikiMoon_13_page_1,70.0,117.7,1449.0
5069253,stimulus_Enc_WikiMoon_13_page_1,69.6,117.4,1449.0
5069254,stimulus_Enc_WikiMoon_13_page_1,69.7,117.4,1449.0
5069255,stimulus_Enc_WikiMoon_13_page_1,69.8,117.3,1450.0
5069256,stimulus_Enc_WikiMoon_13_page_1,70.0,117.2,1451.0
5069257,stimulus_Enc_WikiMoon_13_page_1,70.1,117.1,1450.0
5069258,stimulus_Enc_WikiMoon_13_page_1,70.2,117.1,1449.0
5069259,stimulus_Enc_WikiMoon_13_page_1,70.3,117.1,1447.0
5069260,stimulus_Enc_WikiMoon_13_page_1,70.4,117.1,1446.0
5069261,stimulus_Enc_WikiMoon_13_page_1,70.4,117.0,1446.0
5069262,stimulus_Enc_WikiMoon_13_page_1,70.4,117.0,1446.0
5069263,stimulus_Enc_WikiMoon_13_page_1,70.3,116.9,1447.0
5069264,stimulus_Enc_WikiMoon_13_page_1,70.2,116.9,1447.0
5069265,stimulus_Enc_WikiMoon_13_page_1,70.2,116.9,1446.0
5069266,stimulus_Enc_WikiMoon_13_page_1,70.2,116.8,1444.0
5069267,stimulus_Enc_WikiMoon_13_page_1,70.2,116.7,1444.0
5069268,stimulus_Enc_WikiMoon_13_page_1,70.1,116.6,1446.0
5069269,stimulus_Enc_WikiMoon_13_page_1,70.0,116.5,1447.0
5069270,stimulus_Enc_WikiMoon_13_page_1,70.0,116.4,1447.0
5069271,stimulus_Enc_WikiMoon_13_page_1,69.8,116.4,1446.0
5069272,stimulus_Enc_WikiMoon_13_page_1,69.6,116.4,1445.0
5069273,stimulus_Enc_WikiMoon_13_page_1,69.4,116.4,1444.0
5069274,stimulus_Enc_WikiMoon_13_page_1,69.4,116.5,1443.0
5069275,stimulus_Enc_WikiMoon_13_page_1,69.5,116.7,1443.0
5069276,stimulus_Enc_WikiMoon_13_page_1,69.6,116.9,1442.0
5069277,stimulus_Enc_WikiMoon_13_page_1,69.6,117.0,1443.0
5069278,stimulus_Enc_WikiMoon_13_page_1,69.6,117.1,1444.0
5069279,stimulus_Enc_WikiMoon_13_page_1,69.8,117.0,1444.0
5069280,stimulus_Enc_WikiMoon_13_page_1,69.9,116.9,1444.0
5069281,stimulus_Enc_WikiMoon_13_page_1,70.1,116.8,1444.0
5069282,stimulus_Enc_WikiMoon_13_page_1,70.3,116.7,1444.0
5069283,stimulus_Enc_WikiMoon_13_page_1,70.4,116.6,1444.0
5069284,stimulus_Enc_WikiMoon_13_page_1,70.4,116.6,1444.0
5069285,stimulus_Enc_WikiMoon_13_page_1,70.3,116.5,1444.0
5069286,stimulus_Enc_WikiMoon_13_page_1,70.2,116.4,1444.0
5069287,stimulus_Enc_WikiMoon_13_page_1,70.1,116.3,1444.0
5069288,stimulus_Enc_WikiMoon_13_page_1,69.8,116.0,1443.0
5069289,stimulus_Enc_WikiMoon_13_page_1,69.5,115.8,1443.0
5069290,stimulus_Enc_WikiMoon_13_page_1,69.1,115.8,1443.0
5069291,stimulus_Enc_WikiMoon_13_page_1,69.0,115.9,1443.0
5069292,stimulus_Enc_WikiMoon_13_page_1,68.9,116.0,1443.0
5069293,stimulus_Enc_WikiMoon_13_page_1,68.8,116.1,1442.0
5069294,stimulus_Enc_WikiMoon_13_page_1,68.6,116.0,1442.0
5069295,stimulus_Enc_WikiMoon_13_page_1,68.6,115.8,1443.0
5069296,stimulus_Enc_WikiMoon_13_page_1,68.7,115.5,1443.0
5069297,stimulus_Enc_WikiMoon_13_page_1,68.7,115.2,1444.0
5069298,stimulus_Enc_WikiMoon_13_page_1,68.5,115.2,1444.0
5069299,stimulus_Enc_WikiMoon_13_page_1,68.3,115.0,1443.0
5069300,stimulus_Enc_WikiMoon_13_page_1,68.4,114.9,1442.0
5069301,stimulus_Enc_WikiMoon_13_page_1,68.4,115.0,1441.0
5069302,stimulus_Enc_WikiMoon_13_page_1,68.4,115.1,1442.0
5069303,stimulus_Enc_WikiMoon_13_page_1,68.3,115.2,1442.0
5069304,stimulus_Enc_WikiMoon_13_page_1,67.9,115.1,1441.0
5069305,stimulus_Enc_WikiMoon_13_page_1,67.7,115.1,1441.0
5069306,stimulus_Enc_WikiMoon_13_page_1,67.6,115.2,1440.0
5069307,stimulus_Enc_WikiMoon_13_page_1,67.8,115.2,1440.0
5069308,stimulus_Enc_WikiMoon_13_page_1,67.9,115.1,1439.0
5069309,stimulus_Enc_WikiMoon_13_page_1,68.0,115.0,1438.0
5069310,stimulus_Enc_WikiMoon_13_page_1,68.1,115.0,1437.0
5069311,stimulus_Enc_WikiMoon_13_page_1,68.1,114.9,1438.0
5069312,stimulus_Enc_WikiMoon_13_page_1,68.2,114.7,1440.0
5069313,stimulus_Enc_WikiMoon_13_page_1,68.4,114.4,1441.0
5069314,stimulus_Enc_WikiMoon_13_page_1,68.7,114.1,1441.0
5069315,stimulus_Enc_WikiMoon_13_page_1,68.7,114.1,1441.0
5069316,stimulus_Enc_WikiMoon_13_page_1,68.4,114.2,1440.0
5069317,stimulus_Enc_WikiMoon_13_page_1,68.1,114.2,1439.0
5069318,stimulus_Enc_WikiMoon_13_page_1,67.9,114.1,1440.0
5069319,stimulus_Enc_WikiMoon_13_page_1,67.9,114.1,1441.0
5069320,stimulus_Enc_WikiMoon_13_page_1,67.9,114.2,1441.0
5069321,stimulus_Enc_WikiMoon_13_page_1,67.9,114.3,1441.0
5069322,stimulus_Enc_WikiMoon_13_page_1,68.1,114.2,1441.0
5069323,stimulus_Enc_WikiMoon_13_page_1,68.3,114.2,1441.0
5069324,stimulus_Enc_WikiMoon_13_page_1,68.3,114.0,1440.0
5069325,stimulus_Enc_WikiMoon_13_page_1,68.3,114.0,1440.0
5069326,stimulus_Enc_WikiMoon_13_page_1,68.1,114.1,1440.0
5069327,stimulus_Enc_WikiMoon_13_page_1,68.0,114.2,1440.0
5069328,stimulus_Enc_WikiMoon_13_page_1,67.9,114.3,1441.0
5069329,stimulus_Enc_WikiMoon_13_page_1,67.9,114.3,1442.0
5069330,stimulus_Enc_WikiMoon_13_page_1,67.9,114.2,1442.0
5069331,stimulus_Enc_WikiMoon_13_page_1,68.2,114.2,1441.0
5069332,stimulus_Enc_WikiMoon_13_page_1,68.4,114.2,1439.0
5069333,stimulus_Enc_WikiMoon_13_page_1,68.6,114.3,1438.0
5069334,stimulus_Enc_WikiMoon_13_page_1,68.5,114.5,1437.0
5069335,stimulus_Enc_WikiMoon_13_page_1,68.5,114.6,1437.0
5069336,stimulus_Enc_WikiMoon_13_page_1,68.4,114.7,1437.0
5069337,stimulus_Enc_WikiMoon_13_page_1,68.4,114.6,1437.0
5069338,stimulus_Enc_WikiMoon_13_page_1,68.3,114.6,1437.0
5069339,stimulus_Enc_WikiMoon_13_page_1,68.2,115.0,1438.0
5069340,stimulus_Enc_WikiMoon_13_page_1,68.2,115.4,1439.0
5069341,stimulus_Enc_WikiMoon_13_page_1,68.3,115.8,1440.0
5069342,stimulus_Enc_WikiMoon_13_page_1,68.5,115.8,1439.0
5069343,stimulus_Enc_WikiMoon_13_page_1,68.6,115.9,1439.0
5069344,stimulus_Enc_WikiMoon_13_page_1,68.6,116.3,1438.0
5069345,stimulus_Enc_WikiMoon_13_page_1,68.6,116.7,1437.0
5069346,stimulus_Enc_WikiMoon_13_page_1,68.7,117.2,1437.0
5069347,stimulus_Enc_WikiMoon_13_page_1,68.8,117.3,1437.0
5069348,stimulus_Enc_WikiMoon_13_page_1,68.7,117.4,1437.0
5069349,stimulus_Enc_WikiMoon_13_page_1,68.5,117.4,1437.0
5069350,stimulus_Enc_WikiMoon_13_page_1,68.4,117.5,1437.0
5069351,stimulus_Enc_WikiMoon_13_page_1,68.4,117.4,1437.0
5069352,stimulus_Enc_WikiMoon_13_page_1,68.3,117.0,1438.0
5069353,stimulus_Enc_WikiMoon_13_page_1,68.1,116.5,1438.0
5069354,stimulus_Enc_WikiMoon_13_page_1,68.0,115.9,1438.0
5069355,stimulus_Enc_WikiMoon_13_page_1,68.1,115.3,1438.0
5069356,stimulus_Enc_WikiMoon_13_page_1,68.2,114.7,1437.0
5069357,stimulus_Enc_WikiMoon_13_page_1,68.3,114.3,1435.0
5069358,stimulus_Enc_WikiMoon_13_page_1,68.3,114.4,1435.0
5069359,stimulus_Enc_WikiMoon_13_page_1,68.3,114.6,1435.0
